DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
10-12-2010,143.6,143.6,136.65,140.05,140.0,143.6,136.65,3878,544700.65,,140.46,EQ
13-12-2010,142.5,143.0,139.0,139.05,139.0,143.6,136.65,1090,151944.0,,139.4,EQ
14-12-2010,139.5,141.5,139.0,139.25,139.0,143.6,136.65,1320,184017.5,,139.41,EQ
15-12-2010,145.85,149.7,139.0,139.25,139.25,149.7,136.65,651,93077.3,,142.98,EQ
16-12-2010,139.15,140.15,139.0,139.05,139.05,149.7,136.65,645,90040.5,,139.6,EQ
20-12-2010,139.1,141.0,139.0,140.9,140.9,149.7,136.65,310,43299.75,,139.68,EQ
21-12-2010,139.0,168.0,139.0,139.05,139.0,168.0,136.65,3290,470836.0,,143.11,EQ
22-12-2010,150.0,150.0,139.05,141.0,141.0,168.0,136.65,707,100212.9,,141.74,EQ
23-12-2010,141.0,141.0,133.0,134.15,133.0,168.0,133.0,462,63486.25,,137.42,EQ
24-12-2010,139.9,143.0,136.0,140.1,140.0,168.0,133.0,2025,283374.5,,139.94,EQ
27-12-2010,140.0,143.45,140.0,140.25,140.5,168.0,133.0,1089,152999.5,,140.5,EQ
28-12-2010,140.0,142.4,140.0,140.0,140.0,168.0,133.0,1373,192290.35,,140.05,EQ
29-12-2010,140.05,141.8,140.0,141.8,141.8,168.0,133.0,175,24505.9,,140.03,EQ
30-12-2010,149.2,149.2,139.0,140.0,140.0,168.0,133.0,2782,389511.8,,140.01,EQ
31-12-2010,140.0,140.0,140.0,140.0,140.0,168.0,133.0,1553,217420.0,,140.0,EQ
03-01-2011,140.2,147.0,140.0,143.55,145.0,168.0,133.0,1145,162369.45,,141.81,EQ
04-01-2011,145.0,148.0,141.05,141.4,141.7,168.0,133.0,2141,307642.05,,143.69,EQ
05-01-2011,147.0,159.9,147.0,153.7,152.05,168.0,133.0,77418,12069386.55,,155.9,EQ
