DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
30-10-2019,116.55,117.0,93.05,115.15,117.0,117.0,93.05,14803,1678981.55,300,113.42,EQ
31-10-2019,108.0,129.95,108.0,120.05,120.0,129.95,93.05,12146,1470180.45,166,121.04,EQ
01-11-2019,129.0,129.0,120.0,122.75,123.0,129.95,93.05,12154,1498867.25,264,123.32,EQ
04-11-2019,124.95,124.95,118.45,119.75,119.3,129.95,93.05,1167,141723.5,66,121.44,EQ
05-11-2019,122.45,122.45,110.0,113.0,112.05,129.95,93.05,3589,409087.55,154,113.98,EQ
06-11-2019,113.1,118.65,113.1,117.15,117.35,129.95,93.05,1158,134737.1,56,116.35,EQ
07-11-2019,123.0,125.0,112.5,124.15,124.5,129.95,93.05,3622,431056.1,83,119.01,EQ
08-11-2019,124.15,125.9,120.0,125.9,125.9,129.95,93.05,2891,358927.65,27,124.15,EQ
11-11-2019,125.0,144.45,125.0,134.85,134.9,144.45,93.05,9974,1305419.2,105,130.88,EQ
13-11-2019,149.0,149.9,131.5,138.2,138.0,149.9,93.05,3671,507354.35,86,138.21,EQ
14-11-2019,144.2,144.2,124.05,138.8,138.8,149.9,93.05,1113,152359.8,36,136.89,EQ
15-11-2019,139.45,141.0,137.0,138.0,138.0,149.9,93.05,1260,175125.25,12,138.99,EQ
18-11-2019,141.7,141.7,126.1,128.85,136.0,149.9,93.05,6316,846461.3,71,134.02,EQ
19-11-2019,126.5,130.0,113.3,118.5,123.95,149.9,93.05,5133,632793.9,101,123.28,EQ
20-11-2019,127.0,134.9,126.25,130.0,130.0,149.9,93.05,6013,779459.45,101,129.63,EQ
21-11-2019,122.1,135.9,122.1,130.0,130.0,149.9,93.05,1428,191180.5,14,133.88,EQ
22-11-2019,139.55,139.55,125.05,130.0,130.0,149.9,93.05,1815,239038.35,25,131.7,EQ
25-11-2019,134.85,134.85,130.0,130.6,130.6,149.9,93.05,3242,422468.1,26,130.31,EQ
26-11-2019,131.0,131.5,131.0,131.5,131.5,149.9,93.05,1800,236600.0,7,131.44,EQ
27-11-2019,135.0,135.0,131.5,133.0,134.0,149.9,93.05,1555,205287.5,15,132.02,EQ
28-11-2019,133.0,133.0,133.0,133.0,133.0,149.9,93.05,330,43890.0,4,133.0,EQ
29-11-2019,132.0,132.0,125.0,130.3,130.0,149.9,93.05,4794,623671.95,27,130.09,EQ
02-12-2019,125.0,139.6,122.0,130.1,130.1,149.9,93.05,53413,6939343.8,142,129.92,EQ
03-12-2019,127.0,127.0,121.3,124.0,124.0,149.9,93.05,3120,386630.9,17,123.92,EQ
04-12-2019,127.9,127.9,124.0,125.0,125.0,149.9,93.05,801,101765.8,7,127.05,EQ
05-12-2019,123.8,129.9,123.8,129.9,129.9,149.9,93.05,150,18875.0,3,125.83,EQ
06-12-2019,131.45,131.5,118.0,120.25,120.0,149.9,93.05,6906,887124.85,25,128.46,EQ
09-12-2019,127.85,131.0,125.0,125.0,125.0,149.9,93.05,5700,734587.1,15,128.87,EQ
10-12-2019,134.9,134.9,117.25,124.0,124.0,149.9,93.05,3300,404555.1,31,122.59,EQ
11-12-2019,124.0,126.75,109.0,113.15,114.5,149.9,93.05,9273,1061918.7,123,114.52,EQ
12-12-2019,115.0,120.95,115.0,119.8,119.8,149.9,93.05,1732,201538.8,18,116.36,EQ
13-12-2019,121.0,127.7,112.0,122.95,122.95,149.9,93.05,695,87554.45,15,125.98,EQ
16-12-2019,120.1,120.1,116.55,116.95,116.55,149.9,93.05,1549,184391.5,13,119.04,EQ
17-12-2019,121.1,129.8,117.0,123.8,126.5,149.9,93.05,2157,271321.0,48,125.79,EQ
18-12-2019,125.0,131.0,123.5,124.8,123.5,149.9,93.05,6872,882823.6,42,128.47,EQ
19-12-2019,128.0,128.6,120.0,123.0,123.0,149.9,93.05,3480,422192.55,23,121.32,EQ
