DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
19-03-2007,149.0,149.0,134.8,134.8,134.8,149.0,134.8,7889,1069278.9,,135.54,EQ
20-03-2007,115.55,125.0,108.0,117.7,115.0,149.0,108.0,337254,39058625.3,,115.81,EQ
21-03-2007,118.0,118.0,111.85,115.0,115.0,149.0,108.0,89715,10262527.05,,114.39,EQ
22-03-2007,118.0,130.0,114.0,115.45,116.0,149.0,108.0,39996,4721148.0,,118.04,EQ
23-03-2007,119.5,120.0,114.2,114.85,114.9,149.0,108.0,33013,3845590.75,,116.49,EQ
26-03-2007,114.65,115.95,112.5,113.45,113.8,149.0,108.0,18634,2133261.85,,114.48,EQ
28-03-2007,113.8,115.0,109.5,110.25,109.55,149.0,108.0,8639,968856.6,,112.15,EQ
29-03-2007,113.8,113.8,110.15,111.2,111.55,149.0,108.0,6801,758817.9,,111.57,EQ
30-03-2007,119.0,119.0,108.0,111.85,111.85,149.0,108.0,3906,439197.95,,112.44,EQ
02-04-2007,109.0,109.0,104.3,104.7,104.35,149.0,104.3,6612,704967.0,,106.62,EQ
03-04-2007,105.15,113.0,105.05,105.85,105.95,149.0,104.3,12949,1372080.45,,105.96,EQ
04-04-2007,106.0,109.95,102.0,104.6,104.3,149.0,102.0,9461,993380.5,,105.0,EQ
05-04-2007,104.35,109.75,104.35,107.8,109.45,149.0,102.0,10321,1105255.25,,107.09,EQ
09-04-2007,112.0,117.0,110.1,113.15,113.0,149.0,102.0,11692,1331179.4,,113.85,EQ
10-04-2007,115.05,116.3,113.1,114.95,114.4,149.0,102.0,7722,887056.6,,114.87,EQ
11-04-2007,114.0,117.0,113.25,114.1,114.2,149.0,102.0,7216,826748.2,,114.57,EQ
12-04-2007,111.1,115.0,108.2,110.5,111.2,149.0,102.0,11677,1296293.55,,111.01,EQ
13-04-2007,115.05,116.9,111.15,114.5,115.35,149.0,102.0,13073,1491946.45,,114.12,EQ
16-04-2007,116.0,121.95,116.0,120.8,121.9,149.0,102.0,33347,3971230.95,,119.09,EQ
17-04-2007,105.0,122.0,105.0,117.75,118.75,149.0,102.0,8085,965606.3,,119.43,EQ
18-04-2007,120.0,120.0,112.1,115.0,115.45,149.0,102.0,4874,570794.2,,117.11,EQ
19-04-2007,107.05,132.7,107.05,130.3,132.0,149.0,102.0,89757,11353476.55,,126.49,EQ
20-04-2007,133.0,143.8,129.0,140.15,140.0,149.0,102.0,211933,29090435.55,,137.26,EQ
23-04-2007,142.0,146.0,133.6,140.35,141.0,149.0,102.0,160074,22476498.05,,140.41,EQ
24-04-2007,139.9,146.45,138.25,144.7,145.0,149.0,102.0,108332,15578757.25,,143.81,EQ
25-04-2007,141.25,143.0,136.0,137.35,137.5,149.0,102.0,94343,13117426.55,,139.04,EQ
26-04-2007,138.0,140.7,133.5,134.8,134.9,149.0,102.0,74994,10309980.85,,137.48,EQ
27-04-2007,136.0,144.45,126.3,127.7,128.45,149.0,102.0,80489,10633879.3,,132.12,EQ
30-04-2007,134.7,135.0,129.35,130.5,130.0,149.0,102.0,28908,3817461.5,,132.06,EQ
03-05-2007,133.8,138.9,132.6,137.5,137.5,149.0,102.0,66302,8985963.9,,135.53,EQ
04-05-2007,136.95,138.5,134.2,134.85,135.5,149.0,102.0,33879,4631227.05,,136.7,EQ
07-05-2007,136.0,136.9,129.1,130.45,130.05,149.0,102.0,12232,1625081.4,,132.85,EQ
08-05-2007,133.5,133.5,125.15,129.1,130.0,149.0,102.0,41998,5435286.1,,129.42,EQ
09-05-2007,138.7,138.7,126.15,128.9,133.9,149.0,102.0,11817,1521580.7,,128.76,EQ
10-05-2007,128.6,134.7,128.6,133.85,132.15,149.0,102.0,79202,10420303.55,,131.57,EQ
11-05-2007,130.1,133.45,130.1,131.5,130.7,149.0,102.0,11455,1508014.8,,131.65,EQ
14-05-2007,132.8,133.25,130.25,131.8,131.8,149.0,102.0,28844,3809695.25,,132.08,EQ
15-05-2007,131.8,134.85,129.2,133.25,133.5,149.0,102.0,24940,3291163.7,,131.96,EQ
16-05-2007,135.0,137.0,133.6,136.1,135.1,149.0,102.0,11102,1503890.65,,135.46,EQ
17-05-2007,135.95,139.5,134.0,135.45,137.0,149.0,102.0,39082,5365804.9,,137.3,EQ
18-05-2007,136.0,136.0,131.3,134.3,134.75,149.0,102.0,9310,1248501.85,,134.1,EQ
21-05-2007,121.25,138.0,121.25,135.25,136.0,149.0,102.0,19733,2670727.7,,135.34,EQ
22-05-2007,132.0,142.0,132.0,140.0,140.0,149.0,102.0,55493,7720024.8,,139.12,EQ
23-05-2007,142.8,142.8,136.55,138.05,139.5,149.0,102.0,52808,7342337.3,,139.04,EQ
24-05-2007,135.1,137.5,133.6,134.55,134.2,149.0,102.0,14406,1950499.0,,135.39,EQ
25-05-2007,133.0,139.8,133.0,135.5,134.25,149.0,102.0,14684,2012401.55,,137.05,EQ
28-05-2007,134.0,138.0,134.0,134.2,134.15,149.0,102.0,9231,1253231.0,,135.76,EQ
29-05-2007,136.0,140.0,133.5,134.3,134.25,149.0,102.0,37982,5183037.45,,136.46,EQ
30-05-2007,135.0,139.25,135.0,136.15,135.0,149.0,102.0,34497,4743846.8,,137.51,EQ
31-05-2007,137.7,144.95,137.7,138.65,138.4,149.0,102.0,24419,3416839.15,,139.93,EQ
01-06-2007,139.9,142.0,136.0,137.9,137.0,149.0,102.0,28018,3913272.45,,139.67,EQ
04-06-2007,136.0,140.95,136.0,140.3,140.9,149.0,102.0,19174,2683518.15,,139.96,EQ
05-06-2007,142.0,145.0,136.15,141.05,141.0,149.0,102.0,25907,3657156.95,,141.16,EQ
