DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
21-06-2005,170.0,345.0,170.0,278.55,273.35,345.0,170.0,2668277,733129533.2,,274.76,EQ
22-06-2005,269.9,269.9,241.0,247.85,245.45,345.0,170.0,849324,217264792.8,,255.81,EQ
23-06-2005,246.0,247.7,233.0,237.1,235.55,345.0,170.0,307067,72924929.9,,237.49,EQ
24-06-2005,234.95,242.0,225.25,228.65,229.0,345.0,170.0,233019,54200367.45,,232.6,EQ
27-06-2005,229.8,233.9,205.1,206.5,206.0,345.0,170.0,117411,25511424.0,,217.28,EQ
28-06-2005,206.8,210.8,178.5,183.05,184.75,345.0,170.0,195731,37718506.0,,192.71,EQ
29-06-2005,147.0,201.9,147.0,189.1,190.55,345.0,147.0,484859,92167414.05,,190.09,EQ
30-06-2005,191.0,197.4,185.6,194.6,195.0,345.0,147.0,210883,40524324.75,,192.16,EQ
01-07-2005,192.5,212.0,188.95,207.55,210.0,345.0,147.0,203921,41665816.05,,204.32,EQ
04-07-2005,216.0,224.0,211.0,215.1,215.25,345.0,147.0,127174,27865657.6,,219.11,EQ
05-07-2005,218.95,219.0,206.4,210.1,206.4,345.0,147.0,35239,7554700.6,,214.38,EQ
06-07-2005,210.0,224.8,208.05,219.4,219.0,345.0,147.0,55145,11978858.65,,217.22,EQ
07-07-2005,221.05,229.0,213.35,216.65,219.9,345.0,147.0,42347,9347262.15,,220.73,EQ
08-07-2005,224.5,224.95,218.0,223.6,224.9,345.0,147.0,37989,8454887.55,,222.56,EQ
11-07-2005,223.0,266.0,223.0,253.05,253.75,345.0,147.0,122408,30932001.65,,252.7,EQ
12-07-2005,256.0,273.0,243.3,246.75,247.8,345.0,147.0,98233,25284839.35,,257.4,EQ
13-07-2005,252.0,254.5,242.55,247.4,250.0,345.0,147.0,23838,5934161.35,,248.94,EQ
14-07-2005,231.1,250.0,221.1,241.45,242.7,345.0,147.0,20343,4974743.3,,244.54,EQ
15-07-2005,235.1,247.35,235.1,237.9,238.1,345.0,147.0,14143,3394323.0,,240.0,EQ
18-07-2005,249.75,249.75,234.05,237.4,237.0,345.0,147.0,14539,3449514.25,,237.26,EQ
19-07-2005,242.0,250.0,234.9,239.25,239.0,345.0,147.0,7491,1796524.6,,239.82,EQ
20-07-2005,241.0,247.0,230.0,234.7,231.0,345.0,147.0,28908,6919184.8,,239.35,EQ
21-07-2005,235.0,242.0,228.0,230.5,228.1,345.0,147.0,10030,2358914.3,,235.19,EQ
22-07-2005,239.0,239.0,223.05,226.15,225.0,345.0,147.0,21384,4895984.6,,228.96,EQ
25-07-2005,228.0,236.0,220.0,221.35,221.2,345.0,147.0,12481,2816465.25,,225.66,EQ
26-07-2005,223.0,224.1,215.0,216.65,215.0,345.0,147.0,8180,1790730.05,,218.92,EQ
27-07-2005,215.15,221.0,215.15,218.3,217.15,345.0,147.0,2278,494662.55,,217.15,EQ
29-07-2005,220.0,220.6,212.0,215.0,212.0,345.0,147.0,4953,1078957.8,,217.84,EQ
01-08-2005,214.05,214.05,199.9,202.0,204.0,345.0,147.0,9757,1999134.9,,204.89,EQ
02-08-2005,190.6,212.0,190.6,207.95,208.0,345.0,147.0,7442,1554951.25,,208.94,EQ
03-08-2005,207.6,209.4,195.1,197.7,196.4,345.0,147.0,13558,2722902.35,,200.83,EQ
04-08-2005,202.0,207.0,201.0,202.65,203.0,345.0,147.0,9077,1847427.85,,203.53,EQ
05-08-2005,207.4,208.0,200.0,203.75,205.25,345.0,147.0,10313,2099539.7,,203.58,EQ
08-08-2005,211.0,214.5,201.95,203.8,205.0,345.0,147.0,6374,1312611.55,,205.93,EQ
09-08-2005,202.1,206.8,200.0,201.55,201.1,345.0,147.0,3301,670603.2,,203.15,EQ
10-08-2005,203.0,207.0,201.1,204.45,204.0,345.0,147.0,6110,1251250.9,,204.79,EQ
11-08-2005,208.7,220.0,206.0,215.8,214.1,345.0,147.0,15600,3334004.1,,213.72,EQ
12-08-2005,214.0,214.0,210.0,210.2,210.0,345.0,147.0,4562,964790.8,,211.48,EQ
16-08-2005,220.0,221.0,212.7,217.3,218.0,345.0,147.0,3642,790189.3,,216.97,EQ
17-08-2005,214.9,219.0,214.9,216.2,216.0,345.0,147.0,4000,868745.25,,217.19,EQ
18-08-2005,215.3,219.9,212.2,214.4,216.0,345.0,147.0,6360,1369206.1,,215.28,EQ
19-08-2005,213.25,215.0,208.0,209.05,208.0,345.0,147.0,4141,874533.2,,211.19,EQ
22-08-2005,214.0,219.7,211.05,214.45,214.5,345.0,147.0,10930,2362984.0,,216.19,EQ
23-08-2005,214.0,216.85,208.05,208.4,208.05,345.0,147.0,5982,1264131.05,,211.32,EQ
24-08-2005,199.0,208.9,199.0,202.1,202.6,345.0,147.0,5789,1178590.7,,203.59,EQ
25-08-2005,205.05,210.0,202.0,205.5,206.15,345.0,147.0,4175,857531.7,,205.4,EQ
26-08-2005,210.0,210.0,205.35,206.05,206.0,345.0,147.0,2826,586264.05,,207.45,EQ
29-08-2005,203.05,204.5,201.0,201.75,201.5,345.0,147.0,2299,466278.25,,202.82,EQ
30-08-2005,207.0,208.5,203.0,203.75,205.75,345.0,147.0,2591,531777.55,,205.24,EQ
31-08-2005,204.0,208.05,204.0,205.4,204.0,345.0,147.0,1637,336615.15,,205.63,EQ
01-09-2005,208.0,208.0,201.0,201.7,201.7,345.0,147.0,4907,1000205.55,,203.83,EQ
02-09-2005,203.0,205.0,197.0,198.75,198.3,345.0,147.0,7244,1454296.45,,200.76,EQ
05-09-2005,200.0,207.0,198.05,199.0,199.05,345.0,147.0,69508,14220083.25,,204.58,EQ
06-09-2005,205.0,205.0,197.1,198.05,198.0,345.0,147.0,10642,2126912.0,,199.86,EQ
08-09-2005,191.1,204.9,191.1,196.4,197.9,345.0,147.0,4422,880943.6,,199.22,EQ
