DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
23-03-2005,455.0,458.5,383.6,390.15,386.9,0.0,0.0,2087710,876537542.75,,419.86,EQ
24-03-2005,392.85,398.5,357.5,369.2,371.8,458.5,383.6,1226479,456263750.6,,372.01,EQ
28-03-2005,376.7,394.05,375.0,378.85,380.0,458.5,357.5,1235794,474104797.45,,383.64,EQ
29-03-2005,382.9,383.8,363.25,368.05,369.1,458.5,357.5,624072,234191486.8,,375.26,EQ
30-03-2005,367.0,371.9,360.05,362.15,362.7,458.5,357.5,466349,170277530.15,,365.13,EQ
31-03-2005,366.0,375.0,356.65,362.5,362.9,458.5,357.5,1203015,438448693.35,,364.46,EQ
01-04-2005,366.0,396.5,361.4,391.55,391.0,458.5,356.65,1056290,406502735.2,,384.84,EQ
04-04-2005,393.0,394.0,372.1,373.65,372.7,458.5,356.65,359643,137462889.45,,382.22,EQ
05-04-2005,375.9,377.9,364.0,365.75,367.0,458.5,356.65,279815,103543603.05,,370.04,EQ
06-04-2005,367.0,375.9,367.0,371.9,372.2,458.5,356.65,292625,109030628.3,,372.6,EQ
07-04-2005,377.4,379.0,366.2,367.8,367.7,458.5,356.65,189476,70463127.75,,371.88,EQ
08-04-2005,372.5,372.5,360.25,362.1,361.05,458.5,356.65,176133,64227231.6,,364.65,EQ
11-04-2005,361.5,365.0,357.0,361.7,362.8,458.5,356.65,243663,87966862.3,,361.02,EQ
12-04-2005,361.7,370.0,360.15,368.9,369.75,458.5,356.65,198808,72579689.45,,365.07,EQ
13-04-2005,373.0,374.5,362.1,366.35,368.1,458.5,356.65,230785,84901090.85,,367.88,EQ
15-04-2005,363.05,365.0,351.0,354.2,351.5,458.5,351.0,166222,59521942.15,,358.09,EQ
18-04-2005,345.0,361.7,345.0,358.35,356.5,458.5,345.0,729193,259514387.2,,355.89,EQ
19-04-2005,361.0,368.5,342.0,346.75,343.0,458.5,342.0,389801,140270823.95,,359.85,EQ
20-04-2005,350.0,356.8,346.0,355.7,356.5,458.5,342.0,315994,111449601.0,,352.7,EQ
21-04-2005,356.9,363.75,351.0,361.1,363.0,458.5,342.0,254042,90676124.15,,356.93,EQ
22-04-2005,365.0,366.0,355.5,358.2,357.5,458.5,342.0,144685,51912407.35,,358.8,EQ
25-04-2005,359.0,360.0,349.5,350.85,350.5,458.5,342.0,125042,44185904.45,,353.37,EQ
26-04-2005,352.9,353.4,342.5,344.85,343.0,458.5,342.0,176861,61590089.35,,348.24,EQ
27-04-2005,345.0,347.0,330.15,333.1,332.45,458.5,330.15,154354,52283196.7,,338.72,EQ
28-04-2005,335.0,336.75,324.4,327.65,326.15,458.5,324.4,252313,82921466.1,,328.65,EQ
29-04-2005,327.65,328.0,312.5,315.65,314.7,458.5,312.5,217807,69846771.6,,320.68,EQ
02-05-2005,317.95,319.95,303.4,310.85,309.5,458.5,303.4,339504,105865295.25,,311.82,EQ
03-05-2005,310.55,317.5,310.05,312.45,311.5,458.5,303.4,302079,94851280.25,,313.99,EQ
04-05-2005,314.5,319.0,313.0,316.6,317.0,458.5,303.4,214613,67780009.0,,315.82,EQ
05-05-2005,319.0,341.9,318.5,327.65,327.0,458.5,303.4,488220,160954659.7,,329.68,EQ
06-05-2005,328.5,329.45,318.6,326.95,329.45,458.5,303.4,304628,98800726.8,,324.33,EQ
09-05-2005,326.5,334.4,326.0,332.45,332.3,458.5,303.4,177979,58969793.5,,331.33,EQ
10-05-2005,334.35,341.0,329.1,337.6,339.0,458.5,303.4,283073,95081919.95,,335.89,EQ
11-05-2005,337.6,337.6,327.1,329.15,327.1,458.5,303.4,247600,81886790.9,,330.72,EQ
12-05-2005,302.9,336.75,302.9,333.85,336.75,458.5,302.9,122689,40921707.5,,333.54,EQ
13-05-2005,334.0,342.0,328.55,337.5,342.0,458.5,302.9,132683,44238861.45,,333.42,EQ
16-05-2005,341.4,349.0,336.0,339.15,341.0,458.5,302.9,129617,44228644.05,,341.23,EQ
17-05-2005,343.7,343.95,338.0,339.5,338.0,458.5,302.9,108362,36902596.05,,340.55,EQ
18-05-2005,340.0,340.0,334.0,337.85,340.0,458.5,302.9,124278,41865139.6,,336.87,EQ
19-05-2005,341.0,344.0,330.3,332.6,331.5,458.5,302.9,92609,31310573.65,,338.09,EQ
20-05-2005,332.0,335.2,324.05,326.15,324.05,458.5,302.9,70974,23410271.65,,329.84,EQ
23-05-2005,325.1,327.9,316.5,317.8,317.0,458.5,302.9,159007,50931538.65,,320.31,EQ
24-05-2005,321.3,321.3,307.75,310.05,308.9,458.5,302.9,241288,75810300.35,,314.19,EQ
25-05-2005,311.05,313.75,305.0,306.15,307.0,458.5,302.9,209570,64845003.75,,309.42,EQ
26-05-2005,308.0,309.9,295.0,296.65,296.6,458.5,295.0,252197,76041801.7,,301.52,EQ
27-05-2005,298.0,314.7,297.0,307.05,306.25,458.5,295.0,476138,145769007.85,,306.15,EQ
30-05-2005,313.9,314.0,307.45,311.3,313.7,458.5,295.0,247978,77077398.25,,310.82,EQ
31-05-2005,312.5,316.4,310.0,314.75,315.0,458.5,295.0,190775,59974512.4,,314.37,EQ
01-06-2005,317.0,317.0,308.6,309.7,311.7,458.5,295.0,283295,88332170.5,,311.8,EQ
02-06-2005,308.0,308.0,301.9,304.0,304.5,458.5,295.0,297580,90566453.25,,304.34,EQ
03-06-2005,305.0,305.95,299.3,304.05,305.0,458.5,295.0,264240,80208565.7,,303.54,EQ
04-06-2005,304.0,306.5,300.0,302.0,300.2,458.5,295.0,48613,14767373.85,,303.77,EQ
06-06-2005,302.5,305.75,302.5,304.2,304.0,458.5,295.0,126969,38625406.0,,304.21,EQ
07-06-2005,304.75,305.0,297.0,298.2,297.15,458.5,295.0,93381,28079562.8,,300.7,EQ
08-06-2005,298.5,301.9,287.05,288.7,287.9,458.5,287.05,262375,77102864.95,,293.87,EQ
09-06-2005,290.0,297.0,290.0,291.25,291.65,458.5,287.05,204708,60087155.7,,293.53,EQ
10-06-2005,293.0,295.7,286.1,287.2,287.0,458.5,286.1,148022,43120379.05,,291.31,EQ
13-06-2005,290.95,291.95,280.1,281.0,282.0,458.5,280.1,131332,37307414.7,,284.07,EQ
14-06-2005,284.05,285.0,277.5,278.85,277.5,458.5,277.5,173738,48929891.8,,281.63,EQ
15-06-2005,279.9,288.9,279.8,285.45,286.0,458.5,277.5,245448,70101947.5,,285.61,EQ
16-06-2005,285.45,289.45,280.0,280.9,280.45,458.5,277.5,188031,53638436.05,,285.26,EQ
17-06-2005,282.1,282.1,272.65,273.4,274.0,458.5,272.65,133151,36727591.75,,275.83,EQ
20-06-2005,277.0,278.0,270.1,274.25,275.0,458.5,270.1,212120,58059742.65,,273.71,EQ
21-06-2005,280.0,283.9,272.5,276.5,276.8,458.5,270.1,256912,71362233.5,,277.77,EQ
22-06-2005,276.5,282.25,276.1,277.75,277.0,458.5,270.1,339704,94710226.75,,278.8,EQ
23-06-2005,279.05,283.4,273.0,275.8,274.0,458.5,270.1,193468,53873046.5,,278.46,EQ
24-06-2005,274.65,275.75,270.3,271.4,271.4,458.5,270.1,122027,33284756.25,,272.77,EQ
27-06-2005,273.5,273.5,261.7,262.5,262.7,458.5,261.7,131408,34969795.55,,266.12,EQ
28-06-2005,264.0,265.1,245.55,248.9,247.05,458.5,245.55,233968,59390816.75,,253.84,EQ
29-06-2005,248.0,261.0,248.0,258.7,259.0,458.5,245.55,2355327,610378510.1,,259.15,EQ
30-06-2005,262.65,262.65,250.25,250.9,250.5,458.5,245.55,136959,34633529.3,,252.88,EQ
01-07-2005,250.0,253.5,247.15,248.9,247.15,458.5,245.55,220765,55149521.3,,249.81,EQ
04-07-2005,249.15,255.0,248.5,248.95,250.0,458.5,245.55,113612,28471550.7,,250.6,EQ
05-07-2005,250.95,260.0,248.0,253.9,254.9,458.5,245.55,229812,58342191.65,,253.87,EQ
06-07-2005,256.0,266.5,256.0,264.5,265.95,458.5,245.55,341211,89302949.2,,261.72,EQ
07-07-2005,269.4,279.9,261.3,262.95,264.0,458.5,245.55,311806,83250504.2,,266.99,EQ
08-07-2005,265.6,275.0,264.1,267.2,266.15,458.5,245.55,348632,93876625.55,,269.27,EQ
11-07-2005,271.4,273.0,267.1,268.7,268.7,458.5,245.55,136825,36887523.4,,269.6,EQ
12-07-2005,270.0,270.85,260.05,262.25,263.0,458.5,245.55,119229,31506851.15,,264.25,EQ
13-07-2005,274.0,274.0,256.25,258.2,258.0,458.5,245.55,93328,24310937.25,,260.49,EQ
14-07-2005,259.0,262.0,256.1,258.0,259.0,458.5,245.55,90349,23359273.8,,258.54,EQ
15-07-2005,258.0,260.0,255.05,256.3,256.5,458.5,245.55,74731,19206362.75,,257.01,EQ
18-07-2005,257.35,262.0,257.35,259.5,259.2,458.5,245.55,90618,23495076.85,,259.28,EQ
19-07-2005,261.0,269.0,259.3,266.7,267.1,458.5,245.55,171978,45431473.4,,264.17,EQ
20-07-2005,267.1,274.7,267.1,271.15,272.0,458.5,245.55,218742,59497657.15,,272.0,EQ
21-07-2005,273.0,282.25,270.9,273.35,273.35,458.5,245.55,365889,100987544.7,,276.01,EQ
22-07-2005,275.1,280.0,273.55,275.35,274.0,458.5,245.55,278690,77181441.0,,276.94,EQ
25-07-2005,278.0,278.6,273.25,274.4,274.25,458.5,245.55,173916,48112780.0,,276.64,EQ
26-07-2005,274.55,280.8,273.0,278.6,279.0,458.5,245.55,427018,118639428.5,,277.83,EQ
27-07-2005,277.6,279.0,272.6,275.2,277.7,458.5,245.55,105040,29049127.45,,276.55,EQ
29-07-2005,260.0,281.75,260.0,271.7,270.55,458.5,245.55,466375,129522480.65,,277.72,EQ
01-08-2005,272.7,274.35,265.0,267.95,267.5,458.5,245.55,92468,24829827.75,,268.52,EQ
02-08-2005,265.0,269.9,265.0,265.9,265.3,458.5,245.55,122956,32898847.15,,267.57,EQ
03-08-2005,267.9,270.5,261.0,266.55,265.0,458.5,245.55,196721,52788716.8,,268.34,EQ
04-08-2005,269.0,279.9,265.05,276.8,279.9,458.5,245.55,239286,64935541.1,,271.37,EQ
05-08-2005,276.1,284.4,275.65,277.5,276.25,458.5,245.55,402589,112358429.55,,279.09,EQ
08-08-2005,278.5,283.8,272.0,274.05,274.9,458.5,245.55,195980,54577286.9,,278.48,EQ
09-08-2005,275.05,279.75,272.0,273.55,272.55,458.5,245.55,208879,57620256.45,,275.85,EQ
10-08-2005,276.4,283.0,275.1,281.7,282.0,458.5,245.55,208617,58214456.5,,279.05,EQ
11-08-2005,284.85,291.9,282.55,286.05,286.0,458.5,245.55,485593,139761687.15,,287.82,EQ
12-08-2005,286.05,288.45,280.55,285.85,285.95,458.5,245.55,197049,56191164.35,,285.16,EQ
16-08-2005,286.6,292.9,285.05,289.25,290.8,458.5,245.55,211224,61277052.9,,290.1,EQ
