DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
19-12-2007,895.0,895.0,741.15,794.05,780.0,895.0,741.15,5136540,4061629083.5,,790.73,EQ
20-12-2007,785.0,796.25,770.0,781.65,788.8,895.0,741.15,693888,543120501.75,,782.72,EQ
24-12-2007,790.0,834.0,786.3,811.05,815.0,895.0,741.15,598209,485626491.9,,811.8,EQ
26-12-2007,842.0,842.0,805.05,815.95,816.5,895.0,741.15,246913,200732045.3,,812.97,EQ
27-12-2007,819.95,855.0,813.0,830.25,830.9,895.0,741.15,396703,330302873.9,,832.62,EQ
28-12-2007,825.0,860.0,825.0,856.15,858.05,895.0,741.15,284981,240666902.3,,844.5,EQ
31-12-2007,840.0,869.0,840.0,862.85,862.1,895.0,741.15,156848,134634928.2,,858.38,EQ
01-01-2008,858.0,874.4,858.0,862.85,864.0,895.0,741.15,74728,64481983.25,,862.89,EQ
02-01-2008,862.0,960.05,852.6,896.2,890.0,960.05,741.15,296440,267128134.8,,901.12,EQ
03-01-2008,889.9,919.4,860.0,861.15,861.0,960.05,741.15,82866,72329506.95,,872.85,EQ
04-01-2008,869.0,890.0,863.5,876.75,874.0,960.05,741.15,103336,90560282.7,,876.37,EQ
07-01-2008,871.0,879.0,860.0,873.6,872.05,960.05,741.15,44841,38949697.25,,868.62,EQ
08-01-2008,875.0,890.0,850.0,856.5,860.5,960.05,741.15,48930,42297407.5,,864.45,EQ
09-01-2008,850.0,868.0,849.0,861.35,865.0,960.05,741.15,42682,36660598.15,,858.92,EQ
10-01-2008,865.0,866.9,855.0,859.95,862.0,960.05,741.15,70770,60872000.05,,860.14,EQ
11-01-2008,865.0,866.0,852.0,860.35,864.0,960.05,741.15,45143,38829376.1,,860.14,EQ
14-01-2008,860.0,875.0,860.0,860.1,860.05,960.05,741.15,11173,9614752.8,,860.53,EQ
15-01-2008,861.0,865.0,860.0,861.0,860.15,960.05,741.15,10869,9353550.6,,860.57,EQ
16-01-2008,860.0,885.0,855.05,874.0,885.0,960.05,741.15,20230,17466905.9,,863.42,EQ
17-01-2008,885.0,909.75,874.0,900.55,900.0,960.05,741.15,23968,21458748.35,,895.31,EQ
18-01-2008,894.0,930.0,880.0,903.05,905.0,960.05,741.15,61961,56580047.3,,913.16,EQ
21-01-2008,861.0,881.0,790.0,807.8,812.0,960.05,741.15,14141,11855231.45,,838.36,EQ
22-01-2008,702.0,750.0,649.0,714.85,720.0,960.05,649.0,6937,4847420.3,,698.78,EQ
23-01-2008,761.0,849.0,750.0,813.05,810.0,960.05,649.0,8621,6769758.5,,785.26,EQ
24-01-2008,702.0,800.0,702.0,781.6,790.0,960.05,649.0,7402,5736149.05,,774.95,EQ
25-01-2008,750.0,795.0,730.0,763.4,766.0,960.05,649.0,5473,4238201.5,,774.38,EQ
28-01-2008,713.0,801.0,713.0,799.75,801.0,960.05,649.0,3691,2918730.05,,790.77,EQ
29-01-2008,801.0,815.0,741.0,766.25,761.5,960.05,649.0,1107,858836.85,,775.82,EQ
30-01-2008,763.0,785.0,762.0,776.7,773.0,960.05,649.0,2194,1688968.5,,769.81,EQ
31-01-2008,748.1,805.0,748.1,796.9,792.0,960.05,649.0,14314,11423260.55,,798.05,EQ
01-02-2008,705.0,802.0,705.0,794.2,800.0,960.05,649.0,2232,1735365.5,,777.49,EQ
04-02-2008,780.1,810.0,780.1,794.75,785.0,960.05,649.0,10825,8661031.35,,800.1,EQ
05-02-2008,790.0,805.0,776.0,800.1,800.0,960.05,649.0,2714,2169631.8,,799.42,EQ
06-02-2008,760.0,805.9,760.0,800.05,800.0,960.05,649.0,78983,63181372.8,,799.94,EQ
07-02-2008,820.0,820.0,760.0,772.75,770.0,960.05,649.0,2412,1913957.0,,793.51,EQ
08-02-2008,763.25,790.0,638.0,729.7,721.6,960.05,638.0,5120,3836136.3,,749.25,EQ
11-02-2008,735.0,748.0,652.0,670.45,700.0,960.05,638.0,15030,10105139.1,,672.33,EQ
12-02-2008,685.0,715.0,670.0,701.7,713.5,960.05,638.0,3627,2519381.8,,694.62,EQ
13-02-2008,696.5,710.0,680.0,689.2,690.0,960.05,638.0,1696,1174148.3,,692.3,EQ
14-02-2008,748.0,748.0,660.0,707.2,708.05,960.05,638.0,19114,12811748.3,,670.28,EQ
15-02-2008,652.5,708.0,652.0,698.95,690.05,960.05,638.0,1195,835560.6,,699.21,EQ
18-02-2008,700.0,704.0,650.0,699.65,696.25,960.05,638.0,2068,1434106.95,,693.48,EQ
19-02-2008,696.0,707.0,691.25,702.5,702.0,960.05,638.0,1330,932229.95,,700.92,EQ
20-02-2008,690.25,699.95,670.0,674.3,670.05,960.05,638.0,1466,1001470.8,,683.13,EQ
21-02-2008,704.0,736.0,699.0,726.5,725.0,960.05,638.0,32008,23320236.4,,728.58,EQ
22-02-2008,701.2,740.0,701.2,727.4,740.0,960.05,638.0,3753,2714251.0,,723.22,EQ
25-02-2008,720.0,730.0,705.0,725.05,725.0,960.05,638.0,1675,1207870.75,,721.12,EQ
26-02-2008,715.0,759.0,711.0,751.05,750.0,960.05,638.0,4942,3665722.55,,741.75,EQ
27-02-2008,752.4,752.4,720.0,721.3,724.7,960.05,638.0,2455,1817953.8,,740.51,EQ
28-02-2008,702.55,755.0,702.55,750.45,750.0,960.05,638.0,8520,6322936.45,,742.13,EQ
29-02-2008,726.0,760.0,726.0,755.35,755.0,960.05,638.0,4096,3087104.0,,753.69,EQ
03-03-2008,720.0,749.9,715.0,740.0,740.0,960.05,638.0,5406,3997357.45,,739.43,EQ
04-03-2008,715.1,760.0,698.0,700.75,705.0,960.05,638.0,55896,39209246.75,,701.47,EQ
05-03-2008,695.0,738.95,691.0,707.2,708.0,960.05,638.0,2133,1505852.2,,705.98,EQ
07-03-2008,700.0,700.0,683.0,694.25,691.05,960.05,638.0,3764,2616016.35,,695.01,EQ
10-03-2008,660.0,675.0,645.0,663.9,660.0,960.05,638.0,7033,4647871.85,,660.87,EQ
11-03-2008,660.0,688.0,652.5,676.15,678.0,960.05,638.0,3248,2193610.15,,675.37,EQ
12-03-2008,698.0,699.95,653.0,660.35,660.0,960.05,638.0,851,574420.4,,674.99,EQ
13-03-2008,625.0,660.0,625.0,650.3,650.0,960.05,625.0,4224,2698353.65,,638.81,EQ
14-03-2008,622.5,659.5,620.0,650.6,650.25,960.05,620.0,2166,1379367.3,,636.83,EQ
17-03-2008,618.1,650.0,541.25,564.4,567.8,960.05,541.25,39763,25024978.7,,629.35,EQ
18-03-2008,567.0,590.0,500.0,585.05,586.0,960.05,500.0,24165,12630717.75,,522.69,EQ
19-03-2008,541.0,624.0,541.0,614.95,620.0,960.05,500.0,15336,9250890.25,,603.21,EQ
24-03-2008,605.0,610.0,563.0,601.5,610.0,960.05,500.0,10196,6090631.65,,597.36,EQ
25-03-2008,624.0,680.0,585.05,670.2,670.0,960.05,500.0,9967,6349917.85,,637.09,EQ
26-03-2008,635.0,700.0,605.5,688.3,690.0,960.05,500.0,17678,11836335.8,,669.55,EQ
27-03-2008,675.0,775.0,641.0,749.95,750.0,960.05,500.0,43577,32340647.45,,742.15,EQ
28-03-2008,700.1,755.0,700.1,750.0,750.0,960.05,500.0,22688,16985160.05,,748.64,EQ
31-03-2008,712.25,800.0,700.0,785.3,721.2,960.05,500.0,21944,17117103.5,,780.04,EQ
01-04-2008,779.75,779.75,720.0,767.65,756.0,960.05,500.0,5689,4359724.8,,766.34,EQ
02-04-2008,780.0,780.0,702.0,715.5,710.0,960.05,500.0,1048,772049.1,,736.69,EQ
03-04-2008,710.0,724.0,685.0,685.75,690.0,960.05,500.0,776,542730.7,,699.4,EQ
04-04-2008,697.5,700.0,651.05,657.3,656.0,960.05,500.0,829,551440.05,,665.19,EQ
07-04-2008,612.0,680.0,612.0,650.05,650.0,960.05,500.0,6957,4530359.05,,651.19,EQ
08-04-2008,650.0,669.05,650.0,650.4,651.0,960.05,500.0,1163,756662.85,,650.61,EQ
09-04-2008,631.05,657.9,631.05,651.15,654.8,960.05,500.0,294,190672.55,,648.55,EQ
10-04-2008,652.1,661.0,650.0,655.0,655.0,960.05,500.0,277,181316.25,,654.57,EQ
11-04-2008,665.0,673.0,652.3,658.7,655.05,960.05,500.0,810,537508.35,,663.59,EQ
