DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
03-01-1996,100.0,100.0,100.0,100.0,,,,100,10000.0,,100.0,EQ
04-01-1996,100.0,100.0,100.0,100.0,,,,100,10000.0,,100.0,EQ
09-01-1996,92.0,92.0,92.0,92.0,,,,200,18400.0,,92.0,EQ
29-01-1996,88.0,88.0,88.0,88.0,,,,100,8800.0,,88.0,EQ
30-01-1996,86.0,87.0,86.0,87.0,,,,200,17300.0,,86.5,EQ
26-02-1996,110.25,110.25,110.25,110.25,,,,100,11025.0,,110.25,EQ
27-02-1996,110.0,110.0,104.0,104.75,,,,500,53850.0,,107.7,EQ
07-03-1996,104.75,105.0,105.0,105.0,,,,300,31500.0,,105.0,EQ
08-03-1996,105.0,103.0,100.0,103.0,,,,500,50950.0,,101.9,EQ
12-03-1996,103.0,103.0,100.0,100.0,,,,400,40300.0,,100.75,EQ
13-03-1996,100.0,100.0,100.0,100.0,,,,200,20000.0,,100.0,EQ
14-03-1996,100.0,100.0,100.0,100.0,,,,200,20000.0,,100.0,EQ
15-03-1996,99.0,99.0,99.0,99.0,,,,200,19800.0,,99.0,EQ
18-03-1996,95.0,99.0,95.0,95.5,,,,600,57550.0,,95.92,EQ
21-03-1996,92.0,92.0,92.0,92.0,,,,100,9200.0,,92.0,EQ
22-03-1996,92.25,92.25,92.25,92.25,,,,200,18450.0,,92.25,EQ
26-03-1996,90.25,92.0,90.25,92.0,,,,300,27425.0,,91.42,EQ
29-03-1996,94.5,94.5,94.5,94.5,,,,100,9450.0,,94.5,EQ
01-04-1996,96.0,96.0,96.0,96.0,,,,100,9600.0,,96.0,EQ
02-04-1996,97.5,99.5,97.5,99.5,,,,200,19700.0,,98.5,EQ
03-04-1996,100.0,100.0,100.0,100.0,,,,400,40000.0,,100.0,EQ
04-04-1996,99.5,99.5,99.5,99.5,,,,100,9950.0,,99.5,EQ
08-04-1996,99.5,105.0,97.0,97.0,,,,400,39610.0,,99.03,EQ
09-04-1996,97.0,97.5,97.5,97.5,,,,200,19500.0,,97.5,EQ
10-04-1996,97.5,97.5,97.5,97.5,,,,100,9750.0,,97.5,EQ
11-04-1996,97.0,97.0,96.0,96.0,,,,200,19300.0,,96.5,EQ
12-04-1996,98.25,98.25,98.0,98.0,,,,200,19625.0,,98.13,EQ
15-04-1996,100.0,103.0,100.0,103.0,,,,300,30500.0,,101.67,EQ
16-04-1996,104.0,104.0,103.5,103.5,,,,200,20750.0,,103.75,EQ
17-04-1996,103.5,105.0,102.0,105.0,,,,400,41695.0,,104.24,EQ
18-04-1996,105.0,114.95,114.95,114.95,,,,100,11495.0,,114.95,EQ
19-04-1996,114.95,114.9,110.0,114.9,,,,200,22490.0,,112.45,EQ
22-04-1996,114.9,120.0,117.0,117.0,,,,1400,165940.0,,118.53,EQ
23-04-1996,117.0,116.0,110.0,116.0,,,,1200,136805.0,,114.0,EQ
24-04-1996,115.0,115.05,113.1,113.1,,,,600,68715.0,,114.53,EQ
25-04-1996,113.1,112.0,112.0,112.0,,,,100,11200.0,,112.0,EQ
26-04-1996,114.0,115.0,111.0,112.25,,,,400,45350.0,,113.38,EQ
29-04-1996,112.25,105.05,101.55,105.0,,,,400,41665.0,,104.16,EQ
30-04-1996,105.0,109.1,104.0,109.1,,,,400,42715.0,,106.79,EQ
01-05-1996,109.1,110.0,106.0,109.9,,,,1000,107845.0,,107.85,EQ
02-05-1996,109.9,110.0,108.0,109.95,,,,300,32795.0,,109.32,EQ
03-05-1996,109.95,110.0,109.0,110.0,,,,400,43875.0,,109.69,EQ
06-05-1996,110.0,110.0,108.0,110.0,,,,400,43800.0,,109.5,EQ
07-05-1996,110.0,111.0,110.0,110.0,,,,500,55200.0,,110.4,EQ
08-05-1996,110.0,117.0,111.0,113.25,,,,1200,137430.0,,114.53,EQ
09-05-1996,113.25,115.0,113.1,113.1,,,,800,91185.0,,113.98,EQ
10-05-1996,111.0,111.0,111.0,111.0,,,,500,55500.0,,111.0,EQ
13-05-1996,111.0,111.95,111.95,111.95,,,,100,11195.0,,111.95,EQ
14-05-1996,111.95,114.0,111.0,112.0,,,,1100,123295.0,,112.09,EQ
15-05-1996,112.0,116.75,114.0,116.65,,,,400,46125.0,,115.31,EQ
16-05-1996,116.65,117.0,115.0,116.7,,,,1100,128105.0,,116.46,EQ
17-05-1996,116.7,121.0,115.0,116.0,,,,1500,175900.0,,117.27,EQ
20-05-1996,116.0,110.0,110.0,110.0,,,,100,11000.0,,110.0,EQ
21-05-1996,110.0,113.0,107.0,111.0,,,,900,98000.0,,108.89,EQ
22-05-1996,111.0,109.95,109.95,109.95,,,,100,10995.0,,109.95,EQ
27-05-1996,109.95,105.0,100.1,100.1,,,,300,30520.0,,101.73,EQ
28-05-1996,100.1,103.0,103.0,103.0,,,,200,20600.0,,103.0,EQ
29-05-1996,105.0,106.6,105.0,106.6,,,,400,42160.0,,105.4,EQ
30-05-1996,106.6,109.5,106.5,109.05,,,,600,64805.0,,108.01,EQ
31-05-1996,109.05,110.0,109.0,110.0,,,,200,21900.0,,109.5,EQ
03-06-1996,110.0,112.0,110.0,110.0,,,,300,33200.0,,110.67,EQ
04-06-1996,110.0,112.75,110.0,110.0,,,,800,88500.0,,110.63,EQ
05-06-1996,110.95,111.0,107.0,110.0,,,,900,98815.0,,109.79,EQ
06-06-1996,113.0,113.0,111.25,111.25,,,,300,33555.0,,111.85,EQ
07-06-1996,111.1,111.5,110.05,110.05,,,,600,66490.0,,110.82,EQ
10-06-1996,110.0,110.0,104.0,106.0,,,,400,42600.0,,106.5,EQ
11-06-1996,104.5,106.0,104.0,106.0,,,,700,73685.0,,105.26,EQ
12-06-1996,108.05,108.05,106.0,106.0,,,,1000,107115.0,,107.12,EQ
13-06-1996,109.0,109.0,107.0,107.0,,,,300,32400.0,,108.0,EQ
14-06-1996,108.75,108.9,108.75,108.9,,,,200,21765.0,,108.83,EQ
17-06-1996,115.0,120.0,110.0,110.3,,,,1100,123985.0,,112.71,EQ
18-06-1996,110.5,112.0,109.0,109.65,,,,1300,143590.0,,110.45,EQ
19-06-1996,111.0,112.0,110.6,110.6,,,,900,100435.0,,111.59,EQ
20-06-1996,110.05,110.05,110.05,110.05,,,,100,11005.0,,110.05,EQ
21-06-1996,110.0,110.0,110.0,110.0,,,,100,11000.0,,110.0,EQ
24-06-1996,105.0,111.0,105.0,110.5,,,,500,54500.0,,109.0,EQ
25-06-1996,105.0,110.0,105.0,108.0,,,,1500,161600.0,,107.73,EQ
26-06-1996,107.0,108.0,107.0,108.0,,,,400,42920.0,,107.3,EQ
27-06-1996,102.0,105.5,102.0,105.5,,,,300,31300.0,,104.33,EQ
28-06-1996,105.0,105.0,105.0,105.0,,,,200,21000.0,,105.0,EQ
01-07-1996,104.95,104.95,104.1,104.1,,,,300,31395.0,,104.65,EQ
02-07-1996,102.0,102.0,102.0,102.0,,,,300,30600.0,,102.0,EQ
03-07-1996,102.1,102.1,102.0,102.0,,,,500,51035.0,,102.07,EQ
04-07-1996,95.0,95.0,95.0,95.0,,,,100,9500.0,,95.0,EQ
08-07-1996,95.0,95.05,95.0,95.0,,122.0,86.0,300,28505.0,,95.02,EQ
09-07-1996,94.0,94.0,94.0,94.0,,122.0,86.0,100,9400.0,,94.0,EQ
10-07-1996,95.1,95.1,95.0,95.0,,122.0,86.0,200,19010.0,,95.05,EQ
11-07-1996,95.0,95.0,95.0,95.0,,122.0,86.0,300,28500.0,,95.0,EQ
12-07-1996,92.55,94.0,92.5,92.5,,122.0,86.0,400,37160.0,,92.9,EQ
16-07-1996,86.25,86.25,86.25,86.25,,122.0,86.0,100,8625.0,,86.25,EQ
19-07-1996,91.5,95.0,91.5,95.0,,122.0,86.0,200,18650.0,,93.25,EQ
22-07-1996,95.0,95.0,95.0,95.0,,122.0,86.0,100,9500.0,,95.0,EQ
23-07-1996,94.75,94.75,94.75,94.75,,122.0,86.0,100,9475.0,,94.75,EQ
24-07-1996,95.0,95.0,90.0,91.0,,122.0,86.0,500,46600.0,,93.2,EQ
25-07-1996,90.0,91.0,90.0,91.0,,122.0,86.0,200,18100.0,,90.5,EQ
26-07-1996,86.0,88.0,86.0,88.0,,122.0,86.0,200,17400.0,,87.0,EQ
29-07-1996,86.75,88.0,86.75,88.0,,122.0,86.0,800,70275.0,,87.84,EQ
30-07-1996,90.0,95.0,86.5,90.0,,122.0,86.0,800,71150.0,,88.94,EQ
31-07-1996,89.9,90.0,89.9,90.0,,122.0,86.0,200,17990.0,,89.95,EQ
01-08-1996,89.0,89.0,88.0,88.0,,122.0,86.0,200,17700.0,,88.5,EQ
02-08-1996,88.0,88.0,88.0,88.0,,122.0,86.0,200,17600.0,,88.0,EQ
05-08-1996,88.0,88.5,88.0,88.5,,122.0,86.0,400,35250.0,,88.13,EQ
06-08-1996,88.0,88.0,87.0,87.05,,122.0,86.0,700,61255.0,,87.51,EQ
08-08-1996,88.5,88.5,87.0,87.0,,122.0,86.0,500,44000.0,,88.0,EQ
12-08-1996,89.0,89.0,89.0,89.0,,122.0,86.0,100,8900.0,,89.0,EQ
16-08-1996,82.7,82.7,82.7,82.7,,122.0,86.0,100,8270.0,,82.7,EQ
20-08-1996,85.0,85.0,85.0,85.0,,122.0,82.7,100,8500.0,,85.0,EQ
21-08-1996,86.75,86.75,86.75,86.75,,122.0,82.7,200,17350.0,,86.75,EQ
26-08-1996,86.0,87.0,86.0,87.0,,122.0,82.7,200,17300.0,,86.5,EQ
27-08-1996,90.0,90.0,90.0,90.0,,122.0,82.7,100,9000.0,,90.0,EQ
30-08-1996,93.0,93.0,93.0,93.0,,122.0,82.7,100,9300.0,,93.0,EQ
03-09-1996,96.0,96.0,96.0,96.0,,122.0,82.7,100,9600.0,,96.0,EQ
