DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
09-05-2006,31.0,52.5,31.0,45.4,51.25,52.5,31.0,28793453,1163361504.95,,40.4,EQ
10-05-2006,52.0,54.5,49.8,54.5,54.5,54.5,31.0,626225,33369064.85,,53.29,EQ
11-05-2006,63.4,65.4,56.5,65.4,65.4,65.4,31.0,3894802,243420341.55,,62.5,EQ
12-05-2006,67.2,77.85,60.25,73.05,71.5,77.85,31.0,11771233,850833333.15,,72.28,EQ
15-05-2006,72.35,76.1,65.75,67.3,65.75,77.85,31.0,4875668,351262794.5,,72.04,EQ
16-05-2006,67.3,69.8,60.6,63.4,63.05,77.85,31.0,2123311,134812961.25,,63.49,EQ
17-05-2006,65.0,69.75,64.0,69.75,69.75,77.85,31.0,1334080,89319302.65,,66.95,EQ
18-05-2006,69.0,70.7,62.8,62.8,62.8,77.85,31.0,1041083,67483174.45,,64.82,EQ
19-05-2006,61.0,65.45,56.55,56.55,56.55,77.85,31.0,899382,52253011.9,,58.1,EQ
22-05-2006,56.0,58.0,53.75,53.75,53.75,77.85,31.0,85827,4632851.2,,53.98,EQ
23-05-2006,51.5,56.4,51.1,54.8,55.75,77.85,31.0,326480,17448934.3,,53.45,EQ
24-05-2006,56.0,56.75,52.1,52.6,52.1,77.85,31.0,377724,20667903.4,,54.72,EQ
25-05-2006,50.1,51.3,50.0,50.45,50.0,77.85,31.0,201774,10205813.7,,50.58,EQ
26-05-2006,51.0,53.0,50.1,50.75,50.6,77.85,31.0,284198,14751410.9,,51.91,EQ
29-05-2006,51.0,52.5,49.0,49.35,49.55,77.85,31.0,170588,8626770.7,,50.57,EQ
30-05-2006,50.4,50.45,46.9,46.9,46.9,77.85,31.0,287534,13904415.85,,48.36,EQ
31-05-2006,44.55,46.5,44.55,44.55,44.55,77.85,31.0,20722,925575.7,,44.67,EQ
01-06-2006,44.5,44.5,42.35,42.35,42.35,77.85,31.0,207467,8817766.25,,42.5,EQ
02-06-2006,40.35,40.7,40.25,40.25,40.25,77.85,31.0,113441,4567375.55,,40.26,EQ
05-06-2006,38.4,39.9,38.25,38.25,38.25,77.85,31.0,109690,4241431.6,,38.67,EQ
06-06-2006,36.4,36.75,36.35,36.35,36.35,77.85,31.0,5175,188538.8,,36.43,EQ
07-06-2006,34.55,34.55,34.55,34.55,34.55,77.85,31.0,15783,545302.65,,34.55,EQ
08-06-2006,32.85,32.85,32.85,32.85,32.85,77.85,31.0,2890,94936.5,,32.85,EQ
09-06-2006,31.25,31.25,31.25,31.25,31.25,77.85,31.0,19229,600906.25,,31.25,EQ
12-06-2006,28.3,34.4,28.3,28.95,28.6,77.85,28.3,274215,8201890.55,,29.91,EQ
13-06-2006,27.55,28.9,27.5,27.5,27.5,77.85,27.5,65105,1813939.3,,27.86,EQ
14-06-2006,27.0,28.6,26.15,26.15,26.15,77.85,26.15,74809,2034040.0,,27.19,EQ
15-06-2006,26.7,26.7,24.85,25.6,25.55,77.85,24.85,214789,5454569.5,,25.4,EQ
16-06-2006,26.5,26.9,26.0,26.9,26.9,77.85,24.85,38670,1036166.2,,26.8,EQ
19-06-2006,27.9,28.1,25.9,27.0,27.0,77.85,24.85,227610,6057819.8,,26.61,EQ
20-06-2006,26.9,27.9,26.15,27.1,27.0,77.85,24.85,82185,2215788.3,,26.96,EQ
21-06-2006,27.4,28.5,27.4,28.5,28.5,77.85,24.85,76439,2158017.9,,28.23,EQ
22-06-2006,29.9,29.95,29.9,29.95,29.95,77.85,24.85,2539,76033.05,,29.95,EQ
23-06-2006,31.45,31.45,30.0,31.45,31.45,77.85,24.85,226496,7073731.8,,31.23,EQ
25-06-2006,33.0,33.05,33.0,33.05,33.05,77.85,24.85,5508,182009.4,,33.04,EQ
26-06-2006,34.7,34.7,31.4,31.55,31.4,77.85,24.85,247254,8293420.4,,33.54,EQ
27-06-2006,33.0,33.0,30.1,31.05,31.25,77.85,24.85,160168,4992008.25,,31.17,EQ
28-06-2006,31.05,31.05,29.9,30.65,30.85,77.85,24.85,56410,1722801.15,,30.54,EQ
29-06-2006,31.5,32.0,30.2,30.55,30.5,77.85,24.85,37701,1167978.65,,30.98,EQ
30-06-2006,32.0,32.1,31.05,31.6,31.7,77.85,24.85,98504,3130568.8,,31.78,EQ
03-07-2006,33.15,33.15,30.6,31.5,31.4,77.85,24.85,39601,1253583.6,,31.66,EQ
04-07-2006,31.4,31.75,30.55,30.75,30.55,77.85,24.85,38893,1209739.5,,31.1,EQ
05-07-2006,31.4,31.45,30.5,30.8,30.7,77.85,24.85,50624,1567610.45,,30.97,EQ
06-07-2006,30.5,30.95,30.0,30.15,30.05,77.85,24.85,37476,1139754.4,,30.41,EQ
07-07-2006,31.4,31.4,29.0,29.35,29.3,77.85,24.85,60553,1829407.25,,30.21,EQ
10-07-2006,30.0,30.0,28.3,28.75,28.95,77.85,24.85,39431,1146137.95,,29.07,EQ
11-07-2006,28.6,28.95,28.05,28.6,28.85,77.85,24.85,42711,1213062.95,,28.4,EQ
12-07-2006,28.1,28.85,27.2,28.6,28.7,77.85,24.85,30440,852020.55,,27.99,EQ
13-07-2006,28.7,30.05,28.35,30.0,30.05,77.85,24.85,44341,1313018.75,,29.61,EQ
14-07-2006,28.65,30.5,28.5,30.1,30.2,77.85,24.85,40090,1199835.45,,29.93,EQ
17-07-2006,31.0,31.65,29.7,30.2,30.0,77.85,24.85,173746,5385351.55,,31.0,EQ
18-07-2006,31.35,31.35,28.7,28.9,28.9,77.85,24.85,64377,1909600.15,,29.66,EQ
19-07-2006,30.0,30.0,27.9,28.2,27.9,77.85,24.85,59334,1707754.95,,28.78,EQ
20-07-2006,28.5,29.0,28.5,28.65,29.0,77.85,24.85,30038,861500.9,,28.68,EQ
21-07-2006,29.45,29.45,27.4,27.6,27.5,77.85,24.85,35076,976890.7,,27.85,EQ
24-07-2006,28.6,28.9,26.25,27.5,27.6,77.85,24.85,24453,662356.6,,27.09,EQ
25-07-2006,27.35,28.0,26.15,26.5,26.55,77.85,24.85,47587,1288335.2,,27.07,EQ
26-07-2006,27.0,27.8,26.15,26.5,26.5,77.85,24.85,62659,1680251.5,,26.82,EQ
27-07-2006,26.55,27.1,25.5,25.75,25.9,77.85,24.85,70693,1864416.2,,26.37,EQ
28-07-2006,26.4,26.6,25.85,26.25,26.45,77.85,24.85,37805,991349.3,,26.22,EQ
31-07-2006,27.5,27.6,26.9,27.6,27.6,77.85,24.85,59681,1638532.9,,27.45,EQ
01-08-2006,27.8,28.7,27.8,28.3,28.2,77.85,24.85,47790,1353364.15,,28.32,EQ
02-08-2006,28.5,28.5,27.1,27.7,27.1,77.85,24.85,43549,1220022.85,,28.01,EQ
03-08-2006,28.0,28.4,27.7,28.0,28.0,77.85,24.85,43055,1208770.7,,28.08,EQ
04-08-2006,28.15,28.25,27.6,27.95,28.0,77.85,24.85,19873,556492.35,,28.0,EQ
07-08-2006,27.1,28.35,27.05,27.6,27.6,77.85,24.85,17987,498088.5,,27.69,EQ
08-08-2006,27.35,28.6,27.3,28.4,28.25,77.85,24.85,34706,973714.2,,28.06,EQ
09-08-2006,28.1,28.95,28.0,28.75,28.6,77.85,24.85,32871,937587.25,,28.52,EQ
10-08-2006,28.6,31.65,28.25,31.65,31.65,77.85,24.85,72927,2249318.75,,30.84,EQ
11-08-2006,32.35,34.85,32.35,34.85,34.85,77.85,24.85,106194,3700256.95,,34.84,EQ
14-08-2006,36.35,36.6,34.2,35.35,35.15,77.85,24.85,179312,6395571.3,,35.67,EQ
16-08-2006,36.65,36.65,33.75,34.25,34.0,77.85,24.85,75305,2643276.95,,35.1,EQ
17-08-2006,34.1,34.7,32.55,32.65,32.55,77.85,24.85,40835,1347572.85,,33.0,EQ
18-08-2006,32.3,33.4,31.3,33.15,33.4,77.85,24.85,50634,1654781.8,,32.68,EQ
21-08-2006,33.75,33.75,32.8,33.25,33.4,77.85,24.85,31813,1057072.85,,33.23,EQ
22-08-2006,33.5,34.35,33.5,33.6,33.5,77.85,24.85,44452,1495521.25,,33.64,EQ
23-08-2006,32.55,34.0,32.15,32.35,32.45,77.85,24.85,21037,689835.9,,32.79,EQ
24-08-2006,31.65,32.1,31.5,31.75,31.7,77.85,24.85,39782,1267467.4,,31.86,EQ
25-08-2006,33.05,33.35,33.05,33.35,33.35,77.85,24.85,22875,762311.95,,33.33,EQ
28-08-2006,34.9,34.9,33.55,34.15,34.0,77.85,24.85,59116,2018112.2,,34.14,EQ
29-08-2006,32.6,34.6,32.6,33.35,33.1,77.85,24.85,29633,999727.05,,33.74,EQ
30-08-2006,33.4,33.4,32.2,32.8,32.8,77.85,24.85,23736,774528.35,,32.63,EQ
31-08-2006,31.55,32.75,31.55,32.2,32.5,77.85,24.85,25606,824897.75,,32.22,EQ
01-09-2006,31.45,32.3,31.45,31.7,31.7,77.85,24.85,33476,1063969.1,,31.78,EQ
04-09-2006,32.9,33.3,31.55,33.3,33.3,77.85,24.85,42717,1389896.6,,32.54,EQ
05-09-2006,33.3,33.4,32.25,32.9,32.9,77.85,24.85,50812,1680396.1,,33.07,EQ
06-09-2006,33.25,33.7,32.4,32.65,32.55,77.85,24.85,39003,1285729.1,,32.96,EQ
07-09-2006,32.5,34.3,32.1,34.3,34.3,77.85,24.85,88454,3000816.85,,33.93,EQ
08-09-2006,34.35,36.05,34.35,36.05,36.05,77.85,24.85,109463,3931153.4,,35.91,EQ
11-09-2006,37.85,37.85,34.35,35.0,35.35,77.85,24.85,359341,13396884.3,,37.28,EQ
12-09-2006,35.0,36.75,33.7,36.65,36.75,77.85,24.85,159599,5628569.45,,35.27,EQ
13-09-2006,38.25,38.5,37.9,38.5,38.5,77.85,24.85,41412,1592628.5,,38.46,EQ
14-09-2006,40.0,40.45,37.1,38.7,38.5,77.85,24.85,200283,7887034.35,,39.38,EQ
15-09-2006,38.4,40.65,37.5,40.65,40.65,77.85,24.85,118855,4661183.7,,39.22,EQ
18-09-2006,42.7,42.7,40.0,42.65,42.7,77.85,24.85,230797,9842740.65,,42.65,EQ
19-09-2006,43.0,43.6,40.55,40.55,40.55,77.85,24.85,117392,4847545.1,,41.29,EQ
20-09-2006,39.0,40.0,38.7,39.3,39.35,77.85,24.85,52182,2058375.6,,39.45,EQ
21-09-2006,39.0,40.4,38.65,39.65,39.7,77.85,24.85,58509,2324859.8,,39.74,EQ
22-09-2006,39.0,39.8,37.75,38.2,38.5,77.85,24.85,53442,2065032.4,,38.64,EQ
25-09-2006,38.5,40.15,38.5,40.15,40.15,77.85,24.85,20932,839347.25,,40.1,EQ
26-09-2006,41.7,42.2,41.7,42.2,42.2,77.85,24.85,37615,1587190.5,,42.2,EQ
27-09-2006,44.3,44.3,40.1,40.5,40.2,77.85,24.85,163043,6799059.7,,41.7,EQ
28-09-2006,42.5,42.5,40.5,40.85,40.9,77.85,24.85,24734,1014059.8,,41.0,EQ
29-09-2006,40.8,42.9,40.8,42.9,42.9,77.85,24.85,99429,4208460.6,,42.33,EQ
03-10-2006,43.8,45.05,42.0,45.05,45.05,77.85,24.85,103182,4605871.9,,44.64,EQ
04-10-2006,46.7,46.7,44.0,44.75,44.5,77.85,24.85,191030,8723464.9,,45.67,EQ
05-10-2006,46.45,47.0,45.85,47.0,47.0,77.85,24.85,66429,3104186.35,,46.73,EQ
06-10-2006,49.2,49.35,46.8,47.5,46.9,77.85,24.85,193772,9418878.2,,48.61,EQ
09-10-2006,49.85,49.85,46.7,47.05,47.05,77.85,24.85,52697,2509211.05,,47.62,EQ
10-10-2006,48.5,48.9,46.15,46.5,46.8,77.85,24.85,55898,2660171.85,,47.59,EQ
11-10-2006,47.15,47.15,44.55,44.9,45.0,77.85,24.85,57266,2613663.1,,45.64,EQ
12-10-2006,45.0,45.9,43.05,44.25,44.4,77.85,24.85,70966,3130227.85,,44.11,EQ
13-10-2006,44.05,45.85,43.1,43.45,43.35,77.85,24.85,57089,2536476.5,,44.43,EQ
16-10-2006,45.9,46.0,41.7,42.95,41.95,77.85,24.85,99971,4406443.8,,44.08,EQ
17-10-2006,42.5,43.8,41.3,42.25,42.5,77.85,24.85,37802,1600327.0,,42.33,EQ
18-10-2006,43.75,43.75,41.6,41.7,41.8,77.85,24.85,33191,1407591.0,,42.41,EQ
19-10-2006,42.5,42.9,41.35,41.7,41.65,77.85,24.85,34258,1441439.1,,42.08,EQ
20-10-2006,42.05,42.5,39.2,40.75,39.2,77.85,24.85,39443,1640418.75,,41.59,EQ
21-10-2006,41.0,42.1,41.0,41.7,42.0,77.85,24.85,21321,889260.8,,41.71,EQ
23-10-2006,41.2,41.3,40.15,40.75,40.95,77.85,24.85,37175,1512297.9,,40.68,EQ
26-10-2006,41.5,41.5,40.1,40.45,40.7,77.85,24.85,23084,936257.65,,40.56,EQ
27-10-2006,40.7,41.0,40.25,40.9,41.0,77.85,24.85,39382,1607778.95,,40.83,EQ
30-10-2006,40.05,41.0,39.9,40.05,39.9,77.85,24.85,28819,1164975.4,,40.42,EQ
31-10-2006,40.75,40.8,38.7,38.8,38.8,77.85,24.85,18769,736188.65,,39.22,EQ
01-11-2006,39.9,39.95,38.3,38.6,38.3,77.85,24.85,19805,772044.5,,38.98,EQ
02-11-2006,38.55,39.4,37.75,37.95,37.8,77.85,24.85,27721,1059396.3,,38.22,EQ
03-11-2006,38.4,38.4,36.5,36.85,36.6,77.85,24.85,31182,1156736.5,,37.1,EQ
06-11-2006,36.6,37.45,35.75,36.6,36.45,77.85,24.85,54323,1976143.7,,36.38,EQ
07-11-2006,35.5,37.0,35.05,35.35,35.05,77.85,24.85,35635,1282220.95,,35.98,EQ
08-11-2006,37.0,37.0,34.5,35.1,35.25,77.85,24.85,29899,1059746.4,,35.44,EQ
09-11-2006,35.5,36.9,35.5,36.1,36.6,77.85,24.85,27454,993063.35,,36.17,EQ
10-11-2006,35.9,37.1,35.9,36.85,36.55,77.85,24.85,33447,1232650.75,,36.85,EQ
13-11-2006,36.1,37.0,36.1,36.3,36.35,77.85,24.85,28577,1043945.85,,36.53,EQ
14-11-2006,36.1,36.85,34.55,35.3,35.35,77.85,24.85,36926,1316780.1,,35.66,EQ
15-11-2006,35.3,36.0,34.5,34.7,35.0,77.85,24.85,40302,1415697.9,,35.13,EQ
16-11-2006,36.0,36.0,34.8,35.4,35.5,77.85,24.85,23053,815013.7,,35.35,EQ
17-11-2006,35.7,35.7,33.0,33.8,33.65,77.85,24.85,47298,1612464.15,,34.09,EQ
20-11-2006,32.6,33.8,32.15,33.2,33.15,77.85,24.85,17137,561058.7,,32.74,EQ
21-11-2006,33.5,36.4,32.5,35.95,35.05,77.85,24.85,52238,1781013.9,,34.09,EQ
22-11-2006,35.05,36.7,34.8,35.35,35.15,77.85,24.85,20567,727065.5,,35.35,EQ
23-11-2006,35.05,36.0,35.0,35.4,35.1,77.85,24.85,22165,787913.65,,35.55,EQ
24-11-2006,35.0,35.7,34.4,34.65,34.4,77.85,24.85,18777,655304.05,,34.9,EQ
27-11-2006,34.95,34.95,33.5,33.95,33.7,77.85,24.85,16498,563797.7,,34.17,EQ
28-11-2006,34.5,34.7,33.2,33.55,33.95,77.85,24.85,19875,677152.25,,34.07,EQ
29-11-2006,35.0,36.95,33.6,36.95,36.95,77.85,24.85,44383,1612995.75,,36.34,EQ
30-11-2006,38.95,40.65,38.7,40.65,40.65,77.85,24.85,37132,1498958.4,,40.37,EQ
01-12-2006,44.0,44.5,36.7,39.5,39.8,77.85,24.85,125374,5074807.75,,40.48,EQ
04-12-2006,41.5,41.5,36.65,39.0,38.8,77.85,24.85,55904,2138503.7,,38.25,EQ
05-12-2006,39.95,42.0,38.5,39.95,40.0,77.85,24.85,104797,4221130.6,,40.28,EQ
06-12-2006,40.9,42.0,38.65,39.2,38.8,77.85,24.85,73410,2956854.75,,40.28,EQ
07-12-2006,39.3,39.5,37.2,37.85,38.0,77.85,24.85,36347,1394891.0,,38.38,EQ
