DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
27-05-2020,95.0,99.0,95.0,97.25,97.0,99.0,95.0,2463,241327.75,25,97.98,EQ
28-05-2020,99.95,100.0,95.05,95.35,99.45,100.0,95.0,308,30291.4,12,98.35,EQ
29-05-2020,81.05,98.8,81.05,96.7,98.8,100.0,81.05,2276,218363.3,51,95.94,EQ
01-06-2020,96.7,98.9,88.45,96.2,98.0,100.0,81.05,3839,352750.9,45,91.89,EQ
02-06-2020,112.9,113.2,81.2,93.6,96.95,113.2,81.05,6344,579955.3,179,91.42,EQ
03-06-2020,93.6,96.95,90.5,96.1,96.35,113.2,81.05,895,85059.55,37,95.04,EQ
04-06-2020,96.1,96.1,90.0,93.55,93.9,113.2,81.05,2326,210003.2,18,90.29,EQ
05-06-2020,90.5,94.65,90.5,93.85,94.4,113.2,81.05,611,56335.15,19,92.2,EQ
08-06-2020,90.7,93.8,90.55,90.8,92.7,113.2,81.05,538,48912.7,21,90.92,EQ
09-06-2020,92.95,92.95,90.55,92.9,92.9,113.2,81.05,167,15139.4,12,90.66,EQ
10-06-2020,90.1,92.9,88.3,91.0,91.0,113.2,81.05,525,47298.6,14,90.09,EQ
11-06-2020,86.45,92.0,86.45,89.9,89.9,113.2,81.05,296,25836.75,18,87.29,EQ
12-06-2020,85.45,91.5,85.45,91.5,91.5,113.2,81.05,342,30474.6,21,89.11,EQ
15-06-2020,87.05,91.45,87.05,91.45,91.45,113.2,81.05,130,11799.75,6,90.77,EQ
16-06-2020,95.0,95.0,87.7,90.95,90.95,113.2,81.05,111,10011.45,7,90.19,EQ
17-06-2020,86.55,90.0,86.45,86.45,89.45,113.2,81.05,1773,154025.65,15,86.87,EQ
18-06-2020,89.6,89.6,89.55,89.6,89.6,113.2,81.05,40,3583.6,4,89.59,EQ
19-06-2020,89.6,94.0,85.35,89.15,89.15,113.2,81.05,835,76852.4,29,92.04,EQ
22-06-2020,93.6,93.6,89.15,93.45,89.5,113.2,81.05,1517,141878.9,23,93.53,EQ
23-06-2020,97.95,97.95,93.45,96.0,96.0,113.2,81.05,136,13032.45,4,95.83,EQ
24-06-2020,92.15,95.9,91.2,94.95,91.2,113.2,81.05,39,3598.4,6,92.27,EQ
25-06-2020,97.0,97.0,90.3,96.0,96.0,113.2,81.05,127,11579.7,7,91.18,EQ
26-06-2020,95.9,95.9,95.9,95.9,95.9,113.2,81.05,30,2877.0,4,95.9,EQ
29-06-2020,100.0,100.0,91.25,92.5,97.5,113.2,81.05,669,62368.7,18,93.23,EQ
30-06-2020,95.9,95.9,87.9,88.1,88.1,113.2,81.05,1553,138755.7,28,89.35,EQ
