DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
31-05-2007,27.95,27.95,25.75,26.0,25.9,27.95,25.75,58321,1553971.75,,26.65,EQ
01-06-2007,26.9,26.9,25.15,26.35,26.75,27.95,25.15,13977,365815.0,,26.17,EQ
04-06-2007,27.95,27.95,25.25,25.7,25.5,27.95,25.15,7840,200865.05,,25.62,EQ
05-06-2007,25.5,25.65,25.05,25.05,25.1,27.95,25.05,3668,92911.7,,25.33,EQ
06-06-2007,25.1,25.6,24.5,24.85,24.7,27.95,24.5,3628,91217.45,,25.14,EQ
07-06-2007,23.2,25.2,23.2,24.35,24.25,27.95,23.2,3071,74947.6,,24.4,EQ
08-06-2007,24.85,26.25,24.45,25.2,25.0,27.95,23.2,7770,196180.1,,25.25,EQ
11-06-2007,24.7,25.25,24.1,24.9,24.85,27.95,23.2,3304,81685.35,,24.72,EQ
12-06-2007,24.0,24.8,23.6,24.4,24.4,27.95,23.2,2004,48309.6,,24.11,EQ
13-06-2007,23.5,24.95,23.5,23.8,24.6,27.95,23.2,3833,91522.8,,23.88,EQ
14-06-2007,23.7,24.65,23.6,24.25,24.25,27.95,23.2,2392,57549.95,,24.06,EQ
15-06-2007,24.05,24.65,23.5,23.65,23.65,27.95,23.2,1794,42902.5,,23.91,EQ
18-06-2007,23.5,23.9,23.5,23.5,23.5,27.95,23.2,1604,37764.0,,23.54,EQ
19-06-2007,23.65,24.15,23.25,23.3,23.3,27.95,23.2,2187,51345.25,,23.48,EQ
20-06-2007,23.3,23.8,23.25,23.5,23.5,27.95,23.2,1058,24758.1,,23.4,EQ
21-06-2007,23.55,24.0,23.0,24.0,24.0,27.95,23.0,1738,40709.45,,23.42,EQ
22-06-2007,24.0,24.0,23.45,23.65,23.6,27.95,23.0,1617,38359.5,,23.72,EQ
25-06-2007,23.6,23.7,22.95,23.55,23.7,27.95,22.95,2020,46901.1,,23.22,EQ
26-06-2007,21.7,25.0,21.7,24.05,23.6,27.95,21.7,2478,57877.6,,23.36,EQ
27-06-2007,23.0,23.75,23.0,23.15,23.15,27.95,21.7,1254,29177.0,,23.27,EQ
28-06-2007,24.7,24.7,23.25,24.5,24.6,27.95,21.7,1203,29014.35,,24.12,EQ
29-06-2007,23.55,27.95,23.5,26.4,26.0,27.95,21.7,34347,895698.7,,26.08,EQ
02-07-2007,27.75,29.0,25.05,26.2,26.75,29.0,21.7,10904,291365.55,,26.72,EQ
03-07-2007,26.0,26.0,23.55,24.95,24.85,29.0,21.7,4120,102566.2,,24.89,EQ
04-07-2007,25.8,26.75,24.9,25.55,25.5,29.0,21.7,11029,283497.1,,25.7,EQ
05-07-2007,24.55,25.1,24.55,24.8,24.8,29.0,21.7,1523,37824.0,,24.84,EQ
06-07-2007,25.9,27.0,25.0,25.35,25.5,29.0,21.7,2250,57421.7,,25.52,EQ
09-07-2007,25.5,25.5,24.5,25.0,25.0,29.0,21.7,2502,62742.4,,25.08,EQ
10-07-2007,24.0,25.0,24.0,24.35,24.7,29.0,21.7,3662,90112.15,,24.61,EQ
11-07-2007,23.75,25.0,23.75,24.25,24.25,29.0,21.7,1433,34937.25,,24.38,EQ
12-07-2007,25.25,26.7,24.15,24.5,24.5,29.0,21.7,6993,175462.55,,25.09,EQ
13-07-2007,24.2,24.4,23.45,23.55,23.45,29.0,21.7,9471,227078.35,,23.98,EQ
16-07-2007,23.5,23.75,22.0,22.85,23.3,29.0,21.7,5815,135418.15,,23.29,EQ
