DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
18-02-2008,210.0,210.0,151.3,154.9,151.8,210.0,151.3,5446069,880755599.05,,161.72,EQ
19-02-2008,155.25,162.9,148.1,149.15,148.5,210.0,148.1,1665399,259684116.45,,155.93,EQ
20-02-2008,147.7,152.0,143.6,149.2,149.3,210.0,143.6,572854,84299297.3,,147.16,EQ
21-02-2008,142.0,157.0,142.0,146.9,145.15,210.0,142.0,449704,68056819.2,,151.34,EQ
22-02-2008,137.0,145.0,136.2,137.7,137.1,210.0,136.2,178643,25037092.95,,140.15,EQ
25-02-2008,139.0,139.8,130.1,135.0,135.85,210.0,130.1,135504,18048663.55,,133.2,EQ
26-02-2008,137.4,144.95,108.0,136.9,140.0,210.0,108.0,305662,42614181.2,,139.42,EQ
27-02-2008,137.1,142.8,131.1,134.55,132.55,210.0,108.0,131350,18209053.7,,138.63,EQ
28-02-2008,133.4,144.95,132.05,143.0,143.15,210.0,108.0,300575,41962124.2,,139.61,EQ
29-02-2008,141.1,151.0,141.1,145.95,145.2,210.0,108.0,197009,28798431.9,,146.18,EQ
03-03-2008,141.9,142.7,133.55,134.55,133.55,210.0,108.0,32056,4432036.75,,138.26,EQ
04-03-2008,133.55,135.9,124.5,129.55,130.0,210.0,108.0,40294,5188916.55,,128.78,EQ
05-03-2008,125.1,132.0,125.1,129.15,131.0,210.0,108.0,35279,4518715.0,,128.09,EQ
07-03-2008,124.8,124.8,109.75,111.9,110.0,210.0,108.0,96747,10909209.25,,112.76,EQ
10-03-2008,103.8,108.0,95.7,106.8,108.0,210.0,95.7,40124,4162661.2,,103.74,EQ
11-03-2008,99.0,114.5,97.7,112.95,113.9,210.0,95.7,32950,3635900.95,,110.35,EQ
12-03-2008,116.5,119.9,108.3,109.85,109.0,210.0,95.7,19948,2269252.55,,113.76,EQ
13-03-2008,107.6,107.6,99.1,101.55,102.4,210.0,95.7,20231,2062138.85,,101.93,EQ
