DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
24-01-2002,10.65,16.0,10.65,16.0,16.0,0.0,0.0,2,26.65,,13.33,EQ
25-01-2002,19.2,19.2,12.8,12.8,12.8,16.0,10.65,3,45.3,,15.1,EQ
29-01-2002,10.25,10.25,10.25,10.25,10.25,19.2,10.65,6,61.5,,10.25,EQ
31-01-2002,11.0,12.3,11.0,12.3,12.3,19.2,10.25,200,2330.0,,11.65,EQ
04-02-2002,14.8,14.8,14.8,14.8,14.8,19.2,10.25,5,74.0,,14.8,EQ
05-02-2002,13.1,17.8,13.1,17.8,17.8,19.2,10.25,11,191.1,,17.37,EQ
08-02-2002,18.0,20.6,18.0,20.6,20.6,19.2,10.25,2,38.6,,19.3,EQ
11-02-2002,19.5,19.5,19.5,19.5,19.5,20.6,10.25,729,14215.5,,19.5,EQ
12-02-2002,15.65,15.65,15.65,15.65,15.65,20.6,10.25,1,15.65,,15.65,EQ
13-02-2002,15.6,16.25,15.5,16.1,16.1,20.6,10.25,6600,105255.0,,15.95,EQ
14-02-2002,17.0,17.0,17.0,17.0,17.0,20.6,10.25,200,3400.0,,17.0,EQ
15-02-2002,20.35,20.35,17.0,17.0,17.0,20.6,10.25,101,1720.35,,17.03,EQ
18-02-2002,20.4,20.4,17.0,17.0,17.0,20.6,10.25,102,1740.8,,17.07,EQ
20-02-2002,17.0,17.0,17.0,17.0,17.0,20.6,10.25,50,850.0,,17.0,EQ
21-02-2002,17.0,17.0,17.0,17.0,17.0,20.6,10.25,200,3400.0,,17.0,EQ
25-02-2002,17.0,17.0,16.3,16.3,16.3,20.6,10.25,325,5393.75,,16.6,EQ
11-03-2002,16.0,16.0,16.0,16.0,16.0,20.6,10.25,210,3360.0,,16.0,EQ
18-03-2002,15.5,15.5,15.5,15.5,15.5,20.6,10.25,100,1550.0,,15.5,EQ
19-03-2002,15.25,15.25,15.25,15.25,15.25,20.6,10.25,100,1525.0,,15.25,EQ
20-03-2002,18.0,18.0,15.3,15.3,15.3,20.6,10.25,150,2430.0,,16.2,EQ
04-04-2002,15.05,17.0,15.05,17.0,17.0,,,300,4905.0,,16.35,EQ
09-04-2002,17.0,17.0,17.0,17.0,17.0,,,300,5100.0,,17.0,EQ
10-04-2002,15.75,17.0,15.75,17.0,17.0,20.6,10.25,301,5115.75,,17.0,EQ
11-04-2002,14.0,17.0,14.0,15.55,15.55,20.6,10.25,102,1729.55,,16.96,EQ
12-04-2002,17.0,17.0,15.65,17.0,17.0,,,201,3415.65,,16.99,EQ
15-04-2002,17.5,17.5,17.5,17.5,17.5,,,100,1750.0,,17.5,EQ
16-04-2002,20.2,20.2,20.2,20.2,20.2,20.6,10.25,100,2020.0,,20.2,EQ
24-04-2002,17.1,19.0,17.0,19.0,19.0,20.6,10.25,310,5477.5,,17.67,EQ
25-04-2002,17.2,17.2,17.0,17.0,17.0,,,200,3420.0,,17.1,EQ
26-04-2002,15.05,17.0,15.05,17.0,17.0,,,75,1226.25,,16.35,EQ
03-05-2002,18.0,18.0,18.0,18.0,18.0,20.6,10.25,300,5400.0,,18.0,EQ
06-05-2002,20.0,20.8,19.0,19.0,19.0,,,201,4099.0,,20.39,EQ
07-05-2002,22.5,22.8,22.5,22.55,22.55,,,350,7910.0,,22.6,EQ
08-05-2002,23.6,27.1,23.6,27.1,27.1,,,2999,77808.6,,25.94,EQ
09-05-2002,31.95,31.95,26.0,26.5,26.5,27.1,10.25,800,21687.5,,27.11,EQ
10-05-2002,25.5,25.5,24.0,24.0,24.0,,,950,23910.0,,25.17,EQ
13-05-2002,26.9,26.9,25.0,25.2,25.2,31.95,10.25,580,14894.0,,25.68,EQ
14-05-2002,25.0,25.0,22.7,22.7,22.7,31.95,10.25,180,4220.0,,23.44,EQ
15-05-2002,22.2,24.75,22.2,24.75,24.75,31.95,10.25,103,2294.25,,22.27,EQ
16-05-2002,22.1,24.7,22.1,24.7,24.7,31.95,10.25,1279,29747.0,,23.26,EQ
20-05-2002,22.75,23.0,20.0,21.45,20.0,31.95,10.25,4,85.8,,21.45,EQ
