DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
03-01-1996,66.25,66.25,66.0,66.0,,,,700,46325.0,,66.18,EQ
04-01-1996,66.0,66.0,66.0,66.0,,,,100,6600.0,,66.0,EQ
05-01-1996,66.0,66.0,66.0,66.0,,,,200,13200.0,,66.0,EQ
08-01-1996,66.0,65.0,64.0,64.0,,,,400,25890.0,,64.73,EQ
09-01-1996,63.0,63.0,60.0,62.0,,,,1200,73500.0,,61.25,EQ
10-01-1996,62.0,62.0,60.5,61.2,,,,1500,92750.0,,61.83,EQ
11-01-1996,57.1,60.75,57.1,60.0,,,,1300,77780.0,,59.83,EQ
12-01-1996,59.9,59.9,56.5,56.5,,,,2000,115305.0,,57.65,EQ
15-01-1996,54.25,56.5,54.25,56.05,,,,700,38980.0,,55.69,EQ
16-01-1996,56.0,56.1,54.25,55.3,,,,5600,309970.0,,55.35,EQ
17-01-1996,55.0,56.0,55.0,55.6,,,,1600,88500.0,,55.31,EQ
18-01-1996,54.5,55.5,54.5,55.0,,,,3000,165150.0,,55.05,EQ
19-01-1996,55.0,55.5,53.25,54.0,,,,1700,93125.0,,54.78,EQ
22-01-1996,53.75,53.8,53.0,53.0,,,,1800,96560.0,,53.64,EQ
23-01-1996,53.0,53.0,51.5,52.75,,,,1800,94000.0,,52.22,EQ
24-01-1996,51.0,51.75,51.0,51.5,,,,1800,92525.0,,51.4,EQ
25-01-1996,50.75,51.0,49.0,49.25,,,,2500,125975.0,,50.39,EQ
29-01-1996,48.3,51.0,48.3,51.0,,,,1100,54960.0,,49.96,EQ
30-01-1996,50.9,53.0,50.9,51.0,,,,2000,103500.0,,51.75,EQ
31-01-1996,53.0,55.9,52.0,55.5,,,,800,43130.0,,53.91,EQ
01-02-1996,57.0,61.0,57.0,59.75,,,,9000,529345.0,,58.82,EQ
02-02-1996,59.75,62.0,59.75,61.75,,,,4800,293650.0,,61.18,EQ
05-02-1996,62.0,63.0,59.5,59.5,,,,6100,373760.0,,61.27,EQ
06-02-1996,59.5,59.5,55.0,56.45,,,,6100,353185.0,,57.9,EQ
07-02-1996,56.45,56.0,52.5,53.0,,,,6100,328850.0,,53.91,EQ
08-02-1996,55.0,57.0,55.0,56.95,,,,2100,117875.0,,56.13,EQ
09-02-1996,58.0,60.0,58.0,60.0,,,,5100,303000.0,,59.41,EQ
12-02-1996,60.0,62.0,59.0,61.5,,,,4000,243640.0,,60.91,EQ
13-02-1996,60.0,61.0,58.0,61.0,,,,6500,387255.0,,59.58,EQ
14-02-1996,61.0,62.0,58.1,59.7,,,,10900,644980.0,,59.17,EQ
15-02-1996,59.5,61.0,59.5,60.0,,,,4900,295500.0,,60.31,EQ
16-02-1996,60.0,60.0,58.25,59.0,,,,1300,76525.0,,58.87,EQ
19-02-1996,57.5,58.5,57.0,58.2,,,,2900,166305.0,,57.35,EQ
20-02-1996,58.2,59.0,57.25,58.0,,,,6400,372975.0,,58.28,EQ
22-02-1996,59.0,59.0,58.75,58.9,,,,800,47085.0,,58.86,EQ
23-02-1996,59.5,59.5,58.9,58.9,,,,1600,94520.0,,59.08,EQ
26-02-1996,59.0,59.5,58.0,58.5,,,,1200,70525.0,,58.77,EQ
27-02-1996,56.75,57.0,56.5,56.9,,,,1400,79490.0,,56.78,EQ
28-02-1996,57.0,57.5,57.0,57.5,,,,3500,201000.0,,57.43,EQ
29-02-1996,57.0,57.0,56.0,56.5,,,,2800,157600.0,,56.29,EQ
01-03-1996,57.0,58.0,56.0,56.0,,,,2500,141450.0,,56.58,EQ
04-03-1996,56.0,57.0,56.0,57.0,,,,8000,452900.0,,56.61,EQ
06-03-1996,57.0,57.0,56.5,56.5,,,,900,50900.0,,56.56,EQ
07-03-1996,54.6,55.0,54.6,55.0,,,,200,10960.0,,54.8,EQ
08-03-1996,55.0,55.0,54.5,54.5,,,,4800,262750.0,,54.74,EQ
11-03-1996,53.0,54.0,53.0,54.0,,,,5800,310605.0,,53.55,EQ
12-03-1996,53.5,54.0,52.25,52.25,,,,5700,304165.0,,53.36,EQ
13-03-1996,53.0,53.0,52.3,52.3,,,,4800,253245.0,,52.76,EQ
14-03-1996,53.0,54.0,52.0,52.0,,,,1900,101300.0,,53.32,EQ
15-03-1996,52.05,53.0,52.0,52.25,,,,3400,177520.0,,52.21,EQ
18-03-1996,52.0,52.0,50.0,51.0,,,,2600,132230.0,,50.86,EQ
19-03-1996,50.0,50.5,49.0,49.35,,,,5000,248020.0,,49.6,EQ
21-03-1996,52.0,52.0,50.5,51.75,,,,1400,71425.0,,51.02,EQ
22-03-1996,51.75,52.0,50.5,52.0,,,,2000,101505.0,,50.75,EQ
25-03-1996,52.0,52.0,51.0,52.0,,,,1100,56850.0,,51.68,EQ
26-03-1996,51.0,52.25,51.0,52.0,,,,1900,98475.0,,51.83,EQ
27-03-1996,53.0,54.0,53.0,53.9,,,,1300,69435.0,,53.41,EQ
28-03-1996,55.25,56.0,54.75,54.75,,,,3200,176170.0,,55.05,EQ
29-03-1996,54.75,60.0,57.0,57.75,,,,5300,305280.0,,57.6,EQ
01-04-1996,57.75,57.5,56.0,57.5,,,,2800,160195.0,,57.21,EQ
02-04-1996,57.5,59.0,57.0,57.65,,,,6900,402445.0,,58.33,EQ
03-04-1996,57.65,59.0,58.0,58.95,,,,2500,145695.0,,58.28,EQ
04-04-1996,58.0,58.0,57.5,57.75,,,,5300,306450.0,,57.82,EQ
08-04-1996,57.75,58.5,57.0,58.0,,,,4400,254875.0,,57.93,EQ
09-04-1996,58.0,59.25,57.5,59.25,,,,2800,164075.0,,58.6,EQ
10-04-1996,59.25,62.0,59.25,61.45,,,,6000,365855.0,,60.98,EQ
11-04-1996,61.45,61.25,60.1,60.75,,,,5500,335540.0,,61.01,EQ
12-04-1996,60.75,60.75,60.25,60.5,,,,1100,66500.0,,60.45,EQ
15-04-1996,61.0,61.25,60.55,61.0,,,,6100,372140.0,,61.01,EQ
16-04-1996,61.0,62.0,60.0,61.6,,,,5800,353530.0,,60.95,EQ
17-04-1996,61.6,68.1,61.25,67.9,,,,19400,1287595.0,,66.37,EQ
18-04-1996,67.9,75.0,71.0,71.0,,,,19500,1430935.0,,73.38,EQ
19-04-1996,71.0,78.0,73.6,74.05,,,,29800,2274850.0,,76.34,EQ
22-04-1996,74.05,75.0,68.0,72.15,,,,16500,1196630.0,,72.52,EQ
23-04-1996,72.15,72.0,69.0,69.65,,,,19000,1339525.0,,70.5,EQ
24-04-1996,69.65,75.5,71.0,73.7,,,,8900,656065.0,,73.72,EQ
25-04-1996,73.7,77.9,72.0,73.2,,,,6800,509530.0,,74.93,EQ
26-04-1996,73.2,75.0,72.0,73.1,,,,5300,385960.0,,72.82,EQ
29-04-1996,73.1,73.25,72.05,73.25,,,,1600,116390.0,,72.74,EQ
30-04-1996,72.1,73.0,71.75,72.35,,,,7900,570145.0,,72.17,EQ
01-05-1996,72.35,73.25,66.0,71.8,,,,10200,734505.0,,72.01,EQ
02-05-1996,71.8,72.5,72.0,72.0,,,,2100,151715.0,,72.25,EQ
03-05-1996,72.0,72.1,71.0,71.0,,,,1900,135925.0,,71.54,EQ
06-05-1996,71.0,70.5,68.0,69.0,,,,3200,222500.0,,69.53,EQ
07-05-1996,69.0,70.0,68.3,69.85,,,,5300,367750.0,,69.39,EQ
08-05-1996,69.85,76.0,70.0,75.0,,,,9300,671375.0,,72.19,EQ
09-05-1996,75.0,73.0,70.5,71.5,,,,13400,964575.0,,71.98,EQ
10-05-1996,71.5,70.75,68.0,69.0,,,,7300,503185.0,,68.93,EQ
13-05-1996,69.5,70.7,69.25,69.5,,,,6800,474750.0,,69.82,EQ
14-05-1996,69.5,70.25,69.1,69.7,,,,5900,412000.0,,69.83,EQ
15-05-1996,69.7,72.0,70.0,71.45,,,,5800,412920.0,,71.19,EQ
16-05-1996,71.45,76.8,72.0,74.75,,,,19700,1472070.0,,74.72,EQ
17-05-1996,74.75,75.5,72.25,75.35,,,,17800,1319565.0,,74.13,EQ
20-05-1996,74.0,75.0,73.25,73.85,,,,14500,1073370.0,,74.03,EQ
21-05-1996,73.75,73.75,69.75,70.2,,,,15000,1080475.0,,72.03,EQ
22-05-1996,70.2,73.25,70.0,70.2,,,,24500,1746270.0,,71.28,EQ
23-05-1996,70.2,70.55,65.1,67.85,,,,18700,1270950.0,,67.97,EQ
24-05-1996,67.85,68.5,67.25,67.9,,,,4900,332155.0,,67.79,EQ
27-05-1996,67.5,67.5,63.75,64.9,,,,10600,693005.0,,65.38,EQ
28-05-1996,63.0,64.75,62.5,62.75,,,,8800,556820.0,,63.28,EQ
29-05-1996,62.75,68.75,65.75,68.5,,,,12500,839540.0,,67.16,EQ
30-05-1996,68.5,69.0,67.0,67.35,,,,6500,441410.0,,67.91,EQ
31-05-1996,67.35,66.5,65.25,66.5,,,,2100,138445.0,,65.93,EQ
03-06-1996,66.5,72.0,66.0,66.5,,,,7900,537410.0,,68.03,EQ
04-06-1996,66.5,68.0,66.5,67.2,,,,13500,906690.0,,67.16,EQ
05-06-1996,68.0,68.45,67.0,67.25,,,,4300,289550.0,,67.34,EQ
06-06-1996,67.75,68.0,67.5,67.85,,,,3400,230300.0,,67.74,EQ
07-06-1996,67.75,67.75,67.05,67.05,,,,1700,114585.0,,67.4,EQ
10-06-1996,66.25,67.25,66.25,66.6,,,,2100,139850.0,,66.6,EQ
11-06-1996,67.0,67.5,65.85,67.3,,,,5100,339690.0,,66.61,EQ
12-06-1996,67.5,68.7,67.5,68.0,,,,3700,251555.0,,67.99,EQ
13-06-1996,69.9,71.75,69.25,69.25,,,,5100,356440.0,,69.89,EQ
14-06-1996,71.0,74.5,70.25,72.8,,,,9900,708725.0,,71.59,EQ
17-06-1996,74.45,74.5,72.0,72.1,,,,7200,525465.0,,72.98,EQ
18-06-1996,71.75,72.0,71.0,71.55,,,,4200,299750.0,,71.37,EQ
19-06-1996,72.0,72.5,71.0,71.05,,,,3100,222640.0,,71.82,EQ
20-06-1996,70.25,71.25,70.0,71.2,,,,2700,190200.0,,70.44,EQ
21-06-1996,68.05,70.25,68.05,70.25,,,,2800,195410.0,,69.79,EQ
24-06-1996,69.75,69.75,67.3,68.0,,,,2700,184710.0,,68.41,EQ
25-06-1996,68.25,70.0,66.5,68.0,,,,3600,247180.0,,68.66,EQ
26-06-1996,68.5,72.0,67.65,71.2,,,,5100,356760.0,,69.95,EQ
27-06-1996,68.0,72.0,68.0,72.0,,,,8100,575160.0,,71.01,EQ
28-06-1996,72.0,72.4,71.0,71.5,,,,4600,330680.0,,71.89,EQ
01-07-1996,71.25,72.4,70.5,72.4,,,,4900,351785.0,,71.79,EQ
02-07-1996,71.5,72.15,70.75,70.85,,,,7000,498715.0,,71.25,EQ
03-07-1996,70.25,71.75,70.15,71.75,,,,5900,419455.0,,71.09,EQ
04-07-1996,70.0,75.0,70.0,74.7,,,,9700,705790.0,,72.76,EQ
05-07-1996,74.5,76.75,74.5,75.9,,,,11100,841340.0,,75.8,EQ
08-07-1996,75.25,76.0,72.1,74.2,,100.0,48.3,9900,738865.0,,74.63,EQ
09-07-1996,74.95,74.95,73.0,73.3,,100.0,48.3,12200,899145.0,,73.7,EQ
10-07-1996,71.5,72.5,71.0,72.5,,100.0,48.3,4600,330600.0,,71.87,EQ
11-07-1996,72.5,73.0,72.5,72.6,,100.0,48.3,2000,145745.0,,72.87,EQ
12-07-1996,71.5,71.5,67.0,69.75,,100.0,48.3,12600,898245.0,,71.29,EQ
15-07-1996,72.0,72.0,70.0,70.0,,100.0,48.3,3100,218740.0,,70.56,EQ
16-07-1996,69.55,70.05,63.05,66.75,,100.0,48.3,10900,745585.0,,68.4,EQ
17-07-1996,68.0,69.0,67.5,68.2,,100.0,48.3,2400,163615.0,,68.17,EQ
