DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
16-09-2024,240.0,270.89,231.96,259.81,257.65,270.89,231.96,24813036,6382796031.04,263072,257.24,EQ
17-09-2024,260.0,270.0,245.0,245.74,245.15,270.89,231.96,5707626,1461933155.42,90212,256.14,EQ
18-09-2024,245.95,253.9,236.67,237.56,237.8,270.89,231.96,2246509,548318090.46,45335,244.08,EQ
19-09-2024,240.0,242.0,215.06,223.37,223.3,270.89,215.06,1976295,444359762.38,53378,224.84,EQ
20-09-2024,226.22,227.92,216.36,220.59,219.55,270.89,215.06,1025555,227797681.4,18643,222.12,EQ
23-09-2024,224.99,233.96,222.25,229.0,228.8,270.89,215.06,1429673,327449194.56,27966,229.04,EQ
24-09-2024,228.94,236.0,224.46,228.07,229.5,270.89,215.06,1297086,299438990.96,26186,230.86,EQ
25-09-2024,230.0,230.0,220.49,221.74,221.56,270.89,215.06,679917,152254484.04,16859,223.93,EQ
26-09-2024,222.0,228.0,221.58,223.75,223.5,270.89,215.06,649359,145710890.9,15686,224.39,EQ
27-09-2024,224.8,228.95,220.5,221.98,222.68,270.89,215.06,612323,136885771.68,12147,223.55,EQ
30-09-2024,213.1,214.9,207.52,210.07,209.0,270.89,207.52,1356227,284989153.17,41738,210.13,EQ
01-10-2024,209.3,214.89,209.3,212.37,211.26,270.89,207.52,444045,94146944.4,8460,212.02,EQ
03-10-2024,206.3,212.45,204.1,206.62,205.05,270.89,204.1,557069,115077672.86,17502,206.58,EQ
04-10-2024,206.62,208.79,195.11,197.89,197.5,270.89,195.11,767275,155083246.0,24522,202.12,EQ
07-10-2024,198.99,200.98,186.32,187.69,187.8,270.89,186.32,551092,105473423.32,20330,191.39,EQ
08-10-2024,184.0,194.39,183.85,192.9,192.9,270.89,183.85,335307,63725823.69,14794,190.05,EQ
09-10-2024,195.0,201.69,194.53,196.09,196.33,270.89,183.85,311405,61449363.87,10182,197.33,EQ
10-10-2024,197.0,201.9,197.0,200.18,200.5,270.89,183.85,220521,44085149.27,6532,199.91,EQ
11-10-2024,201.8,201.8,197.0,197.67,197.55,270.89,183.85,173453,34504566.19,6471,198.93,EQ
14-10-2024,200.0,200.55,193.5,193.98,194.42,270.89,183.85,200698,39492894.09,6272,196.78,EQ
15-10-2024,196.25,196.25,192.56,193.33,193.5,270.89,183.85,164066,31778167.01,5089,193.69,EQ
16-10-2024,193.31,199.49,192.54,194.3,194.4,270.89,183.85,236551,46312446.05,7043,195.78,EQ
17-10-2024,195.25,195.25,191.1,191.86,192.5,270.89,183.85,134131,25850691.57,4794,192.73,EQ
18-10-2024,192.4,192.4,188.01,188.77,188.8,270.89,183.85,216412,40924945.8,11932,189.11,EQ
21-10-2024,191.6,191.6,178.51,179.79,179.22,270.89,178.51,427136,77874269.69,26001,182.32,EQ
22-10-2024,180.0,180.25,171.1,171.86,172.6,270.89,171.1,305476,53311693.71,11621,174.52,EQ
23-10-2024,173.0,176.65,167.02,175.05,174.88,270.89,167.02,295515,51124859.27,18335,173.0,EQ
