DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
16-08-2021,1005.55,1099.7,960.0,987.0,978.0,1099.7,960.0,8308172,8531610083.7,314229,1026.89,EQ
17-08-2021,986.15,1023.0,938.35,972.85,972.5,1099.7,938.35,1818317,1774132782.9,74933,975.7,EQ
18-08-2021,976.0,993.0,963.9,973.2,969.45,1099.7,938.35,731844,715818943.0,30506,978.1,EQ
20-08-2021,954.0,967.75,909.05,926.9,912.5,1099.7,909.05,679327,638687851.1,41738,940.18,EQ
23-08-2021,925.0,933.95,862.35,884.75,888.5,1099.7,862.35,768274,678069276.7,35561,882.59,EQ
24-08-2021,887.0,904.75,872.1,890.6,900.0,1099.7,862.35,257856,229932828.45,14721,891.71,EQ
25-08-2021,899.85,917.95,895.95,913.05,917.95,1099.7,862.35,205210,186820985.95,8665,910.39,EQ
26-08-2021,922.9,922.9,901.0,906.9,904.3,1099.7,862.35,116326,105828812.25,9420,909.76,EQ
27-08-2021,906.0,919.25,898.0,914.75,908.5,1099.7,862.35,108468,98686454.4,4875,909.82,EQ
30-08-2021,914.75,958.65,908.3,950.3,952.55,1099.7,862.35,262075,246649792.55,15596,941.14,EQ
31-08-2021,954.9,967.0,933.0,952.4,948.0,1099.7,862.35,139649,132671459.85,8520,950.04,EQ
01-09-2021,949.0,960.0,930.0,932.5,931.0,1099.7,862.35,68848,64749459.0,5885,940.47,EQ
02-09-2021,928.0,960.0,925.05,932.5,930.05,1099.7,862.35,244159,229389785.35,13477,939.51,EQ
03-09-2021,933.0,942.45,918.65,926.0,931.0,1099.7,862.35,84121,77951533.8,7487,926.66,EQ
06-09-2021,929.9,937.0,915.3,919.4,917.0,1099.7,862.35,113723,104939192.9,7128,922.76,EQ
07-09-2021,927.15,932.0,915.1,916.85,915.1,1099.7,862.35,51084,47141518.6,3987,922.82,EQ
08-09-2021,919.1,923.9,904.0,905.85,905.8,1099.7,862.35,43261,39361255.3,3887,909.86,EQ
09-09-2021,906.0,914.8,893.0,896.65,896.9,1099.7,862.35,75452,67883766.15,5506,899.69,EQ
13-09-2021,895.5,895.5,858.05,868.15,870.0,1099.7,858.05,369162,319764007.6,24624,866.19,EQ
14-09-2021,885.0,894.0,860.25,864.15,865.0,1099.7,858.05,160652,140549460.1,10094,874.87,EQ
15-09-2021,866.0,875.0,858.5,859.65,860.6,1099.7,858.05,111257,96260654.6,8563,865.21,EQ
16-09-2021,865.0,870.05,851.25,855.2,855.0,1099.7,851.25,90191,77588271.3,7562,860.27,EQ
17-09-2021,857.0,862.7,837.15,840.95,840.0,1099.7,837.15,266582,225202789.85,21464,844.78,EQ
20-09-2021,833.0,838.6,788.85,799.9,800.0,1099.7,788.85,290595,235762856.35,17978,811.31,EQ
21-09-2021,806.0,806.0,767.85,785.4,785.2,1099.7,767.85,111177,87180779.2,7308,784.16,EQ
22-09-2021,791.0,820.9,775.05,793.2,796.0,1099.7,767.85,285428,228850603.4,12369,801.78,EQ
23-09-2021,805.0,813.3,797.0,801.0,800.9,1099.7,767.85,84166,67541985.65,3953,802.49,EQ
24-09-2021,809.0,809.0,788.6,795.05,796.0,1099.7,767.85,80339,63830444.8,5130,794.51,EQ
27-09-2021,797.0,800.0,780.0,785.1,785.9,1099.7,767.85,109019,85770621.8,6241,786.75,EQ
28-09-2021,785.1,793.75,766.05,778.7,782.0,1099.7,766.05,81169,62987892.3,5437,776.01,EQ
29-09-2021,767.0,785.0,767.0,773.2,774.0,1099.7,766.05,101408,78688982.2,5314,775.96,EQ
30-09-2021,785.0,785.0,765.0,771.1,769.9,1099.7,765.0,145740,112576411.85,5195,772.45,EQ
01-10-2021,771.0,771.0,759.5,761.55,762.9,1099.7,759.5,67084,51238325.85,4955,763.79,EQ
04-10-2021,774.0,776.0,750.0,755.35,755.8,1099.7,750.0,134650,102324382.65,10880,759.93,EQ
05-10-2021,756.5,793.0,756.5,758.9,758.7,1099.7,750.0,313486,240761671.1,21085,768.01,EQ
06-10-2021,767.0,768.95,748.65,750.45,752.45,1099.7,748.65,143294,108395417.45,11859,756.45,EQ
07-10-2021,756.9,795.0,755.05,786.9,794.0,1099.7,748.65,270292,208672424.2,13481,772.03,EQ
08-10-2021,797.9,823.0,792.05,815.7,815.95,1099.7,748.65,310007,252348819.25,13001,814.01,EQ
11-10-2021,824.7,836.8,787.2,801.3,800.0,1099.7,748.65,169368,137145324.0,8758,809.75,EQ
12-10-2021,749.95,762.05,651.2,747.85,760.0,1099.7,651.2,783258,582537458.0,46292,743.74,EQ
13-10-2021,762.25,776.6,755.0,759.85,760.45,1099.7,651.2,160959,122884627.9,6682,763.45,EQ
14-10-2021,765.0,765.0,746.45,753.5,751.0,1099.7,651.2,137849,103959070.6,9740,754.15,EQ
18-10-2021,752.0,764.65,729.55,731.65,736.0,1099.7,651.2,386388,287716305.65,20221,744.63,EQ
19-10-2021,735.0,743.5,727.25,729.95,730.6,1099.7,651.2,80418,58817002.2,4688,731.39,EQ
20-10-2021,732.0,732.0,711.0,714.9,712.1,1099.7,651.2,136374,98044602.65,8640,718.94,EQ
21-10-2021,716.0,723.95,691.2,695.1,695.2,1099.7,651.2,143151,99965915.85,13310,698.32,EQ
22-10-2021,702.9,719.85,690.0,700.3,697.0,1099.7,651.2,77185,54181817.45,7671,701.97,EQ
25-10-2021,715.3,719.0,654.4,669.55,671.6,1099.7,651.2,78108,52420654.5,7556,671.13,EQ
26-10-2021,670.0,684.4,659.55,662.35,662.2,1099.7,651.2,69397,46376237.3,5317,668.27,EQ
27-10-2021,665.0,672.85,650.0,651.85,650.55,1099.7,650.0,115121,75594242.55,7873,656.65,EQ
28-10-2021,651.0,654.4,637.05,640.0,640.0,1099.7,637.05,64016,41057128.0,3983,641.36,EQ
29-10-2021,634.5,700.0,626.0,671.15,664.05,1099.7,626.0,192199,127950985.5,16516,665.72,EQ
01-11-2021,671.15,677.95,656.2,660.6,658.0,1099.7,626.0,28310,18874417.05,2627,666.7,EQ
02-11-2021,660.0,689.4,660.0,669.0,665.0,1099.7,626.0,88567,59802558.35,7016,675.22,EQ
03-11-2021,669.0,674.35,662.15,671.95,672.0,1099.7,626.0,30170,20159477.4,3590,668.2,EQ
04-11-2021,682.7,688.85,666.0,672.25,673.4,1099.7,626.0,14296,9617795.45,1134,672.76,EQ
08-11-2021,673.5,687.4,666.3,684.7,684.95,1099.7,626.0,34956,23834061.55,2586,681.83,EQ
09-11-2021,684.9,697.0,679.35,689.1,687.0,1099.7,626.0,72886,50100471.75,13114,687.38,EQ
10-11-2021,687.0,703.0,680.0,700.95,700.0,1099.7,626.0,138559,94808084.6,5320,684.24,EQ
11-11-2021,704.1,711.1,695.0,696.4,695.0,1099.7,626.0,24105,16924988.1,2931,702.14,EQ
12-11-2021,700.0,702.85,683.45,689.45,690.0,1099.7,626.0,28616,19750918.1,2832,690.21,EQ
15-11-2021,690.0,691.7,668.0,670.1,669.0,1099.7,626.0,22944,15528944.6,2279,676.82,EQ
16-11-2021,670.1,674.95,657.9,658.7,659.5,1099.7,626.0,23903,15812514.75,2246,661.53,EQ
17-11-2021,659.5,672.1,651.9,660.35,663.7,1099.7,626.0,73904,48641096.65,2987,658.17,EQ
18-11-2021,672.0,672.0,648.05,649.4,650.0,1099.7,626.0,146902,96600421.25,3449,657.58,EQ
22-11-2021,670.0,670.0,628.0,629.55,630.0,1099.7,626.0,48066,30485404.95,5794,634.24,EQ
23-11-2021,631.0,658.1,629.05,651.7,649.0,1099.7,626.0,43265,27805006.5,5893,642.67,EQ
24-11-2021,648.0,708.35,648.0,693.95,694.7,1099.7,626.0,151409,104248120.9,11668,688.52,EQ
25-11-2021,711.9,747.95,703.05,727.75,729.55,1099.7,626.0,230709,168186125.3,14439,729.0,EQ
26-11-2021,715.0,745.9,700.0,708.55,711.3,1099.7,626.0,155525,112165173.65,9010,721.2,EQ
29-11-2021,743.0,743.0,690.0,705.7,700.0,1099.7,626.0,145056,103574347.25,8400,714.03,EQ
