DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
21-03-2024,785.0,793.8,703.05,712.85,713.0,793.8,703.05,7473769,5621400491.55,140414,752.15,EQ
22-03-2024,723.0,733.75,701.9,710.75,708.0,793.8,701.9,930366,667354080.9,22260,717.3,EQ
26-03-2024,709.4,720.0,693.0,706.1,704.0,793.8,693.0,467535,332088392.85,18167,710.3,EQ
27-03-2024,708.0,716.0,687.6,704.15,705.0,793.8,687.6,612871,431428410.15,23264,703.95,EQ
28-03-2024,715.0,767.95,706.35,758.45,754.0,793.8,687.6,949750,705072724.55,31635,742.38,EQ
01-04-2024,770.05,832.0,770.05,799.15,794.15,832.0,687.6,1042287,834712755.6,32845,800.85,EQ
02-04-2024,814.65,827.0,796.0,816.45,822.5,832.0,687.6,788260,641122560.9,19789,813.34,EQ
03-04-2024,807.75,838.0,806.1,834.8,838.0,838.0,687.6,497622,412441035.4,15865,828.82,EQ
04-04-2024,839.7,852.0,817.75,845.75,843.0,852.0,687.6,484249,404819447.05,16657,835.97,EQ
05-04-2024,842.7,867.05,831.0,857.9,866.5,867.05,687.6,382718,324822959.8,11388,848.73,EQ
08-04-2024,865.0,905.95,847.0,872.65,870.0,905.95,687.6,1069286,931271569.0,30501,870.93,EQ
09-04-2024,879.95,888.65,854.1,878.6,873.95,905.95,687.6,518850,453473398.75,19124,874.0,EQ
10-04-2024,879.9,881.4,839.0,851.65,847.0,905.95,687.6,926958,797184186.3,23456,860.0,EQ
12-04-2024,860.0,1021.95,860.0,1016.3,1021.95,1021.95,687.6,4105760,3956236667.9,76789,963.58,EQ
15-04-2024,984.9,997.55,922.0,932.7,937.0,1021.95,687.6,1489637,1436344220.3,42917,964.22,EQ
16-04-2024,927.05,993.0,920.2,973.0,960.0,1021.95,687.6,1508408,1444117952.45,34968,957.38,EQ
18-04-2024,973.0,975.0,825.0,825.8,826.5,1021.95,687.6,2694070,2364046752.8,51392,877.5,EQ
