DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
12-03-2024,56.5,56.5,51.75,51.75,51.75,56.5,51.75,71289,3714075.05,163,52.1,BE
13-03-2024,49.25,54.0,49.2,49.2,49.2,56.5,49.2,32595,1650493.25,119,50.64,BE
14-03-2024,46.8,51.65,46.8,50.1,51.65,56.5,46.8,60567,2983461.0,246,49.26,BE
15-03-2024,52.25,52.25,47.6,51.05,52.2,56.5,46.8,164040,8033851.4,187,48.97,BE
18-03-2024,52.7,52.7,48.5,50.3,50.0,56.5,46.8,48239,2411777.85,129,50.0,BE
19-03-2024,50.0,50.0,47.85,49.75,49.9,56.5,46.8,112893,5539829.9,131,49.07,BE
20-03-2024,49.9,50.0,47.85,49.45,49.7,56.5,46.8,10547,514595.95,65,48.79,BE
21-03-2024,49.45,51.0,49.0,49.9,50.3,56.5,46.8,92201,4604787.45,87,49.94,BE
22-03-2024,50.85,51.4,48.25,50.6,51.4,56.5,46.8,43810,2189103.95,154,49.97,BE
26-03-2024,48.25,49.95,48.1,48.15,49.5,56.5,46.8,53225,2588034.8,117,48.62,BE
27-03-2024,46.7,50.55,46.7,49.3,49.3,56.5,46.7,61389,3040399.4,124,49.53,BE
28-03-2024,50.0,51.45,49.3,50.0,50.95,56.5,46.7,38164,1914442.0,62,50.16,BE
01-04-2024,51.45,52.5,49.0,50.0,50.3,56.5,46.7,40237,2020921.4,103,50.23,BE
02-04-2024,50.0,52.4,48.15,51.85,52.1,56.5,46.7,39098,2011085.3,95,51.44,BE
03-04-2024,51.75,52.8,49.6,49.75,50.0,56.5,46.7,164282,8278170.65,245,50.39,BE
04-04-2024,51.0,51.9,50.0,50.85,50.65,56.5,46.7,48462,2479806.85,123,51.17,BE
05-04-2024,50.3,52.5,49.95,50.0,49.95,56.5,46.7,124248,6297909.65,133,50.69,BE
08-04-2024,51.3,52.5,49.1,52.1,52.5,56.5,46.7,70691,3652120.4,179,51.66,BE
09-04-2024,53.7,54.7,52.5,54.7,54.7,56.5,46.7,402416,21905913.8,832,54.44,BE
10-04-2024,54.5,57.0,52.0,53.9,54.0,57.0,46.7,144669,7870324.4,359,54.4,BE
12-04-2024,53.9,55.4,51.2,53.05,53.7,57.0,46.7,118589,6373933.95,323,53.75,BE
15-04-2024,51.0,52.85,50.4,52.05,51.0,57.0,46.7,122492,6306376.55,190,51.48,BE
16-04-2024,49.8,52.5,49.8,51.25,52.5,57.0,46.7,56110,2869540.35,162,51.14,BE
18-04-2024,53.75,53.75,50.0,51.25,52.7,57.0,46.7,66657,3444116.6,247,51.67,BE
19-04-2024,49.0,50.95,49.0,50.4,50.65,57.0,46.7,59918,2992019.35,160,49.94,BE
22-04-2024,51.5,52.5,50.7,51.75,52.2,57.0,46.7,29889,1536562.6,145,51.41,BE
23-04-2024,52.9,54.25,50.0,51.25,51.1,57.0,46.7,81594,4233074.2,364,51.88,EQ
24-04-2024,51.5,52.0,50.55,50.8,51.2,57.0,46.7,52480,2696555.0,314,51.38,EQ
25-04-2024,49.5,51.45,48.8,49.4,49.5,57.0,46.7,118410,5883009.15,464,49.68,EQ
26-04-2024,50.8,50.8,48.5,49.75,49.55,57.0,46.7,69963,3463622.7,347,49.51,EQ
29-04-2024,50.8,51.5,49.45,49.55,49.5,57.0,46.7,82488,4129234.95,359,50.06,EQ
30-04-2024,48.8,50.25,47.25,49.1,48.65,57.0,46.7,134390,6567163.25,519,48.87,EQ
