DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
21-09-2017,140.2,147.2,136.0,147.2,147.2,147.2,136.0,817526,118300902.75,2440,144.71,BE
22-09-2017,154.55,154.55,154.55,154.55,154.55,154.55,136.0,284848,44023258.4,585,154.55,BE
25-09-2017,154.8,156.0,146.85,146.85,146.85,156.0,136.0,196515,29398194.25,662,149.6,BE
26-09-2017,139.55,139.55,139.55,139.55,139.55,156.0,136.0,31019,4328701.45,188,139.55,BE
27-09-2017,132.6,132.6,132.6,132.6,132.6,156.0,132.6,27352,3626875.2,178,132.6,BE
28-09-2017,126.0,134.8,126.0,132.35,132.0,156.0,126.0,351393,45653397.95,3020,129.92,BE
29-09-2017,129.9,132.8,126.05,129.4,129.05,156.0,126.0,119307,15535244.55,1043,130.21,BE
03-10-2017,129.1,132.5,127.1,128.1,127.1,156.0,126.0,73950,9568162.9,580,129.39,BE
04-10-2017,128.05,134.5,128.05,134.5,134.5,156.0,126.0,146694,19355081.6,677,131.94,BE
05-10-2017,138.9,141.2,135.5,141.2,141.2,156.0,126.0,44550,6243131.15,233,140.14,BE
06-10-2017,148.25,148.25,148.25,148.25,148.25,156.0,126.0,23675,3509818.75,118,148.25,BE
09-10-2017,155.65,155.65,148.1,149.85,149.1,156.0,126.0,375021,57659720.3,1480,153.75,BE
10-10-2017,149.8,152.95,142.4,150.55,150.0,156.0,126.0,112799,16574755.75,748,146.94,BE
11-10-2017,150.0,152.0,143.05,144.85,145.0,156.0,126.0,89349,13137412.45,535,147.03,BE
12-10-2017,143.9,145.0,137.7,138.9,139.0,156.0,126.0,130163,18300086.35,669,140.59,BE
13-10-2017,138.95,145.8,135.1,145.65,145.0,156.0,126.0,123157,17553650.85,522,142.53,BE
16-10-2017,146.1,150.0,145.15,147.15,146.0,156.0,126.0,126457,18785353.8,596,148.55,BE
