DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
23-07-2019,48.05,48.05,48.05,48.05,48.05,48.05,48.05,100,4805.0,2,48.05,EQ
24-07-2019,50.45,50.45,45.65,46.95,45.65,50.45,45.65,3879,193037.8,19,49.76,EQ
25-07-2019,44.65,49.1,44.65,49.1,49.1,50.45,44.65,494,23644.75,10,47.86,EQ
26-07-2019,51.5,51.5,49.75,51.4,51.4,51.5,44.65,4328,218077.15,26,50.39,EQ
29-07-2019,53.95,53.95,48.85,52.35,52.0,53.95,44.65,4194,218500.6,42,52.1,EQ
30-07-2019,52.95,53.0,52.75,52.95,52.95,53.95,44.65,4561,241082.15,10,52.86,EQ
31-07-2019,52.95,53.5,52.95,53.25,53.4,53.95,44.65,624,33233.0,7,53.26,EQ
01-08-2019,53.5,53.5,53.5,53.5,53.5,53.95,44.65,4503,240910.5,2,53.5,EQ
02-08-2019,55.65,55.65,50.85,52.35,54.85,55.65,44.65,101,5339.05,10,52.86,EQ
05-08-2019,51.0,51.0,51.0,51.0,51.0,55.65,44.65,200,10200.0,1,51.0,EQ
06-08-2019,48.6,51.1,48.6,50.95,50.95,55.65,44.65,355,17625.5,19,49.65,EQ
07-08-2019,54.45,54.45,50.55,50.55,50.55,55.65,44.65,10,525.0,2,52.5,EQ
08-08-2019,47.6,49.9,45.5,49.4,49.9,55.65,44.65,610,29089.25,15,47.69,EQ
09-08-2019,45.05,47.45,44.5,47.45,47.45,55.65,44.5,1554,69361.25,28,44.63,EQ
14-08-2019,42.75,49.95,42.75,46.1,48.0,55.65,42.75,431,20204.65,20,46.88,EQ
16-08-2019,48.0,48.0,41.5,42.7,47.0,55.65,41.5,855,37024.75,12,43.3,EQ
19-08-2019,44.95,46.85,44.95,46.85,46.85,55.65,41.5,750,33852.15,6,45.14,EQ
20-08-2019,46.85,49.95,42.2,44.55,47.0,55.65,41.5,1026,46857.3,64,45.67,EQ
21-08-2019,40.1,45.0,40.1,44.95,44.95,55.65,40.1,1605,65131.5,10,40.58,EQ
22-08-2019,43.95,44.0,40.5,42.45,44.0,55.65,40.1,543,23397.25,11,43.09,EQ
23-08-2019,43.5,43.5,43.5,43.5,43.5,43.5,43.5,25,1087.5,1,43.5,BE
26-08-2019,43.95,45.6,43.8,45.6,45.6,45.6,43.5,846,37635.75,14,44.49,BE
27-08-2019,47.7,47.7,47.7,47.7,47.7,47.7,43.5,100,4770.0,1,47.7,BE
28-08-2019,49.7,49.9,49.7,49.9,49.9,49.9,43.5,3050,151595.0,3,49.7,BE
29-08-2019,52.35,52.35,52.35,52.35,52.35,52.35,43.5,500,26175.0,3,52.35,BE
30-08-2019,53.25,54.95,53.25,54.95,54.95,54.95,43.5,460,25107.0,5,54.58,BE
03-09-2019,57.65,57.65,55.0,57.4,57.5,57.65,43.5,3145,177814.15,19,56.54,BE
04-09-2019,60.0,60.25,59.0,60.25,60.25,60.25,43.5,8955,536472.4,34,59.91,BE
