DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
24-03-2011,240.0,278.9,240.0,249.55,252.35,278.9,240.0,23297573,6038160741.35,,259.18,EQ
25-03-2011,228.6,257.4,228.6,249.85,251.9,278.9,228.6,6981895,1709948824.75,,244.91,EQ
28-03-2011,248.3,264.6,243.4,252.55,252.5,278.9,228.6,4448178,1139737844.45,,256.23,EQ
29-03-2011,253.0,254.65,240.2,245.65,240.2,278.9,228.6,1374953,342792287.5,,249.31,EQ
30-03-2011,246.5,252.5,242.0,245.75,245.0,278.9,228.6,1200774,297194479.05,,247.5,EQ
31-03-2011,247.0,251.85,243.4,245.35,245.15,278.9,228.6,473717,116912251.25,,246.8,EQ
01-04-2011,246.5,249.95,245.0,246.3,246.3,278.9,228.6,304447,75115085.45,,246.73,EQ
04-04-2011,247.4,294.3,244.55,289.85,293.95,294.3,228.6,8280306,2296962403.65,,277.4,EQ
05-04-2011,294.4,299.5,278.4,284.85,283.9,299.5,228.6,4091004,1179023202.95,,288.2,EQ
06-04-2011,284.85,286.8,274.2,276.8,277.95,299.5,228.6,1133174,316591345.8,,279.38,EQ
07-04-2011,250.0,302.2,250.0,292.05,290.75,302.2,228.6,4340402,1267588514.1,,292.04,EQ
08-04-2011,260.0,293.3,260.0,280.85,280.1,302.2,228.6,737810,210169417.45,,284.86,EQ
11-04-2011,280.0,285.9,267.8,276.15,279.0,302.2,228.6,978372,268994260.95,,274.94,EQ
13-04-2011,274.75,285.85,273.35,281.05,277.5,302.2,228.6,752996,211668938.9,,281.1,EQ
15-04-2011,281.85,292.0,279.0,287.25,287.9,302.2,228.6,966259,277195748.5,,286.88,EQ
18-04-2011,288.9,318.2,288.1,306.1,306.8,318.2,228.6,3486424,1062519338.8,,304.76,EQ
19-04-2011,300.7,317.0,300.7,309.85,309.9,318.2,228.6,2168508,676146328.05,,311.8,EQ
