DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
12-08-2011,53.85,53.85,49.3,50.05,49.95,53.85,49.3,98188151,4999642602.7,289733,50.92,EQ
16-08-2011,50.9,51.3,49.0,49.3,49.2,53.85,49.0,12435359,622864377.95,52479,50.09,EQ
17-08-2011,49.65,49.8,48.0,48.15,48.1,53.85,48.0,4804559,233869896.7,25250,48.68,EQ
18-08-2011,48.15,48.5,46.15,46.3,46.2,53.85,46.15,4346287,204148154.7,25335,46.97,EQ
19-08-2011,46.05,46.05,44.65,44.9,44.95,53.85,44.65,4196723,188971004.4,26094,45.03,EQ
22-08-2011,45.0,45.4,44.4,44.7,44.6,53.85,44.4,3144678,140757551.65,16056,44.76,EQ
23-08-2011,45.05,46.95,44.65,46.45,46.2,53.85,44.4,4208711,195079320.2,23616,46.35,EQ
24-08-2011,46.4,48.2,46.0,47.25,47.3,53.85,44.4,3142285,149346155.5,20242,47.53,EQ
25-08-2011,47.7,48.2,47.0,47.45,47.55,53.85,44.4,1740800,82832845.35,13253,47.58,EQ
26-08-2011,47.7,47.9,45.8,46.15,46.35,53.85,44.4,1769056,82722244.4,12774,46.76,EQ
29-08-2011,47.0,53.05,46.75,50.8,51.8,53.85,44.4,6213609,311187313.9,29166,50.08,EQ
30-08-2011,52.5,52.8,49.25,49.8,49.8,53.85,44.4,10696584,546395886.3,52388,51.08,EQ
02-09-2011,50.05,51.3,48.6,50.55,50.45,53.85,44.4,3811454,191896747.2,25438,50.35,EQ
05-09-2011,50.0,52.0,49.55,51.5,51.4,53.85,44.4,5493057,281532113.65,30282,51.25,EQ
06-09-2011,51.15,52.25,50.6,51.8,51.75,53.85,44.4,5941534,307488129.55,31681,51.75,EQ
07-09-2011,52.0,52.7,51.35,52.1,52.15,53.85,44.4,5477769,285838318.9,24881,52.18,EQ
08-09-2011,52.05,52.2,51.55,51.8,51.75,53.85,44.4,2291566,118977414.55,12896,51.92,EQ
09-09-2011,51.9,52.2,50.8,50.95,50.9,53.85,44.4,1657760,85225934.1,10457,51.41,EQ
12-09-2011,50.95,51.65,49.7,50.8,50.55,53.85,44.4,2943855,148907897.85,18445,50.58,EQ
13-09-2011,51.4,51.55,50.1,50.2,50.1,53.85,44.4,1345797,68423033.3,9617,50.84,EQ
14-09-2011,50.8,50.8,50.1,50.2,50.15,53.85,44.4,737756,37116028.9,6714,50.31,EQ
15-09-2011,50.6,51.1,50.1,50.25,50.1,53.85,44.4,956407,48188179.15,6764,50.38,EQ
16-09-2011,50.35,50.65,49.9,50.05,50.1,53.85,44.4,985457,49472997.85,7444,50.2,EQ
19-09-2011,49.55,50.4,49.55,49.95,49.75,53.85,44.4,698587,34900956.7,5268,49.96,EQ
20-09-2011,50.0,50.35,49.55,49.95,49.9,53.85,44.4,742380,37147927.25,6075,50.04,EQ
21-09-2011,50.0,51.0,49.9,50.55,50.5,53.85,44.4,1324373,67027503.85,12470,50.61,EQ
22-09-2011,50.0,50.3,49.0,49.1,49.1,53.85,44.4,1156544,57389773.65,9491,49.62,EQ
23-09-2011,48.75,49.15,47.75,48.55,48.6,53.85,44.4,1426707,69142727.25,11795,48.46,EQ
26-09-2011,48.5,49.05,47.2,47.7,47.6,53.85,44.4,1091743,52271142.5,9064,47.88,EQ
27-09-2011,48.4,49.25,48.15,49.05,49.0,53.85,44.4,1077459,52701836.2,9224,48.91,EQ
28-09-2011,49.3,49.45,48.8,49.05,49.2,53.85,44.4,620212,30463708.95,5501,49.12,EQ
29-09-2011,48.7,49.1,48.1,48.3,48.25,53.85,44.4,667839,32441691.3,5619,48.58,EQ
30-09-2011,48.3,48.9,48.0,48.15,48.05,53.85,44.4,504352,24406489.6,4574,48.39,EQ
03-10-2011,47.55,48.0,47.2,47.55,47.75,53.85,44.4,504729,24007027.6,5397,47.56,EQ
04-10-2011,47.4,48.0,46.9,47.3,47.2,53.85,44.4,620098,29446360.15,4969,47.49,EQ
05-10-2011,47.5,47.85,47.0,47.05,47.2,53.85,44.4,389282,18425475.0,4028,47.33,EQ
07-10-2011,48.2,49.9,47.65,48.9,49.0,53.85,44.4,1410397,68931989.6,11017,48.87,EQ
10-10-2011,49.0,49.9,49.0,49.8,49.85,53.85,44.4,974262,48341639.85,6454,49.62,EQ
11-10-2011,50.0,50.9,50.0,50.4,50.45,53.85,44.4,1173838,59130384.6,7249,50.37,EQ
12-10-2011,50.5,50.75,49.9,50.45,50.45,53.85,44.4,718660,36184616.6,6379,50.35,EQ
13-10-2011,50.9,50.9,50.4,50.6,50.7,53.85,44.4,710772,35965328.9,4311,50.6,EQ
14-10-2011,50.6,50.8,50.2,50.65,50.6,53.85,44.4,587892,29770007.45,3763,50.64,EQ
17-10-2011,50.65,52.1,50.0,51.4,51.4,53.85,44.4,1813344,92958924.75,9398,51.26,EQ
18-10-2011,51.0,51.9,50.65,51.5,51.5,53.85,44.4,1482558,76037196.7,8807,51.29,EQ
19-10-2011,51.6,52.3,51.6,51.95,51.95,53.85,44.4,1354263,70298903.45,8434,51.91,EQ
20-10-2011,51.9,51.9,51.05,51.5,51.65,53.85,44.4,831887,42737603.05,4909,51.37,EQ
21-10-2011,51.5,52.5,51.4,51.75,51.5,53.85,44.4,1816525,94478579.65,9462,52.01,EQ
24-10-2011,52.15,52.4,50.1,50.3,50.2,53.85,44.4,516658,26351223.0,4038,51.0,EQ
25-10-2011,50.5,51.3,49.3,50.3,50.35,53.85,44.4,554002,27850967.35,4604,50.27,EQ
26-10-2011,51.0,51.4,50.5,51.25,51.35,53.85,44.4,355159,18178870.3,3359,51.19,EQ
28-10-2011,52.0,52.4,51.4,51.85,51.95,53.85,44.4,902363,46715600.25,5942,51.77,EQ
31-10-2011,52.0,52.1,51.1,51.2,51.15,53.85,44.4,373628,19210164.9,3405,51.42,EQ
01-11-2011,51.1,51.25,50.5,50.75,50.85,53.85,44.4,276862,14089881.5,2760,50.89,EQ
02-11-2011,50.7,52.5,50.0,51.75,51.8,53.85,44.4,4431921,229899100.35,23366,51.87,EQ
03-11-2011,52.2,52.4,51.25,52.2,52.3,53.85,44.4,2122740,110401239.8,15686,52.01,EQ
04-11-2011,52.2,52.5,51.65,51.75,51.75,53.85,44.4,736305,38240122.7,4412,51.94,EQ
08-11-2011,51.8,51.8,51.1,51.2,51.3,53.85,44.4,360389,18511323.45,2668,51.36,EQ
09-11-2011,51.3,51.5,50.1,50.15,50.15,53.85,44.4,535201,27059671.05,4201,50.56,EQ
11-11-2011,50.0,50.0,49.1,49.15,49.1,53.85,44.4,788760,38978699.1,7026,49.42,EQ
14-11-2011,50.0,50.0,48.75,48.9,48.95,53.85,44.4,306415,15098657.85,2713,49.28,EQ
15-11-2011,49.2,49.2,46.75,46.95,47.1,53.85,44.4,1429142,67964747.6,8706,47.56,EQ
16-11-2011,47.1,48.45,47.0,48.2,48.45,53.85,44.4,557451,26614510.75,4033,47.74,EQ
17-11-2011,48.0,48.5,47.35,47.45,47.45,53.85,44.4,377344,17991141.25,3073,47.68,EQ
18-11-2011,47.4,47.4,45.7,46.05,46.05,53.85,44.4,1271943,58676904.0,11466,46.13,EQ
21-11-2011,46.4,46.6,44.65,44.8,44.75,53.85,44.4,1240873,56166664.45,8852,45.26,EQ
22-11-2011,45.25,45.85,44.8,45.35,45.4,53.85,44.4,532353,24099430.45,4358,45.27,EQ
23-11-2011,45.35,45.35,44.0,44.15,44.2,53.85,44.0,1034599,45842670.3,8885,44.31,EQ
24-11-2011,44.0,45.55,44.0,45.15,45.15,53.85,44.0,485611,21722355.6,4513,44.73,EQ
25-11-2011,45.0,45.95,44.6,45.45,45.55,53.85,44.0,390898,17797631.05,3375,45.53,EQ
28-11-2011,45.55,46.45,45.55,46.25,46.25,53.85,44.0,300681,13861935.7,2526,46.1,EQ
29-11-2011,46.05,46.55,45.7,45.9,45.85,53.85,44.0,274261,12635199.0,2252,46.07,EQ
30-11-2011,45.85,45.85,45.1,45.35,45.5,53.85,44.0,192211,8724175.1,1771,45.39,EQ
01-12-2011,46.15,46.9,46.0,46.2,46.15,53.85,44.0,426595,19770702.6,8364,46.35,EQ
02-12-2011,46.35,46.5,45.7,46.35,46.45,53.85,44.0,320868,14825450.55,2416,46.2,EQ
05-12-2011,46.4,46.7,46.05,46.1,46.05,53.85,44.0,223676,10343519.85,1965,46.24,EQ
07-12-2011,46.5,46.9,45.7,46.25,46.2,53.85,44.0,249015,11576912.85,2172,46.49,EQ
08-12-2011,46.1,46.35,45.15,45.75,45.9,53.85,44.0,248212,11392535.2,2086,45.9,EQ
09-12-2011,45.4,46.0,45.0,45.55,45.5,53.85,44.0,220128,9988854.6,2251,45.38,EQ
12-12-2011,46.0,46.0,44.6,44.75,44.7,53.85,44.0,231374,10443010.95,2199,45.13,EQ
13-12-2011,44.7,45.55,44.35,45.1,45.05,53.85,44.0,264654,11940621.15,2156,45.12,EQ
14-12-2011,42.45,45.35,42.45,45.15,45.0,53.85,42.45,220079,9914512.55,1576,45.05,EQ
15-12-2011,45.0,45.15,44.1,44.6,44.7,53.85,42.45,222807,9886836.45,2140,44.37,EQ
16-12-2011,44.7,45.35,43.9,44.05,44.05,53.85,42.45,311380,13870998.4,2442,44.55,EQ
19-12-2011,44.0,44.0,42.2,42.95,43.0,53.85,42.2,404738,17322727.75,3813,42.8,EQ
20-12-2011,43.05,43.85,42.1,42.5,42.3,53.85,42.1,299070,12777948.85,2508,42.73,EQ
21-12-2011,43.0,43.5,42.15,42.75,42.8,53.85,42.1,354177,15125440.5,2483,42.71,EQ
22-12-2011,42.7,43.3,42.5,43.05,43.0,53.85,42.1,197154,8481201.5,1757,43.02,EQ
23-12-2011,43.2,43.7,43.05,43.4,43.55,53.85,42.1,205281,8909036.45,2062,43.4,EQ
26-12-2011,43.4,44.1,43.4,43.6,43.45,53.85,42.1,150344,6572851.75,1571,43.72,EQ
27-12-2011,43.95,44.3,43.5,43.65,43.55,53.85,42.1,167046,7327102.7,1522,43.86,EQ
28-12-2011,43.65,44.0,43.2,43.6,43.4,53.85,42.1,128220,5571497.45,1189,43.45,EQ
29-12-2011,43.5,43.6,43.0,43.15,43.1,53.85,42.1,100478,4345119.6,1219,43.24,EQ
30-12-2011,43.1,43.5,42.75,42.85,42.75,53.85,42.1,196784,8470059.95,1375,43.04,EQ
02-01-2012,43.0,43.45,42.85,42.95,42.85,53.85,42.1,121400,5219658.1,1021,43.0,EQ
03-01-2012,43.35,43.9,43.1,43.7,43.8,53.85,42.1,217573,9483280.0,1590,43.59,EQ
04-01-2012,43.8,43.8,43.3,43.4,43.45,53.85,42.1,195198,8487334.75,1354,43.48,EQ
05-01-2012,44.0,44.0,43.0,43.55,43.5,53.85,42.1,134402,5833395.35,1309,43.4,EQ
06-01-2012,43.5,43.85,43.05,43.45,43.4,53.85,42.1,109783,4757664.2,1089,43.34,EQ
07-01-2012,43.8,44.3,43.3,43.95,43.75,53.85,42.1,27466,1203435.4,355,43.82,EQ
09-01-2012,44.0,44.7,43.5,44.4,44.4,53.85,42.1,150198,6649445.1,1522,44.27,EQ
10-01-2012,44.5,45.85,44.4,45.2,45.2,53.85,42.1,635401,28846473.05,3043,45.4,EQ
11-01-2012,45.45,47.6,44.8,47.05,47.3,53.85,42.1,823933,38454885.45,7853,46.67,EQ
12-01-2012,46.2,47.5,46.2,47.05,47.1,53.85,42.1,496784,23386094.3,4848,47.07,EQ
13-01-2012,47.0,48.25,47.0,48.0,47.95,53.85,42.1,647078,30873555.15,4900,47.71,EQ
16-01-2012,47.8,47.85,46.65,46.85,46.85,53.85,42.1,200486,9431094.05,1718,47.04,EQ
17-01-2012,47.75,48.2,47.0,47.35,47.4,53.85,42.1,368175,17473630.2,3104,47.46,EQ
18-01-2012,47.45,47.8,46.25,46.35,46.35,53.85,42.1,253985,11906198.95,1810,46.88,EQ
