DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
01-12-2015,3342.05,3509.15,3342.05,3509.15,3509.15,3509.15,3342.05,21367,74841231.1,950,3502.66,BE
02-12-2015,3650.0,3684.6,3600.0,3684.6,3684.6,3684.6,3342.05,11274,41403148.75,472,3672.45,BE
03-12-2015,3868.8,3868.8,3868.8,3868.8,3868.8,3868.8,3342.05,5317,20570409.6,217,3868.8,BE
04-12-2015,4060.0,4060.0,3675.4,3679.2,3675.4,4060.0,3342.05,20142,78298742.7,1530,3887.34,BE
07-12-2015,3680.0,3680.0,3495.25,3495.25,3495.25,4060.0,3342.05,7005,24548649.55,289,3504.45,BE
08-12-2015,3320.5,3320.5,3320.5,3320.5,3320.5,4060.0,3320.5,855,2839027.5,59,3320.5,BE
09-12-2015,3154.5,3154.5,3154.5,3154.5,3154.5,4060.0,3154.5,211,665599.5,40,3154.5,BE
10-12-2015,2996.8,3150.0,2996.8,2996.8,2996.8,4060.0,2996.8,13705,41387456.65,628,3019.88,BE
11-12-2015,2950.0,2950.0,2850.0,2863.5,2865.0,4060.0,2850.0,3812,10986650.8,374,2882.12,BE
14-12-2015,2850.0,3006.65,2800.0,3006.65,3006.65,4060.0,2800.0,6272,18262659.5,276,2911.78,BE
15-12-2015,3199.0,3607.95,3199.0,3587.05,3607.95,4060.0,2800.0,29189,102401121.95,2960,3508.21,EQ
16-12-2015,3724.0,4075.0,3699.0,4002.85,4009.0,4075.0,2800.0,59013,231991812.25,7702,3931.2,EQ
17-12-2015,4080.0,4148.0,3860.0,3899.7,3870.0,4148.0,2800.0,16238,64819718.3,2971,3991.85,EQ
18-12-2015,3850.0,4050.0,3755.0,3974.2,3980.0,4148.0,2800.0,23772,94211769.6,2594,3963.14,EQ
21-12-2015,3995.0,4024.45,3731.15,3763.1,3750.0,4148.0,2800.0,8249,31709411.4,1443,3844.03,EQ
22-12-2015,3850.0,3850.0,3585.0,3621.35,3630.0,4148.0,2800.0,5215,19188456.35,894,3679.47,EQ
23-12-2015,3602.0,3710.0,3485.0,3601.35,3585.0,4148.0,2800.0,7074,25353450.3,1175,3584.03,EQ
24-12-2015,3674.0,3695.0,3582.05,3665.05,3659.0,4148.0,2800.0,4376,15963958.9,833,3648.07,EQ
28-12-2015,3680.0,3680.0,3511.0,3550.15,3570.0,4148.0,2800.0,4495,16003080.25,645,3560.2,EQ
29-12-2015,3575.0,3575.0,3465.15,3477.05,3467.0,4148.0,2800.0,3270,11424186.0,501,3493.63,EQ
30-12-2015,3470.0,3519.0,3403.0,3418.5,3440.0,4148.0,2800.0,2843,9818911.35,604,3453.71,EQ
31-12-2015,3410.0,3835.0,3410.0,3562.4,3570.0,4148.0,2800.0,10754,39422247.8,2544,3665.82,EQ
01-01-2016,3525.0,3679.85,3525.0,3605.65,3590.0,4148.0,2800.0,3680,13323479.35,823,3620.51,EQ
04-01-2016,3550.0,3680.4,3550.0,3599.9,3621.0,4148.0,2800.0,3962,14269562.7,516,3601.61,EQ
05-01-2016,3650.0,3900.0,3650.0,3777.35,3765.0,4148.0,2800.0,19794,75496636.15,3484,3814.12,EQ
06-01-2016,3799.0,3870.0,3742.0,3754.5,3770.0,4148.0,2800.0,3742,14233986.0,747,3803.84,EQ
07-01-2016,3742.0,3742.05,3600.0,3606.3,3620.0,4148.0,2800.0,2652,9681735.65,646,3650.73,EQ
08-01-2016,3660.0,3660.0,3571.0,3587.1,3580.0,4148.0,2800.0,1539,5549049.1,448,3605.62,EQ
11-01-2016,3580.0,3735.4,3421.0,3603.95,3562.0,4148.0,2800.0,3638,13080379.4,1046,3595.49,EQ
12-01-2016,3649.0,3657.6,3556.8,3570.4,3579.4,4148.0,2800.0,1136,4107902.2,264,3616.11,EQ
13-01-2016,3640.0,3640.0,3426.0,3515.1,3485.0,4148.0,2800.0,2332,8228517.3,417,3528.52,EQ
14-01-2016,3433.3,3570.0,3406.6,3453.55,3457.25,4148.0,2800.0,1861,6474452.75,395,3479.02,EQ
15-01-2016,3451.0,3529.0,3315.0,3366.2,3325.0,4148.0,2800.0,1021,3491972.55,288,3420.15,EQ
18-01-2016,3322.0,3322.0,3050.0,3148.75,3135.0,4148.0,2800.0,3065,9704539.35,523,3166.24,EQ
19-01-2016,3150.0,3248.0,3121.1,3199.2,3205.0,4148.0,2800.0,1397,4457762.1,265,3190.95,EQ
20-01-2016,3135.8,3188.0,3055.0,3066.9,3055.0,4148.0,2800.0,1581,4910294.0,295,3105.82,EQ
21-01-2016,3100.0,3174.95,2990.0,3024.85,3002.0,4148.0,2800.0,1380,4217058.1,301,3055.84,EQ
22-01-2016,3033.0,3180.0,3032.45,3069.25,3072.0,4148.0,2800.0,4903,15261681.1,787,3112.72,EQ
25-01-2016,3101.0,3140.0,2988.0,3010.4,2996.0,4148.0,2800.0,1485,4503351.0,274,3032.56,EQ
27-01-2016,2980.0,3055.0,2980.0,3035.35,3035.0,4148.0,2800.0,698,2110342.2,151,3023.41,EQ
28-01-2016,3039.95,3039.95,3000.25,3010.6,3021.9,4148.0,2800.0,1130,3404244.0,97,3012.61,EQ
29-01-2016,3021.0,3050.0,3000.25,3019.65,3020.1,4148.0,2800.0,700,2109143.75,114,3013.06,EQ
01-02-2016,3019.0,3035.0,3000.1,3021.3,3010.1,4148.0,2800.0,1290,3884468.95,148,3011.22,EQ
02-02-2016,3000.0,3190.0,2970.0,3058.7,3040.0,4148.0,2800.0,1890,5796054.9,567,3066.7,EQ
03-02-2016,3001.05,3070.0,2937.0,3020.2,3023.0,4148.0,2800.0,1320,3968783.05,117,3006.65,EQ
04-02-2016,3002.0,3030.5,2976.2,3004.2,3000.15,4148.0,2800.0,705,2123214.85,62,3011.65,EQ
05-02-2016,3025.0,3050.0,3000.05,3033.75,3043.0,4148.0,2800.0,583,1760911.85,82,3020.43,EQ
08-02-2016,3079.0,3125.2,3010.0,3040.1,3040.1,4148.0,2800.0,313,957469.6,59,3059.01,EQ
09-02-2016,3005.0,3060.0,3000.1,3005.9,3001.5,4148.0,2800.0,422,1273589.6,73,3017.98,EQ
