DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
25-03-2021,155.5,174.6,143.25,164.45,164.05,174.6,143.25,68702462,10991907015.75,854987,159.99,EQ
26-03-2021,173.45,194.4,172.0,186.6,187.6,194.4,143.25,30116742,5616652584.7,365931,186.5,EQ
30-03-2021,190.3,191.95,171.1,175.05,175.1,194.4,143.25,8839565,1573691029.4,131583,178.03,EQ
31-03-2021,171.1,179.5,170.95,174.5,175.0,194.4,143.25,3073842,538616670.9,35361,175.23,EQ
01-04-2021,176.8,186.8,171.45,180.85,180.5,194.4,143.25,4813541,862779922.35,65028,179.24,EQ
05-04-2021,180.0,181.8,171.5,172.9,172.45,194.4,143.25,2183243,383123228.8,32378,175.48,EQ
06-04-2021,174.7,194.0,172.45,190.05,192.5,194.4,143.25,8544662,1582673746.15,100350,185.22,EQ
07-04-2021,194.4,209.0,192.1,200.25,200.8,209.0,143.25,10435919,2110261053.55,138331,202.21,EQ
08-04-2021,202.95,206.5,197.25,198.95,199.4,209.0,143.25,3082469,622377880.7,41569,201.91,EQ
09-04-2021,198.75,202.85,192.3,194.0,194.25,209.0,143.25,1879182,370171236.05,40044,196.99,EQ
12-04-2021,186.0,187.85,175.65,181.25,182.05,209.0,143.25,2826111,512715957.35,37309,181.42,EQ
13-04-2021,184.0,192.0,182.55,188.25,187.0,209.0,143.25,1869384,350437213.25,21922,187.46,EQ
15-04-2021,190.5,195.6,183.55,191.6,190.55,209.0,143.25,2358127,448340852.05,28705,190.13,EQ
16-04-2021,193.1,196.0,190.0,190.9,190.55,209.0,143.25,1664641,321767809.35,21657,193.3,EQ
19-04-2021,185.0,187.0,182.3,185.45,185.6,209.0,143.25,1217314,225165516.55,14587,184.97,EQ
20-04-2021,188.45,192.4,184.0,185.9,185.5,209.0,143.25,1085709,204465787.1,12656,188.32,EQ
22-04-2021,184.95,186.75,181.25,182.05,181.5,209.0,143.25,1877354,343470649.65,52899,182.95,EQ
23-04-2021,181.8,184.2,178.2,179.2,178.4,209.0,143.25,1699072,308321072.2,38041,181.46,EQ
26-04-2021,181.0,193.6,178.45,191.45,191.5,209.0,143.25,3975987,744197389.55,48968,187.17,EQ
