DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
10-05-2000,13.25,14.25,13.25,14.25,14.25,0.0,0.0,600,8445.0,,14.08,EQ
11-05-2000,12.3,13.8,12.25,13.0,13.05,14.25,13.25,1468,19403.5,,13.22,EQ
12-05-2000,12.75,12.95,12.5,12.6,12.5,14.25,12.25,2170,27414.0,,12.63,EQ
15-05-2000,11.55,14.4,11.1,12.2,12.2,14.25,12.25,868,11522.9,,13.28,EQ
16-05-2000,12.6,12.9,12.6,12.65,12.6,14.4,11.1,1881,23914.2,,12.71,EQ
17-05-2000,12.5,12.5,12.0,12.05,12.05,14.4,11.1,277,3379.0,,12.2,EQ
18-05-2000,11.5,14.9,9.55,13.6,11.85,14.4,11.1,4282,54982.45,,12.84,EQ
19-05-2000,10.55,11.5,10.5,11.5,11.5,14.9,9.55,3425,37824.05,,11.04,EQ
22-05-2000,11.9,11.9,9.8,9.85,9.85,14.9,9.55,1944,19355.7,,9.96,EQ
23-05-2000,10.0,10.2,10.0,10.05,10.05,14.9,9.55,2876,28920.8,,10.06,EQ
24-05-2000,10.5,11.7,10.1,10.55,10.55,14.9,9.55,972,10191.0,,10.48,EQ
25-05-2000,10.75,11.0,10.6,11.0,11.0,14.9,9.55,3253,35486.7,,10.91,EQ
26-05-2000,11.0,12.25,11.0,12.25,12.25,14.9,9.55,2369,27863.75,,11.76,EQ
29-05-2000,11.75,12.25,11.75,12.1,12.1,14.9,9.55,739,8962.65,,12.13,EQ
30-05-2000,11.9,12.2,11.5,11.5,11.5,14.9,9.55,3219,37630.85,,11.69,EQ
31-05-2000,11.35,12.0,11.3,12.0,12.0,14.9,9.55,3394,39989.5,,11.78,EQ
01-06-2000,12.0,14.0,12.0,12.25,12.25,14.9,9.55,556,7223.15,,12.99,EQ
02-06-2000,11.8,12.25,11.8,11.8,11.95,14.9,9.55,3793,45711.2,,12.05,EQ
05-06-2000,11.3,11.9,11.3,11.5,11.5,14.9,9.55,2352,27586.0,,11.73,EQ
06-06-2000,11.35,12.75,11.35,11.8,12.75,14.9,9.55,16427,191342.35,,11.65,EQ
07-06-2000,12.1,12.1,11.6,11.6,11.6,14.9,9.55,1126,13231.5,,11.75,EQ
08-06-2000,11.4,11.6,11.4,11.5,11.5,14.9,9.55,1310,15082.0,,11.51,EQ
09-06-2000,12.0,12.45,10.85,12.0,11.6,14.9,9.55,29306,334189.35,,11.4,EQ
12-06-2000,12.1,12.7,11.55,12.4,12.4,14.9,9.55,13064,163628.1,,12.53,EQ
13-06-2000,11.75,12.3,11.75,11.85,11.8,14.9,9.55,6297,75632.5,,12.01,EQ
14-06-2000,11.7,12.0,11.6,11.9,11.9,14.9,9.55,6940,82100.35,,11.83,EQ
15-06-2000,11.8,11.8,11.65,11.8,11.8,14.9,9.55,5679,66610.85,,11.73,EQ
16-06-2000,10.5,11.95,10.5,11.65,11.5,14.9,9.55,3709,42546.95,,11.47,EQ
19-06-2000,11.55,12.25,11.55,11.9,12.25,14.9,9.55,5339,64455.75,,12.07,EQ
20-06-2000,12.2,12.9,12.2,12.45,12.5,14.9,9.55,11459,141457.25,,12.34,EQ
21-06-2000,12.15,12.15,10.7,11.55,11.55,14.9,9.55,55660,631299.3,,11.34,EQ
22-06-2000,11.1,12.0,10.0,11.0,11.0,14.9,9.55,63282,689053.6,,10.89,EQ
23-06-2000,11.0,11.55,10.65,10.65,11.05,14.9,9.55,13998,152495.45,,10.89,EQ
26-06-2000,10.4,11.2,10.4,10.85,11.0,14.9,9.55,8082,86973.3,,10.76,EQ
27-06-2000,11.1,11.5,10.55,11.4,11.2,14.9,9.55,41418,462996.05,,11.18,EQ
28-06-2000,11.0,11.15,10.25,10.45,10.5,14.9,9.55,22916,246355.6,,10.75,EQ
29-06-2000,10.1,10.5,9.85,10.0,9.9,14.9,9.55,25645,257282.8,,10.03,EQ
30-06-2000,10.0,10.0,9.9,9.95,9.95,14.9,9.55,3718,37130.1,,9.99,EQ
03-07-2000,10.15,10.15,9.75,10.0,10.0,14.9,9.55,7883,78810.95,,10.0,EQ
04-07-2000,9.95,10.0,9.8,10.0,10.0,14.9,9.55,15434,154188.5,,9.99,EQ
05-07-2000,12.5,12.5,9.95,10.0,10.0,14.9,9.55,17545,175890.75,,10.03,EQ
