DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
10-11-2017,429.0,433.85,416.1,429.5,429.0,433.85,416.1,10214458,4359673578.55,152659,426.81,EQ
13-11-2017,429.0,430.8,423.1,426.7,423.7,433.85,416.1,442628,189494637.8,22176,428.11,EQ
14-11-2017,423.5,428.95,419.0,425.05,425.8,433.85,416.1,258651,109630243.35,6427,423.85,EQ
15-11-2017,425.0,426.0,418.0,421.7,421.15,433.85,416.1,271204,114479815.2,9457,422.12,EQ
16-11-2017,420.25,422.0,413.15,415.3,413.9,433.85,413.15,106384,44347897.8,4552,416.87,EQ
17-11-2017,418.0,418.9,405.1,407.95,408.0,433.85,405.1,222289,90740592.15,9287,408.21,EQ
20-11-2017,418.0,421.0,414.1,418.35,418.0,433.85,405.1,277728,115958155.25,10561,417.52,EQ
21-11-2017,421.0,432.9,421.0,424.0,424.0,433.85,405.1,536434,229607143.65,17203,428.02,EQ
22-11-2017,428.9,429.0,421.9,425.85,425.9,433.85,405.1,87422,37176526.05,3657,425.25,EQ
23-11-2017,426.0,431.0,426.0,427.3,427.4,433.85,405.1,108904,46654092.45,6624,428.4,EQ
24-11-2017,428.9,452.0,427.25,448.15,444.0,452.0,405.1,1805688,801572480.7,31779,443.92,EQ
27-11-2017,447.0,457.0,443.0,449.7,449.5,457.0,405.1,269238,121031480.5,9642,449.53,EQ
28-11-2017,448.0,451.3,438.6,446.5,445.0,457.0,405.1,155667,69357897.15,5234,445.55,EQ
29-11-2017,447.0,461.25,442.0,448.4,445.5,461.25,405.1,445404,200954706.3,14245,451.17,EQ
30-11-2017,445.5,455.0,445.35,447.6,447.85,461.25,405.1,129143,58158125.35,5892,450.34,EQ
01-12-2017,450.0,455.0,440.0,441.65,440.0,461.25,405.1,137028,61380915.0,4609,447.94,EQ
04-12-2017,446.9,446.95,428.2,430.3,429.65,461.25,405.1,122982,53438234.5,3177,434.52,EQ
05-12-2017,433.0,433.0,418.0,429.1,428.6,461.25,405.1,129246,54844446.55,3332,424.34,EQ
06-12-2017,429.0,434.95,425.0,431.35,433.7,461.25,405.1,152293,65395915.15,2455,429.41,EQ
07-12-2017,434.0,441.0,426.25,439.6,438.5,461.25,405.1,163933,71595067.5,6461,436.73,EQ
08-12-2017,435.55,446.0,427.0,442.4,440.1,461.25,405.1,469640,207803248.65,4268,442.47,EQ
11-12-2017,441.0,443.8,436.65,439.7,440.0,461.25,405.1,90895,39903029.4,4188,439.0,EQ
12-12-2017,437.85,438.9,432.0,435.0,436.05,461.25,405.1,35698,15544300.1,2054,435.44,EQ
13-12-2017,437.25,440.0,434.0,434.55,434.0,461.25,405.1,48851,21375239.85,4576,437.56,EQ
14-12-2017,434.55,438.0,433.0,434.55,434.5,461.25,405.1,32675,14208768.5,1745,434.85,EQ
15-12-2017,442.5,446.0,437.0,439.05,437.2,461.25,405.1,70626,31073337.0,4744,439.97,EQ
18-12-2017,438.0,439.05,429.0,434.9,436.95,461.25,405.1,49225,21399252.95,3359,434.72,EQ
19-12-2017,433.5,446.85,432.0,445.5,445.0,461.25,405.1,435065,191845828.4,16538,440.96,EQ
20-12-2017,445.0,445.0,436.5,442.45,442.25,461.25,405.1,125262,55177333.15,9702,440.5,EQ
21-12-2017,440.0,472.0,440.0,454.45,456.0,472.0,405.1,370894,167976629.6,14132,452.9,EQ
22-12-2017,458.0,459.95,449.9,450.9,450.0,472.0,405.1,99855,45313187.25,4154,453.79,EQ
26-12-2017,451.0,455.05,445.05,447.9,447.0,472.0,405.1,55415,24849766.75,2477,448.43,EQ
27-12-2017,447.0,454.4,447.0,449.3,448.55,472.0,405.1,91248,41163011.1,4247,451.11,EQ
28-12-2017,451.0,452.65,440.15,442.65,443.0,472.0,405.1,53778,23870961.1,6829,443.88,EQ
29-12-2017,446.5,446.5,436.85,438.2,437.5,472.0,405.1,79039,34711463.0,8354,439.17,EQ
01-01-2018,438.2,448.2,438.2,444.65,444.05,472.0,405.1,46849,20834843.3,1607,444.72,EQ
02-01-2018,443.95,450.0,439.3,448.55,449.95,472.0,405.1,106511,47353662.8,2184,444.59,EQ
03-01-2018,451.95,453.0,440.5,442.55,442.0,472.0,405.1,30109,13415501.95,1116,445.56,EQ
04-01-2018,445.0,454.95,441.1,450.2,450.05,472.0,405.1,166854,74276431.1,2694,445.16,EQ
05-01-2018,445.5,454.9,443.1,450.35,448.1,472.0,405.1,68879,30837593.0,2660,447.71,EQ
08-01-2018,455.0,465.45,451.7,463.2,461.0,472.0,405.1,297501,135966616.4,6899,457.03,EQ
09-01-2018,467.0,469.8,457.9,468.6,468.0,472.0,405.1,169379,78830017.95,3710,465.41,EQ
10-01-2018,467.0,474.5,464.0,470.5,468.35,474.5,405.1,186450,87106963.1,3014,467.19,EQ
11-01-2018,474.9,499.5,473.0,495.2,499.5,499.5,405.1,381629,185966881.55,13754,487.3,EQ
12-01-2018,503.3,559.9,500.0,539.1,534.5,559.9,405.1,1285300,690690574.0,34386,537.38,EQ
15-01-2018,534.05,558.55,525.1,529.65,528.0,559.9,405.1,282505,153576401.9,7986,543.62,EQ
16-01-2018,525.0,529.7,500.2,502.75,503.95,559.9,405.1,140510,72082197.45,4922,513.0,EQ
17-01-2018,496.05,524.4,494.8,508.35,508.0,559.9,405.1,121901,62270638.05,4813,510.83,EQ
18-01-2018,515.0,515.3,496.0,499.4,500.0,559.9,405.1,61607,31111016.05,3007,504.99,EQ
19-01-2018,500.0,507.35,491.15,492.2,491.5,559.9,405.1,86267,42727264.95,3753,495.29,EQ
22-01-2018,492.95,501.85,485.3,491.65,491.9,559.9,405.1,42888,21164813.15,1492,493.49,EQ
23-01-2018,495.5,512.4,490.3,507.4,505.0,559.9,405.1,102201,51674136.7,3490,505.61,EQ
24-01-2018,507.0,514.0,495.0,508.45,510.0,559.9,405.1,141817,71531314.35,3352,504.39,EQ
25-01-2018,508.5,508.5,495.05,496.3,495.15,559.9,405.1,41077,20538387.0,1695,500.0,EQ
29-01-2018,500.0,505.0,477.1,483.7,480.0,559.9,405.1,40502,20010654.85,2564,494.07,EQ
30-01-2018,492.0,500.0,473.5,476.15,474.9,559.9,405.1,78413,37878224.75,3312,483.06,EQ
31-01-2018,486.0,486.0,457.8,460.6,460.0,559.9,405.1,144715,66976046.75,4809,462.81,EQ
01-02-2018,465.0,478.0,461.2,468.45,469.0,559.9,405.1,87426,41026897.0,3407,469.28,EQ
02-02-2018,461.15,476.35,452.0,475.15,472.05,559.9,405.1,127051,59434481.4,5966,467.8,EQ
05-02-2018,471.9,471.9,460.05,468.7,467.2,559.9,405.1,92020,42834435.9,1926,465.49,EQ
06-02-2018,450.0,468.0,441.2,466.15,467.95,559.9,405.1,102924,47411324.45,2558,460.64,EQ
07-02-2018,470.5,480.0,466.1,469.65,468.9,559.9,405.1,101318,47647093.2,2759,470.27,EQ
08-02-2018,475.15,479.1,468.05,475.2,471.5,559.9,405.1,36534,17347782.6,1591,474.84,EQ
09-02-2018,475.0,475.0,462.0,471.95,470.15,559.9,405.1,36127,16932675.95,1796,468.7,EQ
12-02-2018,475.1,476.0,469.05,471.5,470.5,559.9,405.1,20919,9887824.5,1048,472.67,EQ
14-02-2018,471.5,475.0,465.0,465.65,465.05,559.9,405.1,20181,9497838.0,743,470.63,EQ
15-02-2018,466.0,474.45,460.2,463.4,461.35,559.9,405.1,21182,9948447.95,865,469.67,EQ
16-02-2018,463.45,469.25,455.05,466.75,469.25,559.9,405.1,23520,10896493.65,1123,463.29,EQ
19-02-2018,472.6,472.6,452.5,454.45,454.55,559.9,405.1,17048,7787534.25,856,456.8,EQ
20-02-2018,460.0,460.0,447.0,448.05,447.3,559.9,405.1,23286,10514075.15,979,451.52,EQ
21-02-2018,456.95,456.95,444.0,446.0,445.55,559.9,405.1,15883,7090696.5,675,446.43,EQ
22-02-2018,452.0,455.0,442.5,446.95,446.2,559.9,405.1,39910,17965568.75,1618,450.15,EQ
23-02-2018,443.9,449.9,443.9,446.65,445.3,559.9,405.1,22145,9904380.1,802,447.25,EQ
26-02-2018,447.0,458.85,447.0,456.55,454.0,559.9,405.1,33863,15365665.35,1661,453.76,EQ
27-02-2018,460.2,460.2,450.0,458.55,458.0,559.9,405.1,22322,10176550.75,886,455.9,EQ
28-02-2018,455.1,468.0,453.05,467.35,467.9,559.9,405.1,74018,33967944.75,1332,458.91,EQ
01-03-2018,460.1,489.9,460.1,479.95,480.0,559.9,405.1,171277,80577881.5,3935,470.45,EQ
05-03-2018,479.95,484.7,466.15,481.25,481.35,559.9,405.1,51935,24828335.95,3075,478.07,EQ
06-03-2018,481.25,489.9,473.9,484.45,484.1,559.9,405.1,213504,103753348.05,2636,485.96,EQ
07-03-2018,481.2,481.2,466.0,470.2,469.0,559.9,405.1,19081,8986199.0,882,470.95,EQ
08-03-2018,467.65,477.3,465.2,468.5,469.0,559.9,405.1,14955,7015786.75,619,469.13,EQ
09-03-2018,470.1,475.9,468.6,473.15,473.0,559.9,405.1,18484,8745968.35,662,473.16,EQ
12-03-2018,470.0,514.0,470.0,510.7,508.15,559.9,405.1,335552,169541623.4,12161,505.26,EQ
13-03-2018,509.0,514.9,501.6,509.75,506.15,559.9,405.1,151976,77565189.35,9211,510.38,EQ
14-03-2018,506.75,506.75,495.2,496.45,495.8,559.9,405.1,21278,10631337.2,1168,499.64,EQ
15-03-2018,495.0,521.0,486.5,518.25,517.0,559.9,405.1,308551,155898481.7,3846,505.26,EQ
16-03-2018,522.0,538.8,518.55,535.65,535.0,559.9,405.1,355773,189175589.8,12210,531.73,EQ
19-03-2018,538.9,539.0,497.1,503.05,497.1,559.9,405.1,47277,24320146.85,2434,514.42,EQ
20-03-2018,500.0,501.95,480.0,482.45,481.0,559.9,405.1,29301,14329558.6,1873,489.05,EQ
21-03-2018,483.0,496.45,456.0,492.75,489.0,559.9,405.1,24655,12049290.05,1774,488.72,EQ
22-03-2018,490.0,495.0,479.0,482.1,485.0,559.9,405.1,20270,9804539.5,1079,483.7,EQ
23-03-2018,466.05,485.0,466.05,473.35,472.0,559.9,405.1,26833,12784598.6,1453,476.45,EQ
26-03-2018,479.9,479.9,457.05,462.8,463.0,559.9,405.1,311757,145576786.2,2592,466.96,EQ
27-03-2018,468.9,483.25,465.0,476.75,475.0,559.9,405.1,43909,20982430.55,2272,477.86,EQ
28-03-2018,476.0,489.95,469.25,484.8,482.4,559.9,405.1,22671,10912112.65,1409,481.32,EQ
02-04-2018,484.8,507.0,484.8,501.25,502.9,559.9,405.1,29193,14479432.7,2104,495.99,EQ
03-04-2018,504.85,509.0,491.5,495.35,492.75,559.9,405.1,224033,111176367.2,1288,496.25,EQ
04-04-2018,492.0,497.05,483.0,488.4,485.0,559.9,405.1,245205,120044176.1,1590,489.57,EQ
05-04-2018,491.0,498.95,487.0,495.8,497.5,559.9,405.1,53379,26354167.05,2891,493.72,EQ
06-04-2018,492.25,504.45,490.15,499.15,496.8,559.9,405.1,21295,10590509.35,2111,497.32,EQ
09-04-2018,488.15,504.0,488.15,496.8,497.7,559.9,405.1,169132,84084840.85,2853,497.16,EQ
10-04-2018,496.0,504.0,494.1,495.5,495.5,559.9,405.1,91081,45278587.35,767,497.12,EQ
11-04-2018,495.4,500.05,494.0,495.05,495.2,559.9,405.1,15854,7892786.05,984,497.84,EQ
12-04-2018,495.0,496.95,487.1,489.2,488.9,559.9,405.1,76500,37708679.15,586,492.92,EQ
13-04-2018,494.0,496.8,488.3,490.05,489.1,559.9,405.1,6963,3429298.4,562,492.5,EQ
16-04-2018,485.0,494.95,485.0,489.05,487.5,559.9,405.1,10554,5156071.2,708,488.54,EQ
17-04-2018,492.05,492.3,485.0,486.05,485.0,559.9,405.1,8892,4346237.25,705,488.78,EQ
18-04-2018,490.05,490.05,481.0,483.1,484.0,559.9,405.1,14493,7049976.95,701,486.44,EQ
19-04-2018,485.9,488.8,476.7,486.2,488.8,559.9,405.1,10576,5107868.85,606,482.97,EQ
20-04-2018,482.0,492.0,482.0,485.5,486.85,559.9,405.1,9692,4719086.55,745,486.91,EQ
23-04-2018,487.5,489.55,484.0,484.9,484.25,559.9,405.1,10216,4956797.85,374,485.2,EQ
