DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
08-01-2008,175.3,212.0,161.7,167.7,164.7,212.0,161.7,22042252,3942345211.55,,178.85,EQ
09-01-2008,166.8,172.8,154.25,155.25,155.0,212.0,154.25,5104081,821204569.15,,160.89,EQ
10-01-2008,158.75,171.5,152.15,154.95,153.7,212.0,152.15,7501937,1217156526.65,,162.25,EQ
11-01-2008,155.2,156.45,141.05,143.2,143.0,212.0,141.05,1760990,257739644.2,,146.36,EQ
14-01-2008,143.45,153.5,139.0,141.35,140.4,212.0,139.0,1515189,219216245.7,,144.68,EQ
15-01-2008,143.0,147.8,137.55,138.55,138.0,212.0,137.55,721823,102794878.65,,142.41,EQ
16-01-2008,138.0,138.0,126.75,130.6,130.9,212.0,126.75,803686,105648219.55,,131.45,EQ
17-01-2008,134.0,154.0,129.0,148.0,146.5,212.0,126.75,5203805,759922864.05,,146.03,EQ
18-01-2008,145.0,148.4,130.95,133.5,131.9,212.0,126.75,1672825,237708214.45,,142.1,EQ
21-01-2008,133.0,133.0,106.8,108.75,108.0,212.0,106.8,804568,97617490.45,,121.33,EQ
22-01-2008,99.0,99.0,87.0,92.4,97.9,212.0,87.0,294572,26187303.6,,88.9,EQ
23-01-2008,100.0,105.0,93.0,97.6,99.8,212.0,87.0,362831,35552189.4,,97.99,EQ
24-01-2008,101.0,103.9,90.15,91.5,92.75,212.0,87.0,275839,26432827.8,,95.83,EQ
25-01-2008,95.0,99.0,88.5,96.25,97.9,212.0,87.0,367339,34351538.05,,93.51,EQ
28-01-2008,93.5,105.0,84.95,101.45,102.05,212.0,84.95,476091,47703427.85,,100.2,EQ
29-01-2008,103.0,105.4,99.1,100.85,100.6,212.0,84.95,230106,23541462.4,,102.31,EQ
30-01-2008,103.65,103.65,96.0,97.15,97.0,212.0,84.95,148156,14637965.3,,98.8,EQ
31-01-2008,95.1,98.0,93.0,93.8,93.5,212.0,84.95,156878,14890274.45,,94.92,EQ
01-02-2008,96.0,96.9,92.0,94.35,94.0,212.0,84.95,124031,11657965.5,,93.99,EQ
04-02-2008,98.0,103.0,95.25,101.4,101.5,212.0,84.95,275156,27647454.7,,100.48,EQ
05-02-2008,100.1,100.9,98.1,99.85,99.65,212.0,84.95,181126,18006070.7,,99.41,EQ
06-02-2008,96.0,98.0,91.35,97.0,98.0,212.0,84.95,154652,14922078.8,,96.49,EQ
07-02-2008,96.25,103.8,94.0,94.95,94.75,212.0,84.95,232361,23019183.85,,99.07,EQ
08-02-2008,95.0,97.15,91.0,93.9,94.05,212.0,84.95,139494,13065505.6,,93.66,EQ
11-02-2008,92.5,93.5,90.0,90.5,90.65,212.0,84.95,139523,12741121.65,,91.32,EQ
12-02-2008,94.5,94.5,81.0,81.85,81.0,212.0,81.0,177166,14761054.05,,83.32,EQ
13-02-2008,86.0,86.0,79.5,81.1,81.35,212.0,79.5,157255,12801992.95,,81.41,EQ
14-02-2008,83.0,85.85,82.55,84.3,84.6,212.0,79.5,115884,9718736.95,,83.87,EQ
15-02-2008,83.9,90.0,81.1,87.8,87.95,212.0,79.5,157822,13805653.05,,87.48,EQ
18-02-2008,90.0,92.0,89.0,91.3,91.5,212.0,79.5,138736,12644349.9,,91.14,EQ
19-02-2008,94.0,94.75,91.0,91.9,91.25,212.0,79.5,157691,14684027.55,,93.12,EQ
20-02-2008,90.2,92.9,89.0,90.25,90.35,212.0,79.5,89818,8120459.8,,90.41,EQ
21-02-2008,91.0,92.4,87.05,88.2,88.5,212.0,79.5,82599,7358317.0,,89.08,EQ
