DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
11-03-2010,318.0,375.0,318.0,349.85,347.0,375.0,318.0,20461610,7380103748.8,,360.68,EQ
12-03-2010,350.0,352.0,325.55,331.3,334.1,375.0,318.0,5864589,1979742035.95,,337.58,EQ
15-03-2010,326.0,351.5,322.75,346.5,349.25,375.0,318.0,4899708,1664630353.35,,339.74,EQ
16-03-2010,350.0,351.1,339.25,345.8,344.5,375.0,318.0,1847828,637810133.85,,345.17,EQ
17-03-2010,347.3,378.8,343.6,371.35,365.2,378.8,318.0,4056441,1464294964.35,,360.98,EQ
18-03-2010,369.8,379.8,358.05,361.65,361.0,379.8,318.0,3397908,1246928018.8,,366.97,EQ
19-03-2010,360.5,376.75,360.0,368.85,367.95,379.8,318.0,1841795,680600354.45,,369.53,EQ
22-03-2010,360.25,409.0,359.1,397.1,394.65,409.0,318.0,7521232,2948537370.75,,392.03,EQ
23-03-2010,350.0,404.4,350.0,384.3,387.0,409.0,318.0,3990065,1546910452.7,,387.69,EQ
25-03-2010,385.0,395.85,382.2,386.75,387.0,409.0,318.0,1750115,681546367.15,,389.43,EQ
26-03-2010,389.0,394.95,377.25,384.15,386.3,409.0,318.0,1158328,448336342.7,,387.05,EQ
29-03-2010,385.0,387.8,364.5,367.9,366.25,409.0,318.0,725484,270901664.9,,373.41,EQ
30-03-2010,368.0,376.9,359.05,362.3,362.0,409.0,318.0,624617,229671993.05,,367.7,EQ
31-03-2010,351.0,367.8,345.0,358.75,359.25,409.0,318.0,474362,171704767.35,,361.97,EQ
01-04-2010,365.05,383.7,359.2,380.45,382.2,409.0,318.0,1351671,507818209.25,,375.7,EQ
05-04-2010,384.0,386.7,370.2,372.05,372.05,409.0,318.0,963086,362608809.6,,376.51,EQ
06-04-2010,374.5,399.4,370.1,388.25,386.65,409.0,318.0,2221274,865161037.5,,389.49,EQ
07-04-2010,388.0,394.0,378.3,384.45,384.9,409.0,318.0,740917,286556705.25,,386.76,EQ
