DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
02-11-2021,864.0,939.9,850.0,907.45,901.15,939.9,850.0,71496,64670859.5,6323,904.54,EQ
03-11-2021,920.2,960.0,907.4,929.75,933.0,960.0,850.0,38901,36476229.8,3999,937.67,EQ
04-11-2021,950.0,989.0,945.0,976.65,978.0,989.0,850.0,32766,31716799.1,3561,967.98,EQ
08-11-2021,1000.0,1168.8,991.95,1093.3,1100.0,1168.8,850.0,199823,219546386.9,18079,1098.7,EQ
09-11-2021,1125.0,1274.95,1125.0,1242.6,1273.0,1274.95,850.0,186552,225339642.85,16209,1207.92,EQ
10-11-2021,1245.0,1299.0,1118.35,1122.25,1118.35,1299.0,850.0,142585,169993722.8,11988,1192.23,EQ
11-11-2021,1111.0,1190.0,1064.35,1078.2,1075.8,1299.0,850.0,72407,81042964.3,5982,1119.27,EQ
12-11-2021,1100.0,1109.95,1036.05,1063.85,1068.1,1299.0,850.0,52834,56313400.3,3379,1065.86,EQ
15-11-2021,1127.0,1127.0,992.0,1013.3,1019.0,1299.0,850.0,88377,92825735.65,6796,1050.34,EQ
16-11-2021,1039.85,1075.0,1000.0,1050.4,1045.0,1299.0,850.0,32515,33704393.85,3086,1036.58,EQ
17-11-2021,1074.0,1074.0,1021.6,1031.95,1028.0,1299.0,850.0,14707,15371760.55,1862,1045.2,EQ
18-11-2021,1048.95,1050.0,975.0,1004.3,1005.5,1299.0,850.0,35659,35956687.9,3661,1008.35,EQ
22-11-2021,1030.0,1030.0,931.0,946.4,937.0,1299.0,850.0,31870,30635548.25,3896,961.27,EQ
23-11-2021,948.0,994.4,920.05,984.9,993.7,1299.0,850.0,26651,25693094.9,3417,964.06,EQ
24-11-2021,1009.0,1052.0,990.0,1028.05,1020.0,1299.0,850.0,22464,23184246.25,2862,1032.06,EQ
25-11-2021,1034.95,1130.85,1026.9,1130.85,1130.85,1299.0,850.0,44204,47862989.9,3242,1082.78,EQ
26-11-2021,1227.45,1227.45,1051.2,1104.3,1099.0,1299.0,850.0,81510,93142094.1,10222,1142.71,EQ
29-11-2021,1053.2,1110.4,1001.0,1009.2,1010.0,1299.0,850.0,46468,48061418.35,5188,1034.29,EQ
30-11-2021,1019.95,1064.0,973.0,993.75,1000.5,1299.0,850.0,27369,27826366.3,3408,1016.71,EQ
01-12-2021,1000.0,1039.0,965.0,999.7,996.0,1299.0,850.0,17776,17752589.15,2345,998.68,EQ
02-12-2021,1002.0,1060.5,1001.15,1048.95,1047.0,1299.0,850.0,34664,35967949.0,3856,1037.62,EQ
03-12-2021,1046.0,1070.0,1020.05,1030.85,1036.0,1299.0,850.0,17876,18604743.3,2358,1040.77,EQ
06-12-2021,1023.0,1070.05,995.0,1012.75,1006.0,1299.0,850.0,16589,17084710.25,2800,1029.88,EQ
07-12-2021,1049.0,1099.0,1016.1,1026.35,1030.0,1299.0,850.0,25240,26386338.05,3835,1045.42,EQ
08-12-2021,1040.0,1070.6,1020.55,1060.15,1045.0,1299.0,850.0,15215,15917362.6,2085,1046.16,EQ
09-12-2021,1073.9,1100.05,1031.05,1086.55,1080.0,1299.0,850.0,26750,28557794.55,3424,1067.58,EQ
10-12-2021,1090.0,1099.0,1061.0,1076.65,1072.0,1299.0,850.0,11677,12663574.9,2039,1084.49,EQ
13-12-2021,1099.95,1099.95,1055.5,1057.8,1055.5,1299.0,850.0,8549,9151022.25,1527,1070.42,EQ
14-12-2021,1055.5,1063.2,1039.05,1051.95,1055.0,1299.0,850.0,5768,6047578.85,1090,1048.47,EQ
15-12-2021,1076.0,1076.0,1044.75,1051.75,1053.95,1299.0,850.0,6082,6442680.85,1358,1059.3,EQ
16-12-2021,1045.0,1064.3,1016.35,1033.8,1039.0,1299.0,850.0,7854,8180132.75,1169,1041.52,EQ
17-12-2021,1040.2,1040.9,1000.0,1009.7,1015.0,1299.0,850.0,8201,8298632.0,1818,1011.9,EQ
20-12-2021,1039.95,1039.95,811.2,955.15,954.65,1299.0,811.2,24492,23533322.95,3087,960.86,EQ
21-12-2021,969.0,980.0,961.0,970.25,965.0,1299.0,811.2,4081,3973422.45,915,973.64,EQ
22-12-2021,979.0,1004.0,970.05,995.15,999.5,1299.0,811.2,7600,7545601.6,1594,992.84,EQ
23-12-2021,1029.9,1029.9,980.0,988.0,989.0,1299.0,811.2,6571,6538466.1,1215,995.05,EQ
24-12-2021,988.0,1023.15,963.0,979.75,975.95,1299.0,811.2,5413,5300825.35,1086,979.28,EQ
27-12-2021,1015.0,1015.0,966.55,981.3,976.3,1299.0,811.2,4855,4781836.45,947,984.93,EQ
28-12-2021,1009.0,1009.0,981.0,996.3,982.25,1299.0,811.2,9158,9119415.55,1496,995.79,EQ
29-12-2021,996.3,1060.0,996.3,1012.05,1010.0,1299.0,811.2,23038,23662640.7,2660,1027.11,EQ
30-12-2021,1030.0,1035.0,1010.9,1030.5,1031.9,1299.0,811.2,6607,6758676.9,1177,1022.96,EQ
31-12-2021,1030.65,1050.0,1010.3,1043.95,1040.0,1299.0,811.2,14615,15039385.2,1265,1029.04,EQ
03-01-2022,1054.0,1070.0,1040.05,1050.25,1050.2,1299.0,811.2,13211,13944076.9,1369,1055.49,EQ
04-01-2022,1065.0,1065.0,1037.8,1059.0,1059.8,1299.0,811.2,9492,10030306.5,925,1056.71,EQ
05-01-2022,1070.0,1070.0,1045.05,1052.4,1048.05,1299.0,811.2,5479,5761534.85,803,1051.57,EQ
06-01-2022,1055.0,1074.85,1022.05,1062.55,1065.0,1299.0,811.2,13590,14285242.4,1014,1051.16,EQ
07-01-2022,1079.0,1148.85,1071.5,1131.6,1144.5,1299.0,811.2,33716,37642812.8,2794,1116.47,EQ
10-01-2022,1160.0,1215.0,1160.0,1172.65,1177.1,1299.0,811.2,46450,55207652.05,3885,1188.54,EQ
11-01-2022,1185.55,1185.55,1150.0,1153.05,1159.0,1299.0,811.2,12684,14842735.25,1352,1170.19,EQ
12-01-2022,1185.25,1190.0,1152.65,1168.7,1163.0,1299.0,811.2,13770,16180441.95,1068,1175.05,EQ
13-01-2022,1155.0,1189.95,1142.0,1158.2,1164.0,1299.0,811.2,10313,12062247.25,968,1169.62,EQ
14-01-2022,1158.0,1195.0,1158.0,1177.45,1180.0,1299.0,811.2,22290,26150126.25,901,1173.18,EQ
17-01-2022,1193.85,1193.85,1170.0,1178.6,1180.05,1299.0,811.2,11894,14032152.65,916,1179.77,EQ
18-01-2022,1171.0,1202.95,1110.0,1132.15,1139.0,1299.0,811.2,17775,20860751.4,1451,1173.6,EQ
19-01-2022,1147.05,1164.45,1071.0,1084.1,1095.0,1299.0,811.2,48046,53371587.4,2506,1110.84,EQ
20-01-2022,1075.0,1210.0,1075.0,1190.6,1210.0,1299.0,811.2,58631,67677237.5,4686,1154.29,EQ
21-01-2022,1210.0,1210.0,1100.0,1115.2,1120.0,1299.0,811.2,27147,31041518.75,3114,1143.46,EQ
24-01-2022,1117.0,1117.0,1003.25,1034.65,1022.0,1299.0,811.2,23632,24856129.45,2996,1051.8,EQ
25-01-2022,1046.05,1103.8,1011.4,1075.85,1070.0,1299.0,811.2,23750,25728843.65,2281,1083.32,EQ
27-01-2022,1090.0,1130.0,1021.25,1100.65,1101.0,1299.0,811.2,15547,17048752.85,1484,1096.59,EQ
28-01-2022,1115.0,1141.8,1055.25,1074.65,1055.25,1299.0,811.2,6764,7497287.75,1416,1108.41,EQ
31-01-2022,1096.15,1120.05,1056.95,1078.55,1075.0,1299.0,811.2,10877,11917613.4,1794,1095.67,EQ
01-02-2022,1100.0,1108.55,1065.2,1080.9,1065.2,1299.0,811.2,5262,5736920.0,784,1090.25,EQ
02-02-2022,1107.0,1125.0,1094.05,1119.4,1120.0,1299.0,811.2,15543,17318834.45,1438,1114.25,EQ
03-02-2022,1145.0,1145.0,1110.0,1127.5,1139.0,1299.0,811.2,8815,10001763.1,1544,1134.63,EQ
04-02-2022,1110.0,1143.85,1080.0,1090.55,1090.0,1299.0,811.2,17885,19792690.9,2240,1106.66,EQ
07-02-2022,1133.9,1133.9,1049.45,1073.2,1072.0,1299.0,811.2,8382,9090118.75,1487,1084.48,EQ
08-02-2022,1118.0,1118.0,1040.05,1057.1,1065.0,1299.0,811.2,7395,7829608.3,1677,1058.77,EQ
09-02-2022,1061.2,1099.35,1037.05,1050.0,1055.0,1299.0,811.2,3255,3449361.05,645,1059.71,EQ
10-02-2022,1030.0,1066.0,1030.0,1047.95,1035.0,1299.0,811.2,4546,4762647.55,901,1047.66,EQ
11-02-2022,1036.0,1122.3,1029.0,1066.0,1068.0,1299.0,811.2,7637,8009040.75,1061,1048.72,EQ
14-02-2022,901.0,975.0,899.95,920.15,915.0,1299.0,811.2,88840,82045181.1,7492,923.52,EQ
15-02-2022,920.15,987.5,820.55,848.8,848.0,1299.0,811.2,67195,58232896.65,8257,866.63,EQ
16-02-2022,864.95,880.95,798.6,845.35,844.0,1299.0,798.6,53289,45458647.3,5984,853.06,EQ
17-02-2022,860.05,929.65,859.0,879.9,889.0,1299.0,798.6,47444,42508508.7,6533,895.97,EQ
18-02-2022,875.0,898.9,860.3,876.25,870.0,1299.0,798.6,9908,8656372.4,1619,873.68,EQ
21-02-2022,885.0,899.95,860.1,865.1,865.2,1299.0,798.6,14673,12873012.05,2556,877.33,EQ
22-02-2022,851.0,857.45,817.0,830.55,825.6,1299.0,798.6,22132,18534802.6,3023,837.47,EQ
23-02-2022,849.95,875.0,836.05,866.85,861.1,1299.0,798.6,10684,9184245.55,1838,859.63,EQ
24-02-2022,889.0,889.0,781.15,800.85,812.0,1299.0,781.15,30554,24817702.25,4141,812.26,EQ
25-02-2022,808.0,879.0,808.0,870.95,879.0,1299.0,781.15,14064,12076215.45,1467,858.66,EQ
28-02-2022,880.0,896.35,850.0,874.15,870.0,1299.0,781.15,10867,9521493.6,1324,876.18,EQ
02-03-2022,870.0,877.4,851.8,868.2,876.0,1299.0,781.15,8446,7316544.1,1200,866.27,EQ
03-03-2022,880.0,899.45,855.4,872.3,882.0,1299.0,781.15,9644,8494888.5,896,880.85,EQ
04-03-2022,860.0,873.55,841.0,847.5,852.9,1299.0,781.15,10833,9221094.8,864,851.2,EQ
07-03-2022,860.0,860.0,781.6,802.55,806.0,1299.0,781.15,21502,17357759.2,1646,807.26,EQ
08-03-2022,810.0,821.45,795.0,805.7,808.95,1299.0,781.15,6984,5642238.6,746,807.88,EQ
09-03-2022,828.0,845.0,817.0,837.15,840.0,1299.0,781.15,8732,7196227.35,679,824.12,EQ
10-03-2022,869.0,869.0,844.05,856.9,858.0,1299.0,781.15,9161,7864029.8,1290,858.42,EQ
11-03-2022,865.0,865.0,839.9,852.55,847.0,1299.0,781.15,5592,4771619.2,671,853.29,EQ
14-03-2022,855.0,869.0,848.45,861.1,864.95,1299.0,781.15,8237,7087139.5,822,860.4,EQ
15-03-2022,864.95,879.0,852.1,866.8,870.0,1299.0,781.15,8299,7183749.5,1014,865.62,EQ
16-03-2022,869.0,878.4,858.05,866.8,869.85,1299.0,781.15,6100,5287002.65,540,866.72,EQ
17-03-2022,880.0,893.0,847.3,872.3,878.4,1299.0,781.15,11546,10151464.6,1186,879.22,EQ
21-03-2022,890.0,890.0,864.05,869.85,871.0,1299.0,781.15,8485,7437689.6,694,876.57,EQ
22-03-2022,870.0,999.0,862.6,961.75,955.0,1299.0,781.15,56414,52794399.65,4436,935.84,EQ
23-03-2022,961.75,967.55,932.2,940.5,943.45,1299.0,781.15,26197,24771920.05,2986,945.6,EQ
24-03-2022,921.0,964.7,891.55,909.6,912.8,1299.0,781.15,15707,14658689.95,1945,933.26,EQ
25-03-2022,909.05,926.5,904.05,918.75,919.95,1299.0,781.15,10719,9806417.1,1570,914.86,EQ
