DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
02-12-2020,198.0,200.05,190.1,197.1,198.95,200.05,190.1,158397,31171646.8,394,196.79,EQ
03-12-2020,196.1,201.05,195.0,200.35,198.45,201.05,190.1,211001,41955371.45,524,198.84,EQ
04-12-2020,202.95,207.0,199.75,201.35,202.5,207.0,190.1,121762,24776681.6,677,203.48,EQ
07-12-2020,204.15,204.75,192.7,196.45,200.0,207.0,190.1,77959,15598192.55,693,200.08,EQ
08-12-2020,200.5,204.0,190.0,201.0,198.35,207.0,190.0,134301,26430118.0,1250,196.8,EQ
09-12-2020,204.0,221.05,190.3,211.0,211.0,221.05,190.0,317082,66255605.2,2644,208.95,EQ
10-12-2020,214.85,215.0,202.0,205.45,211.35,221.05,190.0,88568,18517424.65,694,209.08,EQ
11-12-2020,212.05,215.0,202.95,210.95,210.0,221.05,190.0,52137,10983370.55,606,210.66,EQ
14-12-2020,214.9,224.95,208.4,210.6,210.5,224.95,190.0,50276,10782992.75,396,214.48,EQ
15-12-2020,216.8,216.8,205.0,207.6,206.0,224.95,190.0,32428,6790363.75,387,209.4,EQ
16-12-2020,207.6,213.9,207.6,210.25,210.0,224.95,190.0,112643,23727635.85,529,210.64,EQ
17-12-2020,209.45,220.0,205.55,216.35,217.0,224.95,190.0,167941,36080755.8,802,214.84,EQ
18-12-2020,213.5,225.0,213.3,220.85,220.0,225.0,190.0,229838,49933005.15,1136,217.25,EQ
21-12-2020,221.15,226.3,200.3,212.3,210.0,226.3,190.0,64996,14444735.5,662,222.24,EQ
22-12-2020,212.3,212.3,200.9,205.1,206.05,226.3,190.0,92858,19009168.6,527,204.71,EQ
23-12-2020,206.05,218.0,203.05,206.45,209.95,226.3,190.0,118700,24991503.7,1051,210.54,EQ
24-12-2020,206.0,221.8,206.0,219.4,218.0,226.3,190.0,136023,29304795.05,1037,215.44,EQ
28-12-2020,224.45,225.6,217.65,219.05,220.0,226.3,190.0,66712,14711426.2,541,220.52,EQ
29-12-2020,224.3,228.0,218.0,225.95,225.7,228.0,190.0,159756,35841008.55,1832,224.35,EQ
30-12-2020,226.7,229.0,215.55,221.2,223.9,229.0,190.0,92042,20743680.5,642,225.37,EQ
