DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
09-07-2003,164.9,170.4,155.0,164.3,164.0,0.0,0.0,35164283,5835528161.85,,165.95,EQ
10-07-2003,167.0,168.7,164.5,167.0,167.0,170.4,155.0,10464179,1744819621.2,,166.74,EQ
11-07-2003,167.75,174.85,166.25,173.35,173.6,170.4,155.0,11740117,2024621547.45,,172.45,EQ
14-07-2003,174.25,179.25,174.25,177.95,178.6,174.85,155.0,5982324,1064313100.3,,177.91,EQ
15-07-2003,200.0,200.0,173.0,176.2,176.3,179.25,155.0,6173689,1092000790.4,,176.88,EQ
16-07-2003,176.45,179.1,175.35,177.1,176.9,200.0,155.0,3759085,667569503.1,,177.59,EQ
17-07-2003,177.5,178.0,170.65,172.2,170.7,200.0,155.0,3814181,669302968.7,,175.48,EQ
18-07-2003,165.0,171.9,160.0,167.4,167.4,200.0,155.0,5375212,901190322.25,,167.66,EQ
21-07-2003,169.0,169.4,163.05,164.9,164.0,200.0,155.0,3315845,552664616.55,,166.67,EQ
22-07-2003,164.0,169.15,162.1,167.25,168.6,200.0,155.0,4627992,763912422.25,,165.06,EQ
23-07-2003,170.5,178.0,169.8,174.7,175.55,200.0,155.0,13262249,2314758951.85,,174.54,EQ
24-07-2003,175.9,177.0,172.85,174.1,173.65,200.0,155.0,4305936,751152915.65,,174.45,EQ
25-07-2003,174.4,175.0,172.1,173.65,174.0,200.0,155.0,2832967,491960368.4,,173.66,EQ
28-07-2003,188.0,188.0,175.1,178.85,179.25,200.0,155.0,5415867,964085339.5,,178.01,EQ
29-07-2003,179.95,182.9,179.1,180.3,180.2,200.0,155.0,5229181,946096236.7,,180.93,EQ
30-07-2003,181.25,184.75,180.1,181.1,180.25,200.0,155.0,4632246,845601875.4,,182.55,EQ
31-07-2003,181.7,183.65,179.65,180.85,181.0,200.0,155.0,3562717,647935649.8,,181.87,EQ
01-08-2003,182.0,189.0,178.75,187.15,188.4,200.0,155.0,8027285,1479884036.25,,184.36,EQ
