DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
30-10-2023,298.0,298.0,283.05,283.05,283.05,298.0,283.05,240443,68936046.75,734,286.7,BE
31-10-2023,268.9,270.0,268.9,268.9,268.9,298.0,268.9,29922,8046512.0,165,268.92,BE
01-11-2023,255.45,255.45,255.45,255.45,255.45,298.0,255.45,10717,2737657.65,67,255.45,BE
02-11-2023,243.0,268.0,242.75,258.55,258.05,298.0,242.75,166962,42106248.15,1472,252.19,BE
03-11-2023,260.0,271.45,251.25,268.75,271.45,298.0,242.75,151575,40734205.15,879,268.74,BE
06-11-2023,260.0,270.75,256.5,260.7,262.5,298.0,242.75,69861,18244353.85,541,261.15,BE
07-11-2023,260.0,269.0,258.7,266.8,265.0,298.0,242.75,36622,9729804.3,372,265.68,BE
08-11-2023,266.8,280.1,260.15,280.05,280.1,298.0,242.75,361595,98538844.65,1179,272.51,BE
09-11-2023,286.0,290.0,278.45,284.45,285.0,298.0,242.75,69704,19811750.25,314,284.23,BE
10-11-2023,283.95,289.0,275.0,282.05,283.5,298.0,242.75,28240,7975250.8,232,282.41,BE
12-11-2023,288.65,290.0,282.0,287.6,288.95,298.0,242.75,26539,7623321.3,215,287.25,BE
13-11-2023,286.95,319.0,286.9,308.25,312.0,319.0,242.75,138868,42726346.45,2038,307.68,EQ
15-11-2023,311.0,320.0,307.1,309.85,309.95,320.0,242.75,128207,40482307.85,1983,315.76,EQ
16-11-2023,317.0,317.0,308.0,310.8,308.0,320.0,242.75,96990,30262305.6,2115,312.01,EQ
17-11-2023,308.0,313.9,304.25,309.95,310.0,320.0,242.75,66713,20689722.95,3610,310.13,EQ
20-11-2023,309.95,311.2,302.6,304.25,303.35,320.0,242.75,103306,31610935.0,7317,305.99,EQ
21-11-2023,307.5,313.9,304.0,307.15,306.7,320.0,242.75,177056,54710288.75,15813,309.0,EQ
22-11-2023,310.0,312.65,299.05,308.0,305.0,320.0,242.75,367876,113583976.6,38893,308.76,EQ
23-11-2023,314.9,320.0,303.3,304.55,305.5,320.0,242.75,88257,27214422.6,10885,308.35,EQ
24-11-2023,309.15,312.7,305.05,307.85,307.55,320.0,242.75,72477,22363803.45,7073,308.56,EQ
28-11-2023,314.0,314.1,300.85,304.6,306.5,320.0,242.75,112409,34492136.5,9977,306.84,EQ
29-11-2023,304.6,309.95,300.2,301.95,302.5,320.0,242.75,77361,23460812.85,5949,303.26,EQ
30-11-2023,304.95,307.2,295.4,299.7,300.35,320.0,242.75,145082,43385542.0,15512,299.04,EQ
01-12-2023,302.25,303.7,295.55,297.5,298.0,320.0,242.75,40373,12095063.55,2082,299.58,EQ
04-12-2023,301.0,303.0,295.55,299.05,298.95,320.0,242.75,60091,17975105.3,3690,299.13,EQ
05-12-2023,303.0,303.0,289.6,292.15,291.0,320.0,242.75,78064,22941849.45,4112,293.89,EQ
06-12-2023,295.0,307.95,285.75,287.8,288.0,320.0,242.75,309896,90623208.45,10637,292.43,EQ
07-12-2023,294.05,294.95,286.7,291.9,294.95,320.0,242.75,50768,14768985.6,3977,290.91,EQ
08-12-2023,294.8,297.95,289.05,292.8,293.4,320.0,242.75,961433,279967109.05,6822,291.2,EQ
11-12-2023,297.0,313.95,295.4,301.75,302.35,320.0,242.75,81627,24838504.6,4653,304.29,EQ
12-12-2023,306.3,316.4,298.0,299.4,298.0,320.0,242.75,211602,64483960.85,13201,304.74,EQ
13-12-2023,303.3,303.3,290.2,298.1,297.0,320.0,242.75,73161,21804288.8,3882,298.03,EQ
14-12-2023,301.65,302.85,290.25,292.95,293.0,320.0,242.75,272809,80053232.55,7321,293.44,EQ
15-12-2023,299.9,312.65,292.0,301.25,305.9,320.0,242.75,188876,57309091.25,11021,303.42,EQ
18-12-2023,302.4,326.35,300.15,320.95,322.0,326.35,242.75,414651,131561230.5,15518,317.28,EQ
19-12-2023,323.5,332.9,317.6,328.7,326.8,332.9,242.75,215847,70767758.5,10593,327.86,EQ
20-12-2023,331.3,338.3,308.2,313.35,317.5,338.3,242.75,259201,84971513.45,11630,327.82,EQ
21-12-2023,301.1,323.55,301.1,317.15,317.7,338.3,242.75,104934,33168582.1,5157,316.09,EQ
22-12-2023,323.5,326.7,315.15,324.45,325.2,338.3,242.75,87430,28112843.85,5551,321.55,EQ
26-12-2023,330.8,330.85,322.3,325.65,327.25,338.3,242.75,48664,15844367.9,2996,325.59,EQ
27-12-2023,328.75,339.9,318.0,319.45,322.0,339.9,242.75,74317,24414479.35,6183,328.52,EQ
28-12-2023,324.9,331.35,318.0,326.85,324.9,339.9,242.75,84555,27380303.9,4513,323.82,EQ
29-12-2023,330.0,334.1,303.0,310.3,310.8,339.9,242.75,241952,76159120.1,9481,314.77,EQ
01-01-2024,314.05,318.7,308.0,316.25,317.0,339.9,242.75,51483,16143976.2,4090,313.58,EQ
02-01-2024,323.0,323.0,305.0,307.8,310.2,339.9,242.75,86934,27159129.0,7710,312.41,EQ
03-01-2024,310.05,319.9,310.05,316.3,315.9,339.9,242.75,71413,22539945.55,5362,315.63,EQ
04-01-2024,319.95,328.0,305.55,314.55,316.85,339.9,242.75,205160,65706890.7,11447,320.27,EQ
05-01-2024,316.0,321.9,311.0,319.2,321.9,339.9,242.75,85420,27125571.8,6041,317.56,EQ
08-01-2024,322.0,322.0,311.0,317.0,321.9,339.9,242.75,80667,25592044.25,6021,317.26,EQ
09-01-2024,310.0,325.7,310.0,314.5,314.8,339.9,242.75,118346,37654738.45,7845,318.17,EQ
10-01-2024,308.9,320.9,305.6,308.5,309.5,339.9,242.75,105464,33039619.85,6333,313.28,EQ
11-01-2024,313.35,319.1,308.8,311.25,314.7,339.9,242.75,93657,29371194.7,7068,313.6,EQ
12-01-2024,322.0,322.0,312.1,313.45,313.6,339.9,242.75,50326,15885493.0,4267,315.65,EQ
15-01-2024,315.0,320.15,307.55,310.4,310.0,339.9,242.75,92700,28931413.5,7415,312.1,EQ
16-01-2024,310.0,313.25,299.0,300.5,301.0,339.9,242.75,134992,41049189.9,5832,304.09,EQ
17-01-2024,298.8,307.95,294.55,298.0,297.0,339.9,242.75,123025,36834570.4,8089,299.41,EQ
18-01-2024,301.2,301.4,291.5,292.6,294.15,339.9,242.75,95556,28167026.25,8180,294.77,EQ
19-01-2024,293.0,303.05,290.7,293.25,293.0,339.9,242.75,92155,27265176.3,8026,295.86,EQ
20-01-2024,293.25,301.0,291.45,296.1,295.0,339.9,242.75,30638,9057472.7,2578,295.63,EQ
23-01-2024,294.1,299.0,284.55,285.95,287.9,339.9,242.75,47027,13624110.9,3189,289.71,EQ
24-01-2024,285.45,288.9,279.0,286.4,287.05,339.9,242.75,124335,35343003.9,6728,284.26,EQ
25-01-2024,287.0,295.8,285.0,288.1,285.0,339.9,242.75,39225,11352841.85,3424,289.43,EQ
29-01-2024,285.0,298.85,285.0,292.85,291.0,339.9,242.75,62325,18296969.15,5121,293.57,EQ
30-01-2024,295.0,295.0,287.1,290.15,288.5,339.9,242.75,43330,12596363.5,4018,290.71,EQ
31-01-2024,298.85,298.85,282.65,291.85,294.35,339.9,242.75,52769,15300849.05,5332,289.96,EQ
01-02-2024,291.85,292.05,280.0,286.85,285.55,339.9,242.75,107666,30788711.75,6618,285.97,EQ
02-02-2024,285.55,298.0,282.05,292.1,291.7,339.9,242.75,92999,27081175.6,8238,291.2,EQ
05-02-2024,296.5,298.95,287.9,290.9,291.0,339.9,242.75,99110,28942903.85,5735,292.03,EQ
06-02-2024,293.25,299.0,290.8,297.15,299.0,339.9,242.75,45802,13565037.55,4418,296.17,EQ
07-02-2024,291.1,304.7,291.1,295.45,294.25,339.9,242.75,101338,30313264.05,5060,299.13,EQ
08-02-2024,296.0,301.0,286.0,291.6,293.0,339.9,242.75,114989,33943960.95,9265,295.19,EQ
09-02-2024,291.6,295.0,283.1,291.1,294.7,339.9,242.75,69126,19905977.45,5583,287.97,EQ
12-02-2024,290.55,290.55,274.0,276.3,275.0,339.9,242.75,67839,19113019.6,6262,281.74,EQ
