DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
15-04-2019,958.0,982.7,935.0,959.85,955.2,982.7,935.0,7279787,6960176793.5,200331,956.1,EQ
16-04-2019,995.0,1005.6,971.75,985.35,987.45,1005.6,935.0,1207704,1194149813.2,48133,988.78,EQ
18-04-2019,984.8,984.8,950.05,970.45,973.0,1005.6,935.0,326059,315123470.1,20020,966.46,EQ
22-04-2019,963.0,963.0,938.7,945.5,949.0,1005.6,935.0,165743,156646908.55,9618,945.12,EQ
23-04-2019,950.0,967.25,939.7,952.85,947.15,1005.6,935.0,106739,101674338.2,10517,952.55,EQ
24-04-2019,954.0,977.4,945.0,958.75,967.0,1005.6,935.0,120780,115495086.95,7525,956.24,EQ
25-04-2019,965.0,976.4,946.2,949.75,950.0,1005.6,935.0,73361,70246916.65,6356,957.55,EQ
26-04-2019,947.2,954.8,935.0,948.8,940.1,1005.6,935.0,40546,38390275.55,3114,946.83,EQ
30-04-2019,941.0,959.4,927.1,947.85,950.0,1005.6,927.1,64380,60321576.95,6803,936.96,EQ
02-05-2019,956.7,957.95,933.9,947.05,944.05,1005.6,927.1,61526,58228972.3,4223,946.41,EQ
03-05-2019,945.05,952.4,936.0,950.15,950.0,1005.6,927.1,31369,29676681.45,3072,946.05,EQ
06-05-2019,933.1,952.4,927.0,943.15,951.0,1005.6,927.0,44901,42118967.65,3250,938.04,EQ
07-05-2019,942.2,948.0,928.0,930.7,930.0,1005.6,927.0,64134,60411776.6,2138,941.96,EQ
08-05-2019,931.05,942.0,930.6,938.05,938.1,1005.6,927.0,79395,74584458.4,3222,939.41,EQ
09-05-2019,938.0,941.0,925.05,939.3,935.8,1005.6,925.05,39210,36584284.55,4948,933.03,EQ
10-05-2019,940.1,948.0,932.1,946.0,943.05,1005.6,925.05,39493,37150412.65,4989,940.68,EQ
13-05-2019,947.85,947.85,907.0,921.2,933.0,1005.6,907.0,173163,160149368.35,6497,924.85,EQ
14-05-2019,925.0,925.0,907.0,913.0,910.2,1005.6,907.0,62120,56675412.2,2552,912.35,EQ
15-05-2019,918.0,935.35,908.85,931.6,930.0,1005.6,907.0,53735,49846354.8,3964,927.63,EQ
16-05-2019,925.95,930.0,917.1,924.8,925.0,1005.6,907.0,50712,46737052.5,5957,921.62,EQ
17-05-2019,922.65,928.7,916.1,919.95,916.55,1005.6,907.0,68438,63055492.4,7638,921.35,EQ
20-05-2019,928.0,969.0,919.0,964.55,968.0,1005.6,907.0,175153,164867441.6,7751,941.28,EQ
21-05-2019,964.0,977.0,940.7,974.95,970.0,1005.6,907.0,60236,58233762.1,9638,966.76,EQ
22-05-2019,980.0,980.0,946.2,955.55,962.0,1005.6,907.0,34616,33417684.95,2668,965.38,EQ
23-05-2019,960.0,970.0,935.1,940.45,940.9,1005.6,907.0,15375,14622329.6,1326,951.05,EQ
24-05-2019,935.0,952.4,930.65,950.0,947.0,1005.6,907.0,12441,11742967.7,1912,943.89,EQ
27-05-2019,955.0,975.0,945.15,972.1,970.0,1005.6,907.0,27745,26772197.9,2446,964.94,EQ
28-05-2019,975.0,978.0,963.05,966.8,965.95,1005.6,907.0,16690,16132109.35,1896,966.57,EQ
29-05-2019,967.95,969.0,961.7,965.2,962.6,1005.6,907.0,24710,23832448.6,2873,964.49,EQ
30-05-2019,955.15,968.4,955.1,960.2,959.0,1005.6,907.0,12582,12072227.6,1794,959.48,EQ
31-05-2019,970.0,970.0,957.85,966.45,965.0,1005.6,907.0,184424,177731569.35,11316,963.71,EQ
03-06-2019,960.35,973.0,960.25,970.2,970.95,1005.6,907.0,29563,28677162.3,1250,970.04,EQ
04-06-2019,970.2,973.0,962.2,970.6,973.0,1005.6,907.0,33534,32493699.7,2816,968.98,EQ
06-06-2019,972.0,974.85,950.8,965.75,960.1,1005.6,907.0,32781,31746408.9,2027,968.44,EQ
07-06-2019,969.95,969.95,956.95,963.15,957.1,1005.6,907.0,14089,13610569.05,1917,966.04,EQ
10-06-2019,962.0,965.0,927.4,962.45,965.0,1005.6,907.0,15510,14830921.75,1393,956.22,EQ
11-06-2019,950.0,970.0,945.1,966.3,967.15,1005.6,907.0,17241,16548744.0,1225,959.85,EQ
12-06-2019,950.1,972.0,950.1,967.9,970.05,1005.6,907.0,28371,27477620.35,1918,968.51,EQ
13-06-2019,950.1,977.0,950.1,970.45,967.0,1005.6,907.0,17004,16513199.2,2086,971.14,EQ
14-06-2019,970.45,980.0,950.0,973.6,977.5,1005.6,907.0,13567,13165252.35,1047,970.39,EQ
17-06-2019,961.0,974.35,930.0,948.65,938.0,1005.6,907.0,87719,85018891.05,1701,969.22,EQ
18-06-2019,933.0,965.9,933.0,960.4,964.0,1005.6,907.0,12962,12379543.55,1601,955.06,EQ
19-06-2019,951.0,981.0,931.1,970.35,966.5,1005.6,907.0,21086,20321989.2,1450,963.77,EQ
20-06-2019,953.1,990.0,953.1,986.3,982.1,1005.6,907.0,30189,29554657.45,1911,978.99,EQ
21-06-2019,975.0,995.95,967.1,991.5,990.0,1005.6,907.0,23322,23026832.0,2153,987.34,EQ
24-06-2019,980.0,989.85,966.0,971.9,966.0,1005.6,907.0,11213,11005955.15,1828,981.54,EQ
25-06-2019,971.9,974.75,957.75,971.95,963.0,1005.6,907.0,9469,9151719.6,914,966.49,EQ
26-06-2019,964.15,973.75,963.4,967.8,966.0,1005.6,907.0,7121,6891271.1,638,967.74,EQ
27-06-2019,965.0,972.7,953.0,954.9,955.85,1005.6,907.0,16993,16349861.8,1725,962.15,EQ
28-06-2019,950.95,976.0,948.05,971.3,961.1,1005.6,907.0,18323,17682144.15,1507,965.02,EQ
01-07-2019,965.0,974.0,949.0,953.7,950.5,1005.6,907.0,13699,13189959.95,1358,962.84,EQ
02-07-2019,947.95,965.0,946.15,956.55,958.95,1005.6,907.0,10225,9805487.85,1201,958.97,EQ
03-07-2019,951.95,987.8,951.95,983.6,973.05,1005.6,907.0,30646,29820688.75,2708,973.07,EQ
04-07-2019,973.0,1005.7,973.0,988.8,979.05,1005.7,907.0,50841,50644611.0,4304,996.14,EQ
05-07-2019,991.65,996.95,974.0,977.4,978.0,1005.7,907.0,22873,22394374.8,1239,979.07,EQ
08-07-2019,977.4,977.4,953.0,969.2,971.5,1005.7,907.0,31966,30823757.65,2354,964.27,EQ
09-07-2019,955.15,968.25,955.1,962.3,960.0,1005.7,907.0,31407,30251080.45,2646,963.2,EQ
10-07-2019,967.8,1003.0,954.95,994.95,986.5,1005.7,907.0,31464,30580316.4,2433,971.91,EQ
11-07-2019,991.2,1024.9,980.1,1011.25,1015.0,1024.9,907.0,39495,39684859.9,2750,1004.81,EQ
12-07-2019,1009.9,1080.0,1003.1,1068.2,1056.0,1080.0,907.0,86861,92108262.3,7745,1060.41,EQ
15-07-2019,1064.0,1064.0,1030.0,1043.6,1040.0,1080.0,907.0,12669,13261310.55,1353,1046.75,EQ
16-07-2019,1043.6,1058.7,1030.0,1032.0,1031.0,1080.0,907.0,9648,10084395.8,2273,1045.23,EQ
17-07-2019,1032.0,1055.0,1030.15,1038.95,1035.05,1080.0,907.0,8438,8823553.5,1576,1045.69,EQ
18-07-2019,1035.05,1050.0,1025.0,1026.75,1025.0,1080.0,907.0,15555,16125395.65,2718,1036.67,EQ
19-07-2019,1027.05,1039.8,1010.0,1031.3,1038.7,1080.0,907.0,13628,13961547.2,2065,1024.48,EQ
22-07-2019,1031.3,1036.65,1005.0,1021.85,1028.0,1080.0,907.0,19589,19876836.2,3980,1014.69,EQ
23-07-2019,1015.0,1060.0,1010.05,1052.15,1042.0,1080.0,907.0,12437,12866979.7,1677,1034.57,EQ
24-07-2019,1067.0,1067.0,1032.2,1049.5,1032.2,1080.0,907.0,10965,11514571.0,1621,1050.12,EQ
25-07-2019,1068.75,1068.75,1024.0,1029.95,1025.65,1080.0,907.0,7474,7797924.6,1139,1043.34,EQ
26-07-2019,1015.25,1027.9,1010.0,1012.2,1010.0,1080.0,907.0,12050,12231407.75,1820,1015.05,EQ
29-07-2019,1014.95,1049.0,1005.0,1016.6,1005.0,1080.0,907.0,21588,22140037.8,5349,1025.57,EQ
30-07-2019,1019.95,1019.95,1005.0,1005.7,1005.0,1080.0,907.0,4993,5033696.1,769,1008.15,EQ
31-07-2019,1000.75,1049.8,995.0,1018.95,1020.0,1080.0,907.0,13478,13666908.0,2074,1014.02,EQ
01-08-2019,1000.0,1040.0,1000.0,1035.0,1040.0,1080.0,907.0,19637,20238035.7,1612,1030.61,EQ
02-08-2019,1010.0,1045.0,1010.0,1030.3,1038.0,1080.0,907.0,3943,4067154.7,921,1031.49,EQ
05-08-2019,1010.8,1029.0,1005.0,1026.7,1020.1,1080.0,907.0,5761,5873336.1,644,1019.5,EQ
06-08-2019,1006.8,1064.95,1006.0,1045.65,1050.1,1080.0,907.0,12393,12966665.1,2481,1046.29,EQ
07-08-2019,1059.85,1064.25,1028.8,1042.9,1033.0,1080.0,907.0,26621,27730282.5,3021,1041.67,EQ
08-08-2019,1043.0,1062.3,1035.0,1052.35,1057.0,1080.0,907.0,21148,22088987.25,3831,1044.5,EQ
09-08-2019,1059.9,1075.0,1055.0,1060.9,1055.05,1080.0,907.0,10768,11462021.6,1181,1064.45,EQ
13-08-2019,1079.0,1079.0,1025.0,1030.5,1025.0,1080.0,907.0,4163,4337703.05,725,1041.97,EQ
14-08-2019,1042.7,1043.7,1020.0,1023.75,1020.15,1080.0,907.0,8742,8998044.3,1357,1029.29,EQ
16-08-2019,1020.05,1036.0,1015.0,1027.6,1016.5,1080.0,907.0,11158,11412080.4,2356,1022.77,EQ
19-08-2019,1015.15,1030.0,1005.0,1011.4,1028.8,1080.0,907.0,8124,8277767.85,926,1018.93,EQ
20-08-2019,1010.0,1046.0,1009.95,1030.8,1031.0,1080.0,907.0,7661,7854486.15,911,1025.26,EQ
21-08-2019,1035.95,1056.0,1021.1,1047.5,1041.55,1080.0,907.0,20551,21425447.55,1471,1042.55,EQ
22-08-2019,1057.5,1057.5,1005.05,1042.2,1036.3,1080.0,907.0,51376,53725861.95,2552,1045.74,EQ
23-08-2019,1035.15,1050.05,1027.25,1044.3,1043.65,1080.0,907.0,145166,150423783.2,2690,1036.22,EQ
26-08-2019,1036.85,1060.0,1035.0,1040.45,1035.0,1080.0,907.0,203043,210204596.85,1087,1035.27,EQ
27-08-2019,1042.0,1070.0,1025.15,1065.1,1069.0,1080.0,907.0,15870,16714823.2,1989,1053.23,EQ
28-08-2019,1056.05,1080.0,1035.0,1059.2,1064.0,1080.0,907.0,26582,28103399.05,3077,1057.23,EQ
29-08-2019,1070.0,1090.0,1041.2,1071.9,1090.0,1090.0,907.0,13731,14575888.2,1744,1061.53,EQ
30-08-2019,1078.65,1174.0,1067.4,1162.0,1161.9,1174.0,907.0,116547,133322145.6,8528,1143.93,EQ
03-09-2019,1162.0,1234.95,1142.3,1212.6,1190.05,1234.95,907.0,107096,128854236.7,6345,1203.17,EQ
04-09-2019,1209.0,1240.0,1170.0,1214.4,1207.0,1240.0,907.0,52758,64174788.55,4199,1216.4,EQ
05-09-2019,1217.9,1229.0,1175.0,1201.75,1183.0,1240.0,907.0,7700,9364223.95,1062,1216.13,EQ
06-09-2019,1199.95,1213.0,1175.0,1194.25,1186.25,1240.0,907.0,13631,16294607.85,1644,1195.41,EQ
09-09-2019,1196.2,1322.0,1170.0,1303.85,1305.25,1322.0,907.0,89680,115095926.15,6344,1283.41,EQ
11-09-2019,1323.0,1360.0,1280.0,1287.65,1281.05,1360.0,907.0,61162,80495278.25,5791,1316.1,EQ
12-09-2019,1287.65,1313.05,1240.0,1247.9,1243.1,1360.0,907.0,27877,35359325.35,3288,1268.4,EQ
13-09-2019,1259.3,1286.35,1237.85,1275.4,1272.1,1360.0,907.0,26272,33363192.5,3730,1269.91,EQ
16-09-2019,1285.0,1288.0,1235.0,1239.5,1235.0,1360.0,907.0,10722,13497512.1,1190,1258.86,EQ
17-09-2019,1260.6,1260.6,1218.0,1232.1,1233.0,1360.0,907.0,20127,24861020.5,2113,1235.21,EQ
18-09-2019,1233.0,1264.0,1220.3,1244.25,1242.3,1360.0,907.0,18297,22742725.25,1725,1242.98,EQ
19-09-2019,1243.05,1250.0,1220.25,1223.15,1232.35,1360.0,907.0,11022,13603945.1,2071,1234.25,EQ
20-09-2019,1229.9,1292.0,1220.2,1249.4,1249.0,1360.0,907.0,56631,71243918.35,6171,1258.04,EQ
23-09-2019,1298.95,1340.0,1275.25,1330.9,1332.0,1360.0,907.0,90325,117845897.7,8130,1304.69,EQ
24-09-2019,1330.0,1337.35,1287.35,1298.95,1295.0,1360.0,907.0,67152,88678493.35,6878,1320.56,EQ
25-09-2019,1298.0,1298.0,1269.0,1277.6,1269.0,1360.0,907.0,22347,28619635.7,2863,1280.69,EQ
26-09-2019,1274.95,1325.0,1272.05,1287.4,1275.25,1360.0,907.0,48982,63696096.7,3342,1300.4,EQ
27-09-2019,1280.0,1296.0,1271.15,1277.45,1275.0,1360.0,907.0,11549,14799061.55,845,1281.41,EQ
30-09-2019,1277.45,1287.0,1265.0,1272.8,1265.0,1360.0,907.0,42487,54321580.75,1224,1278.55,EQ
01-10-2019,1268.0,1282.35,1240.0,1249.45,1250.0,1360.0,907.0,14662,18469725.3,1929,1259.7,EQ
03-10-2019,1225.1,1244.6,1225.0,1238.25,1239.0,1360.0,907.0,25165,31176582.35,3062,1238.89,EQ
04-10-2019,1256.1,1269.7,1218.7,1229.6,1230.0,1360.0,907.0,11120,13808016.3,2548,1241.73,EQ
07-10-2019,1242.1,1294.95,1225.75,1254.9,1250.0,1360.0,907.0,19820,25050653.6,3034,1263.91,EQ
09-10-2019,1235.0,1300.0,1235.0,1270.1,1270.0,1360.0,907.0,20511,26070668.5,2254,1271.06,EQ
10-10-2019,1272.8,1290.0,1267.3,1275.55,1274.0,1360.0,907.0,183312,234247419.65,2633,1277.86,EQ
