DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
01-07-2016,540.0,548.95,518.0,520.3,519.3,548.95,518.0,20001438,10650039443.6,345537,532.46,EQ
04-07-2016,523.5,533.9,521.3,531.05,530.35,548.95,518.0,3591938,1898430523.2,67906,528.53,EQ
05-07-2016,530.0,532.5,516.25,517.5,517.5,548.95,516.25,1611597,844940886.95,27257,524.29,EQ
07-07-2016,518.75,520.6,504.55,506.2,506.5,548.95,504.55,1050990,537198345.45,29358,511.14,EQ
08-07-2016,506.4,510.75,498.55,502.5,503.0,548.95,498.55,1306333,658726464.95,35666,504.26,EQ
11-07-2016,508.0,511.75,502.0,503.4,503.0,548.95,498.55,963350,488035707.25,22188,506.6,EQ
12-07-2016,505.4,506.0,495.1,496.75,496.35,548.95,495.1,790935,394653263.55,20038,498.97,EQ
13-07-2016,497.5,504.25,492.65,500.25,500.9,548.95,492.65,835625,417269989.0,21168,499.35,EQ
14-07-2016,500.9,509.95,498.0,506.55,505.3,548.95,492.65,676085,341261249.3,18404,504.76,EQ
15-07-2016,507.45,513.9,502.05,506.8,507.55,548.95,492.65,801549,407930647.85,22616,508.93,EQ
18-07-2016,507.8,511.8,503.1,509.9,510.65,548.95,492.65,500134,254452821.2,13970,508.77,EQ
19-07-2016,510.1,514.2,508.0,509.45,509.25,548.95,492.65,306063,156188645.45,8125,510.32,EQ
20-07-2016,510.1,512.75,509.0,510.1,510.0,548.95,492.65,436612,222929884.0,17924,510.59,EQ
21-07-2016,510.05,513.75,502.45,503.9,502.95,548.95,492.65,376728,191873103.0,17644,509.31,EQ
22-07-2016,504.8,509.75,504.0,508.1,509.0,548.95,492.65,246857,125304247.7,18997,507.6,EQ
25-07-2016,508.45,509.45,503.15,504.55,506.2,548.95,492.65,209098,105816558.9,10693,506.06,EQ
26-07-2016,506.0,507.25,497.7,499.4,500.0,548.95,492.65,203104,102249201.85,9208,503.43,EQ
27-07-2016,498.4,503.95,496.6,498.0,498.0,548.95,492.65,208083,104046436.05,12099,500.02,EQ
28-07-2016,499.7,511.25,496.0,506.35,506.5,548.95,492.65,653293,329980223.15,18776,505.1,EQ
29-07-2016,507.0,515.6,506.2,508.8,509.0,548.95,492.65,544200,277419258.8,17798,509.77,EQ
01-08-2016,509.0,515.0,504.0,512.35,514.2,548.95,492.65,1819762,924130225.3,42730,507.83,EQ
02-08-2016,514.85,521.95,514.0,519.4,518.5,548.95,492.65,1016034,527241922.3,32309,518.92,EQ
03-08-2016,519.0,523.95,509.1,511.35,510.55,548.95,492.65,461560,238206595.3,19703,516.09,EQ
04-08-2016,513.5,518.5,509.95,517.0,518.05,548.95,492.65,369454,190470901.15,15280,515.55,EQ
05-08-2016,517.95,522.0,514.05,519.55,520.1,548.95,492.65,417478,216841458.35,31108,519.41,EQ
08-08-2016,522.0,532.4,521.0,530.3,530.05,548.95,492.65,657734,346819694.05,29478,527.29,EQ
