DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
26-12-2023,109.0,109.8,103.55,103.55,103.55,109.8,103.55,8948938,954401029.15,40545,106.65,BE
27-12-2023,98.4,98.4,98.4,98.4,98.4,109.8,98.4,419499,41278701.6,6657,98.4,BE
28-12-2023,93.5,93.5,93.5,93.5,93.5,109.8,93.5,337714,31576259.0,4565,93.5,BE
29-12-2023,88.85,98.15,88.85,98.15,98.15,109.8,88.85,5775548,536684197.35,33033,92.92,BE
01-01-2024,99.25,103.05,95.05,103.05,103.05,109.8,88.85,2973932,297800730.45,15116,100.14,BE
02-01-2024,102.9,108.2,100.0,108.2,108.2,109.8,88.85,2838442,300695631.2,20238,105.94,BE
03-01-2024,110.0,113.6,108.2,113.6,113.6,113.6,88.85,1165450,130709865.2,8703,112.15,BE
04-01-2024,118.9,119.25,116.45,119.25,119.25,119.25,88.85,574979,68486837.95,3583,119.11,BE
05-01-2024,125.2,125.2,125.2,125.2,125.2,125.2,88.85,625311,78288937.2,3438,125.2,BE
08-01-2024,131.4,131.45,118.95,131.3,131.45,131.45,88.85,3975696,506662916.9,27697,127.44,BE
09-01-2024,132.35,157.55,132.0,157.55,157.55,157.55,88.85,7867756,1163146412.8,59940,147.84,EQ
10-01-2024,169.35,189.05,168.1,189.05,189.05,189.05,88.85,12972880,2380049971.7,94430,183.46,EQ
11-01-2024,200.0,207.95,196.0,207.95,207.95,207.95,88.85,7090771,1462517232.6,36494,206.26,EQ
12-01-2024,219.9,228.7,212.15,228.7,228.7,228.7,88.85,13615564,3011275209.3,101511,221.16,EQ
15-01-2024,237.5,248.15,205.85,215.0,207.8,248.15,88.85,14051791,3268520612.7,124708,232.61,EQ
16-01-2024,202.95,234.0,194.15,229.2,223.0,248.15,88.85,13228500,2824763449.15,107808,213.54,EQ
17-01-2024,220.0,235.0,215.8,230.55,227.8,248.15,88.85,4307696,982006636.35,36402,227.97,EQ
18-01-2024,229.95,234.0,216.1,221.9,221.4,248.15,88.85,1986520,445727149.6,23589,224.38,EQ
19-01-2024,226.0,227.9,199.75,202.45,201.3,248.15,88.85,4344877,913453351.0,45630,210.24,EQ
20-01-2024,200.0,212.0,192.6,195.95,196.0,248.15,88.85,2199754,439049123.25,29786,199.59,EQ
23-01-2024,194.05,202.65,177.0,179.85,179.45,248.15,88.85,2973675,550547777.7,41117,185.14,EQ
24-01-2024,180.05,188.8,173.05,188.8,188.8,248.15,88.85,4029163,754245405.75,13500,187.2,EQ
25-01-2024,195.4,198.2,194.4,198.2,198.2,248.15,88.85,526720,104147162.25,2013,197.73,EQ
29-01-2024,207.5,208.1,190.55,192.45,192.0,248.15,88.85,2984776,601888082.8,26196,201.65,EQ
30-01-2024,197.0,197.7,185.0,186.45,186.8,248.15,88.85,1220090,231439822.85,17278,189.69,EQ
31-01-2024,184.05,195.75,184.05,190.55,190.7,248.15,88.85,1748953,337592449.0,16165,193.03,EQ
01-02-2024,193.0,193.9,185.3,187.35,188.3,248.15,88.85,756040,142346228.7,10574,188.28,EQ
02-02-2024,189.5,192.5,185.15,186.5,187.8,248.15,88.85,1042348,196220600.4,8202,188.25,EQ
05-02-2024,188.1,190.95,181.0,183.6,184.7,248.15,88.85,1054535,195523417.1,14022,185.41,EQ
06-02-2024,184.55,186.0,179.05,181.1,181.3,248.15,88.85,1410821,255438913.35,7471,181.06,EQ
07-02-2024,183.3,188.5,182.15,186.05,186.3,248.15,88.85,598450,111188497.55,6768,185.79,EQ
08-02-2024,190.0,192.0,182.6,187.9,188.85,248.15,88.85,628625,118244765.55,7976,188.1,EQ
09-02-2024,195.0,195.0,181.3,184.8,185.0,248.15,88.85,497678,93043518.4,7574,186.96,EQ
12-02-2024,182.0,187.9,176.05,179.6,178.0,248.15,88.85,978138,177262258.65,9628,181.22,EQ
13-02-2024,179.0,181.65,173.0,177.15,178.0,248.15,88.85,569534,100624669.8,4710,176.68,EQ
14-02-2024,173.0,181.3,173.0,177.4,177.2,248.15,88.85,318085,56635382.45,4601,178.05,EQ
15-02-2024,177.0,184.75,176.15,180.8,180.8,248.15,88.85,491972,89226314.7,5754,181.36,EQ
16-02-2024,181.9,189.8,177.6,189.45,189.8,248.15,88.85,819750,152436084.25,6517,185.95,EQ
19-02-2024,196.8,197.6,189.0,196.55,195.5,248.15,88.85,1433092,277338674.35,9853,193.52,EQ
20-02-2024,192.7,195.5,190.0,190.85,191.0,248.15,88.85,381427,73604832.5,4400,192.97,EQ
21-02-2024,192.0,192.4,185.0,188.15,188.5,248.15,88.85,436587,82535920.0,3918,189.05,EQ
22-02-2024,189.45,189.7,185.15,186.55,187.0,248.15,88.85,175427,32782685.75,2802,186.87,EQ
23-02-2024,186.55,190.25,186.0,186.7,186.0,248.15,88.85,228338,42933269.35,3079,188.03,EQ
26-02-2024,187.1,194.2,185.5,186.9,188.0,248.15,88.85,447442,84545483.75,4673,188.95,EQ
27-02-2024,189.0,189.25,183.2,185.25,186.0,248.15,88.85,229900,42832002.55,2734,186.31,EQ
28-02-2024,186.0,186.45,178.0,179.2,179.2,248.15,88.85,366638,66290538.95,4592,180.81,EQ
29-02-2024,180.0,181.0,172.5,175.45,176.0,248.15,88.85,275396,48536529.35,3993,176.24,EQ
01-03-2024,175.95,179.2,173.15,174.65,174.0,248.15,88.85,199949,35313777.15,3181,176.61,EQ
02-03-2024,175.75,176.6,168.0,172.1,173.1,248.15,88.85,123127,21343141.9,2284,173.34,EQ
04-03-2024,169.05,174.0,164.6,166.0,165.05,248.15,88.85,418455,70613922.7,5905,168.75,EQ
05-03-2024,168.95,168.95,157.7,161.95,162.0,248.15,88.85,738921,118455795.8,7851,160.31,EQ
06-03-2024,162.95,163.5,153.85,156.9,157.3,248.15,88.85,526589,82911848.55,6300,157.45,EQ
07-03-2024,156.0,161.25,156.0,160.15,160.5,248.15,88.85,260196,41426500.55,3704,159.21,EQ
11-03-2024,164.0,164.0,156.1,156.75,157.0,248.15,88.85,233514,37040845.35,2800,158.62,EQ
12-03-2024,154.0,154.0,148.95,148.95,148.95,248.15,88.85,321746,48221439.95,3286,149.87,EQ
13-03-2024,145.0,146.75,141.5,141.5,141.5,248.15,88.85,224934,32170713.25,2542,143.02,EQ
14-03-2024,134.45,144.05,134.45,140.95,141.25,248.15,88.85,888355,123296945.1,6115,138.79,EQ
