DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
15-03-2021,1050.0,1154.9,1040.0,1082.5,1078.3,1154.9,1040.0,14975915,16378094887.9,749805,1093.63,EQ
16-03-2021,1079.0,1079.0,986.0,1008.05,1001.0,1154.9,986.0,3988465,4066523222.15,223947,1019.57,EQ
17-03-2021,1001.0,1003.0,933.0,950.35,941.85,1154.9,933.0,2904461,2809828599.75,151261,967.42,EQ
18-03-2021,953.0,973.0,904.5,920.7,925.0,1154.9,904.5,1515177,1409447652.4,69202,930.22,EQ
19-03-2021,910.0,977.95,860.0,969.45,973.9,1154.9,860.0,2007979,1867400556.9,116904,929.99,EQ
22-03-2021,973.9,1038.0,960.15,1030.5,1036.3,1154.9,860.0,1223675,1241014080.0,68485,1014.17,EQ
23-03-2021,1043.0,1066.0,1003.05,1052.4,1055.0,1154.9,860.0,1003400,1044877901.75,51226,1041.34,EQ
24-03-2021,1045.0,1076.3,996.35,1013.7,1009.8,1154.9,860.0,886211,926219310.65,39889,1045.15,EQ
25-03-2021,1010.0,1027.2,970.0,981.4,981.5,1154.9,860.0,444381,441205837.15,28614,992.85,EQ
26-03-2021,1001.05,1026.7,1001.0,1017.7,1017.0,1154.9,860.0,304365,308372433.65,20819,1013.17,EQ
30-03-2021,1026.0,1033.0,991.0,1011.05,998.7,1154.9,860.0,248858,250195629.85,15300,1005.38,EQ
31-03-2021,1011.0,1050.7,990.9,1023.7,1037.45,1154.9,860.0,295357,298867057.35,16746,1011.88,EQ
01-04-2021,1049.5,1059.0,1035.0,1045.65,1046.0,1154.9,860.0,241427,252435864.55,12745,1045.6,EQ
05-04-2021,1050.0,1060.0,1008.35,1038.3,1034.0,1154.9,860.0,276148,286426979.25,14034,1037.22,EQ
06-04-2021,1050.0,1053.0,1007.15,1016.0,1010.0,1154.9,860.0,181540,186220999.75,10099,1025.78,EQ
07-04-2021,1021.0,1041.8,1008.05,1023.55,1017.0,1154.9,860.0,183243,188459869.7,10769,1028.47,EQ
08-04-2021,1028.85,1070.0,1022.05,1042.95,1044.0,1154.9,860.0,328991,344267015.35,14367,1046.43,EQ
09-04-2021,1046.0,1051.0,1022.0,1028.35,1025.0,1154.9,860.0,337491,348017308.6,24458,1031.19,EQ
12-04-2021,1018.0,1019.2,957.05,967.15,963.4,1154.9,860.0,220266,215537282.4,23114,978.53,EQ
13-04-2021,974.0,988.0,948.7,974.35,980.0,1154.9,860.0,256826,247546485.15,27066,963.87,EQ
15-04-2021,981.0,996.35,953.0,960.45,958.5,1154.9,860.0,393921,379840786.3,17337,964.26,EQ
16-04-2021,972.95,977.95,943.05,949.8,948.35,1154.9,860.0,221781,211037247.8,19027,951.56,EQ
19-04-2021,940.0,940.0,914.15,919.5,918.0,1154.9,860.0,155531,143197334.65,14005,920.7,EQ
20-04-2021,935.0,960.0,928.05,941.4,941.85,1154.9,860.0,153964,145012092.1,9725,941.86,EQ
22-04-2021,941.1,973.95,936.0,964.75,958.0,1154.9,860.0,217613,208200685.2,12832,956.75,EQ
23-04-2021,962.0,979.0,952.8,957.65,953.55,1154.9,860.0,151055,145975657.7,7930,966.37,EQ
