DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
07-04-2017,31.8,32.45,30.15,31.25,31.35,32.45,30.15,77558,2460023.0,388,31.72,EQ
10-04-2017,32.0,32.0,29.8,30.5,30.6,32.45,29.8,16137,491464.85,101,30.46,EQ
11-04-2017,30.8,31.05,29.05,29.35,30.0,32.45,29.05,24814,749914.45,100,30.22,EQ
12-04-2017,30.05,30.5,28.6,28.75,28.65,32.45,28.6,12888,374098.75,73,29.03,EQ
13-04-2017,27.1,29.5,27.1,29.45,29.45,32.45,27.1,3396,98938.9,34,29.13,EQ
17-04-2017,29.25,30.0,27.5,27.85,28.6,32.45,27.1,17556,497373.25,75,28.33,EQ
18-04-2017,28.2,29.2,28.0,28.3,28.3,32.45,27.1,16950,480315.05,92,28.34,EQ
19-04-2017,28.95,30.8,27.9,29.6,29.05,32.45,27.1,80479,2383828.55,276,29.62,EQ
20-04-2017,30.25,30.7,28.2,29.15,29.45,32.45,27.1,40700,1204591.3,167,29.6,EQ
21-04-2017,28.35,29.35,28.35,28.75,28.75,32.45,27.1,20140,582309.5,56,28.91,EQ
24-04-2017,28.15,29.7,28.15,28.65,28.35,32.45,27.1,23251,665277.05,123,28.61,EQ
25-04-2017,28.85,28.85,28.0,28.1,28.2,32.45,27.1,12479,353992.95,74,28.37,EQ
26-04-2017,28.6,29.5,27.85,28.55,28.3,32.45,27.1,30399,879006.45,169,28.92,EQ
27-04-2017,28.35,28.95,27.4,27.95,27.9,32.45,27.1,40201,1115238.65,114,27.74,EQ
28-04-2017,27.95,27.95,26.1,27.65,27.7,32.45,26.1,22152,603991.55,151,27.27,EQ
02-05-2017,27.5,28.45,27.1,27.25,27.25,32.45,26.1,20109,557304.4,72,27.71,EQ
03-05-2017,27.6,27.85,27.05,27.35,27.2,32.45,26.1,92845,2546319.3,105,27.43,EQ
