DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
18-09-2007,95.0,114.0,95.0,114.0,114.0,114.0,95.0,383035,43558908.4,,113.72,EQ
19-09-2007,135.9,135.9,112.55,114.25,113.2,135.9,95.0,683837,81901341.45,,119.77,EQ
20-09-2007,115.4,115.4,100.0,105.6,107.0,135.9,95.0,136665,14762095.55,,108.02,EQ
21-09-2007,107.0,113.5,102.05,103.8,103.2,135.9,95.0,148692,16063398.7,,108.03,EQ
24-09-2007,107.9,108.0,96.0,98.2,99.2,135.9,95.0,48727,4975588.25,,102.11,EQ
25-09-2007,102.0,102.0,93.1,94.6,94.0,135.9,93.1,42360,4045166.25,,95.49,EQ
26-09-2007,99.9,99.9,85.05,85.8,85.5,135.9,85.05,40430,3600309.15,,89.05,EQ
27-09-2007,87.0,103.0,82.0,103.0,103.0,135.9,82.0,190624,18510865.2,,97.11,EQ
28-09-2007,103.0,107.0,98.0,101.7,99.25,135.9,82.0,146521,14958317.05,,102.09,EQ
01-10-2007,103.0,103.0,95.1,97.9,96.25,135.9,82.0,18397,1828892.3,,99.41,EQ
03-10-2007,103.8,103.8,95.0,97.35,97.25,135.9,82.0,16961,1667951.3,,98.34,EQ
04-10-2007,96.1,99.9,78.1,93.35,93.0,135.9,78.1,4411,420598.55,,95.35,EQ
05-10-2007,91.0,98.65,91.0,92.85,93.0,135.9,78.1,8651,808849.6,,93.5,EQ
08-10-2007,92.25,93.0,84.0,86.4,88.9,135.9,78.1,10926,961608.45,,88.01,EQ
09-10-2007,92.0,92.0,80.15,87.75,87.1,135.9,78.1,7915,667164.2,,84.29,EQ
10-10-2007,88.5,89.0,85.0,85.45,85.0,135.9,78.1,5352,465000.75,,86.88,EQ
11-10-2007,85.9,102.55,85.0,102.55,102.55,135.9,78.1,42191,4216532.8,,99.94,EQ
12-10-2007,104.9,123.0,93.1,94.9,95.5,135.9,78.1,46953,4720441.7,,100.54,EQ
15-10-2007,97.0,107.9,97.0,105.65,106.25,135.9,78.1,94297,9733235.4,,103.22,EQ
16-10-2007,97.0,107.0,97.0,102.4,102.9,135.9,78.1,28211,2926833.75,,103.75,EQ
17-10-2007,87.0,101.9,87.0,98.85,101.7,135.9,78.1,19427,1878355.0,,96.69,EQ
18-10-2007,104.0,105.0,94.0,94.6,96.0,135.9,78.1,26866,2710526.7,,100.89,EQ
19-10-2007,94.0,94.0,86.0,89.2,89.85,135.9,78.1,10235,909494.75,,88.86,EQ
22-10-2007,88.3,91.95,88.3,88.55,89.0,135.9,78.1,4121,367866.95,,89.27,EQ
23-10-2007,90.55,93.5,88.6,90.9,90.65,135.9,78.1,12802,1163774.2,,90.91,EQ
24-10-2007,96.0,97.7,89.0,93.15,93.0,135.9,78.1,7892,731006.85,,92.63,EQ
25-10-2007,93.0,94.0,92.5,93.25,93.0,135.9,78.1,8017,746401.45,,93.1,EQ
26-10-2007,88.1,107.9,88.1,101.45,103.0,135.9,78.1,31657,3191070.95,,100.8,EQ
29-10-2007,104.1,110.8,103.0,103.7,103.5,135.9,78.1,35967,3841268.7,,106.8,EQ
30-10-2007,102.9,111.0,100.5,104.0,104.0,135.9,78.1,28568,3009821.9,,105.36,EQ
31-10-2007,103.5,108.0,102.25,102.85,102.75,135.9,78.1,11145,1169250.7,,104.91,EQ
01-11-2007,105.0,106.5,100.0,100.7,100.1,135.9,78.1,13264,1359232.4,,102.48,EQ
02-11-2007,98.0,102.85,98.0,100.5,100.0,135.9,78.1,7216,722369.8,,100.11,EQ
05-11-2007,98.0,104.0,95.25,101.05,101.0,135.9,78.1,6061,617985.65,,101.96,EQ
06-11-2007,96.0,106.9,96.0,104.45,104.25,135.9,78.1,14119,1473372.95,,104.35,EQ
07-11-2007,101.0,106.0,101.0,104.0,104.2,135.9,78.1,9926,1031518.65,,103.92,EQ
08-11-2007,104.0,104.0,100.2,101.6,100.2,135.9,78.1,2862,291161.1,,101.73,EQ
09-11-2007,101.5,103.0,100.0,102.15,101.0,135.9,78.1,1101,112084.0,,101.8,EQ
12-11-2007,100.0,101.45,97.0,99.75,99.0,135.9,78.1,7047,699303.95,,99.23,EQ
13-11-2007,100.0,116.0,98.0,106.9,107.7,135.9,78.1,35295,3896033.2,,110.38,EQ
14-11-2007,108.0,113.95,104.1,106.55,106.55,135.9,78.1,14440,1563576.85,,108.28,EQ
15-11-2007,108.3,108.3,102.0,103.75,104.0,135.9,78.1,6943,729986.95,,105.14,EQ
16-11-2007,106.0,107.3,102.0,104.0,102.3,135.9,78.1,6513,684076.5,,105.03,EQ
19-11-2007,105.0,105.0,100.05,102.15,102.15,135.9,78.1,3265,337417.85,,103.34,EQ
20-11-2007,107.0,107.0,102.15,102.8,102.15,135.9,78.1,7550,787356.25,,104.29,EQ
21-11-2007,103.0,104.0,95.0,95.85,95.15,135.9,78.1,5676,552188.4,,97.28,EQ
22-11-2007,91.65,97.3,90.5,93.2,96.0,135.9,78.1,6059,565536.1,,93.34,EQ
23-11-2007,96.0,100.95,94.0,95.2,94.35,135.9,78.1,2996,287169.05,,95.85,EQ
26-11-2007,96.5,100.0,95.05,96.45,97.25,135.9,78.1,4052,395556.55,,97.62,EQ
27-11-2007,94.25,98.75,94.25,96.6,96.5,135.9,78.1,1569,152155.4,,96.98,EQ
28-11-2007,99.9,99.9,96.0,99.0,99.0,135.9,78.1,3427,333921.55,,97.44,EQ
29-11-2007,100.0,100.0,95.0,95.65,95.0,135.9,78.1,5538,534382.4,,96.49,EQ
30-11-2007,98.9,101.6,96.3,100.15,101.0,135.9,78.1,3795,377991.1,,99.6,EQ
03-12-2007,100.5,102.5,99.0,99.8,100.0,135.9,78.1,4473,449840.4,,100.57,EQ
04-12-2007,101.0,119.8,99.1,119.8,119.8,135.9,78.1,76615,8924406.9,,116.48,EQ
05-12-2007,126.45,143.8,126.45,132.9,133.0,143.8,78.1,165908,22715641.85,,136.92,EQ
06-12-2007,139.7,159.5,134.15,159.5,159.5,159.5,78.1,126332,18775799.25,,148.62,EQ
07-12-2007,175.4,175.4,160.0,169.1,167.95,175.4,78.1,185414,31516686.0,,169.98,EQ
10-12-2007,172.0,172.0,156.3,159.55,160.0,175.4,78.1,55247,8905932.35,,161.2,EQ
11-12-2007,159.5,166.0,154.1,156.35,154.1,175.4,78.1,37437,5998420.25,,160.23,EQ
12-12-2007,150.05,165.0,149.0,160.85,160.0,175.4,78.1,32855,5196399.25,,158.16,EQ
13-12-2007,174.0,176.95,168.0,176.95,176.95,176.95,78.1,58612,10243425.55,,174.77,EQ
14-12-2007,185.0,185.5,168.15,170.85,169.15,185.5,78.1,28463,5034594.75,,176.88,BE
17-12-2007,168.5,174.0,162.4,162.4,162.4,185.5,78.1,9185,1544682.95,,168.17,BE
18-12-2007,160.0,170.0,154.3,156.5,155.1,185.5,78.1,3821,596588.3,,156.13,BE
19-12-2007,156.0,164.0,150.1,153.9,153.95,185.5,78.1,5409,867428.7,,160.37,BE
20-12-2007,160.0,160.0,146.3,147.75,147.0,185.5,78.1,3034,452048.75,,148.99,BE
24-12-2007,142.0,149.9,141.0,146.3,142.5,185.5,78.1,2778,402027.9,,144.72,BE
26-12-2007,140.55,152.15,140.35,149.8,149.8,185.5,78.1,2266,327029.75,,144.32,BE
27-12-2007,153.4,153.4,145.0,145.05,145.1,185.5,78.1,3155,466693.1,,147.92,BE
28-12-2007,145.1,152.0,143.5,147.4,143.7,185.5,78.1,5895,868661.5,,147.36,BE
31-12-2007,145.0,154.0,145.0,153.0,153.95,185.5,78.1,3202,483080.4,,150.87,BE
01-01-2008,152.0,153.45,147.05,148.0,147.05,185.5,78.1,2321,351933.55,,151.63,BE
02-01-2008,148.0,151.0,142.0,146.15,146.0,185.5,78.1,2818,405704.85,,143.97,BE
03-01-2008,148.0,148.0,141.0,143.75,145.0,185.5,78.1,2172,311572.3,,143.45,BE
04-01-2008,143.75,145.0,137.0,142.3,141.25,185.5,78.1,6074,865354.75,,142.47,BE
07-01-2008,141.25,149.3,140.1,148.0,148.0,185.5,78.1,3478,511414.2,,147.04,BE
08-01-2008,155.0,155.0,141.0,143.0,143.0,185.5,78.1,6691,982363.3,,146.82,BE
09-01-2008,138.0,139.5,135.95,135.95,135.95,185.5,78.1,1406,192113.1,,136.64,BE
10-01-2008,135.95,140.0,129.2,129.2,129.2,185.5,78.1,2358,309904.2,,131.43,BE
11-01-2008,123.0,131.6,122.75,131.6,131.6,185.5,78.1,1970,244245.95,,123.98,BE
14-01-2008,125.35,130.0,125.35,127.5,127.05,185.5,78.1,1619,205673.45,,127.04,BE
15-01-2008,128.3,131.95,126.05,126.05,126.05,185.5,78.1,175,22512.25,,128.64,BE
16-01-2008,121.1,128.9,121.05,121.7,128.6,185.5,78.1,2620,318427.45,,121.54,BE
17-01-2008,125.95,126.0,121.0,122.1,121.0,185.5,78.1,310,37886.25,,122.21,BE
18-01-2008,116.3,119.95,116.0,118.0,118.0,185.5,78.1,4226,494090.95,,116.92,BE
21-01-2008,114.0,114.0,112.1,112.1,112.1,185.5,78.1,1307,146534.0,,112.11,BE
23-01-2008,106.5,106.5,106.5,106.5,106.5,185.5,78.1,50,5325.0,,106.5,BE
24-01-2008,101.2,101.2,101.2,101.2,101.2,185.5,78.1,25,2530.0,,101.2,BE
25-01-2008,96.15,96.15,96.15,96.15,96.15,185.5,78.1,115,11057.25,,96.15,BE
28-01-2008,91.35,91.35,91.35,91.35,91.35,185.5,78.1,35,3197.25,,91.35,BE
29-01-2008,87.1,93.0,87.0,87.6,87.2,185.5,78.1,2380,211830.95,,89.0,BE
30-01-2008,83.3,87.5,83.25,87.5,87.5,185.5,78.1,12053,1004193.2,,83.31,BE
31-01-2008,83.2,87.0,83.2,83.2,83.2,185.5,78.1,1457,122062.95,,83.78,BE
01-02-2008,79.2,83.25,79.2,82.05,82.05,185.5,78.1,1005,82364.55,,81.95,BE
