DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
23-03-2007,65.0,65.0,60.75,60.75,60.75,65.0,60.75,16053,979469.75,,61.01,EQ
26-03-2007,48.6,48.6,48.6,48.6,48.6,65.0,48.6,8378,407170.8,,48.6,EQ
28-03-2007,38.9,38.9,38.9,38.9,38.9,65.0,38.9,9928,386199.2,,38.9,EQ
29-03-2007,31.15,36.0,31.15,31.55,31.3,65.0,31.15,1482189,48559635.75,,32.76,EQ
30-03-2007,32.7,34.25,32.05,32.3,32.2,65.0,31.15,221112,7331893.95,,33.16,EQ
02-04-2007,31.9,32.4,29.3,29.95,29.75,65.0,29.3,137563,4276380.45,,31.09,EQ
03-04-2007,30.65,30.7,28.5,28.85,28.7,65.0,28.5,114793,3412097.15,,29.72,EQ
04-04-2007,29.2,29.45,28.05,28.45,28.2,65.0,28.05,66335,1895860.8,,28.58,EQ
05-04-2007,28.3,29.7,28.2,28.5,28.45,65.0,28.05,117869,3408586.7,,28.92,EQ
09-04-2007,28.55,29.95,28.55,29.95,29.95,65.0,28.05,110908,3300228.25,,29.76,EQ
10-04-2007,30.8,30.8,29.5,30.05,30.15,65.0,28.05,88234,2654301.05,,30.08,EQ
11-04-2007,30.4,30.6,29.75,29.9,30.0,65.0,28.05,37325,1124633.45,,30.13,EQ
12-04-2007,29.3,30.0,29.3,29.7,29.75,65.0,28.05,22221,660655.85,,29.73,EQ
13-04-2007,29.5,30.3,28.95,29.05,29.0,65.0,28.05,34716,1021841.7,,29.43,EQ
16-04-2007,29.7,29.7,29.0,29.2,29.25,65.0,28.05,24201,706403.05,,29.19,EQ
17-04-2007,29.25,29.5,28.9,29.0,29.1,65.0,28.05,28158,820124.75,,29.13,EQ
18-04-2007,28.75,29.1,28.5,28.9,29.1,65.0,28.05,20733,597114.75,,28.8,EQ
19-04-2007,28.8,29.15,28.5,29.0,29.0,65.0,28.05,17661,510258.45,,28.89,EQ
20-04-2007,28.05,29.2,28.05,28.65,28.55,65.0,28.05,20426,588652.65,,28.82,EQ
23-04-2007,28.25,28.8,28.1,28.15,28.1,65.0,28.05,15274,432744.95,,28.33,EQ
24-04-2007,28.5,28.7,28.0,28.1,28.25,65.0,28.0,20863,588854.85,,28.22,EQ
25-04-2007,28.1,29.1,28.05,28.65,28.75,65.0,28.0,24950,713122.1,,28.58,EQ
26-04-2007,28.2,29.5,28.2,28.5,28.3,65.0,28.0,31733,913993.8,,28.8,EQ
27-04-2007,28.15,28.8,28.1,28.15,28.1,65.0,28.0,25402,720440.75,,28.36,EQ
30-04-2007,28.8,29.45,28.0,28.2,28.1,65.0,28.0,40175,1145241.8,,28.51,EQ
03-05-2007,28.4,28.95,27.85,27.95,27.85,65.0,27.85,18090,511211.3,,28.26,EQ
04-05-2007,28.0,28.3,27.5,28.0,28.3,65.0,27.5,17246,482094.0,,27.95,EQ
07-05-2007,28.3,28.5,27.45,27.6,27.6,65.0,27.45,23780,659363.6,,27.73,EQ
08-05-2007,27.85,28.1,26.75,27.1,26.75,65.0,26.75,25946,713578.65,,27.5,EQ
09-05-2007,27.4,27.65,26.55,26.8,26.7,65.0,26.55,17368,466106.45,,26.84,EQ
10-05-2007,26.65,27.1,26.6,26.7,26.65,65.0,26.55,6120,163917.55,,26.78,EQ
11-05-2007,26.5,27.2,25.75,26.35,26.4,65.0,25.75,21959,580446.95,,26.43,EQ
14-05-2007,26.85,26.9,25.75,26.35,26.15,65.0,25.75,19755,522097.0,,26.43,EQ
15-05-2007,26.0,26.95,26.0,26.55,26.45,65.0,25.75,18641,493725.2,,26.49,EQ
16-05-2007,26.8,27.5,26.45,27.2,27.05,65.0,25.75,44823,1215807.4,,27.12,EQ
17-05-2007,27.7,27.7,27.0,27.2,27.25,65.0,25.75,13107,357443.95,,27.27,EQ
18-05-2007,27.1,27.4,26.6,26.85,26.75,65.0,25.75,14622,391778.9,,26.79,EQ
21-05-2007,26.25,27.25,26.25,26.75,26.95,65.0,25.75,16266,434943.1,,26.74,EQ
22-05-2007,26.55,26.55,25.85,26.0,26.0,65.0,25.75,29852,782733.9,,26.22,EQ
23-05-2007,26.25,26.45,25.9,26.05,26.05,65.0,25.75,27705,721374.4,,26.04,EQ
24-05-2007,26.8,26.8,25.65,26.35,26.45,65.0,25.65,8119,213862.0,,26.34,EQ
25-05-2007,26.95,27.0,26.25,26.65,26.5,65.0,25.65,15848,422459.9,,26.66,EQ
28-05-2007,26.95,27.9,26.55,26.7,26.75,65.0,25.65,15555,418083.9,,26.88,EQ
29-05-2007,27.8,28.0,26.6,26.9,26.85,65.0,25.65,12368,335316.05,,27.11,EQ
30-05-2007,27.05,27.5,26.85,26.85,27.1,65.0,25.65,18594,505378.55,,27.18,EQ
31-05-2007,26.55,27.5,26.55,26.9,26.75,65.0,25.65,9418,254995.45,,27.08,EQ
01-06-2007,27.1,28.25,27.05,28.25,28.25,65.0,25.65,33214,927442.25,,27.92,EQ
04-06-2007,29.5,29.7,28.6,28.65,28.6,65.0,25.65,62345,1810211.75,,29.04,EQ
05-06-2007,28.6,28.65,27.25,27.35,27.4,65.0,25.65,26305,726911.4,,27.63,EQ
06-06-2007,27.5,27.5,26.7,26.85,27.15,65.0,25.65,25769,697260.65,,27.06,EQ
07-06-2007,27.9,27.9,26.75,26.8,26.75,65.0,25.65,11624,312545.85,,26.89,EQ
08-06-2007,27.05,27.05,26.5,26.7,26.5,65.0,25.65,8166,217891.25,,26.68,EQ
11-06-2007,27.3,27.3,26.4,26.4,26.4,65.0,25.65,16643,443184.7,,26.63,EQ
12-06-2007,26.5,26.5,26.0,26.2,26.0,65.0,25.65,11504,300519.5,,26.12,EQ
13-06-2007,26.1,26.35,25.5,26.0,25.65,65.0,25.5,12768,329909.6,,25.84,EQ
14-06-2007,25.75,26.0,25.5,25.6,25.55,65.0,25.5,14219,364786.2,,25.65,EQ
15-06-2007,25.7,26.5,25.7,25.8,25.85,65.0,25.5,12419,322260.45,,25.95,EQ
18-06-2007,25.85,26.15,25.25,25.45,25.35,65.0,25.25,9266,236598.15,,25.53,EQ
19-06-2007,25.65,25.85,25.0,25.45,25.35,65.0,25.0,13592,344907.4,,25.38,EQ
20-06-2007,25.4,25.6,25.0,25.55,25.6,65.0,25.0,12439,314539.95,,25.29,EQ
21-06-2007,25.95,25.95,25.1,25.25,25.1,65.0,25.0,13717,347060.3,,25.3,EQ
22-06-2007,25.3,25.5,25.0,25.15,25.3,65.0,25.0,9756,245539.05,,25.17,EQ
25-06-2007,25.05,25.7,23.9,24.25,24.5,65.0,23.9,34737,846492.1,,24.37,EQ
26-06-2007,24.4,24.4,23.75,23.95,24.15,65.0,23.75,33326,800259.15,,24.01,EQ
27-06-2007,23.5,24.45,23.25,23.6,23.25,65.0,23.25,18257,435867.4,,23.87,EQ
28-06-2007,24.35,24.35,23.5,24.25,24.3,65.0,23.25,17477,420826.2,,24.08,EQ
29-06-2007,25.0,25.0,24.1,24.7,24.6,65.0,23.25,11864,289462.5,,24.4,EQ
02-07-2007,25.0,25.0,24.3,24.5,24.45,65.0,23.25,13677,335649.3,,24.54,EQ
03-07-2007,24.8,24.8,24.2,24.45,24.7,65.0,23.25,14043,343891.8,,24.49,EQ
04-07-2007,24.4,25.7,24.2,25.55,25.45,65.0,23.25,39116,990152.8,,25.31,EQ
05-07-2007,25.45,26.0,24.65,24.95,24.8,65.0,23.25,16456,417624.85,,25.38,EQ
06-07-2007,25.0,25.8,24.85,25.1,25.2,65.0,23.25,18166,455260.0,,25.06,EQ
09-07-2007,25.0,25.4,24.7,24.85,24.85,65.0,23.25,9721,241965.0,,24.89,EQ
10-07-2007,25.0,25.5,24.8,25.05,24.8,65.0,23.25,9769,245657.25,,25.15,EQ
11-07-2007,24.85,25.0,24.5,24.75,24.7,65.0,23.25,5729,141698.1,,24.73,EQ
12-07-2007,24.8,25.45,24.8,24.85,24.9,65.0,23.25,19067,477981.6,,25.07,EQ
13-07-2007,26.0,26.9,25.15,25.4,25.3,65.0,23.25,39762,1023866.05,,25.75,EQ
16-07-2007,25.05,26.25,25.0,25.3,25.3,65.0,23.25,7961,201725.5,,25.34,EQ
17-07-2007,25.1,25.35,24.6,24.75,24.85,65.0,23.25,12334,307119.3,,24.9,EQ
18-07-2007,24.7,24.95,24.25,24.65,24.25,65.0,23.25,9142,225742.7,,24.69,EQ
19-07-2007,24.6,25.3,24.05,25.0,25.0,65.0,23.25,18007,446803.8,,24.81,EQ
20-07-2007,25.2,25.2,24.35,24.75,24.65,65.0,23.25,8009,197761.6,,24.69,EQ
23-07-2007,23.85,24.9,23.85,24.15,24.0,65.0,23.25,7107,172415.75,,24.26,EQ
24-07-2007,24.05,24.55,24.0,24.0,24.0,65.0,23.25,5632,136195.5,,24.18,EQ
25-07-2007,23.1,23.95,23.05,23.45,23.25,65.0,23.05,17238,403758.85,,23.42,EQ
26-07-2007,23.1,23.95,23.0,23.25,23.0,65.0,23.0,3105,72781.5,,23.44,EQ
27-07-2007,23.25,23.5,23.2,23.3,23.2,65.0,23.0,7116,166217.8,,23.36,EQ
30-07-2007,23.1,23.7,23.1,23.2,23.2,65.0,23.0,4051,94406.75,,23.3,EQ
31-07-2007,23.15,23.95,22.5,22.7,22.5,65.0,22.5,10400,239893.45,,23.07,EQ
01-08-2007,22.5,23.4,22.1,22.3,22.4,65.0,22.1,9218,207772.4,,22.54,EQ
02-08-2007,20.1,23.65,20.1,22.2,22.5,65.0,20.1,11841,262348.4,,22.16,EQ
03-08-2007,21.5,23.0,21.5,21.8,21.6,65.0,20.1,10060,221496.0,,22.02,EQ
06-08-2007,21.6,21.8,21.1,21.55,21.75,65.0,20.1,4782,103205.45,,21.58,EQ
07-08-2007,21.35,21.9,21.0,21.15,21.05,65.0,20.1,4535,96893.6,,21.37,EQ
08-08-2007,20.55,22.3,20.55,21.9,21.95,65.0,20.1,9962,215985.45,,21.68,EQ
09-08-2007,22.85,22.85,21.75,21.85,21.9,65.0,20.1,15899,349800.2,,22.0,EQ
10-08-2007,20.0,21.95,20.0,21.55,21.55,65.0,20.0,5201,111513.35,,21.44,EQ
13-08-2007,21.15,21.85,21.1,21.55,21.45,65.0,20.0,4302,92742.0,,21.56,EQ
14-08-2007,21.8,22.95,21.5,21.95,21.95,65.0,20.0,2600,56503.55,,21.73,EQ
16-08-2007,22.9,22.9,21.45,21.5,21.45,65.0,20.0,11932,259587.4,,21.76,EQ
17-08-2007,23.0,23.0,21.75,22.05,21.95,65.0,20.0,16287,362077.6,,22.23,EQ
20-08-2007,22.5,22.75,22.1,22.45,22.3,65.0,20.0,10858,244274.1,,22.5,EQ
21-08-2007,22.6,22.65,21.5,21.65,21.5,65.0,20.0,12455,275280.9,,22.1,EQ
22-08-2007,22.0,22.3,21.4,22.2,22.3,65.0,20.0,10602,232104.4,,21.89,EQ
23-08-2007,22.5,22.5,21.4,21.5,21.4,65.0,20.0,17472,381773.15,,21.85,EQ
24-08-2007,22.0,22.1,21.25,22.0,22.0,65.0,20.0,6440,141065.5,,21.9,EQ
27-08-2007,22.9,22.9,21.3,21.55,21.55,65.0,20.0,25267,551731.9,,21.84,EQ
28-08-2007,20.3,22.75,20.3,21.75,21.6,65.0,20.0,5255,114159.2,,21.72,EQ
29-08-2007,22.45,23.0,21.75,22.5,22.75,65.0,20.0,8796,196781.3,,22.37,EQ
30-08-2007,22.85,23.5,22.4,23.2,23.05,65.0,20.0,27668,635807.6,,22.98,EQ
31-08-2007,23.2,23.8,23.0,23.5,23.8,65.0,20.0,20929,487428.75,,23.29,EQ
03-09-2007,23.5,23.5,22.5,23.4,23.45,65.0,20.0,8876,206040.6,,23.21,EQ
04-09-2007,23.5,24.0,23.5,23.75,23.65,65.0,20.0,9447,223724.15,,23.68,EQ
05-09-2007,24.0,24.3,23.5,23.95,24.0,65.0,20.0,16056,384221.55,,23.93,EQ
06-09-2007,24.25,24.4,23.5,24.1,24.4,65.0,20.0,15084,361577.4,,23.97,EQ
07-09-2007,24.85,26.75,23.8,24.75,24.6,65.0,20.0,26528,665771.0,,25.1,EQ
10-09-2007,24.5,25.2,24.5,24.8,24.6,65.0,20.0,9486,235929.35,,24.87,EQ
11-09-2007,25.5,26.25,24.5,24.75,24.6,65.0,20.0,16646,418273.1,,25.13,EQ
12-09-2007,24.5,26.5,24.5,25.15,25.4,65.0,20.0,34450,878030.15,,25.49,EQ
13-09-2007,27.5,27.5,25.75,26.2,26.2,65.0,20.0,58730,1547398.75,,26.35,EQ
14-09-2007,27.0,27.5,25.85,26.1,26.0,65.0,20.0,53009,1412030.65,,26.64,EQ
17-09-2007,26.7,26.7,25.05,25.4,25.05,65.0,20.0,14983,382990.1,,25.56,EQ
18-09-2007,26.0,26.0,24.25,25.2,25.2,65.0,20.0,26128,656252.45,,25.12,EQ
19-09-2007,26.0,26.0,24.6,24.95,25.0,65.0,20.0,33513,848548.4,,25.32,EQ
20-09-2007,25.2,25.25,24.4,25.15,24.95,65.0,20.0,29606,741316.15,,25.04,EQ
21-09-2007,25.95,27.0,24.5,25.0,24.7,65.0,20.0,26959,683942.95,,25.37,EQ
24-09-2007,24.7,25.9,24.5,24.6,24.5,65.0,20.0,22448,557394.55,,24.83,EQ
25-09-2007,23.7,25.1,23.7,24.4,24.25,65.0,20.0,23127,567852.6,,24.55,EQ
26-09-2007,23.5,25.5,23.5,25.1,25.3,65.0,20.0,37180,930135.0,,25.02,EQ
27-09-2007,23.05,25.0,23.05,24.05,24.05,65.0,20.0,21192,514933.7,,24.3,EQ
28-09-2007,24.95,24.95,24.0,24.1,24.1,65.0,20.0,14092,340871.45,,24.19,EQ
01-10-2007,24.95,25.3,24.5,25.1,25.05,65.0,20.0,22190,555942.45,,25.05,EQ
03-10-2007,25.15,25.4,24.5,24.6,24.55,65.0,20.0,10295,255647.7,,24.83,EQ
04-10-2007,24.5,24.9,24.5,24.55,24.55,65.0,20.0,8371,205935.0,,24.6,EQ
05-10-2007,24.6,25.05,24.5,24.5,24.5,65.0,20.0,14966,368195.3,,24.6,EQ
08-10-2007,24.5,24.5,23.1,23.25,23.15,65.0,20.0,8608,203419.1,,23.63,EQ
09-10-2007,22.5,23.8,22.5,22.85,22.85,65.0,20.0,5350,123856.8,,23.15,EQ
10-10-2007,22.35,23.5,22.35,22.7,22.7,65.0,20.0,14116,324278.3,,22.97,EQ
11-10-2007,23.0,23.5,22.5,23.05,23.1,65.0,20.0,7689,176117.15,,22.91,EQ
