DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
01-01-1996,89.0,89.0,89.0,89.0,,,,100,8900.0,,89.0,EQ
02-01-1996,89.05,89.05,89.0,89.0,,,,300,26705.0,,89.02,EQ
05-01-1996,87.9,87.9,87.9,87.9,,,,200,17580.0,,87.9,EQ
09-01-1996,80.0,80.0,79.0,79.0,,,,300,23850.0,,79.5,EQ
10-01-1996,75.05,75.05,75.0,75.0,,,,200,15005.0,,75.03,EQ
12-01-1996,76.0,77.5,76.0,77.5,,,,500,38500.0,,77.0,EQ
17-01-1996,83.0,85.0,83.0,85.0,,,,600,50265.0,,83.78,EQ
19-01-1996,76.5,76.5,76.5,76.5,,,,300,22950.0,,76.5,EQ
22-01-1996,69.0,69.0,69.0,69.0,,,,100,6900.0,,69.0,EQ
23-01-1996,69.05,69.05,69.0,69.0,,,,400,27610.0,,69.03,EQ
24-01-1996,70.0,70.0,69.0,69.0,,,,200,13900.0,,69.5,EQ
25-01-1996,70.0,70.0,70.0,70.0,,,,200,14000.0,,70.0,EQ
30-01-1996,68.0,70.0,68.0,69.5,,,,300,20700.0,,69.0,EQ
31-01-1996,70.0,70.0,69.5,69.5,,,,200,13950.0,,69.75,EQ
01-02-1996,68.0,68.0,66.0,66.15,,,,700,46645.0,,66.64,EQ
02-02-1996,70.0,70.0,69.9,69.9,,,,400,27990.0,,69.98,EQ
05-02-1996,73.85,74.0,73.0,73.0,,,,400,29475.0,,73.69,EQ
06-02-1996,78.0,79.0,78.0,79.0,,,,500,39400.0,,78.8,EQ
07-02-1996,78.0,78.0,78.0,78.0,,,,400,31200.0,,78.0,EQ
08-02-1996,80.0,82.0,79.0,81.5,,,,400,32200.0,,80.5,EQ
09-02-1996,82.75,83.5,82.0,83.5,,,,400,33025.0,,82.56,EQ
12-02-1996,85.0,85.0,80.0,84.5,,,,400,33250.0,,83.13,EQ
13-02-1996,83.95,85.0,82.1,85.0,,,,700,58555.0,,83.65,EQ
14-02-1996,85.0,89.9,86.0,86.0,,,,200,17590.0,,87.95,EQ
15-02-1996,87.0,88.0,87.0,88.0,,,,600,52300.0,,87.17,EQ
16-02-1996,90.0,90.5,90.0,90.2,,,,300,27050.0,,90.17,EQ
19-02-1996,89.0,90.0,88.05,88.05,,,,600,53400.0,,89.0,EQ
20-02-1996,88.0,88.95,88.0,88.0,,,,500,44095.0,,88.19,EQ
22-02-1996,87.5,87.5,87.5,87.5,,,,100,8750.0,,87.5,EQ
23-02-1996,87.5,87.5,86.5,86.5,,,,500,43450.0,,86.9,EQ
26-02-1996,88.0,88.0,86.75,86.75,,,,600,52475.0,,87.46,EQ
27-02-1996,83.0,83.0,82.0,82.0,,,,400,32950.0,,82.38,EQ
28-02-1996,81.95,82.0,81.0,81.0,,,,400,32690.0,,81.73,EQ
29-02-1996,81.0,78.0,78.0,78.0,,,,100,7800.0,,78.0,EQ
01-03-1996,75.0,75.0,75.0,75.0,,,,100,7500.0,,75.0,EQ
04-03-1996,75.0,75.0,73.5,74.5,,,,400,29780.0,,74.45,EQ
07-03-1996,73.0,73.0,73.0,73.0,,,,100,7300.0,,73.0,EQ
08-03-1996,73.0,73.0,71.0,71.0,,,,500,35900.0,,71.8,EQ
11-03-1996,71.0,71.0,70.75,70.75,,,,300,21250.0,,70.83,EQ
12-03-1996,70.0,70.95,67.05,67.05,,,,400,27550.0,,68.88,EQ
13-03-1996,67.05,70.0,67.25,67.6,,,,1000,68965.0,,68.97,EQ
14-03-1996,71.0,72.0,70.0,72.0,,,,1700,120900.0,,71.12,EQ
15-03-1996,72.0,79.0,72.0,79.0,,,,300,22500.0,,75.0,EQ
18-03-1996,78.0,78.5,75.0,75.0,,,,600,46350.0,,77.25,EQ
19-03-1996,75.0,73.75,73.25,73.45,,,,600,44055.0,,73.43,EQ
21-03-1996,73.45,73.0,72.95,72.95,,,,200,14595.0,,72.98,EQ
22-03-1996,73.0,73.0,72.0,72.0,,,,600,43550.0,,72.58,EQ
25-03-1996,67.0,67.0,67.0,67.0,,,,100,6700.0,,67.0,EQ
26-03-1996,69.0,69.45,69.0,69.45,,,,300,20790.0,,69.3,EQ
27-03-1996,69.0,71.0,69.0,71.0,,,,200,14000.0,,70.0,EQ
28-03-1996,72.0,73.0,69.05,71.5,,,,900,63595.0,,70.66,EQ
29-03-1996,71.5,73.5,71.5,71.5,,,,200,14500.0,,72.5,EQ
01-04-1996,71.5,75.0,71.5,74.5,,,,500,36475.0,,72.95,EQ
