DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
28-01-2014,20.0,21.0,20.0,21.0,21.0,21.0,20.0,3844,80680.0,27,20.99,BE
29-01-2014,22.05,22.05,22.05,22.05,22.05,22.05,20.0,8762,193202.1,29,22.05,BE
30-01-2014,23.15,23.15,23.15,23.15,23.15,23.15,20.0,6221,144016.15,32,23.15,BE
31-01-2014,24.3,24.3,24.3,24.3,24.3,24.3,20.0,5549,134840.7,34,24.3,BE
03-02-2014,25.5,25.5,25.5,25.5,25.5,25.5,20.0,957,24403.5,7,25.5,BE
04-02-2014,26.75,26.75,26.75,26.75,26.75,26.75,20.0,377,10084.75,7,26.75,BE
05-02-2014,28.05,28.05,28.05,28.05,28.05,28.05,20.0,473,13267.65,6,28.05,BE
06-02-2014,29.45,29.45,29.45,29.45,29.45,29.45,20.0,154,4535.3,3,29.45,BE
07-02-2014,30.9,30.9,30.9,30.9,30.9,30.9,20.0,1993,61583.7,8,30.9,BE
10-02-2014,32.4,32.4,32.4,32.4,32.4,32.4,20.0,996,32270.4,6,32.4,BE
11-02-2014,34.0,34.0,34.0,34.0,34.0,34.0,20.0,592,20128.0,4,34.0,BE
12-02-2014,35.7,35.7,35.7,35.7,35.7,35.7,20.0,352,12566.4,4,35.7,BE
13-02-2014,37.45,37.45,37.45,37.45,37.45,37.45,20.0,600,22470.0,5,37.45,BE
14-02-2014,39.3,39.3,39.3,39.3,39.3,39.3,20.0,306,12025.8,6,39.3,BE
17-02-2014,41.25,41.25,41.25,41.25,41.25,41.25,20.0,627,25863.75,6,41.25,BE
18-02-2014,43.3,43.3,43.3,43.3,43.3,43.3,20.0,328,14202.4,7,43.3,BE
19-02-2014,45.45,45.45,45.45,45.45,45.45,45.45,20.0,620,28179.0,10,45.45,BE
20-02-2014,47.7,47.7,47.7,47.7,47.7,47.7,20.0,334,15931.8,4,47.7,BE
21-02-2014,50.05,50.05,50.05,50.05,50.05,50.05,20.0,276,13813.8,10,50.05,BE
24-02-2014,52.55,52.55,52.55,52.55,52.55,52.55,20.0,275,14451.25,6,52.55,BE
25-02-2014,55.15,55.15,55.15,55.15,55.15,55.15,20.0,606,33420.9,7,55.15,BE
26-02-2014,57.9,57.9,57.9,57.9,57.9,57.9,20.0,1747,101151.3,9,57.9,BE
28-02-2014,60.75,60.75,60.75,60.75,60.75,60.75,20.0,624,37908.0,7,60.75,BE
03-03-2014,63.75,63.75,63.75,63.75,63.75,63.75,20.0,488,31110.0,12,63.75,BE
04-03-2014,66.9,66.9,66.9,66.9,66.9,66.9,20.0,71,4749.9,3,66.9,BE
05-03-2014,70.2,70.2,70.2,70.2,70.2,70.2,20.0,1067,74903.4,10,70.2,BE
06-03-2014,73.7,73.7,73.7,73.7,73.7,73.7,20.0,242,17835.4,6,73.7,BE
07-03-2014,77.35,77.35,77.35,77.35,77.35,77.35,20.0,863,66753.05,17,77.35,BE
10-03-2014,81.2,81.2,81.2,81.2,81.2,81.2,20.0,404,32804.8,7,81.2,BE
11-03-2014,85.25,85.25,85.25,85.25,85.25,85.25,20.0,939,80049.75,14,85.25,BE
12-03-2014,89.5,89.5,89.5,89.5,89.5,89.5,20.0,2079,186070.5,28,89.5,BE
13-03-2014,93.95,93.95,87.55,89.65,89.9,93.95,20.0,21165,1912350.15,278,90.35,BE
14-03-2014,87.55,87.7,85.2,86.0,86.75,93.95,20.0,7947,683311.4,103,85.98,BE
18-03-2014,82.4,84.8,82.0,82.65,82.4,93.95,20.0,6812,566637.25,83,83.18,BE
19-03-2014,81.0,83.4,78.55,78.8,78.55,93.95,20.0,6234,496146.65,105,79.59,BE
20-03-2014,80.0,80.9,75.1,80.15,80.9,93.95,20.0,4826,376170.4,95,77.95,BE
21-03-2014,78.0,84.15,78.0,84.15,84.15,93.95,20.0,6326,521377.25,86,82.42,BE
22-03-2014,88.35,88.35,88.35,88.35,88.35,93.95,20.0,3890,343681.5,8,88.35,BE
24-03-2014,92.75,92.75,90.5,91.6,91.55,93.95,20.0,27101,2507282.1,195,92.52,BE
25-03-2014,95.0,95.0,88.0,88.65,88.25,95.0,20.0,9397,855617.1,98,91.05,BE
26-03-2014,93.0,93.0,84.3,85.55,85.0,95.0,20.0,5273,455291.7,79,86.34,BE
27-03-2014,82.0,89.8,82.0,89.8,89.8,95.0,20.0,7228,635286.8,93,87.89,BE
28-03-2014,86.0,94.25,86.0,94.25,94.25,95.0,20.0,14636,1372686.9,146,93.79,BE
31-03-2014,98.95,98.95,98.95,98.95,98.95,98.95,20.0,3394,335836.3,38,98.95,BE
01-04-2014,103.85,103.85,94.6,95.75,97.95,103.85,20.0,23066,2330641.0,211,101.04,BE
02-04-2014,91.3,94.5,91.0,91.0,91.0,103.85,20.0,3607,329661.9,63,91.4,BE
03-04-2014,87.0,91.0,86.5,86.8,86.7,103.85,20.0,3523,308201.35,76,87.48,BE
04-04-2014,86.5,90.5,85.0,89.25,90.0,103.85,20.0,3508,309558.0,47,88.24,BE
07-04-2014,87.0,89.95,86.0,87.25,87.1,103.85,20.0,3088,268517.15,39,86.96,BE
09-04-2014,82.9,91.6,82.9,86.3,86.3,103.85,20.0,2680,232679.7,45,86.82,BE
10-04-2014,86.3,90.45,85.1,89.5,88.15,103.85,20.0,7074,626251.45,87,88.53,BE
11-04-2014,91.0,91.0,85.05,85.05,85.05,103.85,20.0,4955,425255.75,72,85.82,BE
15-04-2014,84.0,87.5,80.8,83.0,83.0,103.85,20.0,4465,367311.6,73,82.26,BE
16-04-2014,82.75,83.0,81.5,82.0,82.0,103.85,20.0,15180,1249327.75,66,82.3,BE
17-04-2014,84.35,84.35,80.5,82.75,82.8,103.85,20.0,1321,107679.45,29,81.51,BE
21-04-2014,85.0,85.1,82.05,83.1,83.1,103.85,20.0,2406,201549.8,36,83.77,BE
