DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
01-06-2007,344.0,345.0,322.5,326.9,322.6,345.0,322.5,15628,5228000.95,,334.53,EQ
04-06-2007,327.05,341.0,327.0,335.25,338.0,345.0,322.5,5933,1975968.75,,333.05,EQ
05-06-2007,342.0,369.0,331.0,355.5,355.0,369.0,322.5,16245,5814717.65,,357.94,EQ
06-06-2007,360.0,398.9,356.15,368.4,369.5,398.9,322.5,49065,18622498.15,,379.55,EQ
07-06-2007,379.8,387.8,366.0,371.5,373.85,398.9,322.5,19919,7549768.65,,379.02,EQ
08-06-2007,366.1,397.0,366.1,383.95,383.5,398.9,322.5,24380,9382964.8,,384.86,EQ
11-06-2007,399.9,416.0,390.0,393.35,393.25,416.0,322.5,51122,20732924.85,,405.56,EQ
12-06-2007,399.0,403.0,380.0,385.25,384.0,416.0,322.5,11372,4438470.5,,390.3,EQ
13-06-2007,389.9,396.0,382.3,384.15,382.6,416.0,322.5,3504,1364946.7,,389.54,EQ
14-06-2007,390.0,393.0,385.05,388.0,388.0,416.0,322.5,6561,2552576.45,,389.05,EQ
15-06-2007,390.0,397.0,387.1,388.55,388.05,416.0,322.5,7398,2900291.95,,392.04,EQ
18-06-2007,390.0,390.0,360.0,362.85,360.0,416.0,322.5,6686,2453773.85,,367.0,EQ
19-06-2007,360.0,377.7,360.0,374.1,372.0,416.0,322.5,4106,1525675.2,,371.57,EQ
20-06-2007,375.0,378.5,367.0,372.85,373.0,416.0,322.5,9392,3505336.0,,373.23,EQ
21-06-2007,370.0,388.55,370.0,379.05,376.25,416.0,322.5,4623,1767875.4,,382.41,EQ
22-06-2007,380.0,380.5,371.15,371.4,371.15,416.0,322.5,823,309764.5,,376.38,EQ
25-06-2007,377.75,377.75,368.0,370.4,372.0,416.0,322.5,1786,661121.0,,370.17,EQ
26-06-2007,370.2,371.5,368.25,369.55,369.0,416.0,322.5,581,214984.2,,370.02,EQ
27-06-2007,369.0,382.0,362.0,378.95,380.0,416.0,322.5,4813,1810467.25,,376.16,EQ
28-06-2007,384.75,384.75,361.0,363.6,362.5,416.0,322.5,3441,1273849.85,,370.2,EQ
29-06-2007,364.0,367.0,358.1,360.35,361.05,416.0,322.5,4345,1582828.85,,364.29,EQ
02-07-2007,365.05,370.0,365.0,368.3,368.5,416.0,322.5,3215,1183651.9,,368.17,EQ
03-07-2007,370.15,370.15,362.05,366.6,364.25,416.0,322.5,1441,526544.1,,365.4,EQ
04-07-2007,362.1,370.1,361.0,368.7,368.0,416.0,322.5,1802,663169.3,,368.02,EQ
05-07-2007,355.1,362.75,352.1,355.85,355.5,416.0,322.5,2561,915873.8,,357.62,EQ
06-07-2007,350.0,404.4,350.0,381.8,379.0,416.0,322.5,43978,17273697.1,,392.78,EQ
09-07-2007,392.0,396.0,360.05,380.5,379.5,416.0,322.5,11075,4234033.25,,382.31,EQ
10-07-2007,385.0,385.0,370.55,371.35,371.3,416.0,322.5,4054,1534892.65,,378.61,EQ
11-07-2007,360.0,379.9,360.0,374.7,371.0,416.0,322.5,3958,1488729.7,,376.13,EQ
12-07-2007,383.65,384.8,374.0,379.25,376.5,416.0,322.5,2396,913339.25,,381.19,EQ
13-07-2007,384.0,384.0,371.35,378.0,374.0,416.0,322.5,3200,1206474.65,,377.02,EQ
16-07-2007,395.0,395.0,370.0,375.0,375.0,416.0,322.5,1084,409386.25,,377.66,EQ
17-07-2007,375.0,375.0,363.0,365.1,367.1,416.0,322.5,3013,1110211.95,,368.47,EQ
