DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
30-08-2016,811.0,811.0,770.45,770.45,770.45,811.0,770.45,530,408379.05,9,770.53,BE
31-08-2016,731.95,731.95,731.95,731.95,731.95,811.0,731.95,131,95885.45,8,731.95,BE
01-09-2016,695.4,695.4,695.4,695.4,695.4,811.0,695.4,100,69540.0,1,695.4,BE
02-09-2016,660.65,660.65,660.65,660.65,660.65,811.0,660.65,122,80599.3,4,660.65,BE
06-09-2016,627.65,627.65,627.65,627.65,627.65,811.0,627.65,62,38914.3,5,627.65,BE
07-09-2016,596.3,596.3,596.3,596.3,596.3,811.0,596.3,68,40548.4,6,596.3,BE
08-09-2016,566.5,566.5,566.5,566.5,566.5,811.0,566.5,2,1133.0,1,566.5,BE
09-09-2016,538.2,538.2,538.2,538.2,538.2,811.0,538.2,11,5920.2,5,538.2,BE
12-09-2016,511.3,511.3,511.3,511.3,511.3,811.0,511.3,5,2556.5,4,511.3,BE
14-09-2016,485.75,485.75,485.75,485.75,485.75,811.0,485.75,42,20401.5,7,485.75,BE
15-09-2016,437.2,441.0,437.2,437.2,437.2,811.0,437.2,1958,858217.6,28,438.31,EQ
16-09-2016,393.5,393.5,393.5,393.5,393.5,811.0,393.5,530,208555.0,20,393.5,EQ
19-09-2016,354.15,354.15,354.15,354.15,354.15,811.0,354.15,545,193011.75,16,354.15,EQ
20-09-2016,336.45,336.45,336.45,336.45,336.45,811.0,336.45,1229,413497.05,12,336.45,EQ
21-09-2016,353.25,353.25,332.05,345.1,344.9,811.0,332.05,10615,3715053.15,131,349.98,EQ
22-09-2016,346.5,346.5,327.85,327.85,327.85,811.0,327.85,3059,1004317.5,51,328.32,EQ
23-09-2016,311.5,344.2,311.5,317.25,311.5,811.0,311.5,12663,4157919.25,379,328.35,EQ
26-09-2016,301.4,319.0,301.4,303.05,302.0,811.0,301.4,4018,1216381.95,68,302.73,EQ
