DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
08-04-2008,1020.0,1064.9,1008.0,1047.6,1040.0,1064.9,1008.0,867,895533.4,,1032.91,EQ
09-04-2008,1080.0,1179.0,1049.0,1126.75,1149.7,1179.0,1008.0,466,524016.55,,1124.5,EQ
10-04-2008,1150.0,1200.0,1116.0,1150.85,1136.1,1200.0,1008.0,445,515339.15,,1158.07,EQ
11-04-2008,1199.0,1200.0,1156.35,1195.0,1195.0,1200.0,1008.0,361,428404.2,,1186.72,EQ
15-04-2008,1190.0,1195.0,1083.0,1194.75,1195.0,1200.0,1008.0,1186,1382281.85,,1165.5,EQ
16-04-2008,1223.0,1433.7,1175.1,1432.1,1433.7,1433.7,1008.0,3566,4941249.8,,1385.66,EQ
17-04-2008,1540.0,1575.0,1460.0,1505.75,1490.0,1575.0,1008.0,7070,10764048.85,,1522.5,EQ
21-04-2008,1425.0,1530.0,1425.0,1497.25,1500.0,1575.0,1008.0,1050,1581659.0,,1506.34,EQ
22-04-2008,1498.5,1530.0,1455.0,1481.1,1486.0,1575.0,1008.0,831,1242662.2,,1495.38,EQ
23-04-2008,1498.6,1530.0,1415.5,1443.9,1432.0,1575.0,1008.0,722,1054558.95,,1460.61,EQ
24-04-2008,1449.5,1459.9,1392.0,1419.6,1400.0,1575.0,1008.0,658,930140.9,,1413.59,EQ
25-04-2008,1372.5,1374.9,1327.0,1343.65,1327.0,1575.0,1008.0,568,769101.85,,1354.05,EQ
28-04-2008,1362.0,1362.0,1310.5,1325.0,1325.0,1575.0,1008.0,206,274315.65,,1331.63,EQ
29-04-2008,1358.5,1590.0,1331.2,1586.15,1590.0,1590.0,1008.0,10143,15879244.3,,1565.54,EQ
30-04-2008,1650.0,1650.0,1460.0,1482.45,1470.0,1650.0,1008.0,3995,6141726.15,,1537.35,EQ
02-05-2008,1524.0,1524.0,1455.05,1479.15,1475.0,1650.0,1008.0,1275,1895222.4,,1486.45,EQ
05-05-2008,1430.5,1633.5,1430.5,1523.85,1536.0,1650.0,1008.0,2996,4670535.7,,1558.92,EQ
06-05-2008,1483.0,1550.0,1430.1,1457.0,1431.1,1650.0,1008.0,1696,2529992.2,,1491.74,EQ
07-05-2008,1455.05,1500.0,1422.0,1440.7,1449.0,1650.0,1008.0,1053,1535213.3,,1457.94,EQ
08-05-2008,1436.6,1458.0,1401.0,1416.45,1402.5,1650.0,1008.0,545,776275.3,,1424.36,EQ
09-05-2008,1444.8,1480.0,1400.0,1407.1,1400.0,1650.0,1008.0,449,643719.65,,1433.67,EQ
12-05-2008,1361.0,1361.0,1309.0,1324.05,1350.0,1650.0,1008.0,766,1018116.7,,1329.13,EQ
13-05-2008,1355.0,1393.0,1315.1,1333.9,1315.1,1650.0,1008.0,1272,1734439.55,,1363.55,EQ
14-05-2008,1321.0,1350.0,1315.0,1320.45,1315.0,1650.0,1008.0,338,451006.95,,1334.34,EQ
15-05-2008,1345.0,1354.0,1325.0,1327.8,1326.0,1650.0,1008.0,242,324315.45,,1340.15,EQ
16-05-2008,1373.0,1373.0,1310.25,1341.05,1340.05,1650.0,1008.0,1822,2435527.25,,1336.73,EQ
20-05-2008,1344.5,1400.0,1310.1,1341.8,1338.5,1650.0,1008.0,949,1289040.6,,1358.31,EQ
21-05-2008,1314.35,1354.0,1314.35,1349.55,1347.0,1650.0,1008.0,192,258928.05,,1348.58,EQ
22-05-2008,1136.0,1360.0,1136.0,1345.45,1360.0,1650.0,1008.0,335,443808.05,,1324.8,EQ
23-05-2008,1317.1,1344.85,1290.0,1299.95,1300.0,1650.0,1008.0,311,407479.7,,1310.22,EQ
26-05-2008,1271.0,1275.1,1231.1,1262.6,1234.0,1650.0,1008.0,353,445607.4,,1262.34,EQ
27-05-2008,1279.95,1279.95,1185.1,1199.1,1185.1,1650.0,1008.0,235,289830.85,,1233.32,EQ
28-05-2008,1189.0,1210.0,1175.0,1180.55,1180.05,1650.0,1008.0,591,700906.4,,1185.97,EQ
29-05-2008,1200.0,1229.0,1150.0,1152.9,1153.0,1650.0,1008.0,543,641651.55,,1181.68,EQ
30-05-2008,1142.3,1169.8,1128.45,1141.2,1128.45,1650.0,1008.0,250,287347.85,,1149.39,EQ
02-06-2008,1205.0,1205.0,1110.1,1117.05,1111.2,1650.0,1008.0,683,780422.5,,1142.64,EQ
03-06-2008,1052.0,1093.9,955.55,1063.0,1056.75,1650.0,955.55,404,417765.25,,1034.07,EQ
04-06-2008,1052.0,1140.0,1021.0,1026.4,1039.9,1650.0,955.55,419,449797.3,,1073.5,EQ
05-06-2008,1040.0,1063.0,1015.05,1057.85,1042.55,1650.0,955.55,386,401794.6,,1040.92,EQ
06-06-2008,1027.0,1095.9,1026.2,1066.1,1066.0,1650.0,955.55,205,215766.9,,1052.52,EQ
09-06-2008,1016.0,1017.95,973.1,1012.1,1017.95,1650.0,955.55,288,290093.8,,1007.27,EQ
10-06-2008,1045.0,1050.0,992.0,993.3,992.0,1650.0,955.55,201,203941.8,,1014.64,EQ
11-06-2008,983.0,1030.0,983.0,1027.7,1027.4,1650.0,955.55,89,90651.25,,1018.55,EQ
12-06-2008,981.0,1045.0,981.0,1027.25,1017.0,1650.0,955.55,251,255218.4,,1016.81,EQ
13-06-2008,1088.15,1088.15,1009.15,1072.1,1052.1,1650.0,955.55,411,430913.0,,1048.45,EQ
16-06-2008,1149.0,1149.0,1067.0,1068.0,1068.0,1650.0,955.55,134,145124.1,,1083.02,EQ
17-06-2008,1057.0,1083.95,1057.0,1060.0,1057.0,1650.0,955.55,68,72497.0,,1066.13,EQ
18-06-2008,1074.0,1095.0,1030.0,1047.7,1040.0,1650.0,955.55,159,168632.1,,1060.58,EQ
19-06-2008,1020.0,1050.0,1020.0,1031.5,1036.25,1650.0,955.55,392,409751.05,,1045.28,EQ
20-06-2008,1020.1,1055.0,970.0,976.15,975.0,1650.0,955.55,310,307791.5,,992.88,EQ
23-06-2008,1010.0,1010.0,902.0,929.95,928.0,1650.0,902.0,238,222358.5,,934.28,EQ
24-06-2008,901.65,979.0,901.65,911.95,911.7,1650.0,901.65,148,137872.2,,931.57,EQ
25-06-2008,939.0,945.0,875.0,933.65,935.0,1650.0,875.0,481,445166.6,,925.5,EQ
26-06-2008,921.2,978.5,921.2,958.75,955.1,1650.0,875.0,134,128268.35,,957.23,EQ
27-06-2008,916.0,950.5,891.0,902.4,910.0,1650.0,875.0,1499,1360730.7,,907.76,EQ
30-06-2008,833.0,915.0,833.0,839.75,833.05,1650.0,833.0,233,202221.0,,867.9,EQ
01-07-2008,803.7,855.0,761.0,776.9,795.0,1650.0,761.0,865,687793.7,,795.14,EQ
02-07-2008,828.95,838.0,754.6,816.25,828.0,1650.0,754.6,996,798192.25,,801.4,EQ
03-07-2008,808.0,850.0,795.0,836.45,837.0,1650.0,754.6,355,292139.75,,822.93,EQ
04-07-2008,840.0,900.0,817.0,892.4,861.05,1650.0,754.6,561,491572.65,,876.24,EQ
07-07-2008,974.0,974.55,862.55,892.2,892.0,1650.0,754.6,346,314772.2,,909.75,EQ
08-07-2008,863.1,896.65,838.15,869.7,870.0,1650.0,754.6,197,168570.35,,855.69,EQ
09-07-2008,886.0,937.0,886.0,923.0,936.0,1650.0,754.6,434,398415.65,,918.01,EQ
10-07-2008,887.15,930.0,887.0,898.65,893.1,1650.0,754.6,84,76204.5,,907.2,EQ
11-07-2008,930.0,934.9,862.0,873.45,875.0,1650.0,754.6,65,58428.9,,898.91,EQ
14-07-2008,855.0,898.95,840.0,848.45,840.0,1650.0,754.6,276,237445.15,,860.31,EQ
15-07-2008,834.95,860.0,809.0,813.5,809.0,1650.0,754.6,282,235792.75,,836.14,EQ
16-07-2008,839.0,839.0,789.1,800.8,815.0,1650.0,754.6,158,127765.65,,808.64,EQ
17-07-2008,795.0,801.3,777.4,788.15,788.15,1650.0,754.6,84,66969.05,,797.25,EQ
