DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
27-07-2023,947.0,952.0,876.05,910.4,912.0,952.0,876.05,17045692,15750863000.05,431862,924.04,EQ
28-07-2023,916.8,934.25,885.2,898.45,894.05,952.0,876.05,1687691,1533045701.85,67620,908.37,EQ
31-07-2023,900.0,900.0,857.0,875.55,876.0,952.0,857.0,752821,659547867.7,31108,876.1,EQ
01-08-2023,879.0,898.95,872.15,881.15,879.0,952.0,857.0,432785,384056226.2,17538,887.41,EQ
02-08-2023,881.4,888.0,849.85,856.65,854.9,952.0,849.85,389813,339068209.05,18724,869.82,EQ
03-08-2023,845.65,911.55,845.0,890.3,891.0,952.0,845.0,670122,589530970.8,23452,879.74,EQ
04-08-2023,898.8,905.0,885.0,892.8,892.0,952.0,845.0,491660,439246691.95,16638,893.4,EQ
07-08-2023,893.8,899.9,880.0,887.95,883.0,952.0,845.0,225091,201167027.55,14682,893.71,EQ
08-08-2023,886.1,889.0,854.45,858.65,858.0,952.0,845.0,168235,145806126.1,9002,866.68,EQ
09-08-2023,861.0,866.9,849.8,852.05,852.0,952.0,845.0,181125,155307821.3,6982,857.46,EQ
10-08-2023,850.05,869.95,840.0,860.8,861.0,952.0,840.0,197721,169094518.45,9356,855.22,EQ
11-08-2023,865.0,882.8,856.7,871.0,868.0,952.0,840.0,254524,222162961.7,9476,872.86,EQ
14-08-2023,811.0,879.0,811.0,849.2,847.95,952.0,811.0,352837,298207368.1,18214,845.17,EQ
16-08-2023,849.2,856.25,823.3,826.15,824.4,952.0,811.0,175004,146356784.6,11811,836.31,EQ
17-08-2023,830.0,836.55,811.0,823.1,822.0,952.0,811.0,137513,113507101.65,9650,825.43,EQ
18-08-2023,825.0,832.95,810.05,815.1,815.0,952.0,810.05,302005,246861699.5,12962,817.41,EQ
21-08-2023,816.45,823.9,782.7,796.3,797.1,952.0,782.7,306496,244468731.85,12990,797.62,EQ
22-08-2023,799.9,812.0,789.0,792.5,791.7,952.0,782.7,102884,82393461.1,7595,800.84,EQ
23-08-2023,794.95,828.7,792.05,806.85,807.05,952.0,782.7,426957,343294383.55,21583,804.05,EQ
24-08-2023,810.1,887.5,810.05,887.5,887.5,952.0,782.7,575497,495286746.95,20857,860.62,EQ
25-08-2023,900.0,920.7,851.05,865.25,861.0,952.0,782.7,471683,422016743.65,20350,894.7,EQ
28-08-2023,868.0,892.0,853.1,863.75,864.0,952.0,782.7,142393,124528593.7,9642,874.54,EQ
29-08-2023,876.0,876.0,843.0,847.25,844.95,952.0,782.7,67557,57722255.15,4919,854.42,EQ
30-08-2023,856.0,859.8,832.0,837.15,841.5,952.0,782.7,192994,162487536.55,11141,841.93,EQ
31-08-2023,856.95,874.9,835.2,846.2,844.05,952.0,782.7,509353,435579238.05,17999,855.16,EQ
01-09-2023,850.0,854.95,844.1,845.8,845.9,952.0,782.7,83479,70772618.3,5832,847.79,EQ
04-09-2023,846.0,851.5,824.85,840.1,840.0,952.0,782.7,281958,235245778.0,14630,834.33,EQ
05-09-2023,842.0,858.5,841.2,845.2,845.0,952.0,782.7,101280,86024771.2,6087,849.38,EQ
06-09-2023,849.0,866.15,843.0,846.8,846.0,952.0,782.7,123145,104940212.35,6363,852.17,EQ
07-09-2023,849.5,853.0,839.15,842.4,843.0,952.0,782.7,58831,49701652.65,3915,844.82,EQ
08-09-2023,842.55,849.75,837.45,838.85,837.5,952.0,782.7,62780,52871983.95,4394,842.18,EQ
11-09-2023,842.95,854.95,832.1,845.3,845.5,952.0,782.7,120552,101912868.95,6135,845.39,EQ
12-09-2023,849.0,849.1,824.85,835.75,835.95,952.0,782.7,179673,149858030.75,7234,834.06,EQ
