DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
02-02-2007,312.1,398.8,312.1,367.1,368.55,398.8,312.1,3287589,1215358529.2,,369.68,EQ
05-02-2007,370.0,377.3,311.0,360.1,358.5,398.8,311.0,780164,285109097.0,,365.45,EQ
06-02-2007,350.0,422.0,350.0,394.3,393.0,422.0,311.0,2589814,1041730752.6,,402.24,EQ
07-02-2007,396.45,434.9,395.15,426.55,431.2,434.9,311.0,2194086,919782785.4,,419.21,EQ
08-02-2007,434.7,443.0,405.1,411.4,406.0,443.0,311.0,1238483,522462605.1,,421.86,EQ
09-02-2007,405.0,408.7,387.0,395.45,398.0,443.0,311.0,609949,242720174.8,,397.94,EQ
12-02-2007,395.0,397.0,342.0,348.45,352.0,443.0,311.0,705300,254096513.3,,360.27,EQ
13-02-2007,345.0,383.9,330.1,361.05,364.0,443.0,311.0,614557,226920513.85,,369.24,EQ
14-02-2007,345.0,369.4,345.0,358.2,360.05,443.0,311.0,278950,99932989.65,,358.25,EQ
15-02-2007,363.65,429.85,360.0,412.9,412.3,443.0,311.0,1465031,596289898.5,,407.02,EQ
19-02-2007,419.8,445.0,397.55,404.6,402.0,445.0,311.0,1717945,733928291.95,,427.21,EQ
20-02-2007,406.7,413.0,385.1,391.2,395.0,445.0,311.0,420333,167776305.3,,399.15,EQ
21-02-2007,396.5,407.0,375.0,393.0,392.25,445.0,311.0,706524,278104573.7,,393.62,EQ
22-02-2007,398.8,398.8,332.0,381.05,379.95,445.0,311.0,346762,134643982.3,,388.29,EQ
23-02-2007,384.0,384.0,347.0,351.35,352.0,445.0,311.0,406483,146266637.5,,359.83,EQ
26-02-2007,352.9,363.5,333.3,351.95,352.4,445.0,311.0,255607,90150632.2,,352.69,EQ
27-02-2007,357.35,370.9,346.1,351.75,350.15,445.0,311.0,235509,84933486.6,,360.64,EQ
28-02-2007,339.9,350.0,282.0,338.1,344.0,445.0,282.0,232192,78732450.0,,339.08,EQ
01-03-2007,338.0,350.0,331.7,349.3,349.3,445.0,282.0,221069,75940525.65,,343.52,EQ
02-03-2007,350.0,353.4,340.0,343.65,342.4,445.0,282.0,179845,62712316.65,,348.7,EQ
05-03-2007,338.45,338.45,315.0,322.15,317.0,445.0,282.0,112678,36376578.95,,322.84,EQ
06-03-2007,339.0,347.85,323.0,341.65,344.0,445.0,282.0,114422,37861345.65,,330.89,EQ
07-03-2007,345.7,349.65,330.0,334.1,337.0,445.0,282.0,99416,33456278.7,,336.53,EQ
08-03-2007,339.0,342.0,328.0,339.65,340.0,445.0,282.0,81509,27546800.05,,337.96,EQ
09-03-2007,339.65,359.4,335.05,342.35,340.0,445.0,282.0,70686,24328523.0,,344.18,EQ
12-03-2007,345.0,352.0,336.15,340.9,339.0,445.0,282.0,182059,62323072.75,,342.32,EQ
13-03-2007,345.0,349.0,340.0,341.55,340.15,445.0,282.0,83074,28587826.85,,344.12,EQ
14-03-2007,320.5,340.0,320.5,335.95,338.5,445.0,282.0,38605,12920890.45,,334.69,EQ
15-03-2007,344.0,347.0,325.0,329.9,326.1,445.0,282.0,80349,27250048.05,,339.15,EQ
16-03-2007,331.8,331.8,323.0,328.9,329.0,445.0,282.0,29321,9588480.75,,327.02,EQ
19-03-2007,331.0,334.85,323.0,325.8,323.0,445.0,282.0,28244,9310237.95,,329.64,EQ
20-03-2007,333.75,346.85,328.2,337.95,337.15,445.0,282.0,61168,20587572.7,,336.57,EQ
21-03-2007,333.5,341.9,309.3,339.9,340.0,445.0,282.0,76121,25761655.15,,338.43,EQ
22-03-2007,346.0,348.0,336.6,337.9,340.0,445.0,282.0,23289,7949220.2,,341.33,EQ
23-03-2007,338.1,349.6,326.5,342.25,340.6,445.0,282.0,40967,14096034.8,,344.08,EQ
26-03-2007,336.0,341.8,333.0,334.5,334.0,445.0,282.0,16114,5414343.3,,336.0,EQ
28-03-2007,326.0,344.0,322.8,324.55,322.8,445.0,282.0,19897,6511071.95,,327.24,EQ
29-03-2007,334.9,336.0,325.0,333.9,335.0,445.0,282.0,11918,3934915.2,,330.17,EQ
30-03-2007,342.8,343.0,330.5,341.3,342.0,445.0,282.0,27478,9307666.5,,338.73,EQ
02-04-2007,328.0,339.0,280.0,327.65,324.1,445.0,280.0,28411,9347638.85,,329.01,EQ
03-04-2007,335.0,336.0,322.25,332.45,336.0,445.0,280.0,17708,5814343.4,,328.35,EQ
04-04-2007,343.7,343.7,333.0,340.4,342.0,445.0,280.0,25370,8592052.7,,338.67,EQ
05-04-2007,345.0,372.2,332.6,362.6,360.2,445.0,280.0,170788,61696435.95,,361.25,EQ
09-04-2007,364.95,377.9,356.0,371.75,371.5,445.0,280.0,91679,33909680.85,,369.87,EQ
10-04-2007,372.0,372.0,362.0,367.6,368.0,445.0,280.0,29918,10968609.4,,366.62,EQ
11-04-2007,370.0,389.0,369.55,371.5,371.0,445.0,280.0,71689,27108410.4,,378.14,EQ
12-04-2007,365.3,374.4,363.0,365.0,365.0,445.0,280.0,47805,17573846.9,,367.62,EQ
13-04-2007,370.0,373.9,358.0,368.1,368.0,445.0,280.0,26527,9794695.85,,369.23,EQ
16-04-2007,371.0,373.9,358.15,362.05,360.0,445.0,280.0,33504,12214135.85,,364.56,EQ
17-04-2007,360.5,368.9,355.1,358.05,362.0,445.0,280.0,18607,6678180.55,,358.91,EQ
18-04-2007,363.65,367.5,355.0,364.1,366.0,445.0,280.0,29239,10569367.5,,361.48,EQ
19-04-2007,360.0,367.9,350.0,358.9,359.5,445.0,280.0,28463,10275349.25,,361.01,EQ
20-04-2007,364.8,365.8,357.2,363.2,365.0,445.0,280.0,21648,7820990.2,,361.28,EQ
23-04-2007,363.2,368.9,360.0,365.75,366.0,445.0,280.0,20346,7417686.75,,364.58,EQ
24-04-2007,361.8,365.95,361.0,363.75,364.0,445.0,280.0,7676,2792457.2,,363.79,EQ
25-04-2007,360.25,370.0,357.15,359.25,358.2,445.0,280.0,23855,8570346.75,,359.27,EQ
26-04-2007,370.0,391.4,358.2,385.45,381.15,445.0,280.0,152112,58128845.3,,382.15,EQ
27-04-2007,385.0,396.0,368.55,387.4,385.0,445.0,280.0,179189,68824293.4,,384.09,EQ
30-04-2007,389.65,394.95,380.0,389.15,389.05,445.0,280.0,113212,44119631.6,,389.71,EQ
03-05-2007,392.0,467.0,391.0,466.75,467.0,467.0,280.0,1971221,886162617.05,,449.55,EQ
04-05-2007,470.0,534.0,444.0,513.55,517.2,534.0,280.0,3647720,1828505168.25,,501.27,EQ
07-05-2007,524.4,560.0,503.6,512.4,506.2,560.0,280.0,2050059,1095098342.0,,534.18,EQ
08-05-2007,511.0,563.65,502.3,558.8,557.1,563.65,280.0,2117553,1143823839.35,,540.16,EQ
09-05-2007,562.0,564.0,515.05,527.1,527.0,564.0,280.0,1085794,578447396.0,,532.74,EQ
10-05-2007,534.0,561.7,526.25,530.65,532.5,564.0,280.0,1115661,610331061.0,,547.06,EQ
11-05-2007,502.0,546.0,502.0,529.95,530.0,564.0,280.0,506185,270426249.2,,534.24,EQ
14-05-2007,540.0,570.0,535.0,563.05,563.5,570.0,280.0,947368,524706089.5,,553.86,EQ
15-05-2007,565.0,579.0,562.05,566.1,568.0,579.0,280.0,529567,302482908.1,,571.19,EQ
