DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
28-12-2018,3.7,3.7,3.55,3.55,3.55,3.7,3.55,106297,379604.35,105,3.57,BE
31-12-2018,3.4,3.4,3.4,3.4,3.4,3.7,3.4,10381,35295.4,38,3.4,BE
01-01-2019,3.25,3.25,3.25,3.25,3.25,3.7,3.25,3934,12785.5,27,3.25,BE
02-01-2019,3.1,3.4,3.1,3.25,3.4,3.7,3.1,747316,2378078.8,542,3.18,BE
03-01-2019,3.4,3.4,3.1,3.1,3.1,3.7,3.1,166341,532739.05,303,3.2,BE
04-01-2019,3.1,3.2,3.0,3.15,3.15,3.7,3.0,119452,370572.7,172,3.1,BE
07-01-2019,3.0,3.25,3.0,3.0,3.0,3.7,3.0,124685,377236.65,134,3.03,BE
08-01-2019,2.9,3.0,2.85,2.85,2.85,3.7,2.85,95097,272227.35,109,2.86,BE
09-01-2019,2.75,2.85,2.75,2.75,2.75,3.7,2.75,23787,65586.7,53,2.76,BE
10-01-2019,2.65,2.85,2.65,2.75,2.8,3.7,2.65,318756,879319.7,220,2.76,BE
11-01-2019,2.75,3.3,2.7,3.3,3.3,3.7,2.65,1071307,3481106.25,595,3.25,EQ
14-01-2019,3.55,3.95,3.45,3.95,3.95,3.95,2.65,4284547,16589238.0,1934,3.87,EQ
15-01-2019,4.05,4.3,3.9,4.3,4.3,4.3,2.65,5339709,22644461.6,1737,4.24,EQ
16-01-2019,4.45,4.7,4.4,4.7,4.7,4.7,2.65,5419999,25217920.9,2289,4.65,EQ
17-01-2019,5.05,5.05,4.25,4.25,4.25,5.05,2.65,4798310,22680436.45,3428,4.73,EQ
18-01-2019,4.1,4.5,3.85,4.05,4.15,5.05,2.65,2885194,11758867.25,1355,4.08,EQ
21-01-2019,3.9,4.45,3.85,3.9,3.9,5.05,2.65,1910828,8006548.3,1230,4.19,EQ
22-01-2019,3.85,4.0,3.55,3.55,3.55,5.05,2.65,1372958,4965097.15,1133,3.62,EQ
23-01-2019,3.45,3.7,3.4,3.45,3.45,5.05,2.65,2266773,8036300.0,1373,3.55,EQ
24-01-2019,3.55,3.55,3.3,3.3,3.3,5.05,2.65,481086,1610675.5,430,3.35,EQ
25-01-2019,3.3,3.4,3.15,3.15,3.15,5.05,2.65,497664,1582540.4,370,3.18,EQ
28-01-2019,3.05,3.1,3.0,3.0,3.0,5.05,2.65,234629,705498.45,118,3.01,EQ
29-01-2019,2.85,3.15,2.85,3.15,3.1,5.05,2.65,1526879,4660664.3,809,3.05,EQ
30-01-2019,3.2,3.3,3.05,3.2,3.15,5.05,2.65,1264398,4094891.45,761,3.24,EQ
31-01-2019,3.2,3.3,3.05,3.05,3.05,5.05,2.65,1090792,3373700.05,467,3.09,EQ
01-02-2019,3.0,3.2,2.95,2.95,2.95,5.05,2.65,769128,2347900.5,426,3.05,EQ
04-02-2019,3.0,3.05,2.9,2.95,2.9,5.05,2.65,362852,1078764.15,270,2.97,EQ
05-02-2019,3.0,3.0,2.85,2.85,2.85,5.05,2.65,289044,833796.9,265,2.88,EQ
06-02-2019,2.85,2.95,2.75,2.75,2.75,5.05,2.65,445250,1268103.0,249,2.85,EQ
07-02-2019,2.7,2.85,2.65,2.65,2.65,5.05,2.65,1724308,4765649.45,583,2.76,EQ
08-02-2019,2.7,2.75,2.6,2.75,2.75,5.05,2.6,565953,1547701.55,296,2.73,EQ
11-02-2019,2.8,2.85,2.65,2.8,2.75,5.05,2.6,948440,2614698.55,330,2.76,EQ
12-02-2019,2.85,2.9,2.75,2.8,2.85,5.05,2.6,592796,1698913.15,222,2.87,EQ
13-02-2019,2.85,2.85,2.7,2.7,2.7,5.05,2.6,312712,854836.9,200,2.73,EQ
14-02-2019,2.65,2.7,2.6,2.6,2.6,5.05,2.6,329464,858757.95,768,2.61,EQ
