DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
01-01-1996,32.9,33.3,32.0,32.5,,,,300,9780.0,,32.6,EQ
02-01-1996,31.5,31.5,31.0,31.0,,,,600,18650.0,,31.08,EQ
03-01-1996,31.0,33.0,31.0,33.0,,,,200,6400.0,,32.0,EQ
04-01-1996,31.5,31.5,31.5,31.5,,,,100,3150.0,,31.5,EQ
09-01-1996,29.25,29.25,29.25,29.25,,,,200,5850.0,,29.25,EQ
15-01-1996,29.5,29.5,29.5,29.5,,,,100,2950.0,,29.5,EQ
16-01-1996,29.75,29.75,29.5,29.5,,,,400,11875.0,,29.69,EQ
17-01-1996,29.0,29.0,29.0,29.0,,,,200,5800.0,,29.0,EQ
18-01-1996,30.0,30.0,28.25,28.25,,,,600,17125.0,,28.54,EQ
19-01-1996,28.75,28.75,28.75,28.75,,,,100,2875.0,,28.75,EQ
23-01-1996,28.0,28.0,28.0,28.0,,,,100,2800.0,,28.0,EQ
24-01-1996,26.0,26.0,26.0,26.0,,,,200,5200.0,,26.0,EQ
25-01-1996,27.0,28.3,27.0,28.3,,,,400,10930.0,,27.33,EQ
29-01-1996,28.9,28.95,28.0,28.0,,,,800,22635.0,,28.29,EQ
30-01-1996,28.0,28.05,25.5,25.5,,,,1400,37230.0,,26.59,EQ
31-01-1996,27.95,28.0,24.5,24.5,,,,700,17940.0,,25.63,EQ
01-02-1996,24.5,24.5,24.5,24.5,,,,100,2450.0,,24.5,EQ
02-02-1996,26.5,27.0,26.25,27.0,,,,400,10600.0,,26.5,EQ
05-02-1996,29.0,29.0,27.0,27.0,,,,400,11350.0,,28.38,EQ
06-02-1996,27.5,28.0,27.5,27.5,,,,1000,27550.0,,27.55,EQ
07-02-1996,27.5,28.0,27.4,28.0,,,,1100,30500.0,,27.73,EQ
08-02-1996,28.0,28.0,28.0,28.0,,,,600,16800.0,,28.0,EQ
09-02-1996,28.0,28.0,28.0,28.0,,,,500,14000.0,,28.0,EQ
12-02-1996,28.0,30.0,28.0,30.0,,,,1200,34000.0,,28.33,EQ
13-02-1996,30.0,29.75,29.0,29.0,,,,500,14800.0,,29.6,EQ
14-02-1996,30.5,30.5,30.0,30.0,,,,400,12150.0,,30.38,EQ
15-02-1996,33.0,33.0,30.9,31.0,,,,400,12590.0,,31.48,EQ
16-02-1996,31.0,31.5,31.0,31.0,,,,1000,31050.0,,31.05,EQ
19-02-1996,31.0,32.0,31.25,31.25,,,,900,28300.0,,31.44,EQ
20-02-1996,31.25,34.0,30.1,31.0,,,,1200,37595.0,,31.33,EQ
22-02-1996,31.0,34.0,32.7,33.05,,,,400,13245.0,,33.11,EQ
26-02-1996,35.5,35.5,32.5,32.5,,,,400,13350.0,,33.38,EQ
27-02-1996,32.5,35.0,32.5,32.5,,,,1500,49165.0,,32.78,EQ
28-02-1996,35.5,35.5,34.1,34.55,,,,3000,103430.0,,34.48,EQ
29-02-1996,31.5,32.0,31.1,32.0,,,,600,18840.0,,31.4,EQ
01-03-1996,32.0,33.35,31.5,33.1,,,,1400,45785.0,,32.7,EQ
04-03-1996,31.0,32.75,31.0,32.75,,,,1600,51580.0,,32.24,EQ
06-03-1996,32.5,32.75,32.5,32.75,,,,200,6525.0,,32.63,EQ
08-03-1996,32.5,32.5,32.3,32.3,,,,800,25940.0,,32.43,EQ
11-03-1996,32.3,31.05,31.0,31.05,,,,700,21715.0,,31.02,EQ
12-03-1996,31.0,31.0,30.6,30.6,,,,1100,33880.0,,30.8,EQ
13-03-1996,30.5,30.5,30.5,30.5,,,,200,6100.0,,30.5,EQ
14-03-1996,30.25,30.35,30.25,30.25,,,,900,27235.0,,30.26,EQ
15-03-1996,30.05,30.25,30.0,30.0,,,,700,21080.0,,30.11,EQ
18-03-1996,30.0,30.05,28.5,28.5,,,,400,11855.0,,29.64,EQ
19-03-1996,29.25,29.25,29.25,29.25,,,,100,2925.0,,29.25,EQ
22-03-1996,29.0,29.0,29.0,29.0,,,,100,2900.0,,29.0,EQ
25-03-1996,28.0,28.0,28.0,28.0,,,,100,2800.0,,28.0,EQ
26-03-1996,28.25,28.25,28.0,28.0,,,,600,16825.0,,28.04,EQ
28-03-1996,28.05,28.05,28.05,28.05,,,,200,5610.0,,28.05,EQ
29-03-1996,28.05,28.5,28.5,28.5,,,,200,5700.0,,28.5,EQ
01-04-1996,29.7,29.7,29.7,29.7,,,,100,2970.0,,29.7,EQ
02-04-1996,29.5,29.5,29.5,29.5,,,,100,2950.0,,29.5,EQ
03-04-1996,27.6,27.6,27.5,27.5,,,,1000,27525.0,,27.53,EQ
04-04-1996,28.6,28.6,28.6,28.6,,,,100,2860.0,,28.6,EQ
08-04-1996,28.45,28.45,28.45,28.45,,,,200,5690.0,,28.45,EQ
09-04-1996,28.75,28.75,28.75,28.75,,,,100,2875.0,,28.75,EQ
12-04-1996,28.5,28.5,28.5,28.5,,,,100,2850.0,,28.5,EQ
16-04-1996,27.5,27.5,27.5,27.5,,,,300,8250.0,,27.5,EQ
19-04-1996,28.0,28.0,28.0,28.0,,,,100,2800.0,,28.0,EQ
22-04-1996,28.1,28.25,28.0,28.25,,,,700,19685.0,,28.12,EQ
23-04-1996,29.1,30.0,29.1,30.0,,,,500,14810.0,,29.62,EQ
24-04-1996,30.0,30.95,30.0,30.95,,,,700,21275.0,,30.39,EQ
25-04-1996,30.95,29.6,29.5,29.5,,,,600,17735.0,,29.56,EQ
