DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
21-02-2023,301.0,301.0,265.55,281.25,289.0,301.0,265.55,3627,1033174.85,380,284.86,EQ
22-02-2023,300.0,309.35,292.25,309.35,309.35,309.35,265.55,9811,2990941.7,532,304.86,EQ
23-02-2023,324.95,340.25,318.65,340.25,340.25,340.25,265.55,20583,6906307.45,857,335.53,EQ
24-02-2023,357.25,357.25,355.6,357.25,357.25,357.25,265.55,9052,3233218.8,311,357.18,EQ
27-02-2023,374.0,375.1,373.35,375.1,375.1,375.1,265.55,3123,1170261.2,117,374.72,EQ
28-02-2023,393.85,393.85,356.35,356.35,356.35,393.85,265.55,6514,2481147.15,406,380.89,EQ
01-03-2023,338.55,338.55,338.55,338.55,338.55,393.85,265.55,612,207192.6,93,338.55,EQ
02-03-2023,321.65,321.65,321.65,321.65,321.65,393.85,265.55,720,231588.0,105,321.65,EQ
03-03-2023,305.6,305.6,305.6,305.6,305.6,393.85,265.55,984,300710.4,117,305.6,EQ
06-03-2023,290.5,290.5,290.35,290.35,290.35,393.85,265.55,1916,556312.25,127,290.35,EQ
08-03-2023,275.85,275.85,275.85,275.85,275.85,393.85,265.55,926,255437.1,143,275.85,EQ
09-03-2023,262.05,289.6,262.05,289.6,289.6,393.85,262.05,6371,1756231.6,354,275.66,EQ
10-03-2023,304.0,304.05,304.0,304.05,304.05,393.85,262.05,1639,498319.0,31,304.04,EQ
13-03-2023,319.25,319.25,319.25,319.25,319.25,393.85,262.05,278,88751.5,14,319.25,EQ
14-03-2023,329.0,335.0,303.3,303.3,303.3,393.85,262.05,2589,818734.05,230,316.24,EQ
15-03-2023,288.15,288.15,288.15,288.15,288.15,393.85,262.05,2128,613183.2,200,288.15,EQ
16-03-2023,273.75,288.95,273.75,273.75,273.75,393.85,262.05,4296,1185864.05,355,276.04,EQ
17-03-2023,273.75,273.75,260.1,263.95,264.25,393.85,260.1,7586,2014601.0,857,265.57,EQ
20-03-2023,276.85,276.95,255.05,266.75,270.0,393.85,255.05,5350,1426910.85,482,266.71,EQ
21-03-2023,274.4,280.05,270.25,280.05,280.05,393.85,255.05,4220,1168919.8,419,277.0,EQ
22-03-2023,294.0,294.05,274.0,294.05,294.05,393.85,255.05,5872,1710694.75,391,291.33,EQ
23-03-2023,290.0,293.85,279.35,279.35,279.35,393.85,255.05,1549,437312.8,150,282.32,EQ
24-03-2023,265.4,277.85,265.4,267.75,270.0,393.85,255.05,4081,1089706.35,361,267.02,EQ
27-03-2023,273.65,273.65,258.0,260.6,263.15,393.85,255.05,1194,311987.95,170,261.3,EQ
28-03-2023,269.95,269.95,247.6,250.2,247.6,393.85,247.6,1629,422813.35,301,259.55,EQ
29-03-2023,249.05,260.0,246.0,248.15,246.1,393.85,246.0,1392,350020.65,271,251.45,EQ
31-03-2023,260.5,260.55,250.55,260.55,260.55,393.85,246.0,943,244530.4,153,259.31,EQ
03-04-2023,272.0,273.55,266.3,273.55,273.55,393.85,246.0,1653,450760.15,153,272.69,EQ
05-04-2023,279.1,287.2,279.1,287.2,287.2,393.85,246.0,1878,535347.1,181,285.06,EQ
06-04-2023,300.0,301.55,300.0,301.55,301.55,393.85,246.0,1053,317381.45,68,301.41,EQ
10-04-2023,315.0,316.6,286.6,316.1,316.6,393.85,246.0,3811,1176335.75,502,308.67,EQ
11-04-2023,330.0,331.9,306.0,331.85,331.9,393.85,246.0,3578,1164861.55,403,325.56,EQ
12-04-2023,340.0,348.4,328.05,348.4,348.4,393.85,246.0,3780,1296504.1,206,342.99,EQ
13-04-2023,365.8,365.8,355.0,365.8,365.8,393.85,246.0,3156,1150799.65,274,364.64,EQ
17-04-2023,382.0,384.05,381.85,384.05,384.05,393.85,246.0,1068,409372.5,74,383.31,EQ
18-04-2023,403.25,403.25,386.0,403.25,403.25,403.25,246.0,3920,1564710.85,266,399.16,EQ
19-04-2023,420.5,423.4,407.1,423.4,423.4,423.4,246.0,6137,2589382.1,272,421.93,EQ
20-04-2023,437.7,444.55,402.25,444.45,444.45,444.55,402.25,6257,2771767.4,276,442.99,BE
21-04-2023,466.0,466.65,422.25,422.25,422.25,466.65,402.25,2990,1330658.7,210,445.04,BE
24-04-2023,401.15,401.15,401.15,401.15,401.15,466.65,401.15,443,177709.45,77,401.15,BE
25-04-2023,381.1,381.1,381.1,381.1,381.1,466.65,381.1,583,222181.3,88,381.1,BE
26-04-2023,362.05,362.05,362.05,362.05,362.05,466.65,362.05,1272,460527.6,169,362.05,BE
27-04-2023,346.0,380.15,346.0,380.15,380.15,466.65,346.0,553,193486.2,41,349.88,BE
28-04-2023,399.15,399.15,399.15,399.15,399.15,466.65,346.0,479,191192.85,33,399.15,BE
02-05-2023,419.1,419.1,385.15,419.1,419.1,466.65,346.0,1197,493643.1,116,412.4,BE
03-05-2023,434.0,439.95,398.15,413.1,428.0,466.65,346.0,2030,849227.35,234,418.34,BE
04-05-2023,414.0,424.95,393.0,413.6,417.9,466.65,346.0,1273,524679.3,173,412.16,BE
05-05-2023,421.9,422.0,396.0,408.35,419.0,466.65,346.0,578,239092.15,84,413.65,BE
08-05-2023,407.0,415.0,390.05,405.3,407.0,466.65,346.0,1043,424746.15,110,407.24,BE
09-05-2023,395.15,405.0,385.05,385.05,385.05,466.65,346.0,2540,984531.2,326,387.61,BE
10-05-2023,385.0,385.0,365.8,368.45,378.9,466.65,346.0,1242,463493.25,197,373.18,BE
11-05-2023,382.0,386.85,365.0,386.85,386.85,466.65,346.0,1983,763817.75,141,385.18,BE
12-05-2023,405.0,406.15,392.85,406.15,406.15,466.65,346.0,1400,565697.75,138,404.07,BE
15-05-2023,420.0,426.0,390.0,411.75,411.0,466.65,346.0,1988,800623.25,150,402.73,BE
16-05-2023,420.0,420.0,398.15,413.85,413.9,466.65,346.0,969,399420.4,93,412.2,BE
17-05-2023,413.95,413.95,394.1,405.05,397.5,466.65,346.0,1151,470610.75,86,408.87,BE
18-05-2023,400.0,424.0,397.5,404.35,403.0,466.65,346.0,844,346612.85,73,410.68,BE
19-05-2023,419.95,419.95,404.0,413.9,406.0,466.65,346.0,353,146581.45,64,415.24,BE
