DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
01-10-2020,38.3,38.3,37.35,38.3,38.3,38.3,37.35,3221,123249.95,59,38.26,EQ
05-10-2020,40.2,40.2,38.8,40.2,40.2,40.2,37.35,73268,2891112.65,342,39.46,EQ
06-10-2020,41.95,42.2,41.95,42.2,42.2,42.2,37.35,8675,365941.25,41,42.18,EQ
07-10-2020,44.3,44.3,43.25,44.3,44.3,44.3,37.35,7403,327702.55,113,44.27,EQ
08-10-2020,46.5,46.5,46.5,46.5,46.5,46.5,37.35,4514,209901.0,26,46.5,EQ
09-10-2020,48.8,48.8,48.8,48.8,48.8,48.8,37.35,551,26888.8,11,48.8,EQ
12-10-2020,51.2,51.2,46.4,51.2,51.2,51.2,37.35,182861,9144933.65,1354,50.01,EQ
13-10-2020,53.75,53.75,49.15,53.05,53.2,53.75,37.35,77755,4074241.1,409,52.4,EQ
14-10-2020,54.45,54.45,50.4,51.65,52.0,54.45,37.35,43242,2211612.2,305,51.15,EQ
15-10-2020,49.5,51.9,49.1,49.1,49.1,54.45,37.35,49511,2472985.15,113,49.95,EQ
16-10-2020,46.65,51.5,46.65,48.0,46.65,54.45,37.35,45050,2199273.9,157,48.82,EQ
19-10-2020,46.7,49.0,46.05,47.5,47.5,54.45,37.35,54684,2639559.75,124,48.27,EQ
20-10-2020,48.1,49.85,45.15,49.75,49.85,54.45,37.35,271000,13194883.1,445,48.69,EQ
21-10-2020,52.2,52.2,48.15,50.0,50.45,54.45,37.35,62295,3119186.45,181,50.07,EQ
22-10-2020,49.5,50.5,47.65,49.8,49.8,50.5,47.65,16425,820793.1,26,49.97,BE
23-10-2020,47.8,49.75,47.35,47.4,47.35,50.5,47.35,19601,969684.75,24,49.47,BE
26-10-2020,46.0,48.25,46.0,46.95,46.95,50.5,46.0,5662,272291.65,13,48.09,BE
27-10-2020,44.7,47.8,44.7,47.8,47.8,50.5,44.7,499,22347.3,11,44.78,BE
28-10-2020,47.45,47.45,45.65,46.0,46.0,50.5,44.7,20363,947923.7,16,46.55,BE
29-10-2020,44.05,47.7,44.05,47.0,47.0,50.5,44.05,1010,46522.95,10,46.06,BE
30-10-2020,45.05,46.4,45.05,46.0,46.0,50.5,44.05,111,5096.9,3,45.92,BE
02-11-2020,44.0,45.95,43.7,43.7,45.95,50.5,43.7,4580,200411.25,14,43.76,BE
03-11-2020,45.4,45.6,42.4,45.45,45.45,50.5,42.4,24891,1096407.95,13,44.05,BE
04-11-2020,43.25,45.2,43.25,45.15,45.1,50.5,42.4,546,24357.25,9,44.61,BE
05-11-2020,43.65,45.9,43.55,45.75,45.75,50.5,42.4,5658,258830.9,7,45.75,BE
06-11-2020,43.55,45.0,43.5,43.75,43.75,50.5,42.4,30351,1346326.35,25,44.36,BE
09-11-2020,43.75,45.9,43.7,45.85,45.85,50.5,42.4,13996,635617.7,16,45.41,BE
10-11-2020,43.6,46.75,43.6,44.0,44.0,50.5,42.4,12156,567838.0,7,46.71,BE
11-11-2020,44.2,44.2,44.2,44.2,44.2,50.5,42.4,238,10519.6,2,44.2,BE
12-11-2020,44.45,45.4,44.45,44.45,45.4,50.5,42.4,641,28493.4,5,44.45,BE
13-11-2020,45.95,45.95,44.75,44.95,45.0,50.5,42.4,10684,481016.35,12,45.02,BE
14-11-2020,45.05,46.35,45.0,46.15,46.25,50.5,42.4,410,18810.8,9,45.88,BE
17-11-2020,46.0,48.45,46.0,48.2,48.45,50.5,42.4,12756,606112.15,37,47.52,BE
18-11-2020,48.45,48.45,46.05,46.1,46.1,50.5,42.4,1128,52016.7,13,46.11,BE
19-11-2020,46.0,48.25,46.0,46.9,46.85,50.5,42.4,162,7560.2,7,46.67,BE
20-11-2020,44.65,48.95,44.65,47.0,47.0,50.5,42.4,6333,294009.6,25,46.43,BE
23-11-2020,46.95,49.3,45.05,47.7,49.0,50.5,42.4,1886,91144.45,18,48.33,BE
24-11-2020,47.75,48.95,47.75,48.15,48.15,50.5,42.4,1229,58768.05,7,47.82,BE
25-11-2020,48.6,50.55,48.25,49.0,50.0,50.55,42.4,7117,348942.75,26,49.03,BE
26-11-2020,49.0,50.6,49.0,49.35,49.35,50.6,42.4,7007,345338.15,16,49.28,BE
27-11-2020,50.5,50.5,49.55,49.55,49.55,50.6,42.4,5355,266400.15,8,49.75,BE
01-12-2020,49.85,50.5,48.0,48.25,48.25,50.6,42.4,4339,216160.5,25,49.82,BE
02-12-2020,50.5,50.5,46.15,49.6,50.5,50.6,42.4,7874,390645.0,30,49.61,BE
03-12-2020,47.3,51.05,47.3,50.0,50.0,51.05,42.4,3228,163929.5,11,50.78,BE
04-12-2020,50.25,51.0,50.0,50.7,50.75,51.05,42.4,17141,865716.85,40,50.51,BE
07-12-2020,48.75,50.5,48.2,48.2,48.2,51.05,42.4,2335,112863.6,21,48.34,BE
08-12-2020,49.95,50.5,45.8,49.5,49.5,51.05,42.4,41394,2058655.35,26,49.73,BE
09-12-2020,51.45,51.45,49.7,50.35,50.5,51.45,42.4,10021,499513.6,21,49.85,BE
10-12-2020,51.95,51.95,48.75,49.0,49.0,51.95,42.4,185180,9203477.15,81,49.7,BE
11-12-2020,49.0,50.5,49.0,49.0,49.0,51.95,42.4,8179,401189.4,20,49.05,BE
14-12-2020,46.7,50.65,46.7,49.0,49.0,51.95,42.4,96745,4741653.8,51,49.01,BE
15-12-2020,50.7,50.7,47.3,49.7,49.7,51.95,42.4,5135,255097.95,11,49.68,BE
16-12-2020,47.55,50.25,47.55,49.0,48.8,51.95,42.4,71100,3495247.4,20,49.16,BE
17-12-2020,46.6,49.45,46.6,48.75,48.75,51.95,42.4,5054,246481.4,18,48.77,BE
18-12-2020,46.6,50.4,46.6,50.35,50.35,51.95,42.4,7423,372133.15,16,50.13,BE
21-12-2020,48.0,50.5,47.85,48.0,48.0,51.95,42.4,2227,107709.45,27,48.37,BE
22-12-2020,48.0,48.05,47.0,48.0,48.0,51.95,42.4,1405,67273.65,16,47.88,BE
23-12-2020,45.6,47.9,45.6,45.7,45.6,51.95,42.4,1277,59760.9,20,46.8,BE
24-12-2020,46.65,47.95,46.65,47.95,47.95,51.95,42.4,4350,208542.9,10,47.94,BE
28-12-2020,49.95,50.2,46.05,49.0,49.0,51.95,42.4,124102,6085318.45,58,49.03,BE
29-12-2020,47.5,48.9,47.1,48.55,48.55,51.95,42.4,129,6111.8,7,47.38,BE
30-12-2020,46.55,46.55,46.55,46.55,46.55,51.95,42.4,500,23275.0,9,46.55,BE
31-12-2020,45.1,48.5,45.1,48.4,48.4,51.95,42.4,1770,85082.85,15,48.07,BE
01-01-2021,48.4,49.5,48.2,49.5,49.5,51.95,42.4,529,25646.2,11,48.48,BE
04-01-2021,47.15,49.5,47.05,48.3,49.0,51.95,42.4,63940,3023351.65,35,47.28,BE
05-01-2021,49.0,49.0,45.9,45.9,45.9,51.95,42.4,42891,1988452.35,52,46.36,BE
06-01-2021,45.9,48.1,45.9,47.55,47.65,51.95,42.4,14230,666381.9,34,46.83,BE
07-01-2021,49.4,49.4,47.65,49.1,49.1,51.95,42.4,854,41541.6,14,48.64,BE
08-01-2021,46.75,48.4,46.65,46.65,46.65,51.95,42.4,49736,2320259.3,46,46.65,BE
11-01-2021,46.35,46.65,44.6,46.0,46.0,51.95,42.4,2782,125206.9,22,45.01,BE
12-01-2021,46.0,46.0,43.7,43.75,43.7,51.95,42.4,6725,294287.35,46,43.76,BE
13-01-2021,43.0,43.0,42.0,42.95,42.95,51.95,42.0,101960,4382428.45,59,42.98,BE
14-01-2021,43.0,43.0,42.0,43.0,43.0,51.95,42.0,2768,119021.1,11,43.0,BE
15-01-2021,42.5,43.0,42.5,43.0,43.0,51.95,42.0,3230,138875.0,6,43.0,BE
18-01-2021,42.0,42.0,40.85,40.85,40.85,51.95,40.85,996,40698.1,11,40.86,BE
19-01-2021,42.0,42.7,40.85,42.2,42.2,51.95,40.85,168,7103.65,5,42.28,BE
20-01-2021,41.0,42.2,40.1,40.1,40.1,51.95,40.1,2550,102506.25,38,40.2,BE
21-01-2021,42.0,42.0,38.45,38.9,38.45,51.95,38.45,9636,387766.4,25,40.24,BE
22-01-2021,38.5,40.0,37.75,39.85,39.95,51.95,37.75,1692,67043.95,21,39.62,BE
25-01-2021,40.0,41.8,37.9,41.65,41.65,51.95,37.75,11192,462997.65,31,41.37,BE
27-01-2021,40.0,40.0,39.6,40.0,40.0,51.95,37.75,6712,268293.9,14,39.97,BE
28-01-2021,39.2,39.65,39.0,39.0,39.0,51.95,37.75,1153,45175.65,10,39.18,BE
29-01-2021,39.0,40.2,37.2,38.7,38.05,51.95,37.2,1927,75381.75,18,39.12,BE
01-02-2021,39.45,40.5,38.1,39.45,39.5,51.95,37.2,49096,1895543.75,42,38.61,BE
02-02-2021,38.25,41.35,38.25,40.6,40.55,54.45,37.35,28120,1146797.05,59,40.78,EQ
03-02-2021,40.45,41.95,38.75,40.35,40.9,54.45,37.35,15283,614290.4,74,40.19,EQ
04-02-2021,41.9,41.9,38.35,40.35,40.35,54.45,37.35,30061,1202223.7,202,39.99,EQ
05-02-2021,42.9,42.9,39.15,40.4,41.9,54.45,37.35,7344,296213.6,66,40.33,EQ
08-02-2021,41.95,41.95,39.1,40.7,41.95,54.45,37.35,9684,387734.05,81,40.04,EQ
09-02-2021,41.9,41.9,40.2,40.65,40.2,54.45,37.35,2713,110347.15,63,40.67,EQ
10-02-2021,40.25,41.85,38.75,39.45,39.55,54.45,37.35,1445,57264.0,47,39.63,EQ
11-02-2021,41.2,41.95,40.0,41.25,41.5,54.45,37.35,7020,284090.3,94,40.47,EQ
12-02-2021,42.7,43.0,40.5,41.5,41.5,54.45,37.35,3841,160546.9,92,41.8,EQ
15-02-2021,41.0,43.0,41.0,42.45,43.0,54.45,37.35,12821,542279.2,103,42.3,EQ
16-02-2021,41.65,43.0,41.0,42.0,42.85,54.45,37.35,6287,267414.4,68,42.53,EQ
17-02-2021,43.4,43.8,42.35,43.15,43.4,54.45,37.35,1815,79104.15,28,43.58,EQ
18-02-2021,44.3,44.45,38.85,43.7,44.2,54.45,37.35,22145,943881.2,127,42.62,EQ
19-02-2021,41.6,44.5,41.5,43.0,43.8,54.45,37.35,6550,285374.9,110,43.57,EQ
22-02-2021,44.5,44.5,40.95,41.85,41.5,54.45,37.35,8391,350323.55,43,41.75,EQ
23-02-2021,42.1,44.0,40.55,41.1,41.3,54.45,37.35,3249,137447.65,67,42.3,EQ
24-02-2021,41.55,41.55,40.55,40.55,40.55,54.45,37.35,1348,55476.2,21,41.15,EQ
25-02-2021,40.6,43.0,38.9,41.15,40.4,54.45,37.35,2986,122432.7,204,41.0,EQ
26-02-2021,42.6,44.4,37.2,41.8,40.65,54.45,37.2,8228,341847.95,168,41.55,EQ
01-03-2021,43.55,43.55,39.1,41.2,40.6,54.45,37.2,5734,234313.9,129,40.86,EQ
02-03-2021,42.65,42.65,40.1,41.2,41.05,54.45,37.2,12817,533631.55,58,41.63,EQ
03-03-2021,41.05,42.2,40.05,41.0,41.3,54.45,37.2,8202,334467.05,295,40.78,EQ
