DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
02-02-2006,30.0,32.0,25.1,26.0,25.75,32.0,25.1,19812834,527432828.15,,26.62,EQ
03-02-2006,25.9,26.4,25.1,25.2,25.15,32.0,25.1,3511376,89740443.5,,25.56,EQ
06-02-2006,25.25,27.6,24.15,26.1,26.4,32.0,24.15,4514891,117000484.8,,25.91,EQ
07-02-2006,26.5,29.6,25.7,28.9,28.6,32.0,24.15,11476907,324531588.8,,28.28,EQ
08-02-2006,28.95,29.15,27.55,27.8,27.7,32.0,24.15,3705403,104959890.4,,28.33,EQ
10-02-2006,28.0,28.6,27.15,27.25,27.35,32.0,24.15,1618954,45055482.05,,27.83,EQ
13-02-2006,27.5,28.15,26.6,26.95,27.0,32.0,24.15,1785257,48837780.2,,27.36,EQ
14-02-2006,26.65,27.8,26.1,26.25,26.2,32.0,24.15,761862,20492544.9,,26.9,EQ
15-02-2006,26.45,26.9,25.55,25.65,25.7,32.0,24.15,659703,17241456.75,,26.14,EQ
16-02-2006,25.9,26.3,25.2,25.35,25.25,32.0,24.15,610989,15678821.45,,25.66,EQ
17-02-2006,25.1,25.85,23.15,23.65,23.9,32.0,23.15,821981,20122178.15,,24.48,EQ
20-02-2006,23.0,24.0,22.8,23.65,23.75,32.0,22.8,505040,11838749.4,,23.44,EQ
21-02-2006,23.75,24.9,23.6,24.15,24.3,32.0,22.8,416616,10127095.9,,24.31,EQ
22-02-2006,24.6,24.6,23.1,23.3,23.15,32.0,22.8,641661,15138013.35,,23.59,EQ
23-02-2006,22.5,23.45,21.55,21.95,22.4,32.0,21.55,373556,8445719.05,,22.61,EQ
24-02-2006,22.5,22.65,21.75,22.0,21.95,32.0,21.55,363390,8046512.95,,22.14,EQ
27-02-2006,21.55,22.25,21.55,21.8,22.0,32.0,21.55,231142,5067805.65,,21.93,EQ
28-02-2006,21.8,22.25,21.15,21.5,21.4,32.0,21.15,171461,3729242.25,,21.75,EQ
01-03-2006,22.0,23.15,21.25,21.85,22.0,32.0,21.15,508060,11342411.0,,22.32,EQ
02-03-2006,21.25,22.25,21.25,21.6,21.55,32.0,21.15,542635,11775227.85,,21.7,EQ
03-03-2006,22.0,22.0,21.0,21.05,21.0,32.0,21.0,143270,3046560.45,,21.26,EQ
06-03-2006,21.8,22.1,20.1,21.6,21.4,32.0,20.1,662510,14104399.1,,21.29,EQ
07-03-2006,21.45,23.15,20.85,22.3,22.45,32.0,20.1,617995,13756314.1,,22.26,EQ
08-03-2006,21.8,22.4,21.25,21.4,21.3,32.0,20.1,261608,5693296.9,,21.76,EQ
09-03-2006,21.1,22.0,21.0,21.15,21.2,32.0,20.1,111180,2361001.7,,21.24,EQ
10-03-2006,21.5,21.65,21.0,21.05,21.0,32.0,20.1,156822,3312731.4,,21.12,EQ
13-03-2006,21.25,21.3,20.45,20.5,20.5,32.0,20.1,167614,3475864.9,,20.74,EQ
14-03-2006,21.0,21.5,19.25,19.55,19.65,32.0,19.25,266215,5312839.1,,19.96,EQ
16-03-2006,20.45,20.45,18.6,18.85,18.9,32.0,18.6,392357,7564971.2,,19.28,EQ
17-03-2006,18.35,19.3,17.8,18.0,17.95,32.0,17.8,199638,3670384.55,,18.39,EQ
20-03-2006,18.05,18.5,17.5,17.6,17.6,32.0,17.5,213627,3840778.85,,17.98,EQ
21-03-2006,17.7,18.5,17.5,17.6,17.7,32.0,17.5,134924,2412554.95,,17.88,EQ
22-03-2006,17.8,17.85,16.3,16.7,16.95,32.0,16.3,146366,2489680.15,,17.01,EQ
23-03-2006,16.65,19.95,16.65,18.1,17.95,32.0,16.3,807761,14923145.6,,18.47,EQ
24-03-2006,18.5,19.25,17.7,17.95,17.85,32.0,16.3,493504,9060777.7,,18.36,EQ
27-03-2006,18.0,18.7,17.4,17.65,17.65,32.0,16.3,254273,4585422.05,,18.03,EQ
28-03-2006,17.95,18.0,16.25,16.55,16.5,32.0,16.25,277229,4721179.65,,17.03,EQ
29-03-2006,16.95,18.9,15.55,17.15,17.05,32.0,15.55,422601,7342672.55,,17.37,EQ
30-03-2006,17.25,17.8,17.1,17.2,17.15,32.0,15.55,144857,2514973.7,,17.36,EQ
31-03-2006,17.6,17.6,16.7,16.95,17.0,32.0,15.55,113586,1939407.6,,17.07,EQ
03-04-2006,17.3,17.7,16.9,17.5,17.65,32.0,15.55,159042,2769937.35,,17.42,EQ
04-04-2006,17.9,19.9,17.3,19.2,19.2,32.0,15.55,1176272,22277790.1,,18.94,EQ
05-04-2006,19.25,19.85,18.95,19.25,19.4,32.0,15.55,230152,4459048.15,,19.37,EQ
07-04-2006,19.7,19.7,17.9,18.05,18.0,32.0,15.55,207332,3870710.4,,18.67,EQ
10-04-2006,18.5,18.5,17.75,18.0,17.9,32.0,15.55,77491,1395653.5,,18.01,EQ
12-04-2006,17.55,17.85,17.1,17.2,17.25,32.0,15.55,93547,1642293.2,,17.56,EQ
13-04-2006,17.25,17.45,16.75,16.95,16.85,32.0,15.55,80463,1372434.0,,17.06,EQ
17-04-2006,16.85,17.45,16.7,16.8,16.8,32.0,15.55,68224,1157594.9,,16.97,EQ
18-04-2006,17.55,17.55,16.65,16.7,16.65,32.0,15.55,83815,1413176.65,,16.86,EQ
19-04-2006,17.0,17.0,16.65,16.75,16.7,32.0,15.55,46992,788861.8,,16.79,EQ
20-04-2006,17.0,17.3,16.2,16.35,16.25,32.0,15.55,109273,1827167.1,,16.72,EQ
21-04-2006,16.6,16.9,15.9,16.05,16.15,32.0,15.55,111514,1814246.9,,16.27,EQ
24-04-2006,16.5,17.8,16.2,16.9,16.8,32.0,15.55,191803,3258885.55,,16.99,EQ
25-04-2006,16.8,17.8,16.6,17.05,16.9,32.0,15.55,123036,2114297.7,,17.18,EQ
26-04-2006,17.45,17.45,16.75,16.9,17.0,32.0,15.55,60710,1035073.95,,17.05,EQ
27-04-2006,16.9,17.8,16.8,16.9,16.9,32.0,15.55,142084,2436385.95,,17.15,EQ
28-04-2006,15.55,17.0,15.55,16.35,16.25,32.0,15.55,104009,1712200.55,,16.46,EQ
29-04-2006,16.25,16.9,16.25,16.6,16.8,32.0,15.55,57834,962271.8,,16.64,EQ
02-05-2006,16.95,17.15,16.75,16.95,17.0,32.0,15.55,48080,814564.1,,16.94,EQ
03-05-2006,17.5,18.4,17.5,17.7,17.8,32.0,15.55,261623,4682437.75,,17.9,EQ
04-05-2006,17.9,18.95,17.0,18.2,18.4,32.0,15.55,670124,12203389.35,,18.21,EQ
05-05-2006,18.2,18.9,18.1,18.25,18.3,32.0,15.55,186639,3436079.1,,18.41,EQ
08-05-2006,18.5,18.55,17.8,18.0,17.9,32.0,15.55,111682,2015680.45,,18.05,EQ
