DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
03-03-2008,11074.05,11074.05,10601.1,11038.3,10748.0,11074.05,10601.1,1760,19439075.8,,11044.93,EQ
04-03-2008,11200.0,11200.0,10486.4,10486.4,10486.4,11200.0,10486.4,628,6765283.65,,10772.74,EQ
05-03-2008,10199.0,10395.0,9962.1,10320.3,10395.0,11200.0,9962.1,553,5552078.45,,10039.92,EQ
07-03-2008,10500.0,10500.0,9804.3,9814.1,9850.0,11200.0,9804.3,751,7434104.8,,9898.94,EQ
10-03-2008,8851.0,10197.0,8851.0,9970.6,9900.0,11200.0,8851.0,1286,12066109.55,,9382.67,EQ
11-03-2008,10240.0,10967.7,10025.0,10967.7,10967.7,11200.0,8851.0,1086,11773855.3,,10841.49,EQ
12-03-2008,12064.45,12064.5,12064.45,12064.5,12064.5,12064.5,8851.0,389,4693088.9,,12064.5,EQ
13-03-2008,12899.4,12899.4,10858.05,10858.05,10858.05,12899.4,8851.0,3524,40169587.45,,11398.86,EQ
14-03-2008,10900.0,11943.9,10005.0,11802.25,11943.9,12899.4,8851.0,3246,35978147.3,,11083.84,EQ
17-03-2008,10890.0,11349.0,10622.05,10623.95,10622.05,12899.4,8851.0,1414,15328833.35,,10840.76,EQ
18-03-2008,10999.0,11200.0,9990.0,10328.05,10010.0,12899.4,8851.0,1691,17959207.1,,10620.47,EQ
19-03-2008,10980.0,11210.0,9380.0,9523.75,9550.0,12899.4,8851.0,1173,11900338.5,,10145.22,EQ
24-03-2008,9990.0,9995.0,8590.0,8882.65,9000.0,12899.4,8590.0,1421,12821442.9,,9022.83,EQ
25-03-2008,8100.1,9600.0,8100.1,9444.95,9599.0,12899.4,8100.1,1450,13442282.4,,9270.54,EQ
26-03-2008,9799.0,9799.0,9120.0,9326.75,9300.0,12899.4,8100.1,830,7815073.4,,9415.75,EQ
27-03-2008,9080.0,9650.0,9000.0,9508.35,9500.0,12899.4,8100.1,763,7176065.55,,9405.07,EQ
28-03-2008,9520.0,10459.2,9000.0,10287.0,10459.2,12899.4,8100.1,930,9297247.7,,9997.04,EQ
31-03-2008,10459.2,11315.7,10300.0,10364.85,10351.05,12899.4,8100.1,3033,32835382.25,,10826.04,EQ
01-04-2008,10745.0,11399.0,10390.0,10941.4,10965.0,12899.4,8100.1,2053,21999260.4,,10715.67,EQ
02-04-2008,11500.0,11900.0,10711.0,10814.7,10750.0,12899.4,8100.1,1094,12260532.5,,11207.07,EQ
03-04-2008,10805.0,10805.0,10200.0,10354.1,10400.0,12899.4,8100.1,781,8117575.6,,10393.82,EQ
04-04-2008,10690.0,11300.0,10100.0,10188.0,10201.05,12899.4,8100.1,1899,20079105.25,,10573.52,EQ
07-04-2008,10590.0,11206.8,10450.0,11206.8,11206.8,12899.4,8100.1,5010,55392753.6,,11056.44,EQ
08-04-2008,12090.0,12327.5,11699.0,12327.5,12327.5,12899.4,8100.1,1903,22899236.75,,12033.23,EQ
09-04-2008,13560.25,13560.25,13560.25,13560.25,13560.25,13560.25,8100.1,1798,24381329.5,,13560.25,EQ
10-04-2008,1423.85,1423.85,1423.85,1423.85,1423.85,13560.25,1423.85,7351,10466721.35,,1423.85,EQ
11-04-2008,1495.05,1495.05,1495.05,1495.05,1495.05,13560.25,1423.85,5136,7678576.8,,1495.05,EQ
15-04-2008,1569.8,1569.8,1420.3,1420.3,1420.3,13560.25,1420.3,67243,99111315.2,,1473.93,EQ
16-04-2008,1355.0,1370.0,1349.3,1349.3,1349.3,13560.25,1349.3,30098,40665809.5,,1351.11,EQ
17-04-2008,1360.0,1416.8,1295.0,1302.9,1309.8,13560.25,1295.0,60471,82570957.9,,1365.46,EQ
21-04-2008,1337.0,1350.0,1298.0,1310.65,1311.0,13560.25,1295.0,14594,19352279.05,,1326.04,EQ
22-04-2008,1315.0,1315.0,1248.35,1255.65,1250.0,13560.25,1248.35,13549,17275414.65,,1275.03,EQ
23-04-2008,1255.0,1265.7,1199.0,1211.45,1202.0,13560.25,1199.0,14600,17765320.2,,1216.8,EQ
24-04-2008,1240.0,1264.0,1202.0,1226.6,1223.0,13560.25,1199.0,8432,10331667.4,,1225.29,EQ
25-04-2008,1260.0,1287.95,1190.0,1287.95,1287.95,13560.25,1190.0,16260,20370416.3,,1252.79,EQ
28-04-2008,1352.35,1352.35,1320.0,1352.35,1352.35,13560.25,1190.0,6816,9174160.9,,1345.97,EQ
29-04-2008,1420.0,1420.0,1325.0,1346.45,1332.0,13560.25,1190.0,55005,76268245.7,,1386.57,EQ
