DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
20-10-2010,271.1,299.0,271.1,282.9,280.15,299.0,271.1,41372574,11927937922.3,,288.31,EQ
21-10-2010,281.7,304.9,275.8,298.75,297.8,304.9,271.1,8078620,2352820365.35,,291.24,EQ
22-10-2010,300.0,301.5,288.5,295.0,293.15,304.9,271.1,2887285,849926215.35,,294.37,EQ
25-10-2010,295.55,306.35,292.7,302.15,297.15,306.35,271.1,2361102,709687759.55,,300.57,EQ
26-10-2010,302.15,302.15,283.15,285.2,285.0,306.35,271.1,815185,237401985.5,,291.22,EQ
27-10-2010,287.0,293.0,280.0,290.15,287.45,306.35,271.1,692403,198297282.8,,286.39,EQ
28-10-2010,292.8,294.0,285.05,289.15,290.15,306.35,271.1,305955,88922521.5,,290.64,EQ
29-10-2010,290.0,290.0,275.0,279.05,277.5,306.35,271.1,437923,123025554.0,,280.93,EQ
01-11-2010,280.0,283.8,274.1,275.8,276.0,306.35,271.1,340688,94316075.35,,276.84,EQ
02-11-2010,276.0,282.0,275.0,276.5,277.0,306.35,271.1,228621,63297923.95,,276.87,EQ
03-11-2010,277.0,283.8,276.5,281.5,280.6,306.35,271.1,237572,66564718.9,,280.19,EQ
04-11-2010,283.5,291.8,279.0,284.95,286.0,306.35,271.1,288647,82201030.35,,284.78,EQ
05-11-2010,286.0,289.0,282.5,284.9,283.8,306.35,271.1,32943,9412182.15,,285.71,EQ
08-11-2010,285.0,294.4,283.1,289.6,290.0,306.35,271.1,265486,77037966.45,,290.18,EQ
09-11-2010,284.0,291.5,272.4,289.15,288.0,306.35,271.1,206968,59336486.9,,286.69,EQ
10-11-2010,289.0,292.3,285.1,286.75,285.15,306.35,271.1,140632,40650925.1,,289.06,EQ
11-11-2010,286.0,290.0,281.0,283.85,284.0,306.35,271.1,200646,57049887.4,,284.33,EQ
12-11-2010,283.0,285.0,265.05,280.2,281.95,306.35,265.05,350592,97551654.25,,278.25,EQ
15-11-2010,270.25,280.2,270.25,275.9,275.0,306.35,265.05,63023,17319721.55,,274.82,EQ
16-11-2010,283.4,283.4,268.05,270.25,271.95,306.35,265.05,88376,24000506.15,,271.57,EQ
18-11-2010,272.0,274.65,260.55,266.0,268.8,306.35,260.55,104928,27966179.0,,266.53,EQ
19-11-2010,263.0,268.0,256.8,262.35,265.0,306.35,256.8,100220,26156507.4,,260.99,EQ
22-11-2010,263.2,279.7,263.2,276.4,279.0,306.35,256.8,135986,37066020.9,,272.57,EQ
23-11-2010,274.9,274.9,265.55,271.2,271.95,306.35,256.8,77655,20875806.6,,268.83,EQ
24-11-2010,269.95,273.5,257.05,262.4,265.95,306.35,256.8,161468,43207868.3,,267.59,EQ
25-11-2010,255.4,271.0,216.0,262.85,265.0,306.35,216.0,1320525,336021364.0,,254.46,EQ
26-11-2010,262.5,288.7,256.1,266.85,267.95,306.35,216.0,1179763,312921944.05,,265.24,EQ
29-11-2010,267.0,275.0,265.5,271.25,271.65,306.35,216.0,116967,31686756.6,,270.9,EQ
30-11-2010,265.6,276.0,265.6,269.6,269.5,306.35,216.0,490785,133116780.2,,271.23,EQ
01-12-2010,271.9,277.0,267.0,275.25,276.0,306.35,216.0,98396,26900607.75,,273.39,EQ
02-12-2010,277.1,279.0,274.1,276.95,277.0,306.35,216.0,48849,13512824.95,,276.62,EQ
03-12-2010,273.4,280.0,273.2,276.75,277.4,306.35,216.0,175573,48627691.9,,276.97,EQ
06-12-2010,278.0,279.5,274.35,277.0,277.3,306.35,216.0,26200,7265899.5,,277.32,EQ
07-12-2010,272.35,276.35,270.5,273.2,273.0,306.35,216.0,116304,31793536.15,,273.37,EQ
08-12-2010,272.0,276.0,269.0,272.35,272.9,306.35,216.0,49474,13500845.65,,272.89,EQ
09-12-2010,255.6,273.0,255.6,265.1,264.5,306.35,216.0,298546,79877656.45,,267.56,EQ
10-12-2010,265.0,267.0,260.0,265.1,266.8,306.35,216.0,63568,16841830.5,,264.94,EQ
13-12-2010,268.0,271.5,219.9,265.55,267.0,306.35,216.0,463195,123154661.35,,265.88,EQ
14-12-2010,266.5,270.0,264.7,267.95,267.05,306.35,216.0,971836,259594890.05,,267.12,EQ
15-12-2010,261.1,269.65,260.0,261.8,261.8,306.35,216.0,134851,35798967.85,,265.47,EQ
16-12-2010,264.75,264.9,260.0,260.65,260.45,306.35,216.0,54018,14098822.35,,261.0,EQ
20-12-2010,260.0,264.85,260.0,261.2,261.45,306.35,216.0,26611,6940230.1,,260.8,EQ
21-12-2010,262.0,272.0,262.0,264.55,265.0,306.35,216.0,28707,7654160.15,,266.63,EQ
22-12-2010,265.0,267.45,261.9,264.5,264.65,306.35,216.0,144817,38422364.75,,265.32,EQ
23-12-2010,264.65,266.0,262.0,264.1,264.0,306.35,216.0,4309,1137178.65,,263.91,EQ
24-12-2010,262.05,265.0,260.1,261.45,262.0,306.35,216.0,15428,4057869.25,,263.02,EQ
27-12-2010,261.45,265.9,260.45,261.85,262.0,306.35,216.0,9504,2501885.45,,263.25,EQ
28-12-2010,262.0,265.2,260.1,263.55,264.75,306.35,216.0,76628,20185635.2,,263.42,EQ
29-12-2010,262.1,264.5,258.0,261.6,258.25,306.35,216.0,460498,119847588.25,,260.26,EQ
30-12-2010,264.0,265.0,258.5,262.05,263.0,306.35,216.0,224660,58893422.9,,262.14,EQ
31-12-2010,263.7,264.4,254.0,255.65,255.0,306.35,216.0,24629,6335022.05,,257.22,EQ
03-01-2011,259.0,264.0,256.1,257.9,257.75,306.35,216.0,17565,4553347.85,,259.23,EQ
04-01-2011,261.0,261.45,251.1,252.95,252.15,306.35,216.0,14316,3654245.9,,255.26,EQ
05-01-2011,252.95,262.0,252.0,260.0,258.5,306.35,216.0,529011,137517906.45,,259.95,EQ
06-01-2011,261.3,261.3,252.15,253.95,252.25,306.35,216.0,4848,1239116.45,,255.59,EQ
07-01-2011,254.25,254.25,245.05,246.5,245.3,306.35,216.0,20863,5214546.35,,249.94,EQ
10-01-2011,242.0,248.0,242.0,245.05,243.0,306.35,216.0,11673,2866068.1,,245.53,EQ
11-01-2011,247.95,247.95,240.05,241.9,240.5,306.35,216.0,10576,2567099.4,,242.73,EQ
12-01-2011,239.0,247.0,239.0,245.5,245.0,306.35,216.0,61808,15140528.05,,244.96,EQ
13-01-2011,246.8,255.0,245.0,248.5,248.9,306.35,216.0,9693,2416700.45,,249.32,EQ
14-01-2011,234.0,249.5,234.0,245.1,245.3,306.35,216.0,49750,12196176.45,,245.15,EQ
17-01-2011,245.5,246.85,245.0,245.05,245.0,306.35,216.0,5193,1273114.75,,245.16,EQ
18-01-2011,245.0,246.5,245.0,245.0,245.0,306.35,216.0,9717,2381296.6,,245.06,EQ
19-01-2011,256.0,256.0,245.0,249.0,249.5,306.35,216.0,11474,2858906.85,,249.16,EQ
20-01-2011,249.1,250.0,244.5,246.5,245.0,306.35,216.0,66509,16416882.75,,246.84,EQ
21-01-2011,247.0,249.65,246.05,248.25,248.0,306.35,216.0,7027,1744750.65,,248.29,EQ
24-01-2011,253.0,253.0,245.1,248.25,248.5,306.35,216.0,16118,3983101.15,,247.12,EQ
25-01-2011,248.25,251.95,246.0,247.0,246.35,306.35,216.0,32602,8094973.15,,248.3,EQ
27-01-2011,249.2,250.95,246.25,248.1,246.4,306.35,216.0,15299,3814735.1,,249.35,EQ
28-01-2011,240.55,251.95,240.55,245.75,245.25,306.35,216.0,95161,23396871.7,,245.87,EQ
31-01-2011,247.0,250.95,245.0,247.55,249.0,306.35,216.0,27313,6762123.45,,247.58,EQ
01-02-2011,247.0,251.9,244.8,246.4,251.9,306.35,216.0,45728,11227975.7,,245.54,EQ
02-02-2011,250.0,250.0,233.1,238.5,234.0,306.35,216.0,321289,76711792.95,,238.76,EQ
03-02-2011,237.0,249.0,222.05,243.7,245.1,306.35,216.0,113855,26638035.0,,233.96,EQ
04-02-2011,241.15,244.85,233.25,239.7,239.0,306.35,216.0,11044,2663123.5,,241.14,EQ
07-02-2011,236.0,241.45,230.55,232.65,232.0,306.35,216.0,10553,2490189.05,,235.97,EQ
08-02-2011,229.0,237.95,225.0,230.2,230.0,306.35,216.0,72262,16630432.65,,230.14,EQ
09-02-2011,230.0,237.1,211.4,227.4,234.0,306.35,211.4,25657,5762028.8,,224.58,EQ
10-02-2011,231.9,232.0,218.0,227.6,232.0,306.35,211.4,66465,15117783.3,,227.45,EQ
11-02-2011,232.75,232.75,224.8,227.4,227.1,306.35,211.4,161487,36502857.35,,226.04,EQ
14-02-2011,228.6,233.25,220.5,231.9,232.0,306.35,211.4,128186,29485491.05,,230.02,EQ
15-02-2011,233.1,237.8,224.8,227.75,224.8,306.35,211.4,113696,25921861.75,,227.99,EQ
16-02-2011,223.0,236.0,223.0,234.05,236.0,306.35,211.4,21174,4857067.7,,229.39,EQ
17-02-2011,235.35,268.5,234.0,247.6,247.0,306.35,211.4,159847,40683278.9,,254.51,EQ
18-02-2011,248.0,252.5,241.0,241.55,241.0,306.35,211.4,15646,3831489.9,,244.89,EQ
21-02-2011,240.0,245.0,233.55,237.35,235.85,306.35,211.4,8693,2058827.65,,236.84,EQ
22-02-2011,232.0,242.0,225.65,230.2,228.35,306.35,211.4,7701,1777761.7,,230.85,EQ
23-02-2011,230.2,238.0,212.25,220.5,220.0,306.35,211.4,241542,52944168.15,,219.19,EQ
24-02-2011,220.2,221.4,214.0,216.4,215.4,306.35,211.4,9671,2111178.8,,218.3,EQ
25-02-2011,215.0,223.95,212.6,218.2,220.0,306.35,211.4,16285,3541413.5,,217.46,EQ
28-02-2011,218.0,223.45,215.05,218.55,220.0,306.35,211.4,59036,12889234.85,,218.33,EQ
01-03-2011,220.35,240.0,220.0,233.4,230.05,306.35,211.4,19742,4537628.05,,229.85,EQ
03-03-2011,225.0,251.0,225.0,248.95,248.9,306.35,211.4,41323,9947219.05,,240.72,EQ
04-03-2011,251.0,254.65,240.05,247.85,244.05,306.35,211.4,35515,8888938.7,,250.29,EQ
07-03-2011,233.05,248.85,233.05,239.75,238.5,306.35,211.4,9395,2260831.6,,240.64,EQ
08-03-2011,231.35,245.85,231.35,236.9,237.45,306.35,211.4,12325,2968897.1,,240.88,EQ
09-03-2011,244.0,244.0,236.0,240.2,242.5,306.35,211.4,31082,7466145.8,,240.21,EQ
10-03-2011,243.0,245.0,238.0,239.7,240.0,306.35,211.4,56741,13675302.85,,241.01,EQ
11-03-2011,236.2,244.95,232.5,241.4,241.3,306.35,211.4,18339,4408916.05,,240.41,EQ
14-03-2011,243.9,251.85,239.0,246.75,245.55,306.35,211.4,78015,19267853.65,,246.98,EQ
15-03-2011,238.0,246.15,238.0,239.0,239.35,306.35,211.4,172836,41942400.1,,242.67,EQ
16-03-2011,250.9,269.9,235.15,237.0,235.7,306.35,211.4,22373,5401969.35,,241.45,EQ
17-03-2011,240.0,240.0,232.0,234.75,234.0,306.35,211.4,10943,2594772.05,,237.12,EQ
18-03-2011,230.35,235.0,225.0,227.05,226.3,306.35,211.4,27257,6208578.0,,227.78,EQ
21-03-2011,215.35,234.95,215.35,229.2,229.55,306.35,211.4,4565,1043214.8,,228.52,EQ
