DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
24-02-2003,35.0,35.0,31.05,32.0,32.0,0.0,0.0,202,6371.5,,31.54,EQ
25-02-2003,31.8,32.25,31.0,31.45,31.4,35.0,31.05,5730,180989.0,,31.59,EQ
26-02-2003,32.2,32.2,30.4,30.85,30.4,35.0,31.0,3871,120341.2,,31.09,EQ
27-02-2003,31.0,31.9,31.0,31.85,31.85,35.0,30.4,1422,44939.5,,31.6,EQ
28-02-2003,32.15,32.2,31.95,32.0,32.0,35.0,30.4,1725,55270.0,,32.04,EQ
03-03-2003,32.0,32.0,31.4,31.45,31.4,35.0,30.4,1900,60385.0,,31.78,EQ
04-03-2003,31.2,31.2,29.7,29.8,29.7,35.0,30.4,6927,209766.35,,30.28,EQ
05-03-2003,31.0,31.05,27.1,29.4,29.5,35.0,29.7,4695,138933.0,,29.59,EQ
06-03-2003,29.45,29.45,28.6,28.65,28.65,35.0,27.1,1820,52790.0,,29.01,EQ
07-03-2003,29.0,31.5,28.15,28.25,28.15,35.0,27.1,2840,81355.5,,28.65,EQ
10-03-2003,27.5,27.5,27.5,27.5,27.5,35.0,27.1,130,3575.0,,27.5,EQ
11-03-2003,27.7,28.8,27.5,28.5,28.8,35.0,27.1,3375,94934.0,,28.13,EQ
12-03-2003,30.0,30.4,29.5,29.5,29.5,35.0,27.1,550,16460.0,,29.93,EQ
13-03-2003,27.5,29.5,27.5,28.9,28.9,35.0,27.1,2230,63402.55,,28.43,EQ
17-03-2003,28.75,29.0,28.25,28.9,29.0,35.0,27.1,950,27137.5,,28.57,EQ
19-03-2003,29.5,30.95,29.0,29.5,29.5,35.0,27.1,3560,105067.75,,29.51,EQ
20-03-2003,29.05,30.5,29.0,30.2,30.25,35.0,27.1,1625,48899.5,,30.09,EQ
21-03-2003,30.1,30.1,29.3,29.55,29.7,35.0,27.1,2209,65979.8,,29.87,EQ
22-03-2003,30.0,30.5,30.0,30.25,30.0,35.0,27.1,1751,52901.6,,30.21,EQ
24-03-2003,30.0,30.5,29.8,29.8,29.8,35.0,27.1,2700,81070.0,,30.03,EQ
25-03-2003,29.8,30.8,29.8,30.65,30.65,35.0,27.1,4973,151324.85,,30.43,EQ
26-03-2003,31.0,31.25,29.5,30.45,30.45,35.0,27.1,3068,92740.3,,30.23,EQ
27-03-2003,31.0,31.0,29.5,29.5,29.5,35.0,27.1,500,15011.5,,30.02,EQ
28-03-2003,30.05,30.6,29.35,29.35,29.35,35.0,27.1,2935,87060.25,,29.66,EQ
31-03-2003,30.0,30.0,29.0,29.0,29.0,35.0,27.1,1155,33971.75,,29.41,EQ
01-04-2003,29.0,29.95,28.35,29.95,29.95,35.0,27.1,902,26002.8,,28.83,EQ
02-04-2003,29.8,29.8,29.8,29.8,29.8,35.0,27.1,290,8642.0,,29.8,EQ
03-04-2003,30.2,32.5,30.0,31.15,30.7,35.0,27.1,4435,137665.0,,31.04,EQ
04-04-2003,31.0,31.0,29.7,30.0,30.0,35.0,27.1,5124,154128.75,,30.08,EQ
07-04-2003,29.0,30.5,29.0,30.15,30.0,35.0,27.1,5356,161844.4,,30.22,EQ
08-04-2003,30.0,30.3,28.55,29.0,28.55,35.0,27.1,5470,161442.5,,29.51,EQ
09-04-2003,30.8,30.9,29.25,29.45,29.45,35.0,27.1,3240,96198.0,,29.69,EQ
10-04-2003,29.5,29.75,29.0,29.5,29.45,35.0,27.1,6870,202341.5,,29.45,EQ
11-04-2003,33.8,33.8,29.0,29.7,29.4,35.0,27.1,8152,243796.95,,29.91,EQ
15-04-2003,30.4,30.5,30.0,30.05,30.0,35.0,27.1,6670,200631.0,,30.08,EQ
16-04-2003,30.0,30.0,29.35,29.35,29.35,35.0,27.1,5475,161634.95,,29.52,EQ
17-04-2003,29.95,30.8,29.5,29.95,30.4,35.0,27.1,3810,113640.8,,29.83,EQ
21-04-2003,30.5,30.7,29.55,30.3,30.15,35.0,27.1,6131,185554.35,,30.26,EQ
22-04-2003,30.0,30.35,29.95,30.15,30.15,35.0,27.1,2190,65962.75,,30.12,EQ
23-04-2003,30.25,30.6,30.15,30.25,30.15,35.0,27.1,3222,97534.8,,30.27,EQ
24-04-2003,29.95,30.25,29.95,30.1,30.1,35.0,27.1,500,15022.5,,30.05,EQ
25-04-2003,30.25,30.25,29.9,29.9,29.9,35.0,27.1,1088,32679.5,,30.04,EQ
28-04-2003,30.45,30.7,30.1,30.5,30.7,35.0,27.1,4976,151137.75,,30.37,EQ
29-04-2003,30.4,30.5,29.15,30.05,30.05,35.0,27.1,9713,288261.45,,29.68,EQ
30-04-2003,30.0,30.4,29.8,29.95,30.4,35.0,27.1,2451,73155.7,,29.85,EQ
02-05-2003,30.15,30.45,29.8,30.35,30.35,35.0,27.1,4011,120956.35,,30.16,EQ
05-05-2003,30.1,31.75,29.7,31.1,31.75,35.0,27.1,6702,204731.35,,30.55,EQ
06-05-2003,32.8,33.4,31.8,32.3,32.4,35.0,27.1,9639,314732.7,,32.65,EQ
07-05-2003,32.1,33.0,31.5,31.85,31.95,35.0,27.1,7725,248900.75,,32.22,EQ
08-05-2003,31.9,32.6,31.5,31.8,32.0,35.0,27.1,8231,263662.4,,32.03,EQ
09-05-2003,32.0,37.55,31.9,36.0,36.1,35.0,27.1,66945,2389216.3,,35.69,EQ
12-05-2003,36.8,41.9,36.8,40.9,40.5,37.55,27.1,153925,6167528.6,,40.07,EQ
13-05-2003,41.7,45.9,41.7,42.55,42.75,41.9,27.1,195046,8644117.05,,44.32,EQ
14-05-2003,42.0,43.55,41.0,41.85,41.45,45.9,27.1,89506,3793814.15,,42.39,EQ
15-05-2003,42.0,42.25,40.0,40.25,40.1,45.9,27.1,57877,2374525.05,,41.03,EQ
16-05-2003,41.0,41.85,38.7,39.05,39.25,45.9,27.1,48623,1937690.35,,39.85,EQ
19-05-2003,40.0,42.65,39.85,40.2,40.0,45.9,27.1,73707,3040853.7,,41.26,EQ
20-05-2003,40.25,40.9,39.3,40.1,40.35,45.9,27.1,24102,966516.45,,40.1,EQ
21-05-2003,39.7,41.5,39.7,40.25,40.2,45.9,27.1,37797,1538824.4,,40.71,EQ
22-05-2003,40.2,40.7,38.55,38.9,39.0,45.9,27.1,24795,976444.3,,39.38,EQ
23-05-2003,39.15,39.8,38.55,39.2,39.25,45.9,27.1,39780,1553479.2,,39.05,EQ
26-05-2003,39.55,41.25,39.0,40.65,41.0,45.9,27.1,72340,2910173.55,,40.23,EQ
27-05-2003,40.8,41.95,39.3,39.7,39.45,45.9,27.1,46815,1898897.5,,40.56,EQ
28-05-2003,39.7,40.3,39.25,39.65,39.3,45.9,27.1,18148,722487.25,,39.81,EQ
29-05-2003,39.15,40.0,38.9,39.1,39.2,45.9,27.1,19190,754977.3,,39.34,EQ
30-05-2003,39.9,40.0,38.25,38.6,38.3,45.9,27.1,22056,857620.2,,38.88,EQ
02-06-2003,39.9,39.9,37.0,37.3,37.5,45.9,27.1,23877,910938.9,,38.15,EQ
03-06-2003,38.4,38.4,36.15,36.9,36.55,45.9,27.1,16549,610889.75,,36.91,EQ
04-06-2003,40.0,40.0,36.75,37.1,37.0,45.9,27.1,13095,485945.25,,37.11,EQ
05-06-2003,37.25,38.0,37.0,37.55,37.75,45.9,27.1,15896,598492.8,,37.65,EQ
06-06-2003,38.65,38.75,37.05,37.45,37.55,45.9,27.1,17525,663055.15,,37.83,EQ
09-06-2003,37.95,40.0,37.5,39.65,39.5,45.9,27.1,40043,1566251.6,,39.11,EQ
10-06-2003,40.05,42.95,38.9,39.8,38.9,45.9,27.1,131858,5453168.9,,41.36,EQ
11-06-2003,43.0,43.0,39.95,40.45,40.75,45.9,27.1,43939,1787359.0,,40.68,EQ
12-06-2003,41.15,41.5,40.5,40.7,40.7,45.9,27.1,28733,1171849.95,,40.78,EQ
13-06-2003,41.95,42.0,39.7,39.95,40.25,45.9,27.1,25165,1023110.3,,40.66,EQ
16-06-2003,40.0,40.35,39.25,39.95,39.4,45.9,27.1,31105,1242811.0,,39.96,EQ
17-06-2003,40.2,41.0,39.75,40.45,40.0,45.9,27.1,34277,1387216.9,,40.47,EQ
18-06-2003,43.45,43.5,40.95,42.5,42.55,45.9,27.1,135812,5778133.4,,42.55,EQ
19-06-2003,43.0,46.0,42.2,45.0,45.0,45.9,27.1,193248,8589078.75,,44.45,EQ
20-06-2003,46.4,49.5,45.55,46.75,46.65,46.0,27.1,375799,17825687.05,,47.43,EQ
23-06-2003,47.25,48.5,44.0,44.4,44.1,49.5,27.1,99746,4574518.2,,45.86,EQ
24-06-2003,44.0,45.8,43.95,44.05,44.0,49.5,27.1,44187,1978723.5,,44.78,EQ
25-06-2003,44.75,51.4,44.75,48.85,49.0,49.5,27.1,517481,25502317.1,,49.28,EQ
26-06-2003,49.8,50.8,47.85,48.2,48.0,51.4,27.1,160713,7869153.25,,48.96,EQ
27-06-2003,48.9,48.95,46.15,46.9,46.25,51.4,27.1,88887,4193701.95,,47.18,EQ
30-06-2003,47.85,48.7,47.1,47.85,48.0,51.4,27.1,73992,3543688.15,,47.89,EQ
01-07-2003,48.4,49.9,47.85,48.2,48.25,51.4,27.1,110040,5378822.35,,48.88,EQ
02-07-2003,49.85,49.85,46.55,47.25,46.55,51.4,27.1,121425,5849447.6,,48.17,EQ
03-07-2003,48.7,48.9,47.25,47.9,48.0,51.4,27.1,71797,3448137.4,,48.03,EQ
04-07-2003,48.25,48.25,47.3,47.55,47.7,51.4,27.1,47103,2252953.8,,47.83,EQ
07-07-2003,48.0,50.0,46.9,47.6,47.0,51.4,27.1,157465,7669403.8,,48.71,EQ
08-07-2003,49.0,49.8,47.8,48.45,48.95,51.4,27.1,174213,8543231.5,,49.04,EQ
09-07-2003,49.2,49.2,46.1,46.6,46.7,51.4,27.1,34840,1642769.65,,47.15,EQ
10-07-2003,45.7,48.1,45.7,47.05,47.0,51.4,27.1,60402,2872986.0,,47.56,EQ
11-07-2003,47.8,48.1,46.4,46.7,46.55,51.4,27.1,24097,1141795.9,,47.38,EQ
14-07-2003,49.95,49.95,47.0,47.7,47.6,51.4,27.1,29079,1382401.05,,47.54,EQ
15-07-2003,47.6,48.0,45.25,46.15,46.4,51.4,27.1,27290,1266597.3,,46.41,EQ
16-07-2003,47.9,47.9,46.2,46.35,46.35,51.4,27.1,37357,1742365.6,,46.64,EQ
17-07-2003,46.95,49.5,46.5,47.0,46.5,51.4,27.1,99990,4834379.05,,48.35,EQ
18-07-2003,44.2,47.45,44.2,46.0,46.5,51.4,27.1,52564,2422633.1,,46.09,EQ
21-07-2003,46.5,47.5,46.05,46.2,46.65,51.4,27.1,18020,840848.6,,46.66,EQ
22-07-2003,46.0,46.0,44.5,44.65,44.85,51.4,27.1,30303,1365461.75,,45.06,EQ
