DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
08-08-2017,67.95,67.95,57.0,57.05,57.0,67.95,57.0,8159,496660.8,85,60.87,EQ
09-08-2017,57.0,59.95,55.0,55.6,57.0,67.95,55.0,21845,1223870.2,36,56.03,EQ
10-08-2017,53.0,56.9,53.0,56.35,56.9,67.95,53.0,2520,140460.3,34,55.74,EQ
11-08-2017,61.0,61.0,51.2,54.0,53.5,67.95,51.2,17926,968014.05,102,54.0,EQ
14-08-2017,58.9,58.9,51.8,52.5,51.8,67.95,51.2,10739,574519.8,31,53.5,EQ
16-08-2017,52.5,56.5,52.5,55.0,54.05,67.95,51.2,12426,682973.1,38,54.96,EQ
17-08-2017,54.05,54.1,54.05,54.05,54.05,67.95,51.2,827,44701.65,8,54.05,EQ
18-08-2017,54.5,54.5,54.05,54.5,54.5,67.95,51.2,1700,92200.05,7,54.24,EQ
21-08-2017,56.95,56.95,51.7,54.7,54.7,67.95,51.2,1645,88143.9,13,53.58,EQ
22-08-2017,55.65,55.65,53.1,53.8,53.7,67.95,51.2,1574,85691.0,12,54.44,EQ
23-08-2017,55.0,55.0,53.5,53.5,53.5,67.95,51.2,4225,231458.5,7,54.78,EQ
24-08-2017,52.05,55.4,52.0,55.4,55.4,67.95,51.2,638,33339.95,7,52.26,EQ
28-08-2017,54.0,54.0,54.0,54.0,54.0,67.95,51.2,113,6102.0,4,54.0,EQ
29-08-2017,53.1,53.1,53.1,53.1,53.1,67.95,51.2,21,1115.1,1,53.1,EQ
30-08-2017,54.65,54.65,52.6,52.6,52.6,67.95,51.2,938,50015.7,9,53.32,EQ
31-08-2017,52.15,53.8,52.05,53.8,53.8,67.95,51.2,1051,55489.3,8,52.8,EQ
01-09-2017,53.8,55.95,53.8,55.25,55.5,67.95,51.2,3402,187446.7,18,55.1,EQ
04-09-2017,55.0,55.0,52.45,52.5,52.5,67.95,51.2,300,15995.55,5,53.32,EQ
05-09-2017,54.4,54.45,52.7,53.55,53.55,67.95,51.2,3495,185329.0,11,53.03,EQ
06-09-2017,53.95,57.9,53.9,56.05,56.05,67.95,51.2,5750,319667.45,41,55.59,EQ
07-09-2017,56.0,56.45,55.05,55.05,55.05,67.95,51.2,320,17638.1,5,55.12,EQ
08-09-2017,55.05,59.3,54.0,55.3,55.0,67.95,51.2,14810,815784.55,30,55.08,EQ
11-09-2017,53.05,58.15,53.05,57.05,57.05,67.95,51.2,9344,530269.85,28,56.75,EQ
12-09-2017,55.0,56.35,53.6,54.75,54.75,67.95,51.2,5495,300458.2,38,54.68,EQ
13-09-2017,56.5,56.5,54.0,54.0,54.0,67.95,51.2,203,10969.3,5,54.04,EQ
14-09-2017,53.1,55.0,53.0,53.45,55.0,67.95,51.2,825,43979.2,9,53.31,EQ
15-09-2017,50.15,53.5,48.15,49.3,49.5,67.95,48.15,136594,6655183.75,332,48.72,EQ
18-09-2017,50.0,52.15,50.0,50.0,50.3,67.95,48.15,9344,468973.85,55,50.19,EQ
19-09-2017,50.3,52.95,50.3,52.3,52.85,67.95,48.15,7753,401024.75,53,51.73,EQ
20-09-2017,53.0,53.0,51.0,51.25,51.1,67.95,48.15,2659,136666.0,22,51.4,EQ
21-09-2017,54.8,54.8,47.75,49.7,49.0,67.95,47.75,2256,113084.15,43,50.13,EQ
22-09-2017,48.5,51.85,46.2,49.9,50.0,67.95,46.2,17744,859021.1,72,48.41,EQ
25-09-2017,50.0,50.5,46.8,48.5,49.0,67.95,46.2,14136,689232.85,47,48.76,EQ
26-09-2017,50.95,50.95,47.1,47.6,47.6,67.95,46.2,3252,157030.95,21,48.29,EQ
27-09-2017,51.0,51.0,46.0,47.55,48.0,67.95,46.0,9583,457566.4,100,47.75,EQ
28-09-2017,51.95,51.95,46.55,47.5,47.5,67.95,46.0,4166,199951.4,29,48.0,EQ
29-09-2017,49.95,49.95,47.0,47.0,47.7,67.95,46.0,1713,80738.95,16,47.13,EQ
