DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
09-05-2016,121.9,133.55,112.1,116.35,117.0,133.55,112.1,7531,870516.85,171,115.59,EQ
10-05-2016,116.0,116.1,104.75,104.75,104.75,133.55,104.75,5823,624480.55,110,107.24,EQ
11-05-2016,94.4,98.1,94.3,94.7,94.3,133.55,94.3,9366,892900.45,161,95.33,EQ
12-05-2016,90.2,94.9,90.0,92.55,94.0,133.55,90.0,8300,760589.8,109,91.64,EQ
13-05-2016,88.35,96.8,87.95,95.4,96.0,133.55,87.95,5997,557407.25,137,92.95,EQ
16-05-2016,99.0,99.0,90.7,93.55,90.7,133.55,87.95,3087,293892.15,53,95.2,EQ
17-05-2016,91.5,95.0,91.1,92.0,92.0,133.55,87.95,1941,178827.9,47,92.13,EQ
18-05-2016,94.3,94.3,90.0,90.55,90.5,133.55,87.95,1534,139252.45,45,90.78,EQ
19-05-2016,88.3,90.65,87.6,89.0,89.0,133.55,87.6,4890,435944.15,78,89.15,EQ
20-05-2016,90.9,90.9,86.65,88.05,88.0,133.55,86.65,523,45963.55,18,87.88,EQ
23-05-2016,91.65,91.65,85.6,85.85,87.0,133.55,85.6,3124,274044.3,79,87.72,EQ
24-05-2016,84.0,87.9,83.1,83.6,83.25,133.55,83.1,1637,138795.35,74,84.79,EQ
25-05-2016,87.75,87.75,87.75,87.75,87.75,133.55,83.1,554,48613.5,14,87.75,EQ
26-05-2016,92.1,92.1,92.1,92.1,92.1,133.55,83.1,1095,100849.5,23,92.1,EQ
27-05-2016,96.5,96.7,90.0,90.8,90.0,133.55,83.1,4601,429921.55,87,93.44,EQ
30-05-2016,90.0,90.0,86.3,86.3,86.3,133.55,83.1,5484,473855.2,120,86.41,EQ
31-05-2016,82.25,83.8,82.0,82.0,82.0,133.55,82.0,7838,642995.7,73,82.04,EQ
01-06-2016,80.0,80.0,77.9,77.9,77.9,133.55,77.9,7116,557246.65,70,78.31,EQ
02-06-2016,74.1,79.9,74.05,78.0,78.0,133.55,74.05,10826,825225.8,137,76.23,EQ
03-06-2016,79.9,83.0,79.9,82.1,81.25,133.55,74.05,4355,358414.9,87,82.3,EQ
06-06-2016,77.1,81.0,77.1,79.05,79.15,133.55,74.05,841,66232.45,23,78.75,EQ
07-06-2016,79.15,80.2,76.6,77.4,76.6,133.55,74.05,3625,283909.5,33,78.32,EQ
08-06-2016,79.0,79.0,74.15,77.15,78.7,133.55,74.05,1868,142079.55,32,76.06,EQ
09-06-2016,76.1,79.7,74.1,78.55,78.9,133.55,74.05,2374,184590.85,44,77.76,EQ
10-06-2016,74.6,81.35,74.6,78.4,76.75,133.55,74.05,3443,272517.45,89,79.15,EQ
13-06-2016,77.0,77.4,73.7,74.3,75.0,133.55,73.7,7741,581520.95,79,75.12,EQ
14-06-2016,74.0,74.0,71.45,72.9,73.3,133.55,71.45,8641,629082.55,98,72.8,EQ
15-06-2016,73.0,79.8,65.8,70.6,70.1,133.55,65.8,12919,929694.65,119,71.96,EQ
16-06-2016,72.0,76.35,69.0,72.45,72.6,133.55,65.8,17374,1260094.25,98,72.53,EQ
17-06-2016,73.95,74.0,71.65,73.7,74.0,133.55,65.8,1855,136127.0,29,73.38,EQ
20-06-2016,74.0,74.0,70.0,71.15,70.05,133.55,65.8,4689,335252.75,84,71.5,EQ
21-06-2016,70.0,73.85,68.3,69.3,68.4,133.55,65.8,7114,498248.3,99,70.04,EQ
22-06-2016,74.35,74.35,67.4,68.35,67.4,133.55,65.8,5018,349992.75,92,69.75,EQ
23-06-2016,68.0,75.0,68.0,72.85,74.9,133.55,65.8,18010,1275659.75,163,70.83,EQ
24-06-2016,67.4,72.9,67.4,70.8,69.4,133.55,65.8,4650,326173.95,65,70.14,EQ
27-06-2016,67.45,73.6,67.45,70.25,69.95,133.55,65.8,3730,264444.7,71,70.9,EQ
28-06-2016,69.95,73.7,69.95,72.7,73.7,133.55,65.8,5647,408790.9,133,72.39,EQ
29-06-2016,72.65,75.0,71.0,74.55,75.0,133.55,65.8,5003,367075.0,46,73.37,EQ
30-06-2016,74.35,74.35,71.5,73.05,73.0,133.55,65.8,8103,587926.6,72,72.56,EQ
01-07-2016,74.0,74.25,70.15,71.35,70.15,133.55,65.8,6951,506740.85,82,72.9,EQ
04-07-2016,70.5,85.6,70.5,85.6,85.6,133.55,65.8,12112,987788.75,149,81.55,EQ
05-07-2016,92.5,98.5,89.1,90.75,89.2,133.55,65.8,71061,6690020.4,1203,94.14,EQ
07-07-2016,91.0,106.5,90.5,101.7,101.5,133.55,65.8,215832,21805561.15,3516,101.03,EQ
08-07-2016,103.7,104.1,93.0,95.5,95.1,133.55,65.8,39100,3791710.9,927,96.97,EQ
11-07-2016,97.1,100.85,95.55,97.2,96.0,133.55,65.8,11390,1121861.9,240,98.5,EQ
12-07-2016,96.1,96.1,89.1,93.5,94.65,133.55,65.8,30052,2753796.2,436,91.63,EQ
13-07-2016,91.2,95.85,90.2,91.0,90.2,133.55,65.8,5125,471694.55,113,92.04,EQ
14-07-2016,90.0,92.9,86.1,86.45,86.1,133.55,65.8,13168,1156533.2,180,87.83,EQ
15-07-2016,93.4,93.4,85.6,86.4,85.6,133.55,65.8,6885,598460.5,137,86.92,EQ
18-07-2016,86.25,86.25,82.05,82.7,82.2,133.55,65.8,4766,400517.15,107,84.04,EQ
19-07-2016,81.0,84.0,79.55,80.75,80.3,133.55,65.8,5404,435648.05,121,80.62,EQ
20-07-2016,81.0,81.35,79.2,80.85,80.2,133.55,65.8,2266,182192.25,69,80.4,EQ
21-07-2016,79.0,80.05,75.3,78.3,79.3,133.55,65.8,3916,309483.3,107,79.03,EQ
22-07-2016,77.0,80.6,77.0,79.8,79.0,133.55,65.8,2336,184722.95,47,79.08,EQ
25-07-2016,82.8,83.95,78.0,81.95,83.25,133.55,65.8,4307,350457.35,111,81.37,EQ
26-07-2016,86.95,86.95,80.05,80.4,80.2,133.55,65.8,1979,161702.55,49,81.71,EQ
27-07-2016,81.0,81.95,76.5,77.25,76.5,133.55,65.8,4624,362154.05,79,78.32,EQ
28-07-2016,80.0,80.0,75.05,75.5,75.15,133.55,65.8,6608,507934.25,83,76.87,EQ
29-07-2016,76.5,78.25,73.7,74.2,74.45,133.55,65.8,4710,352622.95,64,74.87,EQ
01-08-2016,78.95,78.95,74.15,75.6,76.0,133.55,65.8,3467,264074.9,50,76.17,EQ
02-08-2016,77.0,78.7,67.35,68.75,68.4,133.55,65.8,29024,2035149.15,281,70.12,EQ
03-08-2016,68.75,71.7,67.15,70.45,70.9,133.55,65.8,6812,469419.5,94,68.91,EQ
04-08-2016,71.75,74.2,70.6,71.75,71.2,133.55,65.8,3571,256765.7,49,71.9,EQ
05-08-2016,73.15,73.15,71.0,72.05,72.15,133.55,65.8,2010,143726.8,46,71.51,EQ
08-08-2016,73.5,74.4,72.0,72.0,72.0,133.55,65.8,3585,261603.9,47,72.97,EQ
