DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
01-10-2021,469.0,492.45,460.0,492.45,492.45,492.45,460.0,2132033,1020580379.9,29411,478.69,BE
04-10-2021,517.05,517.05,517.05,517.05,517.05,517.05,460.0,229666,118748805.3,668,517.05,BE
05-10-2021,542.9,542.9,542.9,542.9,542.9,542.9,460.0,598641,325002198.9,9358,542.9,BE
06-10-2021,570.0,570.0,570.0,570.0,570.0,570.0,460.0,87885,50094450.0,1101,570.0,BE
07-10-2021,598.5,598.5,598.5,598.5,598.5,598.5,460.0,20927,12524809.5,433,598.5,BE
08-10-2021,628.4,628.4,628.4,628.4,628.4,628.4,460.0,18805,11817062.0,474,628.4,BE
11-10-2021,659.8,659.8,659.8,659.8,659.8,659.8,460.0,12686,8370222.8,334,659.8,BE
12-10-2021,692.75,692.75,626.85,626.85,626.85,692.75,460.0,772602,505975313.65,34034,654.9,BE
13-10-2021,595.55,595.55,595.55,595.55,595.55,692.75,460.0,132969,79189687.95,9378,595.55,BE
14-10-2021,575.45,625.3,575.45,625.3,625.3,692.75,460.0,862242,515867207.4,19144,598.29,BE
18-10-2021,643.9,750.35,617.15,750.35,750.35,750.35,617.15,3670817,2552353164.55,157553,695.31,EQ
19-10-2021,831.0,900.4,811.8,900.4,900.4,900.4,617.15,1666350,1478234270.1,61150,887.11,EQ
20-10-2021,978.0,990.4,825.65,990.4,990.4,990.4,617.15,6155927,5903988097.9,289160,959.07,EQ
21-10-2021,990.4,1089.4,935.35,1089.4,1089.4,1089.4,617.15,4177670,4446356781.2,169241,1064.31,EQ
22-10-2021,1178.7,1198.3,1153.6,1198.3,1198.3,1198.3,617.15,266248,316982950.0,9117,1190.56,EQ
25-10-2021,1245.0,1258.2,1138.4,1138.4,1138.4,1258.2,617.15,1008261,1205234808.65,49725,1195.36,EQ
26-10-2021,1081.5,1081.5,1081.5,1081.5,1081.5,1258.2,617.15,81234,87854571.0,6748,1081.5,EQ
27-10-2021,1062.1,1078.0,1027.45,1027.45,1027.45,1258.2,617.15,816381,852171440.3,25471,1043.84,EQ
28-10-2021,976.1,976.1,976.1,976.1,976.1,1258.2,617.15,47113,45986999.3,5401,976.1,EQ
29-10-2021,927.3,927.3,927.3,927.3,927.3,1258.2,617.15,49548,45945860.4,4814,927.3,EQ
01-11-2021,880.95,880.95,880.95,880.95,880.95,1258.2,617.15,48211,42471480.45,5523,880.95,EQ
02-11-2021,836.95,836.95,836.95,836.95,836.95,1258.2,617.15,57116,47803236.2,5804,836.95,EQ
03-11-2021,839.0,878.75,795.15,798.2,798.8,1258.2,617.15,4860471,4096876158.1,229523,842.9,EQ
04-11-2021,813.9,825.0,780.05,815.6,820.0,1258.2,617.15,565137,459410496.35,47019,812.92,EQ
08-11-2021,820.0,824.8,774.85,774.85,774.85,1258.2,617.15,632449,495623478.9,31314,783.66,EQ
09-11-2021,754.3,813.55,742.35,813.55,813.55,1258.2,617.15,3269902,2577860907.5,132333,788.36,EQ
10-11-2021,813.0,837.5,798.0,804.65,804.0,1258.2,617.15,1533686,1261571682.1,91739,822.57,EQ
11-11-2021,808.0,812.0,782.4,789.6,789.0,1258.2,617.15,733024,581395492.65,39728,793.15,EQ
12-11-2021,798.0,807.0,784.65,789.05,788.35,1258.2,617.15,388347,307938103.35,24619,792.95,EQ
15-11-2021,812.0,820.0,785.7,789.15,789.0,1258.2,617.15,585353,466848298.6,33410,797.55,EQ
16-11-2021,790.0,798.0,775.0,776.25,776.0,1258.2,617.15,403141,315635787.0,24737,782.94,EQ
17-11-2021,778.0,778.0,751.0,753.3,754.5,1258.2,617.15,487805,370681503.65,34596,759.9,EQ
18-11-2021,755.2,768.2,716.1,721.35,722.95,1258.2,617.15,477613,350450426.5,31643,733.75,EQ
22-11-2021,726.0,727.3,685.3,685.3,685.3,1258.2,617.15,445313,308214332.25,31365,692.13,EQ
23-11-2021,665.2,706.9,651.05,682.45,681.45,1258.2,617.15,1191991,804946266.1,49495,675.3,EQ
24-11-2021,686.7,716.55,684.05,716.55,716.55,1258.2,617.15,220563,156225708.85,7081,708.3,EQ
25-11-2021,734.95,752.35,732.95,752.35,752.35,1258.2,617.15,850837,637716224.05,16233,749.52,EQ
26-11-2021,768.0,789.95,755.0,774.15,769.0,1258.2,617.15,1755992,1365812431.25,79710,777.8,EQ
29-11-2021,755.0,758.65,735.45,735.45,735.45,1258.2,617.15,337765,249193910.2,11440,737.77,EQ
30-11-2021,710.0,732.7,702.3,705.25,705.3,1258.2,617.15,451495,323243516.3,25936,715.94,EQ
01-12-2021,716.0,727.9,706.25,711.9,715.4,1258.2,617.15,221037,158038458.2,12452,714.99,EQ
02-12-2021,711.9,747.45,710.0,747.45,747.45,1258.2,617.15,300986,222684885.65,8585,739.85,EQ
03-12-2021,763.0,784.8,747.0,759.9,757.0,1258.2,617.15,894779,688700160.85,32965,769.69,EQ
06-12-2021,760.2,767.95,726.8,730.7,731.0,1258.2,617.15,402790,300717040.1,18594,746.59,EQ
07-12-2021,746.0,760.8,731.75,738.25,738.7,1258.2,617.15,423878,315293643.95,19368,743.83,EQ
08-12-2021,744.8,756.0,733.95,736.0,739.0,1258.2,617.15,262965,195319945.0,12991,742.76,EQ
09-12-2021,746.0,746.95,735.0,736.7,737.7,1258.2,617.15,182438,134716894.2,8694,738.43,EQ
10-12-2021,738.0,743.95,727.4,731.35,731.0,1258.2,617.15,201610,148015701.65,12012,734.17,EQ
13-12-2021,736.4,750.0,725.0,728.5,729.0,1258.2,617.15,256213,188118531.55,12179,734.23,EQ
14-12-2021,729.0,744.0,722.0,725.85,724.0,1258.2,617.15,195892,143069623.3,9278,730.35,EQ
15-12-2021,726.15,731.7,711.0,715.7,714.0,1258.2,617.15,171611,123751353.65,10595,721.12,EQ
16-12-2021,714.0,724.35,700.0,702.5,706.5,1258.2,617.15,208623,147619488.15,13921,707.59,EQ
17-12-2021,714.0,714.0,683.5,691.9,693.1,1258.2,617.15,215324,149193924.95,16515,692.88,EQ
20-12-2021,685.4,690.0,650.15,663.75,667.0,1258.2,617.15,261026,173255146.6,18835,663.75,EQ
21-12-2021,666.1,694.0,666.1,680.15,682.0,1258.2,617.15,196643,134330680.8,11449,683.12,EQ
22-12-2021,689.0,714.0,689.0,699.7,703.0,1258.2,617.15,246478,172828249.5,11795,701.19,EQ
23-12-2021,707.0,713.0,695.05,698.15,697.3,1258.2,617.15,117659,82546123.25,6354,701.57,EQ
24-12-2021,697.4,704.45,683.0,686.0,685.0,1258.2,617.15,166385,114630550.95,10773,688.95,EQ
27-12-2021,651.0,754.6,651.0,732.9,754.6,1258.2,617.15,461883,332605354.05,23365,720.11,EQ
28-12-2021,770.0,789.9,741.45,753.55,752.0,1258.2,617.15,1257184,963254305.5,71308,766.2,EQ
29-12-2021,758.0,758.7,734.5,738.1,739.0,1258.2,617.15,301684,223910536.1,14364,742.2,EQ
30-12-2021,738.1,775.0,733.2,742.5,744.0,1258.2,617.15,341436,257840586.55,15785,755.17,EQ
31-12-2021,748.0,751.65,738.0,743.0,744.5,1258.2,617.15,162285,120627623.2,8005,743.31,EQ
03-01-2022,743.0,756.0,735.35,740.7,741.5,1258.2,617.15,291387,216087113.55,16394,741.58,EQ
04-01-2022,744.0,745.9,731.05,733.45,734.0,1258.2,617.15,167925,123577639.35,10527,735.91,EQ
05-01-2022,734.0,738.8,722.4,724.75,724.1,1258.2,617.15,148753,108283104.0,9998,727.94,EQ
06-01-2022,710.5,736.95,710.5,726.45,724.0,1258.2,617.15,246613,179481563.0,12164,727.79,EQ
07-01-2022,734.7,746.0,723.0,726.6,726.3,1258.2,617.15,286386,209447317.15,15727,731.35,EQ
10-01-2022,728.0,732.35,719.3,722.55,722.25,1258.2,617.15,194022,140325270.05,10408,723.24,EQ
11-01-2022,724.7,754.8,718.65,736.45,738.0,1258.2,617.15,527303,389635705.9,18127,738.92,EQ
12-01-2022,740.0,746.9,728.75,732.1,732.0,1258.2,617.15,146593,107647614.75,7069,734.33,EQ
13-01-2022,739.0,739.0,720.0,725.1,725.0,1258.2,617.15,140748,102444542.8,8890,727.86,EQ
14-01-2022,725.1,742.0,721.55,732.25,732.5,1258.2,617.15,215218,157461439.0,9602,731.64,EQ
17-01-2022,738.3,739.45,728.5,729.8,729.6,1258.2,617.15,189621,138672413.2,10563,731.31,EQ
18-01-2022,732.95,734.75,710.0,712.6,713.0,1258.2,617.15,184764,132977923.75,16069,719.72,EQ
19-01-2022,710.0,710.0,690.0,698.4,700.0,1258.2,617.15,228543,159387086.7,17629,697.41,EQ
20-01-2022,694.0,704.65,693.95,697.7,699.0,1258.2,617.15,139564,97439055.95,10185,698.17,EQ
