DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
18-11-2021,1950.0,1955.0,1560.0,1560.8,1560.0,1955.0,1560.0,23955434,40870112754.65,1090130,1706.09,EQ
22-11-2021,1509.0,1519.0,1271.0,1359.6,1362.0,1955.0,1271.0,25114710,34684062469.45,1072555,1381.03,EQ
23-11-2021,1360.0,1525.0,1360.0,1494.7,1489.8,1955.0,1271.0,12954174,18962202133.8,609102,1463.79,EQ
24-11-2021,1503.0,1785.0,1502.95,1752.45,1753.0,1955.0,1271.0,21541021,36066477522.05,795626,1674.32,EQ
25-11-2021,1766.7,1873.7,1711.1,1798.75,1785.0,1955.0,1271.0,13018344,23403611871.7,715521,1797.74,EQ
26-11-2021,1760.0,1832.0,1663.0,1782.6,1765.6,1955.0,1271.0,6527364,11430564624.0,365030,1751.18,EQ
29-11-2021,1700.0,1810.0,1700.0,1736.45,1706.95,1955.0,1271.0,4564112,8054230891.1,278696,1764.69,EQ
30-11-2021,1729.95,1770.0,1678.2,1699.6,1699.0,1955.0,1271.0,2200149,3800245259.35,141342,1727.27,EQ
01-12-2021,1715.0,1725.0,1629.15,1636.7,1640.0,1955.0,1271.0,1294466,2167734948.35,91570,1674.62,EQ
02-12-2021,1642.0,1671.65,1592.0,1600.85,1597.1,1955.0,1271.0,1089716,1759103418.9,78161,1614.28,EQ
03-12-2021,1615.0,1698.0,1601.0,1648.35,1645.0,1955.0,1271.0,1322036,2184389021.6,98102,1652.29,EQ
06-12-2021,1658.0,1680.05,1598.7,1604.45,1600.0,1955.0,1271.0,632800,1035398476.25,45113,1636.22,EQ
07-12-2021,1623.35,1635.0,1571.0,1577.5,1574.0,1955.0,1271.0,631249,1006430469.75,51655,1594.35,EQ
08-12-2021,1590.25,1610.0,1546.25,1553.4,1549.8,1955.0,1271.0,726491,1141346634.4,51969,1571.04,EQ
09-12-2021,1550.0,1644.7,1525.1,1593.95,1592.9,1955.0,1271.0,2849040,4540399906.85,200053,1593.66,EQ
10-12-2021,1605.0,1609.0,1563.0,1567.55,1564.6,1955.0,1271.0,845711,1337262385.45,47835,1581.23,EQ
13-12-2021,1578.0,1578.75,1546.1,1555.05,1552.0,1955.0,1271.0,740610,1154082115.6,49649,1558.29,EQ
14-12-2021,1547.0,1555.05,1490.75,1496.05,1492.0,1955.0,1271.0,1386088,2103560760.85,95597,1517.62,EQ
15-12-2021,1421.3,1429.95,1296.0,1379.95,1381.9,1955.0,1271.0,13139593,17969273143.45,624089,1367.57,EQ
16-12-2021,1435.0,1435.0,1390.55,1399.35,1401.0,1955.0,1271.0,2323522,3277719443.15,114567,1410.67,EQ
17-12-2021,1411.0,1411.0,1307.0,1321.0,1331.9,1955.0,1271.0,2503637,3379447185.05,146838,1349.82,EQ
20-12-2021,1321.0,1327.6,1290.0,1304.0,1306.85,1955.0,1271.0,1740923,2272141803.05,104177,1305.14,EQ
21-12-2021,1306.0,1348.95,1306.0,1311.45,1312.3,1955.0,1271.0,995207,1318500620.85,51626,1324.85,EQ
22-12-2021,1348.1,1350.0,1330.55,1342.2,1344.75,1955.0,1271.0,966463,1295047598.7,54147,1339.99,EQ
23-12-2021,1358.45,1385.0,1344.0,1348.8,1347.2,1955.0,1271.0,1268283,1725893153.35,57725,1360.81,EQ
24-12-2021,1348.7,1381.0,1331.15,1369.55,1368.0,1955.0,1271.0,1340599,1815818979.45,49451,1354.48,EQ
27-12-2021,1365.0,1365.35,1335.3,1344.95,1345.3,1955.0,1271.0,717268,964532813.7,37672,1344.73,EQ
28-12-2021,1350.0,1364.2,1345.0,1353.5,1348.0,1955.0,1271.0,1112292,1509133596.25,29182,1356.78,EQ
29-12-2021,1353.5,1379.15,1340.0,1341.55,1340.95,1955.0,1271.0,1096725,1480510013.1,40620,1349.94,EQ
30-12-2021,1330.0,1350.0,1325.1,1327.95,1328.0,1955.0,1271.0,806752,1076848572.55,34918,1334.8,EQ
31-12-2021,1336.0,1347.8,1330.05,1334.55,1334.0,1955.0,1271.0,407521,544648303.0,22725,1336.49,EQ
03-01-2022,1335.0,1346.85,1335.0,1339.8,1337.0,1955.0,1271.0,502075,673505377.9,25865,1341.44,EQ
04-01-2022,1350.0,1350.0,1313.0,1317.75,1316.85,1955.0,1271.0,1588242,2104540626.45,59195,1325.08,EQ
05-01-2022,1323.5,1325.7,1285.35,1288.35,1288.95,1955.0,1271.0,1731917,2248318364.2,115226,1298.17,EQ
06-01-2022,1287.0,1287.0,1251.0,1254.05,1252.85,1955.0,1251.0,1765486,2232314496.45,123523,1264.42,EQ
07-01-2022,1265.0,1265.0,1230.0,1231.6,1232.0,1955.0,1230.0,1807539,2239726941.0,120323,1239.1,EQ
10-01-2022,1230.0,1230.0,1152.05,1158.05,1159.0,1955.0,1152.05,4560745,5403036145.95,279585,1184.68,EQ
11-01-2022,1165.0,1215.0,1113.65,1119.65,1116.5,1955.0,1113.65,6462743,7430335022.4,357709,1149.72,EQ
12-01-2022,1124.0,1133.85,1075.0,1082.7,1081.45,1955.0,1075.0,6400253,6985316302.0,310557,1091.41,EQ
13-01-2022,1085.0,1087.9,1025.0,1031.8,1027.7,1955.0,1025.0,5750658,6069977568.95,215538,1055.53,EQ
14-01-2022,1025.0,1128.0,1000.0,1118.6,1116.05,1955.0,1000.0,16212066,17453376826.45,607796,1076.57,EQ
17-01-2022,1127.7,1145.9,1092.0,1105.3,1099.0,1955.0,1000.0,5521603,6160040234.15,240363,1115.63,EQ
18-01-2022,1105.5,1118.45,1030.0,1041.65,1043.0,1955.0,1000.0,4933836,5276077642.35,226249,1069.37,EQ
19-01-2022,1044.85,1051.9,990.0,997.35,997.0,1955.0,990.0,7289774,7341819682.1,331706,1007.14,EQ
20-01-2022,1013.0,1036.1,990.0,995.35,992.8,1955.0,990.0,4846568,4878047598.6,213855,1006.5,EQ
21-01-2022,995.05,999.3,952.3,960.3,960.0,1955.0,952.3,4328259,4224572341.55,202012,976.04,EQ
24-01-2022,960.3,960.3,881.05,917.45,916.0,1955.0,881.05,7942445,7242025661.85,361650,911.81,EQ
25-01-2022,900.0,938.0,875.0,914.8,914.95,1955.0,875.0,6091452,5559381635.35,256665,912.65,EQ
27-01-2022,904.0,913.0,881.0,893.7,891.0,1955.0,875.0,2459507,2213421882.3,113669,899.95,EQ
28-01-2022,900.4,923.9,900.0,903.05,902.7,1955.0,875.0,2209828,2015964279.05,95893,912.27,EQ
31-01-2022,920.0,932.0,911.0,916.85,919.4,1955.0,875.0,1609589,1479219613.3,63436,919.0,EQ
01-02-2022,925.0,977.0,921.2,965.6,970.5,1955.0,875.0,5469324,5243893515.75,193380,958.78,EQ
02-02-2022,975.0,994.0,950.1,957.1,955.65,1955.0,875.0,2672904,2591573298.45,98524,969.57,EQ
03-02-2022,959.0,959.0,940.05,944.5,944.0,1955.0,875.0,1410694,1335915277.35,52757,946.99,EQ
04-02-2022,950.35,961.9,946.05,953.3,952.9,1955.0,875.0,1272194,1212556096.2,51700,953.12,EQ
07-02-2022,941.0,984.5,881.3,957.55,955.0,1955.0,875.0,3854849,3690445261.9,137945,957.35,EQ
08-02-2022,965.75,976.75,931.75,937.95,937.9,1955.0,875.0,1760398,1666569585.1,66446,946.7,EQ
09-02-2022,948.75,955.0,936.2,941.5,940.0,1955.0,875.0,833193,786113033.7,32767,943.49,EQ
10-02-2022,958.75,958.75,935.75,938.35,938.75,1955.0,875.0,1036415,976215875.5,37602,941.92,EQ
11-02-2022,933.0,934.45,903.0,906.5,906.0,1955.0,875.0,1272179,1167744920.6,55399,917.91,EQ
14-02-2022,895.95,895.95,860.0,863.5,862.4,1955.0,860.0,1866242,1633080426.45,88543,875.06,EQ
