DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
26-03-2004,17.0,17.0,12.0,14.65,14.65,0.0,0.0,16018474,242485537.0,,15.14,EQ
29-03-2004,14.75,14.95,14.5,14.65,14.65,17.0,12.0,5636059,82703410.55,,14.67,EQ
30-03-2004,14.65,15.15,14.6,14.75,14.75,17.0,12.0,4607081,68584593.0,,14.89,EQ
31-03-2004,14.75,15.0,14.65,14.7,14.75,17.0,12.0,2937356,43453020.1,,14.79,EQ
01-04-2004,14.85,15.4,14.75,15.3,15.4,17.0,12.0,4630374,70216576.45,,15.16,EQ
02-04-2004,15.5,17.25,15.3,17.0,17.0,17.0,12.0,18985344,313483648.9,,16.51,EQ
05-04-2004,17.35,20.15,17.0,19.1,19.1,17.25,12.0,48930279,915200434.95,,18.7,EQ
06-04-2004,19.5,20.7,18.95,19.75,19.85,20.15,12.0,33317046,655950000.7,,19.69,EQ
07-04-2004,19.95,20.35,19.4,20.0,19.9,20.7,12.0,20577175,408401267.2,,19.85,EQ
08-04-2004,20.1,20.1,19.4,19.7,19.7,20.7,12.0,12590516,248244259.3,,19.72,EQ
12-04-2004,19.9,22.1,19.75,21.1,21.1,20.7,12.0,28632420,605908371.4,,21.16,EQ
13-04-2004,21.4,21.45,20.15,20.8,20.85,22.1,12.0,13831626,288028085.4,,20.82,EQ
15-04-2004,21.0,21.6,20.65,21.15,21.25,22.1,12.0,12755570,269992196.8,,21.17,EQ
16-04-2004,21.25,22.15,21.0,21.9,21.9,22.1,12.0,15619155,339486447.6,,21.74,EQ
17-04-2004,22.0,25.15,22.0,24.8,24.9,22.15,12.0,20497964,495159276.15,,24.16,EQ
19-04-2004,25.0,26.8,24.95,25.8,25.9,25.15,12.0,35238860,909010524.65,,25.8,EQ
20-04-2004,25.95,26.4,24.4,24.85,24.6,26.8,12.0,21020026,524712660.65,,24.96,EQ
21-04-2004,24.6,25.5,24.25,25.25,25.1,26.8,12.0,13402100,336196490.6,,25.09,EQ
22-04-2004,25.35,25.45,24.75,24.95,24.95,26.8,12.0,8609547,216607375.6,,25.16,EQ
23-04-2004,25.0,25.55,24.05,24.3,24.4,26.8,12.0,9807034,242056071.55,,24.68,EQ
27-04-2004,24.35,24.45,21.05,22.15,22.1,26.8,12.0,11221186,253358225.95,,22.58,EQ
28-04-2004,22.0,23.35,21.55,23.05,23.2,26.8,12.0,13579621,305859633.75,,22.52,EQ
29-04-2004,23.0,24.05,23.0,23.55,23.6,26.8,12.0,10386028,245146983.55,,23.6,EQ
30-04-2004,23.2,24.05,23.0,23.15,23.15,26.8,12.0,8819136,207719703.35,,23.55,EQ
03-05-2004,23.15,23.25,21.7,22.3,22.25,26.8,12.0,8968077,200025349.25,,22.3,EQ
04-05-2004,22.5,23.6,22.5,23.3,23.45,26.8,12.0,6659151,154636175.05,,23.22,EQ
05-05-2004,23.6,23.85,23.2,23.65,23.65,26.8,12.0,5980683,141044186.7,,23.58,EQ
06-05-2004,24.5,24.65,24.0,24.3,24.4,26.8,12.0,6354915,154296427.55,,24.28,EQ
07-05-2004,24.7,24.7,23.55,24.05,23.85,26.8,12.0,7541079,180648754.1,,23.96,EQ
10-05-2004,23.6,24.0,22.5,23.9,23.9,26.8,12.0,5325152,125582817.45,,23.58,EQ
11-05-2004,23.25,23.45,22.5,22.6,22.55,26.8,12.0,5432367,124624073.35,,22.94,EQ
12-05-2004,23.0,23.5,22.15,23.2,23.15,26.8,12.0,8533895,195977988.05,,22.96,EQ
13-05-2004,22.55,24.2,21.35,23.2,23.3,26.8,12.0,10410393,242092048.7,,23.25,EQ
14-05-2004,23.5,23.5,20.55,21.1,21.15,26.8,12.0,9825664,214241377.85,,21.8,EQ
17-05-2004,20.5,20.6,16.9,20.1,20.2,26.8,12.0,9870079,190780610.0,,19.33,EQ
18-05-2004,20.0,22.1,19.3,21.85,21.9,26.8,12.0,6925063,148444491.4,,21.44,EQ
19-05-2004,22.15,23.7,22.15,23.55,23.65,26.8,12.0,9617625,222703059.45,,23.16,EQ
20-05-2004,23.75,26.5,23.5,23.6,23.6,26.8,12.0,6224376,148109332.5,,23.8,EQ
21-05-2004,23.5,24.55,22.5,23.65,23.65,26.8,12.0,9122803,216869730.95,,23.77,EQ
24-05-2004,23.95,24.25,23.6,23.65,23.6,26.8,12.0,3637424,86656111.35,,23.82,EQ
25-05-2004,23.5,23.95,21.15,23.7,23.6,26.8,12.0,3582733,84804885.85,,23.67,EQ
26-05-2004,24.0,24.2,23.6,23.6,23.6,26.8,12.0,2259274,53481945.5,,23.67,EQ
27-05-2004,23.6,24.2,23.6,23.6,23.7,26.8,12.0,4742194,113093002.9,,23.85,EQ
28-05-2004,24.0,24.0,22.9,23.25,23.3,26.8,12.0,4606513,107939092.85,,23.43,EQ
