DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
20-06-2006,322.0,363.5,280.0,326.15,320.55,363.5,280.0,3249599,1090564918.65,,335.6,EQ
21-06-2006,325.15,345.9,315.1,331.8,330.75,363.5,280.0,770797,257908574.5,,334.6,EQ
22-06-2006,332.0,348.0,325.4,329.3,328.0,363.5,280.0,281277,95117300.05,,338.16,EQ
23-06-2006,327.6,328.95,315.6,319.0,318.0,363.5,280.0,103229,33275026.6,,322.34,EQ
25-06-2006,326.65,326.65,316.0,318.0,316.0,363.5,280.0,16927,5404294.4,,319.27,EQ
26-06-2006,315.0,319.0,285.65,291.05,292.25,363.5,280.0,100761,30452112.55,,302.22,EQ
27-06-2006,288.0,302.85,275.0,293.85,300.0,363.5,275.0,83911,23944151.55,,285.35,EQ
28-06-2006,286.0,296.0,275.0,291.55,294.0,363.5,275.0,55047,15860163.55,,288.12,EQ
29-06-2006,284.3,300.0,280.05,283.75,282.0,363.5,275.0,22441,6548612.3,,291.81,EQ
30-06-2006,290.0,292.0,284.6,287.85,287.25,363.5,275.0,24840,7157810.85,,288.16,EQ
03-07-2006,251.0,331.9,251.0,319.35,316.6,363.5,251.0,714581,228958236.9,,320.41,EQ
04-07-2006,322.0,325.0,307.0,314.7,313.55,363.5,251.0,371911,118442089.95,,318.47,EQ
05-07-2006,301.1,329.0,301.1,323.75,325.0,363.5,251.0,143155,45557078.2,,318.24,EQ
06-07-2006,319.0,341.85,318.1,327.45,326.5,363.5,251.0,209890,69745455.15,,332.3,EQ
07-07-2006,325.0,334.65,321.1,324.7,325.0,363.5,251.0,66353,21672024.1,,326.62,EQ
10-07-2006,318.0,328.8,318.0,323.3,322.0,363.5,251.0,68571,22117203.9,,322.54,EQ
11-07-2006,327.7,338.8,317.0,335.9,338.8,363.5,251.0,159836,53314369.8,,333.56,EQ
12-07-2006,320.05,347.85,305.15,344.55,347.0,363.5,251.0,150581,51463739.3,,341.77,EQ
13-07-2006,341.0,390.9,341.0,362.95,363.6,390.9,251.0,476931,175396618.9,,367.76,EQ
14-07-2006,355.55,374.0,352.0,367.1,372.0,390.9,251.0,120364,44131178.8,,366.65,EQ
17-07-2006,369.7,381.0,358.55,367.15,368.25,390.9,251.0,105659,39110751.8,,370.16,EQ
18-07-2006,366.0,382.0,363.0,372.2,379.0,390.9,251.0,78545,29112624.4,,370.65,EQ
19-07-2006,380.0,389.9,350.0,375.3,361.0,390.9,251.0,218976,81751602.9,,373.34,EQ
