DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
08-07-2004,401.15,412.05,380.0,385.65,400.0,0.0,0.0,417,165255.45,,396.3,EQ
09-07-2004,406.0,406.0,406.0,406.0,406.0,412.05,380.0,64,25984.0,,406.0,EQ
12-07-2004,411.0,417.2,408.05,417.2,417.2,412.05,380.0,109,44696.95,,410.06,EQ
13-07-2004,435.0,435.0,412.05,419.3,422.95,417.2,380.0,485,201925.9,,416.34,EQ
14-07-2004,415.0,415.0,401.0,407.8,410.0,435.0,380.0,195,79596.3,,408.19,EQ
15-07-2004,410.0,421.0,410.0,418.2,418.0,435.0,380.0,650,271032.2,,416.97,EQ
16-07-2004,424.95,428.0,421.0,425.0,425.0,435.0,380.0,600,254587.8,,424.31,EQ
19-07-2004,418.0,425.0,418.0,425.0,425.0,435.0,380.0,175,74043.45,,423.11,EQ
20-07-2004,429.55,430.0,425.0,427.15,425.55,435.0,380.0,106,45342.8,,427.76,EQ
21-07-2004,420.0,429.95,411.0,413.65,412.0,435.0,380.0,156,64651.1,,414.43,EQ
22-07-2004,425.0,440.0,425.0,430.65,430.3,435.0,380.0,1237,537782.45,,434.75,EQ
23-07-2004,429.05,433.0,426.0,426.05,426.05,440.0,380.0,975,419576.35,,430.33,EQ
26-07-2004,427.0,435.0,426.15,426.15,426.15,440.0,380.0,177,76425.0,,431.78,EQ
27-07-2004,435.0,437.95,412.2,412.2,412.2,440.0,380.0,335,142734.85,,426.07,EQ
28-07-2004,446.0,446.0,415.0,426.8,426.8,440.0,380.0,318,134188.3,,421.98,EQ
30-07-2004,425.1,434.0,425.1,430.85,430.0,446.0,380.0,1176,506068.3,,430.33,EQ
02-08-2004,429.95,432.0,425.3,427.5,425.5,446.0,380.0,964,412197.9,,427.59,EQ
03-08-2004,427.0,432.0,425.5,430.55,432.0,446.0,380.0,2648,1135274.9,,428.73,EQ
04-08-2004,430.0,434.9,430.0,433.15,434.9,446.0,380.0,1050,453365.4,,431.78,EQ
05-08-2004,434.9,455.0,430.5,442.0,455.0,446.0,380.0,1323,583346.9,,440.93,EQ
06-08-2004,459.9,459.9,437.0,454.6,457.0,455.0,380.0,2564,1157216.15,,451.33,EQ
09-08-2004,455.4,462.9,451.0,461.75,462.9,459.9,380.0,927,425196.25,,458.68,EQ
10-08-2004,463.85,468.0,460.4,463.35,463.2,462.9,380.0,1311,608839.15,,464.41,EQ
11-08-2004,464.95,466.0,457.15,459.05,458.6,468.0,380.0,1798,827102.5,,460.01,EQ
12-08-2004,458.5,460.0,452.9,454.85,457.0,468.0,380.0,723,328857.2,,454.85,EQ
13-08-2004,453.05,456.0,453.05,453.45,453.35,468.0,380.0,855,388021.6,,453.83,EQ
16-08-2004,453.6,455.0,445.1,450.9,445.1,468.0,380.0,1685,763370.8,,453.04,EQ
17-08-2004,449.9,456.9,447.0,447.0,447.0,468.0,380.0,443,199348.4,,450.0,EQ
18-08-2004,455.0,455.0,401.0,436.95,426.6,468.0,380.0,2469,1090975.15,,441.87,EQ
19-08-2004,435.0,450.95,435.0,441.5,440.3,468.0,380.0,274,120652.15,,440.34,EQ
20-08-2004,445.0,450.0,441.0,444.0,450.0,468.0,380.0,732,324823.8,,443.75,EQ
23-08-2004,443.0,449.55,430.0,440.7,430.0,468.0,380.0,133,58836.05,,442.38,EQ
24-08-2004,449.9,458.35,443.0,452.7,455.0,468.0,380.0,1118,504324.9,,451.1,EQ
25-08-2004,462.0,469.9,460.0,463.2,463.0,468.0,380.0,5187,2414503.45,,465.49,EQ
26-08-2004,475.1,475.1,465.0,467.3,465.0,469.9,380.0,3150,1479915.3,,469.81,EQ
27-08-2004,465.5,472.3,465.0,469.2,471.5,475.1,380.0,1787,837233.8,,468.51,EQ
30-08-2004,474.95,476.0,470.05,474.0,474.0,475.1,380.0,1802,852503.0,,473.09,EQ
31-08-2004,474.0,483.0,473.0,481.4,479.0,476.0,380.0,1947,934091.05,,479.76,EQ
01-09-2004,484.75,487.95,477.1,480.0,480.0,483.0,380.0,2206,1061022.8,,480.97,EQ
02-09-2004,485.0,490.0,477.0,488.05,489.9,487.95,380.0,3824,1851057.45,,484.06,EQ
03-09-2004,490.0,490.0,483.0,485.0,485.0,490.0,380.0,1598,776774.65,,486.09,EQ
06-09-2004,495.0,495.0,480.0,481.75,486.0,490.0,380.0,2004,977014.05,,487.53,EQ
07-09-2004,493.95,494.0,486.0,488.2,490.0,495.0,380.0,1010,493662.3,,488.77,EQ
08-09-2004,495.0,495.1,488.1,492.55,492.9,495.0,380.0,2242,1104028.55,,492.43,EQ
09-09-2004,498.1,510.0,485.15,490.9,490.0,495.1,380.0,2423,1191153.85,,491.6,EQ
10-09-2004,496.0,504.5,491.05,498.25,504.5,510.0,380.0,1610,800348.2,,497.11,EQ
13-09-2004,493.05,504.0,493.05,500.0,500.0,510.0,380.0,1283,641750.6,,500.2,EQ
14-09-2004,495.05,502.0,490.0,497.5,497.5,510.0,380.0,3824,1909160.8,,499.26,EQ
15-09-2004,505.0,505.0,493.5,500.4,501.0,510.0,380.0,1940,964782.0,,497.31,EQ
16-09-2004,503.85,504.85,500.0,501.35,501.0,510.0,380.0,2879,1445851.7,,502.21,EQ
17-09-2004,501.9,504.65,501.0,502.9,501.15,510.0,380.0,2412,1211979.5,,502.48,EQ
20-09-2004,505.0,508.9,502.0,505.3,506.8,510.0,380.0,2265,1146138.0,,506.02,EQ
21-09-2004,508.0,508.0,505.0,507.4,506.2,510.0,380.0,5801,2942450.35,,507.23,EQ
22-09-2004,510.0,513.0,506.25,510.7,510.0,510.0,380.0,2788,1421007.75,,509.69,EQ
23-09-2004,513.0,520.0,510.0,517.3,517.0,513.0,380.0,7931,4098926.85,,516.82,EQ
24-09-2004,522.0,535.0,515.0,530.15,528.0,520.0,380.0,10080,5272921.4,,523.11,EQ
27-09-2004,526.0,540.0,526.0,531.85,538.8,535.0,380.0,8502,4543859.85,,534.45,EQ
28-09-2004,540.0,540.0,531.0,533.65,531.25,540.0,380.0,8831,4748983.0,,537.76,EQ
29-09-2004,518.4,518.4,502.75,507.65,506.0,540.0,380.0,5766,2940875.05,,510.04,EQ
30-09-2004,515.0,516.0,483.0,507.45,506.5,540.0,380.0,3760,1907169.7,,507.23,EQ
01-10-2004,512.0,512.0,495.0,501.65,500.0,540.0,380.0,3299,1654770.35,,501.6,EQ
04-10-2004,510.0,515.0,500.1,503.25,501.2,540.0,380.0,700,352640.45,,503.77,EQ
05-10-2004,502.0,502.0,499.0,499.9,499.0,540.0,380.0,289,144706.4,,500.71,EQ
06-10-2004,498.25,499.5,490.25,492.95,491.0,540.0,380.0,2053,1014201.55,,494.01,EQ
07-10-2004,491.0,497.7,486.25,491.2,491.2,540.0,380.0,1136,560662.8,,493.54,EQ
08-10-2004,492.0,495.0,488.5,491.0,492.0,540.0,380.0,1772,870544.55,,491.28,EQ
09-10-2004,489.0,492.0,485.1,489.8,490.95,540.0,380.0,552,269277.85,,487.82,EQ
11-10-2004,489.95,494.0,483.15,485.0,483.15,540.0,380.0,1602,780663.3,,487.31,EQ
12-10-2004,489.0,489.0,470.0,472.0,470.0,540.0,380.0,1695,809875.25,,477.8,EQ
14-10-2004,471.2,471.25,461.5,469.2,467.1,540.0,380.0,3224,1509588.6,,468.23,EQ
15-10-2004,467.0,478.0,467.0,472.15,472.0,540.0,380.0,2561,1213231.55,,473.73,EQ
18-10-2004,475.0,479.0,455.25,468.9,465.95,540.0,380.0,995,466100.5,,468.44,EQ
19-10-2004,469.0,469.0,460.0,463.25,463.0,540.0,380.0,1496,693843.35,,463.8,EQ
20-10-2004,460.0,475.0,460.0,462.0,462.0,540.0,380.0,1466,677406.3,,462.08,EQ
21-10-2004,465.0,475.0,465.0,471.4,475.0,540.0,380.0,16406,7708894.3,,469.88,EQ
25-10-2004,471.0,471.0,440.1,464.7,465.0,540.0,380.0,1574,727421.95,,462.15,EQ
26-10-2004,462.5,470.0,462.5,469.95,469.95,540.0,380.0,99,46404.5,,468.73,EQ
27-10-2004,487.0,487.0,465.0,475.95,475.0,540.0,380.0,1392,661699.9,,475.36,EQ
28-10-2004,480.0,481.0,475.0,478.0,477.5,540.0,380.0,3660,1752550.45,,478.84,EQ
29-10-2004,471.25,482.9,471.25,480.1,482.9,540.0,380.0,2799,1341928.2,,479.43,EQ
01-11-2004,460.85,482.9,460.85,480.4,480.0,540.0,380.0,47945,23015186.2,,480.03,EQ
02-11-2004,482.95,487.0,477.5,480.4,483.0,540.0,380.0,1581,764480.85,,483.54,EQ
03-11-2004,485.0,497.95,484.5,495.85,497.0,540.0,380.0,5267,2581058.0,,490.04,EQ
04-11-2004,495.0,508.0,495.0,501.5,505.0,540.0,380.0,4902,2452044.9,,500.21,EQ
05-11-2004,502.95,507.0,495.0,500.0,500.0,540.0,380.0,1707,856892.9,,501.99,EQ
08-11-2004,501.0,504.0,496.0,498.95,500.0,540.0,380.0,1112,557726.9,,501.55,EQ
