DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
02-02-2007,91.0,91.0,81.3,85.15,86.65,91.0,81.3,23374,2063890.95,,88.3,EQ
05-02-2007,86.0,88.9,85.5,85.85,85.5,91.0,81.3,11810,1025104.5,,86.8,EQ
06-02-2007,84.0,86.75,84.0,84.1,84.25,91.0,81.3,5545,472117.15,,85.14,EQ
07-02-2007,80.9,85.0,80.9,83.1,83.1,91.0,80.9,7298,613614.9,,84.08,EQ
08-02-2007,83.0,83.95,81.6,82.15,81.7,91.0,80.9,10001,822313.2,,82.22,EQ
09-02-2007,81.9,82.7,80.85,81.65,81.25,91.0,80.85,3749,305346.95,,81.45,EQ
12-02-2007,79.0,79.6,75.75,78.1,78.35,91.0,75.75,5663,435119.45,,76.84,EQ
13-02-2007,77.0,80.0,77.0,78.4,77.05,91.0,75.75,3189,250305.6,,78.49,EQ
14-02-2007,77.1,78.75,70.0,75.5,76.6,91.0,70.0,7572,565133.95,,74.63,EQ
15-02-2007,76.15,83.0,76.15,82.0,81.3,91.0,70.0,4510,362477.0,,80.37,EQ
19-02-2007,82.6,83.3,78.0,78.55,78.0,91.0,70.0,2399,191630.6,,79.88,EQ
20-02-2007,79.85,79.85,76.1,76.6,78.25,91.0,70.0,2965,230752.5,,77.83,EQ
21-02-2007,76.6,78.5,76.6,77.1,76.85,91.0,70.0,1185,91657.9,,77.35,EQ
22-02-2007,74.25,79.5,74.25,76.65,76.65,91.0,70.0,340,26215.25,,77.1,EQ
23-02-2007,89.9,89.9,72.1,73.75,73.5,91.0,70.0,5118,378755.35,,74.0,EQ
26-02-2007,76.0,76.0,72.0,72.75,72.75,91.0,70.0,1741,128980.35,,74.08,EQ
27-02-2007,72.7,74.7,72.0,73.0,73.0,91.0,70.0,1176,85876.45,,73.02,EQ
28-02-2007,71.0,72.35,69.05,71.65,71.0,91.0,69.05,2076,148407.35,,71.49,EQ
01-03-2007,69.65,71.25,69.65,70.55,70.55,91.0,69.05,324,22760.35,,70.25,EQ
02-03-2007,71.5,71.5,70.5,70.55,70.55,91.0,69.05,454,32302.05,,71.15,EQ
05-03-2007,68.0,69.5,56.5,65.0,65.0,91.0,56.5,10779,687286.85,,63.76,EQ
06-03-2007,69.0,71.0,66.1,67.0,67.0,91.0,56.5,1360,92457.0,,67.98,EQ
07-03-2007,68.2,68.2,63.1,64.0,64.0,91.0,56.5,1798,117964.25,,65.61,EQ
08-03-2007,64.0,67.8,62.75,66.45,66.45,91.0,56.5,1194,77388.6,,64.81,EQ
09-03-2007,67.0,69.0,66.7,67.0,67.0,91.0,56.5,4536,305704.5,,67.4,EQ
12-03-2007,67.5,70.95,66.45,66.95,66.5,91.0,56.5,1278,86423.1,,67.62,EQ
13-03-2007,68.0,68.5,67.05,67.5,67.5,91.0,56.5,5945,401332.5,,67.51,EQ
14-03-2007,64.2,66.7,64.2,66.65,66.65,91.0,56.5,1523,100850.1,,66.22,EQ
15-03-2007,68.0,68.0,64.75,65.7,65.1,91.0,56.5,690,46030.2,,66.71,EQ
16-03-2007,65.15,66.0,63.25,63.45,63.25,91.0,56.5,1546,99670.15,,64.47,EQ
19-03-2007,64.0,65.05,60.75,62.45,62.65,91.0,56.5,10699,677505.5,,63.32,EQ
20-03-2007,63.05,74.95,63.05,64.6,67.15,91.0,56.5,7320,478952.7,,65.43,EQ
21-03-2007,63.8,66.4,63.8,65.9,66.4,91.0,56.5,4507,293076.4,,65.03,EQ
22-03-2007,64.65,67.9,64.65,65.65,67.9,91.0,56.5,885,57927.75,,65.46,EQ
23-03-2007,63.1,66.6,63.1,65.7,65.7,91.0,56.5,3696,237357.4,,64.22,EQ
26-03-2007,66.0,66.0,63.0,63.1,63.1,91.0,56.5,2548,161486.25,,63.38,EQ
28-03-2007,63.0,63.0,60.5,61.8,61.8,91.0,56.5,1975,123306.85,,62.43,EQ
29-03-2007,68.0,68.0,60.25,62.1,62.25,91.0,56.5,640,40063.3,,62.6,EQ
30-03-2007,62.0,63.45,61.15,62.0,62.0,91.0,56.5,1335,82865.6,,62.07,EQ
02-04-2007,59.25,73.8,59.15,60.95,61.95,91.0,56.5,5182,327877.9,,63.27,EQ
03-04-2007,61.0,66.95,61.0,64.7,65.65,91.0,56.5,11384,728405.25,,63.99,EQ
04-04-2007,69.0,76.0,69.0,73.35,73.45,91.0,56.5,50178,3697723.75,,73.69,EQ
05-04-2007,73.6,77.0,70.3,72.8,73.95,91.0,56.5,27822,2084345.7,,74.92,EQ
09-04-2007,76.9,77.5,74.0,74.25,74.1,91.0,56.5,28275,2140899.75,,75.72,EQ
10-04-2007,72.0,74.0,60.0,72.05,72.45,91.0,56.5,18159,1243094.75,,68.46,EQ
11-04-2007,73.4,76.0,71.1,73.1,73.65,91.0,56.5,12898,948051.9,,73.5,EQ
12-04-2007,72.0,73.5,70.2,70.8,71.8,91.0,56.5,4297,307289.3,,71.51,EQ
13-04-2007,70.0,74.25,70.0,70.9,70.7,91.0,56.5,3429,247742.5,,72.25,EQ
16-04-2007,70.55,72.95,70.0,71.65,72.9,91.0,56.5,1586,113641.2,,71.65,EQ
17-04-2007,67.65,72.0,67.65,69.05,68.55,91.0,56.5,6613,456016.75,,68.96,EQ
18-04-2007,69.5,70.5,69.0,70.35,70.5,91.0,56.5,1140,79058.3,,69.35,EQ
19-04-2007,69.0,69.9,68.5,69.5,69.2,91.0,56.5,584,40397.7,,69.17,EQ
20-04-2007,70.0,71.0,69.3,69.5,69.75,91.0,56.5,3003,209306.95,,69.7,EQ
23-04-2007,68.0,71.75,68.0,68.7,68.5,91.0,56.5,4402,307140.25,,69.77,EQ
24-04-2007,69.5,70.5,67.3,69.25,69.4,91.0,56.5,1925,134046.75,,69.63,EQ
25-04-2007,67.1,70.95,67.1,69.75,70.0,91.0,56.5,4076,284713.35,,69.85,EQ
26-04-2007,70.25,71.4,69.05,69.1,69.1,91.0,56.5,3523,248115.3,,70.43,EQ
27-04-2007,69.0,70.0,67.55,68.5,68.5,91.0,56.5,1803,124644.25,,69.13,EQ
30-04-2007,67.1,70.5,66.75,68.35,68.35,91.0,56.5,1664,114736.9,,68.95,EQ
03-05-2007,70.0,74.4,70.0,74.0,73.9,91.0,56.5,8790,640720.6,,72.89,EQ
04-05-2007,76.5,78.75,73.15,77.85,78.45,91.0,56.5,10747,825074.45,,76.77,EQ
07-05-2007,83.0,83.0,77.25,77.6,77.25,91.0,56.5,7271,571848.5,,78.65,EQ
08-05-2007,78.0,79.0,71.6,73.9,71.6,91.0,56.5,2255,173578.8,,76.98,EQ
09-05-2007,78.0,78.0,72.5,72.55,72.5,91.0,56.5,1120,81909.2,,73.13,EQ
10-05-2007,75.8,75.8,73.2,73.85,73.6,91.0,56.5,1369,101339.1,,74.02,EQ
11-05-2007,73.85,74.5,72.5,72.85,73.0,91.0,56.5,1574,116055.1,,73.73,EQ
14-05-2007,73.0,77.5,72.2,73.8,73.4,91.0,56.5,2354,172899.7,,73.45,EQ
15-05-2007,73.4,75.4,70.3,73.55,73.55,91.0,56.5,3654,266278.15,,72.87,EQ
16-05-2007,71.7,75.9,71.5,74.2,73.8,91.0,56.5,2763,204354.6,,73.96,EQ
17-05-2007,76.05,78.7,73.25,74.05,74.0,91.0,56.5,1843,137981.65,,74.87,EQ
18-05-2007,72.0,74.4,70.35,72.35,72.2,91.0,56.5,2071,149578.9,,72.23,EQ
21-05-2007,71.5,79.5,71.5,74.0,73.3,91.0,56.5,4825,357321.15,,74.06,EQ
22-05-2007,74.0,74.0,70.1,71.1,72.0,91.0,56.5,984,70769.8,,71.92,EQ
23-05-2007,71.55,73.0,71.55,72.0,72.0,91.0,56.5,3494,251175.4,,71.89,EQ
24-05-2007,71.9,73.95,71.6,71.75,71.7,91.0,56.5,880,63275.6,,71.9,EQ
25-05-2007,71.8,72.95,71.75,72.25,72.0,91.0,56.5,1175,84533.15,,71.94,EQ
28-05-2007,72.15,72.85,71.4,71.8,71.75,91.0,56.5,2138,153961.15,,72.01,EQ
29-05-2007,72.25,73.95,71.35,72.05,72.05,91.0,56.5,3913,283388.8,,72.42,EQ
30-05-2007,71.35,72.85,71.35,72.0,72.0,91.0,56.5,2157,155095.3,,71.9,EQ
31-05-2007,72.0,72.15,72.0,72.15,72.15,91.0,56.5,1195,86139.3,,72.08,EQ
01-06-2007,72.3,75.0,72.3,74.6,74.95,91.0,56.5,9052,673680.35,,74.42,EQ
04-06-2007,80.0,80.0,74.5,77.15,77.7,91.0,56.5,8122,634727.0,,78.15,EQ
05-06-2007,82.95,82.95,77.0,78.4,78.75,91.0,56.5,6166,483751.55,,78.45,EQ
06-06-2007,79.0,79.5,71.0,73.1,72.15,91.0,56.5,10439,767267.8,,73.5,EQ
07-06-2007,75.5,75.5,73.05,73.4,73.5,91.0,56.5,2541,187271.25,,73.7,EQ
08-06-2007,72.0,74.7,72.0,73.05,73.0,91.0,56.5,1350,98987.15,,73.32,EQ
11-06-2007,73.05,75.0,73.0,73.35,73.05,91.0,56.5,982,72507.35,,73.84,EQ
12-06-2007,72.1,73.0,71.5,72.1,71.6,91.0,56.5,2601,187426.25,,72.06,EQ
13-06-2007,73.0,74.0,70.5,70.5,70.5,91.0,56.5,2995,216722.2,,72.36,EQ
14-06-2007,71.6,84.0,71.6,81.05,81.0,91.0,56.5,136613,11136376.8,,81.52,EQ
15-06-2007,81.0,81.9,77.0,77.5,77.6,91.0,56.5,23067,1831501.45,,79.4,EQ
18-06-2007,77.05,84.5,76.2,80.1,80.0,91.0,56.5,57921,4760387.35,,82.19,EQ
19-06-2007,81.65,81.7,78.1,78.6,78.2,91.0,56.5,10741,855250.35,,79.62,EQ
20-06-2007,78.95,81.5,76.1,78.3,78.15,91.0,56.5,42105,3292596.8,,78.2,EQ
21-06-2007,79.9,84.0,79.05,82.0,82.7,91.0,56.5,35660,2919970.05,,81.88,EQ
22-06-2007,82.0,83.0,81.0,81.5,81.2,91.0,56.5,7096,581500.75,,81.95,EQ
25-06-2007,78.15,83.05,78.15,81.05,81.5,91.0,56.5,8852,727583.2,,82.19,EQ
26-06-2007,81.5,83.95,80.0,81.0,81.5,91.0,56.5,11888,979508.6,,82.39,EQ
27-06-2007,82.0,82.0,80.0,80.8,80.85,91.0,56.5,4274,347572.3,,81.32,EQ
28-06-2007,82.0,82.5,80.55,80.95,80.55,91.0,56.5,6692,544519.05,,81.37,EQ
29-06-2007,82.75,91.0,80.6,86.5,86.0,91.0,56.5,113613,9999134.4,,88.01,EQ
02-07-2007,89.5,90.8,86.6,89.1,89.5,91.0,56.5,33223,2943443.3,,88.6,EQ
03-07-2007,88.95,91.0,87.05,88.25,88.75,91.0,56.5,32518,2891982.7,,88.93,EQ
04-07-2007,89.0,89.0,85.0,85.65,85.2,91.0,56.5,8954,772577.95,,86.28,EQ
05-07-2007,86.0,86.5,83.25,84.1,84.95,91.0,56.5,8606,727699.45,,84.56,EQ
06-07-2007,82.45,85.0,82.2,82.85,83.0,91.0,56.5,7258,603954.0,,83.21,EQ
09-07-2007,88.0,90.0,82.25,86.0,85.6,91.0,56.5,24264,2094800.8,,86.33,EQ
10-07-2007,84.55,87.8,84.0,86.5,85.3,91.0,56.5,9126,783592.3,,85.86,EQ
11-07-2007,83.2,87.5,83.2,86.0,86.0,91.0,56.5,6182,534353.55,,86.44,EQ
12-07-2007,85.8,88.5,85.8,86.5,86.05,91.0,56.5,8158,711189.05,,87.18,EQ
13-07-2007,86.15,87.7,83.55,84.3,84.1,91.0,56.5,8195,702305.5,,85.7,EQ
16-07-2007,85.1,85.1,83.1,84.0,84.0,91.0,56.5,3079,259609.0,,84.32,EQ
17-07-2007,84.0,84.1,82.8,83.65,83.0,91.0,56.5,7236,604625.0,,83.56,EQ
18-07-2007,82.55,83.85,81.45,81.9,81.9,91.0,56.5,6562,544331.05,,82.95,EQ
19-07-2007,81.15,83.7,81.15,81.65,81.5,91.0,56.5,3834,314225.1,,81.96,EQ
20-07-2007,81.0,81.4,78.05,78.7,79.0,91.0,56.5,9095,726573.95,,79.89,EQ
23-07-2007,77.9,80.0,77.9,79.35,79.5,91.0,56.5,97874,7810207.9,,79.8,EQ
24-07-2007,80.0,83.7,78.0,78.45,78.05,91.0,56.5,124718,9981629.95,,80.03,EQ
25-07-2007,79.0,79.8,77.0,78.55,78.5,91.0,56.5,50259,3959401.95,,78.78,EQ
26-07-2007,79.95,80.0,78.5,79.4,79.85,91.0,56.5,7734,615611.5,,79.6,EQ
27-07-2007,75.05,78.95,75.05,76.15,76.05,91.0,56.5,4150,318318.35,,76.7,EQ
30-07-2007,76.3,83.35,76.3,78.9,78.8,91.0,56.5,21399,1729072.3,,80.8,EQ
