DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
02-01-1996,40.5,40.95,40.5,40.95,,,,500,20370.0,,40.74,EQ
04-01-1996,39.5,39.5,39.5,39.5,,,,200,7900.0,,39.5,EQ
05-01-1996,40.0,40.0,40.0,40.0,,,,100,4000.0,,40.0,EQ
08-01-1996,40.0,40.0,40.0,40.0,,,,100,4000.0,,40.0,EQ
10-01-1996,38.0,38.0,38.0,38.0,,,,500,19000.0,,38.0,EQ
11-01-1996,38.3,38.45,38.3,38.45,,,,200,7675.0,,38.38,EQ
12-01-1996,39.0,39.0,39.0,39.0,,,,500,19500.0,,39.0,EQ
17-01-1996,39.0,39.0,39.0,39.0,,,,300,11700.0,,39.0,EQ
23-01-1996,37.15,37.15,37.15,37.15,,,,100,3715.0,,37.15,EQ
24-01-1996,37.0,37.25,37.0,37.0,,,,600,22225.0,,37.04,EQ
30-01-1996,37.25,37.5,37.25,37.5,,,,300,11200.0,,37.33,EQ
05-02-1996,40.0,40.0,40.0,40.0,,,,100,4000.0,,40.0,EQ
06-02-1996,41.0,41.0,40.0,40.0,,,,1100,44500.0,,40.45,EQ
08-02-1996,36.0,36.0,36.0,36.0,,,,100,3600.0,,36.0,EQ
12-02-1996,39.6,39.6,39.6,39.6,,,,100,3960.0,,39.6,EQ
13-02-1996,39.6,43.6,43.0,43.55,,,,400,17360.0,,43.4,EQ
14-02-1996,46.0,47.5,44.5,45.0,,,,2200,100100.0,,45.5,EQ
16-02-1996,42.05,42.05,42.05,42.05,,,,100,4205.0,,42.05,EQ
19-02-1996,42.05,45.0,43.0,45.0,,,,800,35575.0,,44.47,EQ
20-02-1996,43.25,43.5,41.0,41.2,,,,1800,75650.0,,42.03,EQ
23-02-1996,41.15,41.15,41.15,41.15,,,,100,4115.0,,41.15,EQ
26-02-1996,43.0,43.0,42.0,42.0,,,,400,17000.0,,42.5,EQ
27-02-1996,39.05,41.0,39.0,41.0,,,,600,23810.0,,39.68,EQ
28-02-1996,41.0,45.0,40.5,45.0,,,,2100,90265.0,,42.98,EQ
29-02-1996,43.0,47.0,43.0,46.0,,,,1800,83900.0,,46.61,EQ
01-03-1996,44.9,49.95,42.5,49.95,,,,1800,82560.0,,45.87,EQ
04-03-1996,49.95,55.0,48.5,55.0,,,,4700,244125.0,,51.94,EQ
06-03-1996,55.0,54.0,53.1,53.8,,,,1600,85660.0,,53.54,EQ
07-03-1996,53.8,55.1,53.75,55.1,,,,2700,147220.0,,54.53,EQ
08-03-1996,53.25,53.5,52.75,53.0,,,,1700,90500.0,,53.24,EQ
11-03-1996,51.75,52.5,50.0,52.0,,,,2200,114175.0,,51.9,EQ
12-03-1996,52.0,54.7,50.1,54.65,,,,5100,267480.0,,52.45,EQ
13-03-1996,54.65,52.1,52.0,52.1,,,,700,36410.0,,52.01,EQ
14-03-1996,52.1,52.0,52.0,52.0,,,,500,26000.0,,52.0,EQ
15-03-1996,52.0,51.0,51.0,51.0,,,,100,5100.0,,51.0,EQ
18-03-1996,51.0,50.5,49.25,49.75,,,,700,34800.0,,49.71,EQ
19-03-1996,50.7,51.75,50.7,51.0,,,,800,40865.0,,51.08,EQ
21-03-1996,51.0,53.0,52.0,53.0,,,,1100,57890.0,,52.63,EQ
22-03-1996,53.0,52.0,51.3,51.75,,,,900,46350.0,,51.5,EQ
26-03-1996,50.5,50.5,50.5,50.5,,,,100,5050.0,,50.5,EQ
27-03-1996,50.0,52.75,50.0,52.55,,,,2000,104575.0,,52.29,EQ
28-03-1996,53.0,53.0,51.25,52.25,,,,500,25975.0,,51.95,EQ
29-03-1996,52.25,54.0,53.65,54.0,,,,1000,53850.0,,53.85,EQ
02-04-1996,52.0,53.9,52.0,53.1,,,,500,26220.0,,52.44,EQ
03-04-1996,53.05,56.75,53.05,55.5,,,,3100,172975.0,,55.8,EQ
04-04-1996,54.05,56.0,54.0,55.5,,,,800,43790.0,,54.74,EQ
08-04-1996,52.5,56.0,52.5,56.0,,,,400,21900.0,,54.75,EQ
09-04-1996,56.0,59.7,55.1,55.1,,,,300,17030.0,,56.77,EQ
10-04-1996,55.1,54.5,54.0,54.5,,,,500,27050.0,,54.1,EQ
11-04-1996,54.5,52.15,52.05,52.15,,,,200,10420.0,,52.1,EQ
12-04-1996,52.15,52.0,52.0,52.0,,,,100,5200.0,,52.0,EQ
15-04-1996,51.25,54.0,51.25,54.0,,,,400,21120.0,,52.8,EQ
16-04-1996,54.0,52.25,52.0,52.0,,,,500,26025.0,,52.05,EQ
17-04-1996,53.0,53.0,52.75,52.75,,,,200,10575.0,,52.88,EQ
18-04-1996,53.0,54.0,53.0,53.5,,,,600,31975.0,,53.29,EQ
19-04-1996,53.5,53.1,53.1,53.1,,,,500,26550.0,,53.1,EQ
22-04-1996,53.0,53.0,53.0,53.0,,,,400,21200.0,,53.0,EQ
23-04-1996,53.0,56.6,52.0,55.0,,,,1500,81490.0,,54.33,EQ
25-04-1996,55.0,52.0,51.0,52.0,,,,600,31100.0,,51.83,EQ
26-04-1996,52.0,51.1,50.0,50.0,,,,700,35320.0,,50.46,EQ
29-04-1996,50.0,51.25,50.1,51.25,,,,500,25510.0,,51.02,EQ
30-04-1996,53.0,53.0,53.0,53.0,,,,600,31800.0,,53.0,EQ
01-05-1996,49.75,53.0,49.75,52.7,,,,400,20745.0,,51.86,EQ
02-05-1996,52.7,53.5,53.0,53.5,,,,200,10650.0,,53.25,EQ
03-05-1996,53.0,53.0,52.5,53.0,,,,600,31650.0,,52.75,EQ
06-05-1996,52.5,52.5,51.65,51.85,,,,900,46725.0,,51.92,EQ
07-05-1996,51.5,52.7,51.5,52.5,,,,400,20795.0,,51.99,EQ
08-05-1996,52.0,52.0,52.0,52.0,,,,100,5200.0,,52.0,EQ
09-05-1996,52.0,52.25,52.0,52.25,,,,200,10425.0,,52.13,EQ
10-05-1996,52.0,52.0,50.55,51.25,,,,500,25550.0,,51.1,EQ
13-05-1996,51.25,54.85,51.0,54.85,,,,1100,57625.0,,52.39,EQ
14-05-1996,54.85,54.0,53.0,53.0,,,,400,21305.0,,53.26,EQ
16-05-1996,54.25,54.25,52.5,53.1,,,,800,42685.0,,53.36,EQ
17-05-1996,53.0,53.0,52.0,52.4,,,,400,20940.0,,52.35,EQ
20-05-1996,52.4,52.0,51.75,51.75,,,,400,20725.0,,51.81,EQ
21-05-1996,51.75,52.0,49.05,50.25,,,,300,15130.0,,50.43,EQ
23-05-1996,49.0,49.0,49.0,49.0,,,,200,9800.0,,49.0,EQ
24-05-1996,49.0,48.0,44.25,44.25,,,,1000,46325.0,,46.33,EQ
27-05-1996,44.35,47.0,44.35,47.0,,,,600,27625.0,,46.04,EQ
28-05-1996,47.0,47.95,46.5,47.95,,,,700,33380.0,,47.69,EQ
29-05-1996,47.95,48.75,48.7,48.75,,,,300,14620.0,,48.73,EQ
30-05-1996,48.75,49.0,48.75,49.0,,,,700,34175.0,,48.82,EQ
03-06-1996,49.85,49.85,49.85,49.85,,,,100,4985.0,,49.85,EQ
04-06-1996,49.85,51.75,49.0,49.0,,,,800,39900.0,,49.88,EQ
05-06-1996,48.5,50.0,48.5,50.0,,,,500,24850.0,,49.7,EQ
07-06-1996,50.5,50.5,50.5,50.5,,,,100,5050.0,,50.5,EQ
11-06-1996,47.0,49.95,47.0,49.05,,,,500,24265.0,,48.53,EQ
12-06-1996,51.0,51.0,51.0,51.0,,,,800,40800.0,,51.0,EQ
13-06-1996,50.5,51.0,50.5,51.0,,,,200,10150.0,,50.75,EQ
14-06-1996,51.95,56.35,51.95,56.35,,,,1700,91655.0,,53.91,EQ
17-06-1996,62.3,62.3,62.3,62.3,,,,5400,336420.0,,62.3,EQ
18-06-1996,60.5,61.9,60.0,60.35,,,,4400,266980.0,,60.68,EQ
19-06-1996,59.0,60.0,57.25,57.25,,,,2500,148120.0,,59.25,EQ
20-06-1996,54.0,56.0,54.0,56.0,,,,200,11000.0,,55.0,EQ
21-06-1996,54.0,56.5,53.0,55.75,,,,1100,60815.0,,55.29,EQ
24-06-1996,53.0,55.5,52.0,55.25,,,,2000,108385.0,,54.19,EQ
25-06-1996,56.7,56.75,56.0,56.05,,,,1600,90280.0,,56.43,EQ
26-06-1996,56.0,60.0,56.0,60.0,,,,700,41300.0,,59.0,EQ
27-06-1996,59.95,64.0,59.95,61.5,,,,2100,131435.0,,62.59,EQ
28-06-1996,61.0,61.0,57.0,57.5,,,,2000,117545.0,,58.77,EQ
01-07-1996,55.0,55.0,52.0,52.0,,,,2700,145170.0,,53.77,EQ
02-07-1996,52.0,52.2,50.5,51.0,,,,1600,81855.0,,51.16,EQ
03-07-1996,48.0,49.0,48.0,49.0,,,,400,19500.0,,48.75,EQ
04-07-1996,46.5,46.8,46.5,46.8,,,,300,13980.0,,46.6,EQ
05-07-1996,48.0,48.5,48.0,48.5,,,,200,9650.0,,48.25,EQ
08-07-1996,50.0,50.0,50.0,50.0,,64.0,36.0,200,10000.0,,50.0,EQ
09-07-1996,48.5,49.0,48.25,48.25,,64.0,36.0,1300,62895.0,,48.38,EQ
10-07-1996,45.0,50.0,45.0,50.0,,64.0,36.0,900,42495.0,,47.22,EQ
11-07-1996,47.0,47.75,47.0,47.75,,64.0,36.0,200,9475.0,,47.38,EQ
12-07-1996,47.5,47.5,47.0,47.5,,64.0,36.0,1100,52200.0,,47.45,EQ
15-07-1996,44.0,47.0,44.0,47.0,,64.0,36.0,2400,112400.0,,46.83,EQ
16-07-1996,45.5,46.0,45.5,45.75,,64.0,36.0,700,32010.0,,45.73,EQ
17-07-1996,46.0,46.0,46.0,46.0,,64.0,36.0,100,4600.0,,46.0,EQ
18-07-1996,45.5,45.5,45.5,45.5,,64.0,36.0,200,9100.0,,45.5,EQ
19-07-1996,45.15,45.3,45.0,45.0,,64.0,36.0,700,31555.0,,45.08,EQ
22-07-1996,45.25,45.25,45.0,45.0,,64.0,36.0,300,13550.0,,45.17,EQ
24-07-1996,49.5,49.5,49.5,49.5,,64.0,36.0,100,4950.0,,49.5,EQ
02-08-1996,44.3,44.3,44.3,44.3,,64.0,36.0,100,4430.0,,44.3,EQ
07-08-1996,39.65,39.65,39.65,39.65,,64.0,36.0,100,3965.0,,39.65,EQ
08-08-1996,37.0,37.0,36.15,36.15,,64.0,36.0,300,11015.0,,36.72,EQ
12-08-1996,39.75,39.75,34.5,34.5,,64.0,36.0,200,7425.0,,37.13,EQ
13-08-1996,34.15,34.5,34.05,34.5,,64.0,34.5,500,17095.0,,34.19,EQ
16-08-1996,36.9,37.0,36.0,36.9,,64.0,34.05,800,29280.0,,36.6,EQ
19-08-1996,36.8,36.8,36.5,36.5,,64.0,34.05,600,21970.0,,36.62,EQ
20-08-1996,36.0,36.0,32.85,32.95,,64.0,34.05,1400,48485.0,,34.63,EQ
21-08-1996,34.05,34.05,34.0,34.0,,64.0,32.85,300,10210.0,,34.03,EQ
22-08-1996,34.55,35.45,34.55,34.65,,64.0,32.85,1600,55760.0,,34.85,EQ
23-08-1996,34.5,34.5,34.0,34.0,,64.0,32.85,500,17125.0,,34.25,EQ
26-08-1996,34.05,34.05,34.05,34.05,,64.0,32.85,100,3405.0,,34.05,EQ
27-08-1996,33.3,34.0,33.3,34.0,,64.0,32.85,200,6730.0,,33.65,EQ
28-08-1996,35.0,35.0,35.0,35.0,,64.0,32.85,100,3500.0,,35.0,EQ
29-08-1996,35.75,35.9,35.5,35.5,,64.0,32.85,1400,49800.0,,35.57,EQ
30-08-1996,35.5,35.5,35.3,35.3,,64.0,32.85,200,7080.0,,35.4,EQ
02-09-1996,35.6,36.0,35.6,36.0,,64.0,32.85,300,10720.0,,35.73,EQ
03-09-1996,36.0,36.5,36.0,36.0,,64.0,32.85,900,32525.0,,36.14,EQ
04-09-1996,34.5,34.5,34.5,34.5,,64.0,32.85,500,17250.0,,34.5,EQ
09-09-1996,35.0,35.0,33.5,33.5,,64.0,32.85,200,6850.0,,34.25,EQ
10-09-1996,34.8,34.8,34.8,34.8,,64.0,32.85,100,3480.0,,34.8,EQ
11-09-1996,35.0,35.25,35.0,35.0,,64.0,32.85,700,24550.0,,35.07,EQ
12-09-1996,35.25,35.25,33.0,33.0,,64.0,32.85,300,10225.0,,34.08,EQ
13-09-1996,36.2,36.2,33.0,33.0,,64.0,32.85,300,10315.0,,34.38,EQ
18-09-1996,34.0,34.0,34.0,34.0,,64.0,32.85,100,3400.0,,34.0,EQ
19-09-1996,33.0,33.0,33.0,33.0,,64.0,32.85,300,9900.0,,33.0,EQ
20-09-1996,32.35,32.35,31.5,31.5,,64.0,32.85,200,6385.0,,31.93,EQ
23-09-1996,28.5,28.5,28.5,28.5,,64.0,31.5,300,8550.0,,28.5,EQ
24-09-1996,29.0,29.0,29.0,29.0,,64.0,28.5,100,2900.0,,29.0,EQ
25-09-1996,27.65,31.0,27.55,31.0,,64.0,28.5,1200,35050.0,,29.21,EQ
26-09-1996,28.8,31.9,28.75,31.9,,64.0,27.55,2400,72720.0,,30.3,EQ
27-09-1996,30.0,30.0,30.0,30.0,,64.0,27.55,100,3000.0,,30.0,EQ
30-09-1996,32.6,32.9,31.85,32.9,,64.0,27.55,900,29050.0,,32.28,EQ
01-10-1996,32.25,35.9,32.1,35.7,,64.0,27.55,1700,57145.0,,33.61,EQ
04-10-1996,32.2,32.2,32.2,32.2,,64.0,27.55,200,6440.0,,32.2,EQ
07-10-1996,33.0,33.0,29.0,29.0,,64.0,27.55,400,12010.0,,30.03,EQ
08-10-1996,28.0,30.0,28.0,30.0,,64.0,27.55,400,11790.0,,29.48,EQ
09-10-1996,28.05,28.05,28.05,28.05,,64.0,27.55,100,2805.0,,28.05,EQ
14-10-1996,29.05,30.0,29.05,30.0,,64.0,27.55,300,8855.0,,29.52,EQ
16-10-1996,30.0,30.0,30.0,30.0,,64.0,27.55,200,6000.0,,30.0,EQ
17-10-1996,29.0,29.0,29.0,29.0,,64.0,27.55,100,2900.0,,29.0,EQ
25-10-1996,28.3,30.0,28.25,30.0,,64.0,27.55,300,8655.0,,28.85,EQ
28-10-1996,29.1,29.1,27.0,27.0,,64.0,27.55,700,20025.0,,28.61,EQ
29-10-1996,27.1,27.1,27.1,27.1,,64.0,27.0,200,5420.0,,27.1,EQ
01-11-1996,26.0,26.0,26.0,26.0,,64.0,27.0,100,2600.0,,26.0,EQ
05-11-1996,25.5,25.5,25.5,25.5,,64.0,26.0,100,2550.0,,25.5,EQ
11-11-1996,23.0,23.0,23.0,23.0,,64.0,25.5,200,4600.0,,23.0,EQ
13-11-1996,25.25,25.25,25.0,25.0,,64.0,23.0,200,5025.0,,25.13,EQ
14-11-1996,27.5,27.5,25.75,25.75,,64.0,23.0,200,5325.0,,26.63,EQ
15-11-1996,28.25,28.25,28.25,28.25,,64.0,23.0,100,2825.0,,28.25,EQ
19-11-1996,27.1,27.1,27.1,27.1,,64.0,23.0,100,2710.0,,27.1,EQ
20-11-1996,29.5,29.5,24.75,24.9,,64.0,23.0,900,22860.0,,25.4,EQ
21-11-1996,27.25,27.25,27.25,27.25,,64.0,23.0,100,2725.0,,27.25,EQ
22-11-1996,29.15,29.15,27.5,27.5,,64.0,23.0,200,5665.0,,28.33,EQ
25-11-1996,26.2,26.2,26.2,26.2,,64.0,23.0,200,5240.0,,26.2,EQ
26-11-1996,25.85,25.85,25.4,25.4,,64.0,23.0,700,17890.0,,25.56,EQ
27-11-1996,23.5,23.5,23.5,23.5,,64.0,23.0,100,2350.0,,23.5,EQ
29-11-1996,24.0,24.0,24.0,24.0,,64.0,23.0,100,2400.0,,24.0,EQ
