DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
01-01-1996,25.5,25.5,25.5,25.5,,,,200,5100.0,,25.5,EQ
02-01-1996,24.95,24.95,24.95,24.95,,,,100,2495.0,,24.95,EQ
05-01-1996,22.95,22.95,22.95,22.95,,,,500,11475.0,,22.95,EQ
19-02-1996,21.0,21.0,21.0,21.0,,,,200,4200.0,,21.0,EQ
20-02-1996,20.75,20.75,20.75,20.75,,,,300,6225.0,,20.75,EQ
22-02-1996,21.0,21.0,21.0,21.0,,,,200,4200.0,,21.0,EQ
23-02-1996,21.0,21.0,21.0,21.0,,,,100,2100.0,,21.0,EQ
27-02-1996,20.5,20.5,20.5,20.5,,,,200,4100.0,,20.5,EQ
28-02-1996,20.5,20.5,20.25,20.25,,,,1500,30500.0,,20.33,EQ
29-02-1996,20.25,20.5,20.0,20.0,,,,2600,52500.0,,20.19,EQ
01-03-1996,20.0,20.0,20.0,20.0,,,,500,10000.0,,20.0,EQ
06-03-1996,20.0,20.0,20.0,20.0,,,,100,2000.0,,20.0,EQ
07-03-1996,20.0,22.0,20.0,20.0,,,,1400,29150.0,,20.82,EQ
08-03-1996,21.25,22.0,21.25,22.0,,,,500,10915.0,,21.83,EQ
11-03-1996,22.0,22.0,21.0,21.0,,,,400,8700.0,,21.75,EQ
12-03-1996,21.0,21.05,21.0,21.05,,,,300,6310.0,,21.03,EQ
13-03-1996,21.0,21.0,21.0,21.0,,,,100,2100.0,,21.0,EQ
15-03-1996,21.0,21.0,20.5,20.5,,,,600,12550.0,,20.92,EQ
18-03-1996,20.0,20.5,20.0,20.5,,,,700,14050.0,,20.07,EQ
26-03-1996,20.5,20.5,20.5,20.5,,,,500,10250.0,,20.5,EQ
27-03-1996,20.0,20.0,20.0,20.0,,,,200,4000.0,,20.0,EQ
28-03-1996,20.0,20.0,20.0,20.0,,,,200,4000.0,,20.0,EQ
29-03-1996,20.0,20.0,20.0,20.0,,,,700,14000.0,,20.0,EQ
