DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
07-04-2004,32.0,46.85,31.1,44.8,44.25,0.0,0.0,80469751,3253859263.55,,40.44,EQ
08-04-2004,45.0,45.65,41.3,41.9,42.15,46.85,31.1,32315425,1388656537.5,,42.97,EQ
12-04-2004,42.25,48.2,42.25,45.05,44.95,46.85,31.1,28040910,1278795440.05,,45.6,EQ
13-04-2004,45.5,45.7,43.4,44.3,44.4,48.2,31.1,10634390,471714718.0,,44.36,EQ
15-04-2004,44.45,47.4,43.4,45.15,45.55,48.2,31.1,14855262,679936343.7,,45.77,EQ
16-04-2004,45.5,49.7,45.5,48.95,49.1,48.2,31.1,24501672,1177603662.25,,48.06,EQ
17-04-2004,49.15,58.75,49.15,57.35,58.35,49.7,31.1,32843823,1815524880.8,,55.28,EQ
19-04-2004,59.0,61.2,54.65,55.2,55.25,58.75,31.1,44900680,2571042538.05,,57.26,EQ
20-04-2004,55.5,55.85,51.3,51.85,51.5,61.2,31.1,22060587,1161297860.15,,52.64,EQ
21-04-2004,51.25,54.0,50.65,53.1,53.45,61.2,31.1,15790234,835675550.15,,52.92,EQ
22-04-2004,53.8,54.7,53.05,53.5,54.05,61.2,31.1,8865052,477618425.85,,53.88,EQ
23-04-2004,54.25,56.7,51.8,52.65,53.05,61.2,31.1,11381727,613900745.55,,53.94,EQ
27-04-2004,52.0,52.0,45.55,48.3,48.05,61.2,31.1,11682673,577297054.3,,49.41,EQ
28-04-2004,48.25,50.25,48.25,49.25,49.4,61.2,31.1,11621060,571252570.85,,49.16,EQ
29-04-2004,49.5,51.45,48.5,49.9,49.9,61.2,31.1,10311209,518739143.35,,50.31,EQ
30-04-2004,49.75,51.1,48.35,48.85,48.85,61.2,31.1,5897781,294420656.0,,49.92,EQ
03-05-2004,49.0,49.15,44.7,47.4,47.6,61.2,31.1,7508813,351598281.7,,46.82,EQ
04-05-2004,48.45,50.2,48.2,49.15,49.45,61.2,31.1,3977170,196505702.75,,49.41,EQ
05-05-2004,49.7,52.15,49.15,51.4,51.65,61.2,31.1,9787501,499513884.7,,51.04,EQ
06-05-2004,52.4,53.5,52.4,52.8,52.85,61.2,31.1,6764509,357935550.95,,52.91,EQ
07-05-2004,53.2,53.3,50.4,51.15,50.9,61.2,31.1,7883664,407036847.6,,51.63,EQ
10-05-2004,51.5,52.0,49.0,51.3,51.25,61.2,31.1,7733864,395313880.05,,51.11,EQ
11-05-2004,49.65,50.75,48.0,48.45,48.1,61.2,31.1,5132763,253798268.9,,49.45,EQ
12-05-2004,48.4,50.35,48.4,49.3,49.3,61.2,31.1,4432065,218278347.0,,49.25,EQ
13-05-2004,48.0,53.75,45.1,52.3,52.5,61.2,31.1,11155675,573267199.25,,51.39,EQ
14-05-2004,52.55,53.3,47.0,48.0,48.0,61.2,31.1,7219796,357775474.4,,49.55,EQ
